AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,Snow_WE,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year
21.1, None, None, 3.0,2023-07-09 11:45:00, 0.0, None,28
16.6, None, None, 3.0,2023-07-09 12:00:00, 0.0, None,28
15.5, None, None, 2.0,2023-07-09 12:15:00, 0.0, None,28
15.5, None, None, 2.0,2023-07-09 12:30:00, 0.0, None,28
16.3, None, None, 2.0,2023-07-09 12:45:00, 0.0, None,28
16.2, None, None, 2.0,2023-07-09 13:00:00, 0.0, None,28
16.0, None, None, 1.0,2023-07-09 13:15:00, 0.0, None,28
15.7, None, None, 1.0,2023-07-09 13:30:00, 0.0, None,28
15.2, None, None, 1.0,2023-07-09 13:45:00, 0.0, None,28
14.8, None, None, 2.0,2023-07-09 14:00:00, 0.0, None,28
14.6, None, None, 1.0,2023-07-09 14:15:00, 0.0, None,28
14.7, None, None, 1.0,2023-07-09 14:30:00, 0.0, None,28
14.5, None, None, 1.0,2023-07-09 14:45:00, 0.0, None,28
14.5, None, None, 1.0,2023-07-09 15:00:00, 0.0, None,28
14.5, None, None, 1.0,2023-07-09 15:15:00, 0.0, None,28
14.7, None, None, 1.0,2023-07-09 15:30:00, 0.0, None,28
14.7, None, None, 1.0,2023-07-09 15:45:00, 0.0, None,28
14.6, None, None, 1.0,2023-07-09 16:00:00, 0.0, None,28
14.6, None, None, 1.0,2023-07-09 16:15:00, 0.0, None,28
14.7, None, None, 1.0,2023-07-09 16:30:00, 0.0, None,28
15.1, None, None, 1.0,2023-07-09 16:45:00, 0.0, None,28
15.4, None, None, 1.0,2023-07-09 17:00:00, 0.0, None,28
16.0, None, None, 1.0,2023-07-09 17:15:00, 0.0, None,28
16.1, None, None, 1.0,2023-07-09 17:30:00, 0.0, None,28
15.9, None, None, 1.0,2023-07-09 17:45:00, 0.0, None,28
16.0, None, None, 1.0,2023-07-09 18:00:00, 0.0, None,28
16.0, None, None, 1.0,2023-07-09 18:15:00, 0.0, None,28
15.7, None, None, 1.0,2023-07-09 18:30:00, 0.0, None,28
15.8, None, None, 1.0,2023-07-09 18:45:00, 0.0, None,28
15.5, None, None, 1.0,2023-07-09 19:00:00, 0.0, None,28
15.2, None, None, 1.0,2023-07-09 19:15:00, 0.0, None,28
15.2, None, None, 1.0,2023-07-09 19:30:00, 0.0, None,28
14.9, None, None, 1.0,2023-07-09 19:45:00, 0.0, None,28
14.5, None, None, 1.0,2023-07-09 20:00:00, 0.0, None,28
14.1, None, None, 1.0,2023-07-09 20:15:00, 0.0, None,28
13.9, None, None, 1.0,2023-07-09 20:30:00, 0.0, None,28
13.7, None, None, 1.0,2023-07-09 20:45:00, 0.0, None,28
13.4, None, None, 1.0,2023-07-09 21:00:00, 0.0, None,28
13.4, None, None, 1.0,2023-07-09 21:15:00, 0.0, None,28
12.5, None, None, 1.0,2023-07-09 21:30:00, 0.0, None,28
12.1, None, None, 1.0,2023-07-09 21:45:00, 0.0, None,28
11.8, None, None, 1.0,2023-07-09 22:00:00, 0.0, None,28
12.0, None, None, 1.0,2023-07-09 22:15:00, 0.0, None,28
11.3, None, None, 1.0,2023-07-09 22:30:00, 0.0, None,28
10.6, None, None, 1.0,2023-07-09 22:45:00, 0.0, None,28
10.4, None, None, 1.0,2023-07-09 23:00:00, 0.0, None,28
10.0, None, None, 1.0,2023-07-09 23:15:00, 0.0, None,28
10.0, None, None, 1.0,2023-07-09 23:30:00, 0.0, None,28
9.8, None, None, 1.0,2023-07-09 23:45:00, 0.0, None,28
9.6, 1.3, 7.7, 1.0,2023-07-10 00:00:00, 0.0, 19.6,28
9.4, None, None, 1.0,2023-07-10 00:15:00, 0.0, None,28
9.2, None, None, 1.0,2023-07-10 00:30:00, 0.0, None,28
9.1, None, None, 1.0,2023-07-10 00:45:00, 0.0, None,28
9.1, None, None, 1.0,2023-07-10 01:00:00, 0.0, None,28
9.0, None, None, 1.0,2023-07-10 01:15:00, 0.0, None,28
9.0, None, None, 1.0,2023-07-10 01:30:00, 0.0, None,28
8.5, None, None, 1.0,2023-07-10 01:45:00, 0.0, None,28
8.5, None, None, 1.0,2023-07-10 02:00:00, 0.0, None,28
8.4, None, None, 1.0,2023-07-10 02:15:00, 0.0, None,28
8.5, None, None, 1.0,2023-07-10 02:30:00, 0.0, None,28
8.6, None, None, 1.0,2023-07-10 02:45:00, 0.0, None,28
8.4, None, None, 1.0,2023-07-10 03:00:00, 0.0, None,28
8.0, None, None, 1.0,2023-07-10 03:15:00, 0.0, None,28
7.8, None, None, 1.0,2023-07-10 03:30:00, 0.0, None,28
7.8, None, None, 1.0,2023-07-10 03:45:00, 0.0, None,28
7.7, None, None, 1.0,2023-07-10 04:00:00, 0.0, None,28
8.1, None, None, 1.0,2023-07-10 04:15:00, 0.0, None,28
8.9, None, None, 1.0,2023-07-10 04:30:00, 0.0, None,28
9.4, None, None, 1.0,2023-07-10 04:45:00, 0.0, None,28
9.9, None, None, 1.0,2023-07-10 05:00:00, 0.0, None,28
10.0, None, None, 1.0,2023-07-10 05:15:00, 0.0, None,28
10.0, None, None, 1.0,2023-07-10 05:30:00, 0.0, None,28
10.1, None, None, 1.0,2023-07-10 05:45:00, 0.0, None,28
10.2, None, None, 1.0,2023-07-10 06:00:00, 0.0, None,28
10.4, None, None, 1.0,2023-07-10 06:15:00, 0.0, None,28
10.6, None, None, 1.0,2023-07-10 06:30:00, 0.0, None,28
10.8, None, None, 1.0,2023-07-10 06:45:00, 0.0, None,28
11.2, None, None, 1.0,2023-07-10 07:00:00, 0.0, None,28
11.3, None, None, 1.0,2023-07-10 07:15:00, 0.0, None,28
11.4, None, None, 1.0,2023-07-10 07:30:00, 0.0, None,28
11.9, None, None, 1.0,2023-07-10 07:45:00, 0.0, None,28
12.5, None, None, 1.0,2023-07-10 08:00:00, 0.0, None,28
12.8, None, None, 1.0,2023-07-10 08:15:00, 0.0, None,28
13.6, None, None, 1.0,2023-07-10 08:30:00, 0.0, None,28
13.4, None, None, 1.0,2023-07-10 08:45:00, 0.0, None,28
13.3, None, None, 1.0,2023-07-10 09:00:00, 0.0, None,28
13.5, None, None, 1.0,2023-07-10 09:15:00, 0.0, None,28
13.9, None, None, 1.0,2023-07-10 09:30:00, 0.0, None,28
14.0, None, None, 1.0,2023-07-10 09:45:00, 0.0, None,28
14.4, None, None, 1.0,2023-07-10 10:00:00, 0.0, None,28
14.9, None, None, 1.0,2023-07-10 10:15:00, 0.0, None,28
15.6, None, None, 1.0,2023-07-10 10:30:00, 0.0, None,28
17.2, None, None, 1.0,2023-07-10 10:45:00, 0.0, None,28
17.7, None, None, 1.0,2023-07-10 11:00:00, 0.0, None,28
18.3, None, None, 2.0,2023-07-10 11:15:00, 0.0, None,28
19.0, None, None, 2.0,2023-07-10 11:30:00, 0.0, None,28
18.6, None, None, 2.0,2023-07-10 11:45:00, 0.0, None,28
19.1, None, None, 2.0,2023-07-10 12:00:00, 0.0, None,28
19.6, None, None, 2.0,2023-07-10 12:15:00, 0.0, None,28
19.4, None, None, 2.0,2023-07-10 12:30:00, 0.0, None,28
19.0, None, None, 2.0,2023-07-10 12:45:00, 0.0, None,28
18.9, None, None, 1.0,2023-07-10 13:00:00, 0.0, None,28
18.9, None, None, 1.0,2023-07-10 13:15:00, 0.0, None,28
18.7, None, None, 1.0,2023-07-10 13:30:00, 0.0, None,28
18.5, None, None, 1.0,2023-07-10 13:45:00, 0.0, None,28
18.2, None, None, 2.0,2023-07-10 14:00:00, 0.0, None,28
18.2, None, None, 1.0,2023-07-10 14:15:00, 0.0, None,28
18.2, None, None, 1.0,2023-07-10 14:30:00, 0.0, None,28
18.1, None, None, 1.0,2023-07-10 14:45:00, 0.0, None,28
17.6, None, None, 1.0,2023-07-10 15:00:00, 0.0, None,28
17.0, None, None, 1.0,2023-07-10 15:15:00, 0.0, None,28
16.4, None, None, 1.0,2023-07-10 15:30:00, 0.0, None,28
15.8, None, None, 1.0,2023-07-10 15:45:00, 0.0, None,28
15.5, None, None, 1.0,2023-07-10 16:00:00, 0.0, None,28
15.0, None, None, 1.0,2023-07-10 16:15:00, 0.0, None,28
14.8, None, None, 1.0,2023-07-10 16:30:00, 0.0, None,28
15.1, None, None, 1.0,2023-07-10 16:45:00, 0.0, None,28
15.4, None, None, 1.0,2023-07-10 17:00:00, 0.0, None,28
15.5, None, None, 1.0,2023-07-10 17:15:00, 0.0, None,28
15.7, None, None, 1.0,2023-07-10 17:30:00, 0.0, None,28
15.6, None, None, 1.0,2023-07-10 17:45:00, 0.0, None,28
15.6, None, None, 1.0,2023-07-10 18:00:00, 0.0, None,28
16.2, None, None, 1.0,2023-07-10 18:15:00, 0.0, None,28
16.3, None, None, 1.0,2023-07-10 18:30:00, 0.0, None,28
16.2, None, None, 1.0,2023-07-10 18:45:00, 0.0, None,28
16.1, None, None, 1.0,2023-07-10 19:00:00, 0.0, None,28
16.0, None, None, 1.0,2023-07-10 19:15:00, 0.0, None,28
15.8, None, None, 1.0,2023-07-10 19:30:00, 0.0, None,28
15.7, None, None, 1.0,2023-07-10 19:45:00, 0.0, None,28
15.5, None, None, 1.0,2023-07-10 20:00:00, 0.0, None,28
15.2, None, None, 1.0,2023-07-10 20:15:00, 0.0, None,28
14.8, None, None, 1.0,2023-07-10 20:30:00, 0.0, None,28
14.3, None, None, 1.0,2023-07-10 20:45:00, 0.0, None,28
13.9, None, None, 1.0,2023-07-10 21:00:00, 0.0, None,28
13.4, None, None, 1.0,2023-07-10 21:15:00, 0.0, None,28
13.0, None, None, 1.0,2023-07-10 21:30:00, 0.0, None,28
12.7, None, None, 1.0,2023-07-10 21:45:00, 0.0, None,28
12.5, None, None, 1.0,2023-07-10 22:00:00, 0.0, None,28
12.4, None, None, 1.0,2023-07-10 22:15:00, 0.0, None,28
12.5, None, None, 1.0,2023-07-10 22:30:00, 0.0, None,28
12.3, None, None, 1.0,2023-07-10 22:45:00, 0.0, None,28
12.4, None, None, 1.0,2023-07-10 23:00:00, 0.0, None,28
12.1, None, None, 1.0,2023-07-10 23:15:00, 0.0, None,28
11.6, None, None, 1.0,2023-07-10 23:30:00, 0.0, None,28
11.3, None, None, 1.0,2023-07-10 23:45:00, 0.0, None,28
10.7, 4.1, 7.1, 1.0,2023-07-11 00:00:00, 0.0, 23.4,28
10.4, None, None, 1.0,2023-07-11 00:15:00, 0.0, None,28
9.9, None, None, 1.0,2023-07-11 00:30:00, 0.0, None,28
9.9, None, None, 1.0,2023-07-11 00:45:00, 0.0, None,28
9.6, None, None, 1.0,2023-07-11 01:00:00, 0.0, None,28
9.5, None, None, 1.0,2023-07-11 01:15:00, 0.0, None,28
9.2, None, None, 1.0,2023-07-11 01:30:00, 0.0, None,28
9.1, None, None, 1.0,2023-07-11 01:45:00, 0.0, None,28
8.8, None, None, 1.0,2023-07-11 02:00:00, 0.0, None,28
8.6, None, None, 1.0,2023-07-11 02:15:00, 0.0, None,28
8.4, None, None, 1.0,2023-07-11 02:30:00, 0.0, None,28
8.0, None, None, 1.0,2023-07-11 02:45:00, 0.0, None,28
7.9, None, None, 1.0,2023-07-11 03:00:00, 0.0, None,28
7.8, None, None, 1.0,2023-07-11 03:15:00, 0.0, None,28
7.5, None, None, 1.0,2023-07-11 03:30:00, 0.0, None,28
7.3, None, None, 1.0,2023-07-11 03:45:00, 0.0, None,28
7.1, None, None, 1.0,2023-07-11 04:00:00, 0.0, None,28
7.5, None, None, 1.0,2023-07-11 04:15:00, 0.0, None,28
7.7, None, None, 0.0,2023-07-11 04:30:00, 0.0, None,28
8.2, None, None, 1.0,2023-07-11 04:45:00, 0.0, None,28
8.4, None, None, 1.0,2023-07-11 05:00:00, 0.0, None,28
8.7, None, None, 1.0,2023-07-11 05:15:00, 0.0, None,28
8.9, None, None, 1.0,2023-07-11 05:30:00, 0.0, None,28
9.0, None, None, 1.0,2023-07-11 05:45:00, 0.0, None,28
9.2, None, None, 1.0,2023-07-11 06:00:00, 0.0, None,28
9.4, None, None, 1.0,2023-07-11 06:15:00, 0.0, None,28
9.8, None, None, 1.0,2023-07-11 06:30:00, 0.0, None,28
10.3, None, None, 1.0,2023-07-11 06:45:00, 0.0, None,28
10.8, None, None, 1.0,2023-07-11 07:00:00, 0.0, None,28
11.1, None, None, 1.0,2023-07-11 07:15:00, 0.0, None,28
11.6, None, None, 1.0,2023-07-11 07:30:00, 0.0, None,28
12.2, None, None, 1.0,2023-07-11 07:45:00, 0.0, None,28
12.8, None, None, 1.0,2023-07-11 08:00:00, 0.0, None,28
13.3, None, None, 1.0,2023-07-11 08:15:00, 0.0, None,28
14.3, None, None, 1.0,2023-07-11 08:30:00, 0.0, None,28
14.9, None, None, 1.0,2023-07-11 08:45:00, 0.0, None,28
16.2, None, None, 1.0,2023-07-11 09:00:00, 0.0, None,28
17.0, None, None, 1.0,2023-07-11 09:15:00, 0.0, None,28
17.7, None, None, 1.0,2023-07-11 09:30:00, 0.0, None,28
19.0, None, None, 1.0,2023-07-11 09:45:00, 0.0, None,28
19.4, None, None, 2.0,2023-07-11 10:00:00, 0.0, None,28
20.1, None, None, 2.0,2023-07-11 10:15:00, 0.0, None,28
20.8, None, None, 2.0,2023-07-11 10:30:00, 0.0, None,28
21.2, None, None, 1.0,2023-07-11 10:45:00, 0.0, None,28
21.8, None, None, 1.0,2023-07-11 11:00:00, 0.0, None,28
22.3, None, None, 1.0,2023-07-11 11:15:00, 0.0, None,28
23.1, None, None, 1.0,2023-07-11 11:30:00, 0.0, None,28
23.4, None, None, 1.0,2023-07-11 11:45:00, 0.0, None,28
22.4, None, None, 2.0,2023-07-11 12:00:00, 0.0, None,28
21.6, None, None, 2.0,2023-07-11 12:15:00, 0.0, None,28
21.5, None, None, 2.0,2023-07-11 12:30:00, 0.0, None,28
22.4, None, None, 1.0,2023-07-11 12:45:00, 0.0, None,28
23.0, None, None, 1.0,2023-07-11 13:00:00, 0.0, None,28
22.2, None, None, 2.0,2023-07-11 13:15:00, 0.0, None,28
22.1, None, None, 2.0,2023-07-11 13:30:00, 0.0, None,28
21.4, None, None, 2.0,2023-07-11 13:45:00, 0.0, None,28
21.0, None, None, 2.0,2023-07-11 14:00:00, 0.0, None,28
19.3, None, None, 2.0,2023-07-11 14:15:00, 0.0, None,28
18.4, None, None, 2.0,2023-07-11 14:30:00, 0.0, None,28
17.5, None, None, 2.0,2023-07-11 14:45:00, 0.0, None,28
18.3, None, None, 1.0,2023-07-11 15:00:00, 0.0, None,28
18.9, None, None, 1.0,2023-07-11 15:15:00, 0.0, None,28
18.1, None, None, 2.0,2023-07-11 15:30:00, 0.0, None,28
17.0, None, None, 2.0,2023-07-11 15:45:00, 0.0, None,28
17.0, None, None, 1.0,2023-07-11 16:00:00, 0.0, None,28
17.1, None, None, 1.0,2023-07-11 16:15:00, 0.0, None,28
16.2, None, None, 1.0,2023-07-11 16:30:00, 0.0, None,28
16.5, None, None, 1.0,2023-07-11 16:45:00, 0.0, None,28
16.2, None, None, 1.0,2023-07-11 17:00:00, 0.0, None,28
15.3, None, None, 2.0,2023-07-11 17:15:00, 0.0, None,28
14.6, None, None, 2.0,2023-07-11 17:30:00, 0.0, None,28
14.8, None, None, 1.0,2023-07-11 17:45:00, 0.0, None,28
15.3, None, None, 1.0,2023-07-11 18:00:00, 0.0, None,28
15.2, None, None, 1.0,2023-07-11 18:15:00, 0.0, None,28
15.0, None, None, 1.0,2023-07-11 18:30:00, 0.0, None,28
14.9, None, None, 1.0,2023-07-11 18:45:00, 0.0, None,28
14.8, None, None, 1.0,2023-07-11 19:00:00, 0.0, None,28
14.9, None, None, 1.0,2023-07-11 19:15:00, 0.0, None,28
14.7, None, None, 1.0,2023-07-11 19:30:00, 0.0, None,28
14.4, None, None, 1.0,2023-07-11 19:45:00, 0.0, None,28
13.9, None, None, 1.0,2023-07-11 20:00:00, 0.0, None,28
13.3, None, None, 1.0,2023-07-11 20:15:00, 0.0, None,28
12.6, None, None, 1.0,2023-07-11 20:30:00, 0.0, None,28
12.1, None, None, 1.0,2023-07-11 20:45:00, 0.0, None,28
11.5, None, None, 1.0,2023-07-11 21:00:00, 0.0, None,28
11.3, None, None, 1.0,2023-07-11 21:15:00, 0.0, None,28
11.0, None, None, 1.0,2023-07-11 21:30:00, 0.0, None,28
10.7, None, None, 1.0,2023-07-11 21:45:00, 0.0, None,28
10.6, None, None, 1.0,2023-07-11 22:00:00, 0.0, None,28
10.2, None, None, 1.0,2023-07-11 22:15:00, 0.0, None,28
10.1, None, None, 1.0,2023-07-11 22:30:00, 0.0, None,28
9.8, None, None, 1.0,2023-07-11 22:45:00, 0.0, None,28
9.5, None, None, 1.0,2023-07-11 23:00:00, 0.0, None,28
9.3, None, None, 1.0,2023-07-11 23:15:00, 0.0, None,28
9.0, None, None, 1.0,2023-07-11 23:30:00, 0.0, None,28
8.8, None, None, 1.0,2023-07-11 23:45:00, 0.0, None,28
8.3, 4.7, 4.9, 1.0,2023-07-12 00:00:00, 0.0, 24.8,28
7.8, None, None, 1.0,2023-07-12 00:15:00, 0.0, None,28
7.5, None, None, 1.0,2023-07-12 00:30:00, 0.0, None,28
7.4, None, None, 1.0,2023-07-12 00:45:00, 0.0, None,28
7.2, None, None, 1.0,2023-07-12 01:00:00, 0.0, None,28
7.0, None, None, 1.0,2023-07-12 01:15:00, 0.0, None,28
6.8, None, None, 1.0,2023-07-12 01:30:00, 0.0, None,28
6.3, None, None, 0.0,2023-07-12 01:45:00, 0.0, None,28
6.1, None, None, 0.0,2023-07-12 02:00:00, 0.0, None,28
5.8, None, None, 0.0,2023-07-12 02:15:00, 0.0, None,28
5.9, None, None, 0.0,2023-07-12 02:30:00, 0.0, None,28
5.7, None, None, 0.0,2023-07-12 02:45:00, 0.0, None,28
5.4, None, None, 0.0,2023-07-12 03:00:00, 0.0, None,28
5.3, None, None, 0.0,2023-07-12 03:15:00, 0.0, None,28
5.1, None, None, 0.0,2023-07-12 03:30:00, 0.0, None,28
5.0, None, None, 0.0,2023-07-12 03:45:00, 0.0, None,28
5.0, None, None, 0.0,2023-07-12 04:00:00, 0.0, None,28
4.9, None, None, 0.0,2023-07-12 04:15:00, 0.0, None,28
5.0, None, None, 0.0,2023-07-12 04:30:00, 0.0, None,28
5.4, None, None, 0.0,2023-07-12 04:45:00, 0.0, None,28
5.3, None, None, 0.0,2023-07-12 05:00:00, 0.0, None,28
5.9, None, None, 0.0,2023-07-12 05:15:00, 0.0, None,28
5.8, None, None, 0.0,2023-07-12 05:30:00, 0.0, None,28
6.6, None, None, 0.0,2023-07-12 05:45:00, 0.0, None,28
7.1, None, None, 0.0,2023-07-12 06:00:00, 0.0, None,28
8.0, None, None, 0.0,2023-07-12 06:15:00, 0.0, None,28
8.6, None, None, 0.0,2023-07-12 06:30:00, 0.0, None,28
9.1, None, None, 0.0,2023-07-12 06:45:00, 0.0, None,28
9.5, None, None, 0.0,2023-07-12 07:00:00, 0.0, None,28
10.5, None, None, 0.0,2023-07-12 07:15:00, 0.0, None,28
11.5, None, None, 1.0,2023-07-12 07:30:00, 0.0, None,28
13.0, None, None, 1.0,2023-07-12 07:45:00, 0.0, None,28
14.1, None, None, 0.0,2023-07-12 08:00:00, 0.0, None,28
15.4, None, None, 1.0,2023-07-12 08:15:00, 0.0, None,28
16.2, None, None, 1.0,2023-07-12 08:30:00, 0.0, None,28
17.3, None, None, 1.0,2023-07-12 08:45:00, 0.0, None,28
18.2, None, None, 1.0,2023-07-12 09:00:00, 0.0, None,28
19.0, None, None, 1.0,2023-07-12 09:15:00, 0.0, None,28
20.3, None, None, 2.0,2023-07-12 09:30:00, 0.0, None,28
20.9, None, None, 2.0,2023-07-12 09:45:00, 0.0, None,28
20.5, None, None, 2.0,2023-07-12 10:00:00, 0.0, None,28
20.9, None, None, 1.0,2023-07-12 10:15:00, 0.0, None,28
21.0, None, None, 1.0,2023-07-12 10:30:00, 0.0, None,28
21.7, None, None, 1.0,2023-07-12 10:45:00, 0.0, None,28
22.3, None, None, 1.0,2023-07-12 11:00:00, 0.0, None,28
22.9, None, None, 1.0,2023-07-12 11:15:00, 0.0, None,28
23.1, None, None, 2.0,2023-07-12 11:30:00, 0.0, None,28
22.8, None, None, 2.0,2023-07-12 11:45:00, 0.0, None,28
23.4, None, None, 2.0,2023-07-12 12:00:00, 0.0, None,28
23.6, None, None, 2.0,2023-07-12 12:15:00, 0.0, None,28
23.8, None, None, 2.0,2023-07-12 12:30:00, 0.0, None,28
24.4, None, None, 2.0,2023-07-12 12:45:00, 0.0, None,28
24.8, None, None, 2.0,2023-07-12 13:00:00, 0.0, None,28
24.1, None, None, 2.0,2023-07-12 13:15:00, 0.0, None,28
23.6, None, None, 2.0,2023-07-12 13:30:00, 0.0, None,28
23.4, None, None, 2.0,2023-07-12 13:45:00, 0.0, None,28
21.3, None, None, 2.0,2023-07-12 14:00:00, 0.0, None,28
21.4, None, None, 2.0,2023-07-12 14:15:00, 0.0, None,28
21.4, None, None, 2.0,2023-07-12 14:30:00, 0.0, None,28
21.4, None, None, 2.0,2023-07-12 14:45:00, 0.0, None,28
21.9, None, None, 2.0,2023-07-12 15:00:00, 0.0, None,28
21.6, None, None, 2.0,2023-07-12 15:15:00, 0.0, None,28
22.3, None, None, 2.0,2023-07-12 15:30:00, 0.0, None,28
22.5, None, None, 2.0,2023-07-12 15:45:00, 0.0, None,28
21.7, None, None, 2.0,2023-07-12 16:00:00, 0.0, None,28
20.8, None, None, 2.0,2023-07-12 16:15:00, 0.0, None,28
20.8, None, None, 2.0,2023-07-12 16:30:00, 0.0, None,28
19.9, None, None, 2.0,2023-07-12 16:45:00, 0.0, None,28
19.9, None, None, 2.0,2023-07-12 17:00:00, 0.0, None,28
20.7, None, None, 2.0,2023-07-12 17:15:00, 0.0, None,28
21.2, None, None, 2.0,2023-07-12 17:30:00, 0.0, None,28
20.7, None, None, 2.0,2023-07-12 17:45:00, 0.0, None,28
20.0, None, None, 2.0,2023-07-12 18:00:00, 0.0, None,28
19.8, None, None, 2.0,2023-07-12 18:15:00, 0.0, None,28
20.1, None, None, 2.0,2023-07-12 18:30:00, 0.0, None,28
19.8, None, None, 2.0,2023-07-12 18:45:00, 0.0, None,28
18.6, None, None, 2.0,2023-07-12 19:00:00, 0.0, None,28
18.4, None, None, 2.0,2023-07-12 19:15:00, 0.0, None,28
18.4, None, None, 1.0,2023-07-12 19:30:00, 0.0, None,28
18.7, None, None, 1.0,2023-07-12 19:45:00, 0.0, None,28
14.2, None, None, 2.0,2023-07-12 20:00:00, 0.0, None,28
13.6, None, None, 2.0,2023-07-12 20:15:00, 0.0, None,28
13.3, None, None, 1.0,2023-07-12 20:30:00, 0.0, None,28
13.1, None, None, 1.0,2023-07-12 20:45:00, 0.0, None,28
12.8, None, None, 1.0,2023-07-12 21:00:00, 0.0, None,28
12.6, None, None, 1.0,2023-07-12 21:15:00, 0.0, None,28
12.5, None, None, 1.0,2023-07-12 21:30:00, 0.0, None,28
12.3, None, None, 1.0,2023-07-12 21:45:00, 0.0, None,28
12.5, None, None, 1.0,2023-07-12 22:00:00, 0.0, None,28
12.3, None, None, 1.0,2023-07-12 22:15:00, 0.0, None,28
12.1, None, None, 1.0,2023-07-12 22:30:00, 0.0, None,28
12.0, None, None, 1.0,2023-07-12 22:45:00, 0.0, None,28
11.9, None, None, 1.0,2023-07-12 23:00:00, 0.0, None,28
11.9, None, None, 1.0,2023-07-12 23:15:00, 0.0, None,28
11.8, None, None, 1.0,2023-07-12 23:30:00, 0.0, None,28
11.8, None, None, 1.0,2023-07-12 23:45:00, 0.0, None,28
11.6, 4.0, 7.7, 1.0,2023-07-13 00:00:00, 0.0, 20.9,28
11.4, None, None, 1.0,2023-07-13 00:15:00, 0.0, None,28
11.4, None, None, 1.0,2023-07-13 00:30:00, 0.0, None,28
11.2, None, None, 1.0,2023-07-13 00:45:00, 0.0, None,28
11.2, None, None, 1.0,2023-07-13 01:00:00, 0.0, None,28
10.7, None, None, 1.0,2023-07-13 01:15:00, 0.0, None,28
10.4, None, None, 1.0,2023-07-13 01:30:00, 0.0, None,28
10.1, None, None, 1.0,2023-07-13 01:45:00, 0.0, None,28
10.0, None, None, 1.0,2023-07-13 02:00:00, 0.0, None,28
9.4, None, None, 1.0,2023-07-13 02:15:00, 0.0, None,28
