pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,time,snw_dpth,stn_pres,week_of_year
None,-2.738,88.9, None, None,65.09,1.201,205.4, None, None, None, None,-4.0, None, None, None, None,2019-11-21 16:00:00, None, None,47
None,-3.794,90.3, None, None,69.0,0.717,223.1, None, None, None, None,-5.0, None, None, None, None,2019-11-21 17:00:00, None, None,47
None,-4.041,91.8, None, None,56.23,1.188,187.0, None, None, None, None,-5.0, None, None, None, None,2019-11-21 18:00:00, None, None,47
None,-4.596,92.6, None, None,41.44,0.752,169.1, None, None, None, None,-5.0, None, None, None, None,2019-11-21 19:00:00, None, None,47
None,-5.164,93.4, None, None,56.73,0.998,168.6, None, None, None, None,-6.0, None, None, None, None,2019-11-21 20:00:00, None, None,47
None,-6.223,93.8, None, None,59.33,0.429,276.4, None, None, None, None,-7.0, None, None, None, None,2019-11-21 21:00:00, None, None,47
None,-6.958,93.5, None, None,64.33,0.604,173.1, None, None, None, None,-8.0, None, None, None, None,2019-11-21 22:00:00, None, None,47
None,-7.472,93.2, None, None,67.61,1.018,225.9, None, None, None, None,-8.0, None, None, None, None,2019-11-21 23:00:00, None, None,47
None,-7.509,93.0, None, None,73.0,1.239,344.5, None, None, None, None,-8.0, None, None, None, None,2019-11-22 00:00:00, None, None,47
None,-6.922,93.1, None, None,59.63,1.675,184.9, None, None, None, None,-8.0, None, None, None, None,2019-11-22 01:00:00, None, None,47
None,-2.469,84.4, None, None,71.48,4.497,285.5, None, None, None, None,-4.0, None, None, None, None,2019-11-22 02:00:00, None, None,47
None,-2.16,84.6, None, None,18.88,13.24,341.7, None, None, None, None,-4.0, None, None, None, None,2019-11-22 03:00:00, None, None,47
None,-2.131,85.7, None, None,17.34,11.01,339.9, None, None, None, None,-4.0, None, None, None, None,2019-11-22 04:00:00, None, None,47
None,-1.829,85.0, None, None,18.67,11.61,346.4, None, None, None, None,-4.0, None, None, None, None,2019-11-22 05:00:00, None, None,47
