pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,time,SNOW_ON_THE_GROUND,week_of_year
None, None, None, None, -1.9, -2.1, None, None, None, None, None, None,2022-01-11 12:00:00, None,2
None, None, 743.0, None, -2.0, -2.4, None, None, None, None, None, None,2022-01-11 13:00:00, None,2
None, None, 744.0, None, -2.8, -2.6, 149.0, None, None, None, 397.0, None,2022-01-11 15:00:00, None,2
None, None, 744.0, None, -3.0, -2.5, 148.0, None, None, 0.0, 397.0, None,2022-01-11 16:00:00, None,2
None, None, 744.0, None, -3.2, -3.1, 148.0, None, None, 0.0, 397.0, None,2022-01-11 17:00:00, None,2
None, None, 744.0, None, -3.2, -3.0, 148.0, None, None, 0.0, 397.0, None,2022-01-11 18:00:00, None,2
None, None, 744.0, None, -2.9, -2.8, 147.0, None, None, 0.0, 397.0, None,2022-01-11 19:00:00, None,2
None, None, 744.0, None, -2.9, -2.9, 147.0, None, None, 0.0, 397.0, None,2022-01-11 20:00:00, None,2
None, None, 744.0, None, -3.1, -3.1, 151.0, None, None, 0.0, 397.0, None,2022-01-11 21:00:00, None,2
None, None, 745.0, None, -3.3, -3.2, 151.0, None, None, 1.0, 398.0, None,2022-01-11 22:00:00, None,2
None, None, 745.0, None, -3.6, -3.7, 150.0, None, None, 0.0, 398.0, None,2022-01-11 23:00:00, None,2
None, None, 745.0, None, -3.6, -3.5, 147.0, None, None, 0.0, 398.0, None,2022-01-12 00:00:00, None,2
None, None, 745.0, None, -3.4, -3.1, 148.0, None, None, 0.0, 398.0, None,2022-01-12 01:00:00, None,2
None, None, 745.0, None, -2.8, -2.2, 152.0, None, None, 0.0, 398.0, None,2022-01-12 02:00:00, None,2
None, None, 745.0, None, -2.6, -2.6, 152.0, None, None, 0.0, 398.0, None,2022-01-12 03:00:00, None,2
None, None, 745.0, None, -2.9, -2.8, 151.0, None, None, 0.0, 398.0, None,2022-01-12 04:00:00, None,2
None, None, 745.0, None, -2.6, -2.4, 151.0, None, None, 0.0, 398.0, None,2022-01-12 05:00:00, None,2
None, None, 745.0, None, -2.5, -2.2, 151.0, None, None, 0.0, 398.0, None,2022-01-12 06:00:00, None,2
None, None, 745.0, None, -2.5, -2.4, 151.0, None, None, 0.0, 398.0, None,2022-01-12 07:00:00, None,2
None, None, 745.0, None, -2.3, -2.1, 150.0, None, None, 0.0, 398.0, None,2022-01-12 08:00:00, None,2
None, None, 744.0, None, -1.9, -1.5, 150.0, None, None, None, 398.0, None,2022-01-12 09:00:00, None,2
None, None, 745.0, None, -1.2, -1.3, 150.0, None, None, 1.0, 398.0, None,2022-01-12 10:00:00, None,2
None, None, 745.0, None, -0.7, -1.1, 150.0, None, None, 0.0, 398.0, None,2022-01-12 11:00:00, None,2
None, None, 744.0, None, 0.4, 0.1, 150.0, None, None, None, 398.0, None,2022-01-12 12:00:00, None,2
2.0, None, 745.0, None, 0.0, -0.2, 149.0, None, None, 1.0, 398.0, None,2022-01-12 13:00:00, None,2
None, None, 745.0, None, -0.3, -0.7, 149.0, None, None, 0.0, 398.0, None,2022-01-12 14:00:00, None,2
1.0, None, 745.0, None, -1.0, -1.2, 149.0, None, None, 0.0, 398.0, None,2022-01-12 15:00:00, None,2
1.0, None, 745.0, None, -1.7, -1.8, 150.0, None, None, 0.0, 398.0, None,2022-01-12 16:00:00, None,2
2.0, None, 746.0, None, -2.0, -1.9, 147.0, None, None, 1.0, 399.0, None,2022-01-12 17:00:00, None,2
2.0, None, 746.0, None, -2.2, -2.2, 151.0, None, None, 0.0, 399.0, None,2022-01-12 18:00:00, None,2
2.0, None, 746.0, None, -2.3, -2.3, 148.0, None, None, 0.0, 401.0, None,2022-01-12 19:00:00, None,2
3.0, None, 747.0, None, -2.3, -2.3, 148.0, None, None, 1.0, 402.0, None,2022-01-12 20:00:00, None,2
4.0, None, 748.0, None, -2.1, -2.0, 153.0, None, None, 1.0, 403.0, None,2022-01-12 21:00:00, None,2
3.0, None, 748.0, None, -1.6, -1.5, 154.0, None, None, 0.0, 405.0, None,2022-01-12 22:00:00, None,2
4.0, None, 749.0, None, -1.3, -1.2, 154.0, None, None, 1.0, 405.0, None,2022-01-12 23:00:00, None,2
4.0, None, 749.0, None, -1.1, -1.1, 153.0, None, None, 0.0, 406.0, None,2022-01-13 00:00:00, None,2
4.0, None, 749.0, None, -0.9, -0.9, 154.0, None, None, 0.0, 406.0, None,2022-01-13 01:00:00, None,2
4.0, None, 749.0, None, -0.6, -0.5, 154.0, None, None, 0.0, 406.0, None,2022-01-13 02:00:00, None,2
4.0, None, 749.0, None, -0.2, -0.1, 154.0, None, None, 0.0, 406.0, None,2022-01-13 03:00:00, None,2
5.0, None, 750.0, None, -0.1, 0.1, 154.0, None, None, 1.0, 407.0, None,2022-01-13 04:00:00, None,2
5.0, None, 750.0, None, -0.4, -0.5, 153.0, None, None, 0.0, 407.0, None,2022-01-13 05:00:00, None,2
