WDIR_VECT,TEMP_MEAN,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, 0.2, 97.2, 97.2,2020-01-01 00:00:00, 0.173998,1
None, 0.1, 97.2, None,2020-01-01 01:00:00, None,1
None, 0.1, 97.2, None,2020-01-01 02:00:00, None,1
None, 0.2, 97.2, None,2020-01-01 03:00:00, None,1
None, 0.1, 97.2, None,2020-01-01 04:00:00, None,1
None, 0.2, 97.3, None,2020-01-01 05:00:00, None,1
None, 0.2, 97.3, None,2020-01-01 06:00:00, None,1
None, 0.1, 97.3, None,2020-01-01 07:00:00, None,1
None, 0.1, 97.3, None,2020-01-01 08:00:00, None,1
None, 0.1, 97.3, None,2020-01-01 09:00:00, None,1
None, 0.1, 97.3, None,2020-01-01 10:00:00, None,1
None, 0.2, 97.3, None,2020-01-01 11:00:00, None,1
None, 0.9, 97.4, None,2020-01-01 12:00:00, None,1
121.3, 1.4, 97.4, None,2020-01-01 13:00:00, None,1
254.2, 1.6, 94.6, None,2020-01-01 14:00:00, None,1
260.4, 2.6, 77.4, None,2020-01-01 15:00:00, None,1
266.1, 1.2, 71.2, None,2020-01-01 16:00:00, None,1
255.4, 0.5, 56.5, None,2020-01-01 17:00:00, None,1
245.8, -0.3, 54.0, None,2020-01-01 18:00:00, None,1
268.9, -1.1, 60.0, None,2020-01-01 19:00:00, None,1
270.9, -1.8, 63.8, None,2020-01-01 20:00:00, None,1
243.4, -1.7, 59.2, None,2020-01-01 21:00:00, None,1
256.1, -2.1, 64.3, None,2020-01-01 22:00:00, None,1
263.6, -2.4, 67.6, None,2020-01-01 23:00:00, None,1
289.4, -3.4, 71.1, None,2020-01-02 00:00:00, None,1
283.2, -3.8, 67.6, None,2020-01-02 01:00:00, None,1
272.6, -3.5, 58.3, None,2020-01-02 02:00:00, None,1
292.8, -5.2, 68.5, None,2020-01-02 03:00:00, None,1
269.7, -7.0, 76.4, None,2020-01-02 04:00:00, None,1
None, -7.1, 77.1, None,2020-01-02 05:00:00, None,1
None, -7.4, 76.9, None,2020-01-02 06:00:00, None,1
None, -8.3, 77.4, None,2020-01-02 07:00:00, None,1
None, -10.2, 81.9, None,2020-01-02 08:00:00, None,1
285.3, -11.3, 83.8, None,2020-01-02 09:00:00, None,1
80.5, -11.7, 83.6, None,2020-01-02 10:00:00, None,1
93.5, -10.7, 80.4, None,2020-01-02 11:00:00, None,1
None, -9.3, 78.7, None,2020-01-02 12:00:00, None,1
None, -8.3, 77.8, None,2020-01-02 13:00:00, None,1
125.9, -7.9, 76.3, None,2020-01-02 14:00:00, None,1
96.4, -7.9, 78.3, None,2020-01-02 15:00:00, None,1
0.0, -7.9, 79.7, None,2020-01-02 16:00:00, None,1
117.3, -8.3, 82.9, None,2020-01-02 17:00:00, None,1
108.9, -8.6, 84.6, None,2020-01-02 18:00:00, None,1
0.0, -8.6, 85.3, None,2020-01-02 19:00:00, None,1
0.0, -8.5, 86.7, None,2020-01-02 20:00:00, None,1
0.0, -7.7, 87.9, None,2020-01-02 21:00:00, None,1
