station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, MIN_TEMP, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND, MAX_TEMP
1.6, 0.0, 1.0, 1.6, 2020-01-01 00:00:00, 0.0, 10.0
2.0, 2.0, -1.5, 0.0, 2020-01-02 00:00:00, 0.0, 6.0
0.8, 0.0, -1.0, 0.8, 2020-01-03 00:00:00, 0.0, 13.0
0.0, 0.0, 0.0, 0.0, 2020-01-04 00:00:00, 0.0, 6.0
4.0, 4.0, 1.0, 0.0, 2020-01-05 00:00:00, 0.0, 6.0
3.4, 0.0, -2.0, 3.4, 2020-01-06 00:00:00, 0.0, 1.5
0.4, 0.2, -2.5, 0.2, 2020-01-07 00:00:00, 0.0, 6.0
13.0, 0.0, -2.5, 13.0, 2020-01-08 00:00:00, 0.0, 0.0
0.2, 0.0, -10.0, 0.2, 2020-01-09 00:00:00, 0.0, -2.0
0.0, 0.0, -11.0, 0.0, 2020-01-10 00:00:00, 0.0, 1.0
0.2, 0.0, -6.0, 0.2, 2020-01-11 00:00:00, 0.0, 2.0
0.0, 0.0, -6.0, 0.0, 2020-01-12 00:00:00, 0.0, -3.0
0.0, 0.0, -21.0, 0.0, 2020-01-13 00:00:00, 0.0, -17.0
1.4, 0.0, -20.5, 1.4, 2020-01-14 00:00:00, 0.0, -18.5
5.0, 0.0, -23.0, 5.0, 2020-01-15 00:00:00, 0.0, -22.0
0.0, 0.0, -23.0, 0.0, 2020-01-16 00:00:00, 0.0, -12.5
0.0, 0.0, -22.0, 0.0, 2020-01-17 00:00:00, 0.0, -10.0
0.0, 0.0, -19.5, 0.0, 2020-01-18 00:00:00, 0.0, 3.0
0.0, 0.0, -10.0, 0.0, 2020-01-19 00:00:00, 0.0, 6.0
0.0, 0.0, -1.5, 0.0, 2020-01-20 00:00:00, 0.0, 5.5
0.2, 0.2, -1.0, 0.0, 2020-01-21 00:00:00, 0.0, 6.0
1.0, 1.0, -4.0, 0.0, 2020-01-22 00:00:00, 0.0, 4.5
0.4, 0.4, 0.5, 0.0, 2020-01-23 00:00:00, 0.0, 8.5
0.4, 0.4, 1.0, 0.0, 2020-01-24 00:00:00, 0.0, 8.5
1.4, 0.0, -3.5, 1.4, 2020-01-25 00:00:00, 0.0, 5.0
1.0, 1.0, -3.0, 0.0, 2020-01-26 00:00:00, 0.0, 8.5
0.8, 0.0, -1.0, 0.8, 2020-01-27 00:00:00, 0.0, 6.5
0.0, 0.0, -2.0, 0.0, 2020-01-28 00:00:00, 0.0, 4.0
0.8, 0.8, -3.0, 0.0, 2020-01-29 00:00:00, 0.0, 9.0
0.0, 0.0, -2.0, 0.0, 2020-01-30 00:00:00, 0.0, 9.5
4.5, 4.5, 2.0, 0.0, 2020-01-31 00:00:00, 0.0, 11.0
0.0, 0.0, 5.0, 0.0, 2020-02-01 00:00:00, 0.0, 8.0
0.4, 0.0, -8.0, 0.4, 2020-02-02 00:00:00, 0.0, 3.0
0.0, 0.0, -6.5, 0.0, 2020-02-03 00:00:00, 0.0, 0.0
0.4, 0.0, -8.5, 0.4, 2020-02-04 00:00:00, 0.0, 2.5
0.0, 0.0, -4.5, 0.0, 2020-02-05 00:00:00, 0.0, -1.0
0.4, 0.0, -4.0, 0.4, 2020-02-06 00:00:00, 0.0, 1.0
2.4, 1.4, -2.0, 1.0, 2020-02-07 00:00:00, 0.0, 3.0
0.0, 0.0, -1.0, 0.0, 2020-02-08 00:00:00, 0.0, 3.0
0.0, 0.0, -9.0, 0.0, 2020-02-09 00:00:00, 0.0, 2.0
0.0, 0.0, -6.0, 0.0, 2020-02-10 00:00:00, 0.0, 4.5
0.0, 0.0, -3.0, 0.0, 2020-02-11 00:00:00, 0.0, 8.0
0.0, 0.0, -4.5, 0.0, 2020-02-12 00:00:00, 0.0, 8.0
0.0, 0.0, -2.0, 0.0, 2020-02-13 00:00:00, 0.0, 8.0
0.0, 0.0, -2.5, 0.0, 2020-02-14 00:00:00, 0.0, 8.0
0.0, 0.0, 2.0, 0.0, 2020-02-15 00:00:00, 0.0, 8.5
0.0, 0.0, -2.0, 0.0, 2020-02-16 00:00:00, 0.0, 6.0
0.0, 0.0, -5.5, 0.0, 2020-02-17 00:00:00, 0.0, 5.5
0.0, 0.0, -4.0, 0.0, 2020-02-18 00:00:00, 0.0, 5.5
0.0, 0.0, -9.0, 0.0, 2020-02-19 00:00:00, 0.0, 5.0
0.0, 0.0, -9.0, 0.0, 2020-02-20 00:00:00, 0.0, 7.5
0.6, 0.0, -5.0, 0.6, 2020-02-21 00:00:00, 0.0, 8.5
1.0, 0.0, -3.0, 1.0, 2020-02-22 00:00:00, 0.0, 4.0
0.0, 0.0, -2.0, 0.0, 2020-02-23 00:00:00, 0.0, 7.5
0.0, 0.0, -4.5, 0.0, 2020-02-24 00:00:00, 0.0, 3.0
0.0, 0.0, -4.0, 0.0, 2020-02-25 00:00:00, 0.0, 5.0
0.0, 0.0, -3.5, 0.0, 2020-02-26 00:00:00, 0.0, 10.0
0.0, 0.0, 3.0, 0.0, 2020-02-27 00:00:00, 0.0, 10.5
0.4, 0.4, 1.0, 0.0, 2020-02-28 00:00:00, 0.0, 11.0
