AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,Snow_WE,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year
-5.3, 1.1, -5.5, None,2022-05-14 00:00:00, None, 5.3,20
-5.3, None, None, None,2022-05-14 00:15:00, None, None,20
None, None, None, 1393.6,2022-05-14 00:22:00, None, None,20
-5.4, None, None, None,2022-05-14 00:30:00, None, None,20
-5.4, None, None, None,2022-05-14 00:45:00, None, None,20
-5.4, None, None, 1393.6,2022-05-14 01:00:00, 287.0, None,20
-5.4, None, None, 1393.6,2022-05-14 01:15:00, 287.0, None,20
-5.4, None, None, 1393.6,2022-05-14 01:30:00, 287.0, None,20
-5.4, None, None, 1394.7,2022-05-14 01:45:00, 287.0, None,20
-5.4, None, None, 1394.7,2022-05-14 02:00:00, 287.0, None,20
-5.5, None, None, 1394.7,2022-05-14 02:15:00, 287.0, None,20
-5.5, None, None, 1394.7,2022-05-14 02:30:00, 287.0, None,20
-5.5, None, None, 1394.7,2022-05-14 02:45:00, 288.0, None,20
-5.4, None, None, 1394.7,2022-05-14 03:00:00, 288.0, None,20
-5.2, None, None, 1394.7,2022-05-14 03:15:00, 287.0, None,20
-5.1, None, None, 1394.7,2022-05-14 03:30:00, 287.0, None,20
-5.0, None, None, 1394.7,2022-05-14 03:45:00, 287.0, None,20
-5.1, None, None, 1394.7,2022-05-14 04:00:00, 287.0, None,20
-5.3, None, None, 1394.7,2022-05-14 04:15:00, 288.0, None,20
-5.1, None, None, 1394.7,2022-05-14 04:30:00, 287.0, None,20
-4.9, None, None, 1394.7,2022-05-14 04:45:00, 287.0, None,20
-4.7, None, None, 1394.7,2022-05-14 05:00:00, 287.0, None,20
-4.3, None, None, 1394.7,2022-05-14 05:15:00, 287.0, None,20
-3.9, None, None, 1394.7,2022-05-14 05:30:00, 287.0, None,20
-3.5, None, None, 1394.7,2022-05-14 05:45:00, 287.0, None,20
-3.2, None, None, 1394.7,2022-05-14 06:00:00, 287.0, None,20
-2.2, None, None, 1394.7,2022-05-14 06:15:00, 287.0, None,20
-2.1, None, None, 1395.7,2022-05-14 06:30:00, 287.0, None,20
-1.4, None, None, 1395.7,2022-05-14 06:45:00, 287.0, None,20
-0.8, None, None, 1395.7,2022-05-14 07:00:00, 286.0, None,20
-0.6, None, None, 1395.7,2022-05-14 07:15:00, 286.0, None,20
0.4, None, None, 1395.7,2022-05-14 07:30:00, 286.0, None,20
0.6, None, None, 1395.7,2022-05-14 07:45:00, 286.0, None,20
0.3, None, None, 1395.7,2022-05-14 08:00:00, 287.0, None,20
0.8, None, None, 1395.7,2022-05-14 08:15:00, 287.0, None,20
1.4, None, None, 1395.7,2022-05-14 08:30:00, 286.0, None,20
1.9, None, None, 1395.7,2022-05-14 08:45:00, 286.0, None,20
2.3, None, None, 1395.7,2022-05-14 09:00:00, 287.0, None,20
2.1, None, None, 1394.7,2022-05-14 09:15:00, 286.0, None,20
1.5, None, None, 1395.7,2022-05-14 09:30:00, 286.0, None,20
1.0, None, None, 1395.7,2022-05-14 09:45:00, 286.0, None,20
2.2, None, None, 1395.7,2022-05-14 10:00:00, 286.0, None,20
2.1, None, None, 1395.7,2022-05-14 10:15:00, 286.0, None,20
1.6, None, None, 1395.7,2022-05-14 10:30:00, 287.0, None,20
2.2, None, None, 1395.7,2022-05-14 10:45:00, 287.0, None,20
2.2, None, None, 1395.7,2022-05-14 11:00:00, 286.0, None,20
2.4, None, None, 1395.7,2022-05-14 11:15:00, 287.0, None,20
1.9, None, None, 1395.7,2022-05-14 11:30:00, 287.0, None,20
2.1, None, None, 1395.7,2022-05-14 11:45:00, 287.0, None,20
2.1, None, None, 1395.7,2022-05-14 12:00:00, 287.0, None,20
1.9, None, None, 1395.7,2022-05-14 12:15:00, 286.0, None,20
2.3, None, None, 1395.7,2022-05-14 12:30:00, 286.0, None,20
2.3, None, None, 1395.7,2022-05-14 12:45:00, 287.0, None,20
1.9, None, None, 1395.7,2022-05-14 13:00:00, 287.0, None,20
2.7, None, None, 1395.7,2022-05-14 13:15:00, 286.0, None,20
2.8, None, None, 1395.7,2022-05-14 13:30:00, 286.0, None,20
3.4, None, None, 1395.7,2022-05-14 13:45:00, 285.0, None,20
4.0, None, None, 1395.7,2022-05-14 14:00:00, 286.0, None,20
4.4, None, None, 1395.7,2022-05-14 14:15:00, 285.0, None,20
3.6, None, None, 1395.7,2022-05-14 14:30:00, 286.0, None,20
5.3, None, None, 1395.7,2022-05-14 14:45:00, 284.0, None,20
3.9, None, None, 1395.7,2022-05-14 15:00:00, 284.0, None,20
2.6, None, None, 1395.7,2022-05-14 15:15:00, 285.0, None,20
3.0, None, None, 1395.7,2022-05-14 15:30:00, 285.0, None,20
2.8, None, None, 1395.7,2022-05-14 15:45:00, 285.0, None,20
2.1, None, None, 1395.7,2022-05-14 16:00:00, 285.0, None,20
1.8, None, None, 1395.7,2022-05-14 16:15:00, 285.0, None,20
1.5, None, None, 1395.7,2022-05-14 16:30:00, 284.0, None,20
2.1, None, None, 1395.7,2022-05-14 16:45:00, 285.0, None,20
1.9, None, None, 1395.7,2022-05-14 17:00:00, 285.0, None,20
2.3, None, None, 1395.7,2022-05-14 17:15:00, 285.0, None,20
2.2, None, None, 1395.7,2022-05-14 17:30:00, 285.0, None,20
1.8, None, None, 1396.8,2022-05-14 17:45:00, 285.0, None,20
1.2, None, None, 1396.8,2022-05-14 18:00:00, 285.0, None,20
0.9, None, None, 1396.8,2022-05-14 18:15:00, 285.0, None,20
0.7, None, None, 1396.8,2022-05-14 18:30:00, 285.0, None,20
0.8, None, None, 1396.8,2022-05-14 18:45:00, 285.0, None,20
0.7, None, None, 1396.8,2022-05-14 19:00:00, 285.0, None,20
0.5, None, None, 1396.8,2022-05-14 19:15:00, 285.0, None,20
0.2, None, None, 1396.8,2022-05-14 19:30:00, 284.0, None,20
0.0, None, None, 1396.8,2022-05-14 19:45:00, 284.0, None,20
0.1, None, None, 1396.8,2022-05-14 20:00:00, 284.0, None,20
0.1, None, None, 1396.8,2022-05-14 20:15:00, 284.0, None,20
0.1, None, None, 1396.8,2022-05-14 20:30:00, 283.0, None,20
-0.2, None, None, 1396.8,2022-05-14 20:45:00, 285.0, None,20
-0.3, None, None, 1396.8,2022-05-14 21:00:00, 285.0, None,20
-0.3, None, None, 1396.8,2022-05-14 21:15:00, 285.0, None,20
-0.1, None, None, 1396.8,2022-05-14 21:30:00, 285.0, None,20
0.0, None, None, 1396.8,2022-05-14 21:45:00, 284.0, None,20
0.0, None, None, 1396.8,2022-05-14 22:00:00, 285.0, None,20
0.1, None, None, 1397.8,2022-05-14 22:15:00, 285.0, None,20
0.1, None, None, 1397.8,2022-05-14 22:30:00, 285.0, None,20
0.1, None, None, 1397.8,2022-05-14 22:45:00, 285.0, None,20
0.1, None, None, 1397.8,2022-05-14 23:00:00, 285.0, None,20
0.1, None, None, 1397.8,2022-05-14 23:15:00, 285.0, None,20
0.1, None, None, 1397.8,2022-05-14 23:30:00, 285.0, None,20
-0.2, None, None, 1397.8,2022-05-14 23:45:00, 285.0, None,20
-0.2, 6.9, -0.4, 1397.8,2022-05-15 00:00:00, 285.0, 3.9,20
-0.1, None, None, 1397.8,2022-05-15 00:15:00, 285.0, None,20
0.0, None, None, 1397.8,2022-05-15 00:30:00, 285.0, None,20
0.0, None, None, 1397.8,2022-05-15 00:45:00, 285.0, None,20
0.1, None, None, 1397.8,2022-05-15 01:00:00, 285.0, None,20
-0.1, None, None, 1398.9,2022-05-15 01:15:00, 285.0, None,20
-0.1, None, None, 1398.9,2022-05-15 01:30:00, 285.0, None,20
-0.2, None, None, 1398.9,2022-05-15 01:45:00, 285.0, None,20
-0.4, None, None, 1398.9,2022-05-15 02:00:00, 285.0, None,20
-0.4, None, None, 1398.9,2022-05-15 02:15:00, 286.0, None,20
-0.3, None, None, 1398.9,2022-05-15 02:30:00, 285.0, None,20
-0.3, None, None, 1398.9,2022-05-15 02:45:00, 285.0, None,20
-0.3, None, None, 1398.9,2022-05-15 03:00:00, 285.0, None,20
-0.2, None, None, 1398.9,2022-05-15 03:15:00, 285.0, None,20
-0.3, None, None, 1398.9,2022-05-15 03:30:00, 286.0, None,20
-0.3, None, None, 1399.9,2022-05-15 03:45:00, 286.0, None,20
-0.3, None, None, 1399.9,2022-05-15 04:00:00, 286.0, None,20
-0.3, None, None, 1399.9,2022-05-15 04:15:00, 286.0, None,20
-0.2, None, None, 1399.9,2022-05-15 04:30:00, 286.0, None,20
-0.2, None, None, 1399.9,2022-05-15 04:45:00, 286.0, None,20
-0.1, None, None, 1399.9,2022-05-15 05:00:00, 286.0, None,20
0.1, None, None, 1399.9,2022-05-15 05:15:00, 286.0, None,20
0.3, None, None, 1399.9,2022-05-15 05:30:00, 285.0, None,20
0.4, None, None, 1399.9,2022-05-15 05:45:00, 285.0, None,20
0.4, None, None, 1399.9,2022-05-15 06:00:00, 285.0, None,20
