pcpn_amt_pst24hrs,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,cum_pcpn_amt,MIN_TEMP,ONE_DAY_SNOW,time,air_temp_1,SNOW_ON_THE_GROUND,snw_dpth,MAX_TEMP,week_of_year
9.0, None, 0.0, 16.0,903.0, None, None,2022-09-24 00:00:00,5.3, None, -22.0, None,39
7.0, None, 0.0, 16.0,903.0, None, None,2022-09-24 01:00:00,5.2, None, -10.0, None,39
6.0, None, 0.0, 15.0,903.0, None, None,2022-09-24 02:00:00,5.6, None, -13.0, None,39
6.0, None, 0.0, 15.0,903.0, None, None,2022-09-24 03:00:00,5.4, None, 28.0, None,39
6.0, None, 0.0, 15.0,903.0, None, None,2022-09-24 04:00:00,5.7, None, 27.0, None,39
6.0, None, 0.0, 15.0,903.0, None, None,2022-09-24 05:00:00,6.1, None, 30.0, None,39
6.0, None, 0.0, 15.0,903.0, None, None,2022-09-24 06:00:00,6.0, None, 42.0, None,39
6.0, None, 0.0, 15.0,903.0, None, None,2022-09-24 07:00:00,5.5, None, 42.0, None,39
6.0, None, 0.0, 15.0,903.0, None, None,2022-09-24 08:00:00,5.8, None, 41.0, None,39
4.0, None, 0.0, 15.0,903.0, None, None,2022-09-24 09:00:00,6.2, None, 42.0, None,39
3.0, None, 0.0, 15.0,903.0, None, None,2022-09-24 10:00:00,7.1, None, 42.0, None,39
3.0, None, 0.0, 15.0,903.0, None, None,2022-09-24 11:00:00,8.0, None, 43.0, None,39
3.0, None, 0.0, 16.0,903.0, None, None,2022-09-24 12:00:00,9.3, None, -1.0, None,39
3.0, None, 0.0, 16.0,903.0, None, None,2022-09-24 13:00:00,10.1, None, 27.0, None,39
2.0, None, 0.0, 16.0,903.0, None, None,2022-09-24 14:00:00,11.3, None, 2.0, None,39
1.0, None, None, 16.0,902.0, None, None,2022-09-24 15:00:00,11.5, None, 39.0, None,39
0.0, None, 0.0, 16.0,902.0, None, None,2022-09-24 16:00:00,11.5, None, 39.0, None,39
0.0, None, 0.0, 16.0,902.0, None, None,2022-09-24 17:00:00,11.1, None, -9.0, None,39
None, None, 0.0, 17.0,902.0, None, None,2022-09-24 18:00:00,9.5, None, 1.0, None,39
0.0, None, 1.0, 17.0,903.0, None, None,2022-09-24 19:00:00,7.8, None, 41.0, None,39
0.0, None, 0.0, 16.0,903.0, None, None,2022-09-24 20:00:00,7.5, None, 41.0, None,39
0.0, None, 0.0, 16.0,903.0, None, None,2022-09-24 21:00:00,7.8, None, 518.0, None,39
0.0, None, 0.0, 16.0,903.0, None, None,2022-09-24 22:00:00,7.9, None, 3.0, None,39
0.0, None, 0.0, 16.0,903.0, None, None,2022-09-24 23:00:00,8.4, None, 17.0, None,39
0.0, None, 0.0, 16.0,903.0, None, None,2022-09-25 00:00:00,8.7, None, 518.0, None,39
0.0, None, 0.0, 16.0,903.0, None, None,2022-09-25 01:00:00,8.7, None, 42.0, None,39
0.0, None, 0.0, 16.0,903.0, None, None,2022-09-25 02:00:00,8.8, None, 6.0, None,39
0.0, None, 0.0, 16.0,903.0, None, None,2022-09-25 03:00:00,8.4, None, -20.0, None,39
0.0, None, 0.0, 16.0,903.0, None, None,2022-09-25 04:00:00,8.4, None, -10.0, None,39
1.0, None, 1.0, 16.0,904.0, None, None,2022-09-25 05:00:00,7.8, None, -13.0, None,39
3.0, None, 2.0, 16.0,906.0, None, None,2022-09-25 06:00:00,7.8, None, 32.0, None,39
3.0, None, 0.0, 16.0,906.0, None, None,2022-09-25 07:00:00,7.7, None, 32.0, None,39
3.0, None, 0.0, 16.0,906.0, None, None,2022-09-25 08:00:00,7.9, None, -8.0, None,39
3.0, None, 0.0, 16.0,906.0, None, None,2022-09-25 09:00:00,8.7, None, 31.0, None,39
3.0, None, 0.0, 16.0,906.0, None, None,2022-09-25 10:00:00,9.5, None, 518.0, None,39
3.0, None, 0.0, 16.0,906.0, None, None,2022-09-25 11:00:00,10.5, None, 34.0, None,39
3.0, None, 0.0, 16.0,906.0, None, None,2022-09-25 12:00:00,12.0, None, -1.0, None,39
3.0, None, 0.0, 17.0,906.0, None, None,2022-09-25 13:00:00,12.7, None, 25.0, None,39
2.0, None, None, 17.0,905.0, None, None,2022-09-25 14:00:00,13.8, None, 33.0, None,39
3.0, None, 0.0, 17.0,905.0, None, None,2022-09-25 15:00:00,14.3, None, 34.0, None,39
3.0, None, 0.0, 17.0,905.0, None, None,2022-09-25 16:00:00,14.2, None, 33.0, None,39
3.0, None, 0.0, 17.0,905.0, None, None,2022-09-25 17:00:00,14.0, None, 33.0, None,39
4.0, None, 1.0, 17.0,906.0, None, None,2022-09-25 18:00:00,13.2, None, 13.0, None,39
3.0, None, 0.0, 17.0,906.0, None, None,2022-09-25 19:00:00,12.2, None, -10.0, None,39
3.0, None, 0.0, 18.0,906.0, None, None,2022-09-25 20:00:00,11.5, None, -8.0, None,39
3.0, None, 0.0, 17.0,906.0, None, None,2022-09-25 21:00:00,11.2, None, -8.0, None,39
3.0, None, 0.0, 17.0,906.0, None, None,2022-09-25 22:00:00,11.2, None, -8.0, None,39
3.0, None, 0.0, 17.0,906.0, None, None,2022-09-25 23:00:00,11.1, None, 33.0, None,39
3.0, None, 0.0, 17.0,906.0, None, None,2022-09-26 00:00:00,11.0, None, 33.0, None,39
3.0, None, 0.0, 17.0,906.0, None, None,2022-09-26 01:00:00,10.8, None, 34.0, None,39
3.0, None, 0.0, 18.0,906.0, None, None,2022-09-26 02:00:00,10.2, None, 31.0, None,39
3.0, None, 0.0, 17.0,906.0, None, None,2022-09-26 03:00:00,8.8, None, 1.0, None,39
3.0, None, 0.0, 17.0,906.0, None, None,2022-09-26 04:00:00,8.9, None, 4.0, None,39
2.0, None, 0.0, 17.0,906.0, None, None,2022-09-26 05:00:00,8.0, None, 1.0, None,39
1.0, None, 1.0, 17.0,907.0, None, None,2022-09-26 06:00:00,7.5, None, 29.0, None,39
1.0, None, 0.0, 16.0,907.0, None, None,2022-09-26 07:00:00,7.3, None, 39.0, None,39
1.0, None, 0.0, 16.0,907.0, None, None,2022-09-26 08:00:00,7.6, None, 40.0, None,39
1.0, None, 0.0, 16.0,907.0, None, None,2022-09-26 09:00:00,9.0, None, -12.0, None,39
0.0, None, None, 17.0,906.0, None, None,2022-09-26 10:00:00,12.9, None, 40.0, None,39
0.0, None, 0.0, 17.0,906.0, None, None,2022-09-26 11:00:00,15.9, None, 39.0, None,39
None, None, None, 17.0,905.0, None, None,2022-09-26 12:00:00,17.3, None, 24.0, None,39
None, None, 0.0, 17.0,905.0, None, None,2022-09-26 13:00:00,19.1, None, -17.0, None,39
0.0, None, 0.0, 18.0,905.0, None, None,2022-09-26 14:00:00,20.5, None, -5.0, None,39
0.0, None, 0.0, 18.0,905.0, None, None,2022-09-26 15:00:00,20.5, None, -4.0, None,39
0.0, None, 0.0, 18.0,905.0, None, None,2022-09-26 16:00:00,17.1, None, 30.0, None,39
0.0, None, 0.0, 18.0,905.0, None, None,2022-09-26 17:00:00,14.8, None, -6.0, None,39
0.0, None, 1.0, 18.0,906.0, None, None,2022-09-26 18:00:00,13.6, None, 30.0, None,39
0.0, None, 0.0, 18.0,906.0, None, None,2022-09-26 19:00:00,12.3, None, 31.0, None,39
0.0, None, 0.0, 18.0,906.0, None, None,2022-09-26 21:00:00,10.6, None, 0.0, None,39
0.0, None, 0.0, 17.0,906.0, None, None,2022-09-26 22:00:00,10.0, None, 41.0, None,39
0.0, None, 0.0, 17.0,906.0, None, None,2022-09-26 23:00:00,10.0, None, 0.0, None,39
0.0, None, 0.0, 17.0,906.0, None, None,2022-09-27 00:00:00,8.9, None, 518.0, None,39
0.0, None, 0.0, 17.0,906.0, None, None,2022-09-27 01:00:00,8.6, None, -5.0, None,39
0.0, None, 0.0, 17.0,906.0, None, None,2022-09-27 02:00:00,8.7, None, -5.0, None,39
0.0, None, 0.0, 17.0,906.0, None, None,2022-09-27 03:00:00,8.2, None, 39.0, None,39
1.0, None, 1.0, 17.0,907.0, None, None,2022-09-27 04:00:00,8.5, None, 518.0, None,39
0.0, None, None, 17.0,906.0, None, None,2022-09-27 05:00:00,9.6, None, 1.0, None,39
None, None, 0.0, 17.0,906.0, None, None,2022-09-27 06:00:00,8.9, None, -2.0, None,39
None, None, 0.0, 17.0,906.0, None, None,2022-09-27 07:00:00,8.2, None, -5.0, None,39
0.0, None, 1.0, 17.0,907.0, None, None,2022-09-27 08:00:00,8.1, None, 518.0, None,39
None, None, None, 16.0,906.0, None, None,2022-09-27 09:00:00,9.3, None, -15.0, None,39
0.0, None, 0.0, 16.0,906.0, None, None,2022-09-27 10:00:00,13.5, None, -25.0, None,39
None, None, None, 17.0,905.0, None, None,2022-09-27 11:00:00,16.5, None, -14.0, None,39
0.0, None, 0.0, 17.0,905.0, None, None,2022-09-27 12:00:00,18.8, None, -15.0, None,39
0.0, None, 0.0, 18.0,905.0, None, None,2022-09-27 13:00:00,19.3, None, -14.0, None,39
0.0, None, 0.0, 18.0,905.0, None, None,2022-09-27 14:00:00,21.4, None, 18.0, None,39
None, None, None, 18.0,904.0, None, None,2022-09-27 15:00:00,20.6, None, -2.0, None,39
0.0, None, 1.0, 19.0,905.0, None, None,2022-09-27 16:00:00,17.5, None, -47.0, None,39
0.0, None, 0.0, 19.0,905.0, None, None,2022-09-27 17:00:00,15.4, None, -2.0, None,39
None, None, 0.0, 19.0,905.0, None, None,2022-09-27 18:00:00,13.0, None, -37.0, None,39
0.0, None, 1.0, 18.0,906.0, None, None,2022-09-27 19:00:00,11.4, None, -1.0, None,39
0.0, None, 0.0, 18.0,906.0, None, None,2022-09-27 20:00:00,10.1, None, 42.0, None,39
0.0, None, 0.0, 18.0,906.0, None, None,2022-09-27 21:00:00,9.2, None, 41.0, None,39
0.0, None, 0.0, 18.0,906.0, None, None,2022-09-27 22:00:00,8.6, None, 41.0, None,39
0.0, None, 0.0, 17.0,906.0, None, None,2022-09-27 23:00:00,8.3, None, 42.0, None,39
1.0, None, 1.0, 17.0,907.0, None, None,2022-09-28 00:00:00,7.9, None, 30.0, None,39
1.0, None, 0.0, 17.0,907.0, None, None,2022-09-28 01:00:00,8.0, None, -23.0, None,39
1.0, None, 0.0, 17.0,907.0, None, None,2022-09-28 02:00:00,7.8, None, -10.0, None,39
1.0, None, 0.0, 17.0,907.0, None, None,2022-09-28 03:00:00,7.8, None, -5.0, None,39
0.0, None, 0.0, 17.0,907.0, None, None,2022-09-28 04:00:00,7.5, None, -15.0, None,39
1.0, None, 0.0, 17.0,907.0, None, None,2022-09-28 05:00:00,7.2, None, 39.0, None,39
1.0, None, 0.0, 16.0,907.0, None, None,2022-09-28 06:00:00,7.1, None, 518.0, None,39
1.0, None, 0.0, 16.0,907.0, None, None,2022-09-28 07:00:00,6.8, None, 518.0, None,39
0.0, None, 0.0, 16.0,907.0, None, None,2022-09-28 08:00:00,7.3, None, 22.0, None,39
0.0, None, None, 16.0,906.0, None, None,2022-09-28 09:00:00,9.0, None, 38.0, None,39
0.0, None, 0.0, 16.0,906.0, None, None,2022-09-28 10:00:00,12.6, None, 9.0, None,39
0.0, None, None, 17.0,905.0, None, None,2022-09-28 11:00:00,17.1, None, -4.0, None,39
0.0, None, 0.0, 17.0,905.0, None, None,2022-09-28 12:00:00,18.9, None, 41.0, None,39
0.0, None, 0.0, 17.0,905.0, None, None,2022-09-28 13:00:00,18.6, None, -23.0, None,39
0.0, None, 0.0, 17.0,905.0, None, None,2022-09-28 14:00:00,19.3, None, 17.0, None,39
1.0, None, 0.0, 18.0,905.0, None, None,2022-09-28 15:00:00,18.1, None, 17.0, None,39
0.0, None, 0.0, 18.0,905.0, None, None,2022-09-28 16:00:00,17.3, None, -2.0, None,39
0.0, None, 0.0, 18.0,905.0, None, None,2022-09-28 17:00:00,16.1, None, -22.0, None,39
0.0, None, 0.0, 18.0,905.0, None, None,2022-09-28 18:00:00,14.1, None, -1.0, None,39
0.0, None, 1.0, 18.0,906.0, None, None,2022-09-28 19:00:00,13.8, None, 41.0, None,39
0.0, None, 0.0, 18.0,906.0, None, None,2022-09-28 20:00:00,13.1, None, 42.0, None,39
0.0, None, 0.0, 18.0,906.0, None, None,2022-09-28 21:00:00,12.5, None, 43.0, None,39
0.0, None, 0.0, 18.0,906.0, None, None,2022-09-28 22:00:00,12.6, None, 42.0, None,39
0.0, None, 0.0, 18.0,906.0, None, None,2022-09-28 23:00:00,12.0, None, 42.0, None,39
None, None, 0.0, 18.0,906.0, None, None,2022-09-29 00:00:00,11.9, None, 0.0, None,39
None, None, 0.0, 18.0,906.0, None, None,2022-09-29 01:00:00,13.1, None, 41.0, None,39
None, None, 0.0, 18.0,906.0, None, None,2022-09-29 02:00:00,11.9, None, 36.0, None,39
0.0, None, 1.0, 18.0,907.0, None, None,2022-09-29 03:00:00,10.7, None, 30.0, None,39
0.0, None, 0.0, 18.0,907.0, None, None,2022-09-29 04:00:00,10.3, None, 30.0, None,39
0.0, None, 0.0, 18.0,907.0, None, None,2022-09-29 05:00:00,9.8, None, 0.0, None,39
1.0, None, 1.0, 17.0,908.0, None, None,2022-09-29 06:00:00,9.7, None, 29.0, None,39
1.0, None, 0.0, 18.0,908.0, None, None,2022-09-29 07:00:00,9.7, None, 0.0, None,39
1.0, None, 0.0, 18.0,908.0, None, None,2022-09-29 08:00:00,9.8, None, 518.0, None,39
2.0, None, 0.0, 18.0,908.0, None, None,2022-09-29 09:00:00,10.0, None, -7.0, None,39
2.0, None, 0.0, 17.0,908.0, None, None,2022-09-29 10:00:00,10.8, None, 0.0, None,39
3.0, None, 0.0, 17.0,908.0, None, None,2022-09-29 11:00:00,12.8, None, 40.0, None,39
3.0, None, 0.0, 18.0,908.0, None, None,2022-09-29 12:00:00,12.9, None, -8.0, None,39
3.0, None, 0.0, 18.0,908.0, None, None,2022-09-29 13:00:00,14.2, None, 0.0, None,39
3.0, None, 0.0, 18.0,908.0, None, None,2022-09-29 14:00:00,14.6, None, -1.0, None,39
3.0, None, 0.0, 18.0,908.0, None, None,2022-09-29 15:00:00,15.0, None, 32.0, None,39
3.0, None, 0.0, 19.0,908.0, None, None,2022-09-29 16:00:00,13.2, None, 30.0, None,39
3.0, None, 0.0, 18.0,908.0, None, None,2022-09-29 17:00:00,12.1, None, -2.0, None,39
4.0, None, 1.0, 18.0,909.0, None, None,2022-09-29 18:00:00,10.8, None, -18.0, None,39
3.0, None, 0.0, 18.0,909.0, None, None,2022-09-29 19:00:00,9.3, None, 29.0, None,39
3.0, None, 0.0, 18.0,909.0, None, None,2022-09-29 20:00:00,8.3, None, -17.0, None,39
3.0, None, 0.0, 18.0,909.0, None, None,2022-09-29 21:00:00,7.6, None, 39.0, None,39
3.0, None, 0.0, 17.0,909.0, None, None,2022-09-29 22:00:00,7.1, None, 39.0, None,39
3.0, None, 0.0, 17.0,909.0, None, None,2022-09-29 23:00:00,7.0, None, 37.0, None,39
3.0, None, 0.0, 17.0,909.0, None, None,2022-09-30 00:00:00,6.6, None, 37.0, None,39
3.0, None, 0.0, 16.0,909.0, None, None,2022-09-30 01:00:00,6.4, None, 36.0, None,39
3.0, None, 0.0, 16.0,909.0, None, None,2022-09-30 02:00:00,7.0, None, 38.0, None,39
2.0, None, 0.0, 16.0,909.0, None, None,2022-09-30 03:00:00,6.8, None, 38.0, None,39
2.0, None, 0.0, 17.0,909.0, None, None,2022-09-30 04:00:00,7.0, None, -4.0, None,39
2.0, None, 0.0, 16.0,909.0, None, None,2022-09-30 05:00:00,6.9, None, -8.0, None,39
1.0, None, 0.0, 16.0,909.0, None, None,2022-09-30 06:00:00,7.3, None, -17.0, None,39
1.0, None, 0.0, 16.0,909.0, None, None,2022-09-30 07:00:00,6.7, None, 28.0, None,39
1.0, None, 0.0, 16.0,909.0, None, None,2022-09-30 08:00:00,6.7, None, 30.0, None,39
1.0, None, 0.0, 16.0,909.0, None, None,2022-09-30 09:00:00,8.3, None, 27.0, None,39
1.0, None, 0.0, 16.0,909.0, None, None,2022-09-30 10:00:00,11.0, None, 518.0, None,39
0.0, None, None, 16.0,908.0, None, None,2022-09-30 11:00:00,13.2, None, 14.0, None,39
0.0, None, 0.0, 17.0,908.0, None, None,2022-09-30 12:00:00,15.0, None, 39.0, None,39
0.0, None, 0.0, 17.0,908.0, None, None,2022-09-30 13:00:00,15.2, None, 0.0, None,39
0.0, None, 0.0, 18.0,908.0, None, None,2022-09-30 14:00:00,16.4, None, 19.0, None,39
0.0, None, 0.0, 17.0,908.0, None, None,2022-09-30 15:00:00,16.6, None, 41.0, None,39
0.0, None, 0.0, 17.0,908.0, None, None,2022-09-30 16:00:00,15.3, None, 41.0, None,39
0.0, None, 0.0, 18.0,908.0, None, None,2022-09-30 17:00:00,13.6, None, 42.0, None,39
None, None, 0.0, 18.0,908.0, None, None,2022-09-30 18:00:00,12.4, None, 42.0, None,39
0.0, None, 1.0, 18.0,909.0, None, None,2022-09-30 19:00:00,10.2, None, -9.0, None,39
0.0, None, 0.0, 17.0,909.0, None, None,2022-09-30 20:00:00,9.0, None, -4.0, None,39
0.0, None, 0.0, 18.0,909.0, None, None,2022-09-30 21:00:00,8.1, None, 39.0, None,39
0.0, None, 0.0, 17.0,909.0, None, None,2022-09-30 22:00:00,7.7, None, 37.0, None,39
0.0, None, 0.0, 17.0,909.0, None, None,2022-09-30 23:00:00,7.1, None, -2.0, None,39
