AirTemperature,Rain,WindSpeed,time,WindDirection,RelativeHumidity,week_of_year
-2.6,0.0, 16.9,2017-01-01 00:00:00, 168.0,75.0,1
-2.6,0.0, 15.9,2017-01-01 00:15:00, 161.0,76.0,1
-2.6,0.0, 17.3,2017-01-01 00:30:00, 158.0,76.0,1
-2.7,0.0, 18.3,2017-01-01 00:45:00, 179.0,77.0,1
-2.8,0.0, 15.5,2017-01-01 01:00:00, 200.0,78.0,1
-2.8,0.0, 17.3,2017-01-01 01:15:00, 190.0,79.0,1
-2.9,0.0, 14.9,2017-01-01 01:30:00, 207.0,79.0,1
-2.9,0.0, 13.8,2017-01-01 01:45:00, 203.0,80.0,1
-3.0,0.0, 13.3,2017-01-01 02:00:00, 221.0,81.0,1
-3.0,0.0, 12.8,2017-01-01 02:15:00, 231.0,82.0,1
-3.0,0.0, 12.3,2017-01-01 02:30:00, 262.0,83.0,1
-3.0,0.0, 10.5,2017-01-01 02:45:00, 282.0,83.0,1
-3.0,0.0, 12.3,2017-01-01 03:00:00, 246.0,87.0,1
-3.0,0.0, 15.5,2017-01-01 03:15:00, 191.0,89.0,1
-2.9,0.0, 16.8,2017-01-01 03:30:00, 195.0,92.0,1
-2.9,0.0, 17.3,2017-01-01 03:45:00, 180.0,94.0,1
-2.9,0.0, 16.9,2017-01-01 04:00:00, 208.0,95.0,1
-2.9,0.0, 19.9,2017-01-01 04:15:00, 203.0,96.0,1
-2.8,0.0, 25.6,2017-01-01 04:30:00, 196.0,96.0,1
-2.8,0.0, 19.9,2017-01-01 04:45:00, 216.0,96.0,1
-2.8,0.0, 18.6,2017-01-01 05:00:00, 227.0,96.0,1
-2.8,0.0, 17.3,2017-01-01 05:15:00, 229.0,96.0,1
-2.7,0.0, 19.9,2017-01-01 05:30:00, 204.0,96.0,1
-2.6,0.0, 21.0,2017-01-01 05:45:00, 200.0,96.0,1
-2.5,0.0, 25.3,2017-01-01 06:00:00, 209.0,96.0,1
-2.5,0.0, 22.0,2017-01-01 06:15:00, 225.0,96.0,1
-2.6,0.0, 21.0,2017-01-01 06:30:00, 209.0,96.0,1
-2.6,0.0, 19.3,2017-01-01 06:45:00, 212.0,96.0,1
-2.8,0.0, 19.5,2017-01-01 07:00:00, 207.0,96.0,1
-2.9,0.0, 20.0,2017-01-01 07:15:00, 213.0,96.0,1
-3.0,0.0, 23.8,2017-01-01 07:30:00, 214.0,96.0,1
-3.1,0.0, 26.7,2017-01-01 07:45:00, 202.0,96.0,1
-3.1,0.0, 26.8,2017-01-01 08:00:00, 196.0,96.0,1
-3.2,0.0, 27.4,2017-01-01 08:15:00, 195.0,95.0,1
-3.2,0.0, 25.1,2017-01-01 08:30:00, 200.0,95.0,1
-3.1,0.0, 25.6,2017-01-01 08:45:00, 192.0,95.0,1
-3.0,0.0, 26.9,2017-01-01 09:00:00, 191.0,95.0,1
-3.0,0.0, 26.3,2017-01-01 09:15:00, 194.0,95.0,1
-3.0,0.0, 23.8,2017-01-01 09:30:00, 196.0,94.0,1
-2.8,0.0, 26.3,2017-01-01 09:45:00, 191.0,94.0,1
-2.6,0.0, 24.4,2017-01-01 10:00:00, 186.0,93.0,1
-2.5,0.0, 22.4,2017-01-01 10:15:00, 193.0,92.0,1
-2.5,0.0, 24.4,2017-01-01 10:30:00, 195.0,91.0,1
-2.3,0.0, 24.1,2017-01-01 10:45:00, 208.0,89.0,1
-2.2,0.0, 27.2,2017-01-01 11:00:00, 215.0,84.0,1
-2.0,0.0, 22.1,2017-01-01 11:15:00, 229.0,83.0,1
-1.5,0.0, 27.0,2017-01-01 11:30:00, 214.0,79.0,1
-1.5,0.0, 27.6,2017-01-01 11:45:00, 219.0,78.0,1
-2.5,0.0, 30.3,2017-01-01 12:00:00, 209.0,78.0,1
-2.5,0.0, 30.9,2017-01-01 12:15:00, 206.0,72.0,1
-2.7,0.0, 29.0,2017-01-01 12:30:00, 211.0,74.0,1
-2.6,0.0, 33.4,2017-01-01 12:45:00, 206.0,67.0,1
-2.1,0.0, 35.0,2017-01-01 13:00:00, 206.0,64.0,1
-1.5,0.0, 36.5,2017-01-01 13:15:00, 206.0,57.0,1
-2.4,0.0, 38.1,2017-01-01 13:30:00, 198.0,60.0,1
-2.9,0.0, 33.2,2017-01-01 13:45:00, 203.0,60.0,1
-3.0,0.0, 35.4,2017-01-01 14:00:00, 205.0,63.0,1
-3.1,0.0, 36.5,2017-01-01 14:15:00, 203.0,58.0,1
-3.1,0.0, 34.8,2017-01-01 14:30:00, 202.0,59.0,1
