RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,week_of_year
88.4, None, None, None, 6.22, 290.7, None, None, None, None, None, None, None, None, None, 153.2, None, None,-12.64, None, None, None, None, 25.47, None, None, None, None,2019-01-01 00:00:00,1
88.4, None, None, None, 3.382, 290.1, None, None, None, None, None, None, None, None, None, 152.8, None, None,-12.56, None, None, None, None, 19.84, None, None, None, None,2019-01-01 01:00:00,1
88.9, None, None, None, 2.372, 280.9, None, None, None, None, None, None, None, None, None, 151.9, None, None,-12.41, None, None, None, None, 23.44, None, None, None, None,2019-01-01 02:00:00,1
89.2, None, None, None, 3.244, 267.8, None, None, None, None, None, None, None, None, None, 151.6, None, None,-12.09, None, None, None, None, 25.71, None, None, None, None,2019-01-01 03:00:00,1
89.7, None, None, None, 3.631, 276.1, None, None, None, None, None, None, None, None, None, 153.3, None, None,-11.25, None, None, None, None, 28.3, None, None, None, None,2019-01-01 04:00:00,1
89.3, None, None, None, 5.903, 288.0, None, None, None, None, None, None, None, None, None, 152.8, None, None,-11.32, None, None, None, None, 29.47, None, None, None, None,2019-01-01 05:00:00,1
89.4, None, None, None, 5.737, 289.8, None, None, None, None, None, None, None, None, None, 153.1, None, None,-11.44, None, None, None, None, 33.24, None, None, None, None,2019-01-01 06:00:00,1
89.6, None, None, None, 6.702, 294.2, None, None, None, None, None, None, None, None, None, 152.7, None, None,-11.18, None, None, None, None, 28.87, None, None, None, None,2019-01-01 07:00:00,1
90.2, None, None, None, 6.384, 292.7, None, None, None, None, None, None, None, None, None, 152.8, None, None,-10.3, None, None, None, None, 30.75, None, None, None, None,2019-01-01 08:00:00,1
89.4, None, None, None, 4.623, 288.0, None, None, None, None, None, None, None, None, None, 152.4, None, None,-10.21, None, None, None, None, 33.75, None, None, None, None,2019-01-01 09:00:00,1
91.0, None, None, None, 5.209, 294.3, None, None, None, None, None, None, None, None, None, 152.6, None, None,-9.57, None, None, None, None, 28.02, None, None, None, None,2019-01-01 10:00:00,1
90.6, None, None, None, 3.717, 294.3, None, None, None, None, None, None, None, None, None, 152.6, None, None,-9.05, None, None, None, None, 24.18, None, None, None, None,2019-01-01 11:00:00,1
90.6, None, None, None, 1.861, 286.3, None, None, None, None, None, None, None, None, None, 152.4, None, None,-8.62, None, None, None, None, 24.72, None, None, None, None,2019-01-01 12:00:00,1
90.8, None, None, None, 4.844, 290.6, None, None, None, None, None, None, None, None, None, 152.3, None, None,-8.51, None, None, None, None, 24.69, None, None, None, None,2019-01-01 13:00:00,1
91.7, None, None, None, 2.773, 277.9, None, None, None, None, None, None, None, None, None, 152.3, None, None,-8.31, None, None, None, None, 25.74, None, None, None, None,2019-01-01 14:00:00,1
91.6, None, None, None, 2.679, 283.0, None, None, None, None, None, None, None, None, None, 152.4, None, None,-7.826, None, None, None, None, 26.84, None, None, None, None,2019-01-01 15:00:00,1
91.7, None, None, None, 3.554, 230.9, None, None, None, None, None, None, None, None, None, 152.4, None, None,-8.35, None, None, None, None, 36.3, None, None, None, None,2019-01-01 16:00:00,1
91.2, None, None, None, 4.504, 235.8, None, None, None, None, None, None, None, None, None, 152.4, None, None,-8.76, None, None, None, None, 23.95, None, None, None, None,2019-01-01 17:00:00,1
92.0, None, None, None, 4.49, 240.6, None, None, None, None, None, None, None, None, None, 152.7, None, None,-8.24, None, None, None, None, 17.31, None, None, None, None,2019-01-01 18:00:00,1
90.3, None, None, None, 4.136, 215.9, None, None, None, None, None, None, None, None, None, 152.2, None, None,-9.54, None, None, None, None, 22.69, None, None, None, None,2019-01-01 19:00:00,1
92.4, None, None, None, 3.853, 265.7, None, None, None, None, None, None, None, None, None, 153.3, None, None,-10.16, None, None, None, None, 26.53, None, None, None, None,2019-01-01 20:00:00,1
90.6, None, None, None, 1.702, 315.7, None, None, None, None, None, None, None, None, None, 152.1, None, None,-9.15, None, None, None, None, 56.84, None, None, None, None,2019-01-01 21:00:00,1
91.1, None, None, None, 4.745, 252.0, None, None, None, None, None, None, None, None, None, 152.1, None, None,-10.39, None, None, None, None, 22.28, None, None, None, None,2019-01-01 22:00:00,1
92.1, None, None, None, 3.153, 256.4, None, None, None, None, None, None, None, None, None, 151.7, None, None,-8.81, None, None, None, None, 42.74, None, None, None, None,2019-01-01 23:00:00,1
93.0, None, None, None, 0.0, 256.8, None, None, None, None, None, None, None, None, None, 152.1, None, None,-7.504, None, None, None, None, 26.76, None, None, None, None,2019-01-02 00:00:00,1
93.2, None, None, None, 0.0, 212.9, None, None, None, None, None, None, None, None, None, 152.1, None, None,-6.329, None, None, None, None, 49.77, None, None, None, None,2019-01-02 01:00:00,1
93.7, None, None, None, 0.0, 84.7, None, None, None, None, None, None, None, None, None, 152.1, None, None,-5.506, None, None, None, None, 33.37, None, None, None, None,2019-01-02 02:00:00,1
93.0, None, None, None, 0.0, 73.88, None, None, None, None, None, None, None, None, None, 151.5, None, None,-6.235, None, None, None, None, 57.31, None, None, None, None,2019-01-02 03:00:00,1
92.8, None, None, None, 1.091, 60.79, None, None, None, None, None, None, None, None, None, 152.1, None, None,-5.985, None, None, None, None, 36.19, None, None, None, None,2019-01-02 04:00:00,1
91.4, None, None, None, 0.107, 283.5, None, None, None, None, None, None, None, None, None, 152.3, None, None,-8.78, None, None, None, None, 39.99, None, None, None, None,2019-01-02 05:00:00,1
90.9, None, None, None, 0.0, 256.5, None, None, None, None, None, None, None, None, None, 152.1, None, None,-9.45, None, None, None, None, 33.71, None, None, None, None,2019-01-02 06:00:00,1
90.4, None, None, None, 0.0, 227.6, None, None, None, None, None, None, None, None, None, 151.7, None, None,-10.33, None, None, None, None, 23.76, None, None, None, None,2019-01-02 07:00:00,1
90.0, None, None, None, 0.0, 247.8, None, None, None, None, None, None, None, None, None, None, None, None,-10.6, None, None, None, None, 16.59, None, None, None, None,2019-01-02 08:00:00,1
89.7, None, None, None, 0.0, 259.3, None, None, None, None, None, None, None, None, None, 151.0, None, None,-9.99, None, None, None, None, 31.23, None, None, None, None,2019-01-02 09:00:00,1
89.5, None, None, None, 0.0, 268.1, None, None, None, None, None, None, None, None, None, 151.6, None, None,-10.55, None, None, None, None, 20.64, None, None, None, None,2019-01-02 10:00:00,1
89.2, None, None, None, 0.0, 276.4, None, None, None, None, None, None, None, None, None, 152.1, None, None,-9.53, None, None, None, None, 24.22, None, None, None, None,2019-01-02 11:00:00,1
90.8, None, None, None, 0.0, 270.1, None, None, None, None, None, None, None, None, None, 151.2, None, None,-9.04, None, None, None, None, 23.7, None, None, None, None,2019-01-02 12:00:00,1
88.9, None, None, None, 0.0, 301.7, None, None, None, None, None, None, None, None, None, 152.0, None, None,-9.54, None, None, None, None, 29.76, None, None, None, None,2019-01-02 13:00:00,1
90.0, None, None, None, 0.0, 280.7, None, None, None, None, None, None, None, None, None, 152.5, None, None,-9.71, None, None, None, None, 25.71, None, None, None, None,2019-01-02 14:00:00,1
90.2, None, None, None, 0.0, 276.6, None, None, None, None, None, None, None, None, None, 153.1, None, None,-10.19, None, None, None, None, 24.48, None, None, None, None,2019-01-02 15:00:00,1
90.0, None, None, None, 0.0, 295.6, None, None, None, None, None, None, None, None, None, 155.0, None, None,-10.32, None, None, None, None, 18.44, None, None, None, None,2019-01-02 16:00:00,1
89.9, None, None, None, 0.0, 284.0, None, None, None, None, None, None, None, None, None, 154.9, None, None,-10.34, None, None, None, None, 24.64, None, None, None, None,2019-01-02 17:00:00,1
90.1, None, None, None, 0.0, 276.5, None, None, None, None, None, None, None, None, None, 155.1, None, None,-10.31, None, None, None, None, 23.31, None, None, None, None,2019-01-02 18:00:00,1
90.8, None, None, None, 0.0, 262.9, None, None, None, None, None, None, None, None, None, 155.3, None, None,-9.65, None, None, None, None, 25.64, None, None, None, None,2019-01-02 19:00:00,1
92.0, None, None, None, 0.0, 169.4, None, None, None, None, None, None, None, None, None, 155.5, None, None,-7.596, None, None, None, None, 39.24, None, None, None, None,2019-01-02 20:00:00,1
90.7, None, None, None, 0.0, 111.4, None, None, None, None, None, None, None, None, None, 156.2, None, None,-8.56, None, None, None, None, 60.19, None, None, None, None,2019-01-02 21:00:00,1
90.2, None, None, None, 0.0, 155.6, None, None, None, None, None, None, None, None, None, 156.3, None, None,-8.7, None, None, None, None, 45.35, None, None, None, None,2019-01-02 22:00:00,1
90.5, None, None, None, 0.0, 191.4, None, None, None, None, None, None, None, None, None, 156.3, None, None,-9.41, None, None, None, None, 56.65, None, None, None, None,2019-01-02 23:00:00,1
90.9, None, None, None, 0.0, 232.1, None, None, None, None, None, None, None, None, None, 156.8, None, None,-9.17, None, None, None, None, 23.62, None, None, None, None,2019-01-03 00:00:00,1
91.8, None, None, None, 0.0, 129.9, None, None, None, None, None, None, None, None, None, 155.1, None, None,-7.149, None, None, None, None, 41.86, None, None, None, None,2019-01-03 01:00:00,1
91.3, None, None, None, 0.0, 111.4, None, None, None, None, None, None, None, None, None, 156.5, None, None,-7.792, None, None, None, None, 45.65, None, None, None, None,2019-01-03 02:00:00,1
93.0, None, None, None, 0.0, 117.7, None, None, None, None, None, None, None, None, None, 156.9, None, None,-6.892, None, None, None, None, 56.85, None, None, None, None,2019-01-03 03:00:00,1
92.9, None, None, None, 0.0, 134.9, None, None, None, None, None, None, None, None, None, 156.2, None, None,-6.313, None, None, None, None, 25.75, None, None, None, None,2019-01-03 04:00:00,1
