RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
78.2, None, None, None,3.466,280.2, None, None, -19.0, None, None, None, None, None, None, None, None,-16.1, None, None, None, None,30.68, None, None, None, None,2019-01-01 00:00:00, None,1
77.9, None, None, None,4.416,237.3, None, None, -18.0, None, None, None, None, None, None, None, None,-15.09, None, None, None, None,39.35, None, None, None, None,2019-01-01 01:00:00, None,1
78.5, None, None, None,5.789,296.6, None, None, -18.0, None, None, None, None, None, None, None, None,-15.61, None, None, None, None,23.07, None, None, None, None,2019-01-01 02:00:00, None,1
78.7, None, None, None,4.085,295.9, None, None, -17.0, None, None, None, None, None, None, None, None,-14.65, None, None, None, None,39.41, None, None, None, None,2019-01-01 03:00:00, None,1
78.5, None, None, None,6.051,299.3, None, None, -17.0, None, None, None, None, None, None, None, None,-14.03, None, None, None, None,12.05, None, None, None, None,2019-01-01 04:00:00, None,1
78.7, None, None, None,7.07,306.0, None, None, -16.0, None, None, None, None, None, None, None, None,-13.45, None, None, None, None,6.099, None, None, None, None,2019-01-01 05:00:00, None,1
79.0, None, None, None,7.56,302.5, None, None, -16.0, None, None, None, None, None, None, None, None,-13.35, None, None, None, None,9.73, None, None, None, None,2019-01-01 06:00:00, None,1
79.2, None, None, None,9.24,304.4, None, None, -14.0, None, None, None, None, None, None, None, None,-11.48, None, None, None, None,11.85, None, None, None, None,2019-01-01 07:00:00, None,1
78.9, None, None, None,5.157,295.5, None, None, -14.0, None, None, None, None, None, None, None, None,-11.59, None, None, None, None,34.48, None, None, None, None,2019-01-01 08:00:00, None,1
79.4, None, None, None,2.118,292.6, None, None, -12.0, None, None, None, None, None, None, None, None,-8.95, None, None, None, None,53.5, None, None, None, None,2019-01-01 09:00:00, None,1
78.7, None, None, None,2.107,278.0, None, None, -10.0, None, None, None, None, None, None, None, None,-7.62, None, None, None, None,53.99, None, None, None, None,2019-01-01 10:00:00, None,1
79.7, None, None, None,5.696,306.1, None, None, -12.0, None, None, None, None, None, None, None, None,-9.27, None, None, None, None,9.62, None, None, None, None,2019-01-01 11:00:00, None,1
79.1, None, None, None,3.678,303.1, None, None, -12.0, None, None, None, None, None, None, None, None,-9.22, None, None, None, None,32.99, None, None, None, None,2019-01-01 12:00:00, None,1
76.9, None, None, None,2.27,296.2, None, None, -9.0, None, None, None, None, None, None, None, None,-6.345, None, None, None, None,43.6, None, None, None, None,2019-01-01 13:00:00, None,1
77.5, None, None, None,1.379,277.1, None, None, -10.0, None, None, None, None, None, None, None, None,-7.57, None, None, None, None,47.05, None, None, None, None,2019-01-01 14:00:00, None,1
79.0, None, None, None,7.99,307.5, None, None, -12.0, None, None, None, None, None, None, None, None,-9.05, None, None, None, None,5.586, None, None, None, None,2019-01-01 15:00:00, None,1
