pcpn_amt_pst24hrs,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,dwpt_temp,stn_pres,week_of_year
None,19.0,19.0, None, 0.0, 0.0,29.0,58.0,2021-07-30 00:00:00,12.0, 928.0,31
None,17.6,17.7, 1019.6, 0.0, 0.0,29.0,56.0,2021-07-30 01:00:00,9.0, 928.0,31
None,16.5,16.5, 1019.6, 0.0, 0.0,29.0,60.0,2021-07-30 02:00:00,9.0, 928.0,31
None,16.0,15.8, 1019.5, 0.0, 0.0,29.0,61.0,2021-07-30 03:00:00,9.0, 928.0,31
None,15.2,15.1, 1020.6, 0.0, 0.0,29.0,67.0,2021-07-30 04:00:00,9.0, 929.0,31
None,15.0,14.6, 1020.6, 0.0, 0.0,29.0,68.0,2021-07-30 05:00:00,9.0, 929.0,31
None,14.2,14.1, 1021.9, 0.0, 0.0,29.0,72.0,2021-07-30 06:00:00,9.0, 930.0,31
None,14.2,13.8, 1021.9, 0.0, 0.0,14.3,73.0,2021-07-30 07:00:00,10.0, 930.0,31
None,16.3,13.8, 1023.2, 0.0, 0.0,16.2,71.0,2021-07-30 08:00:00,11.0, 931.0,31
None,17.3,13.8, 1023.2, 0.0, 0.0,17.3,68.0,2021-07-30 09:00:00,11.0, 931.0,31
None,19.6,13.8, 1023.2, 0.0, 0.0,19.7,55.0,2021-07-30 10:00:00,11.0, 931.0,31
None,22.5,13.8, 1021.9, 0.0, 0.0,22.4,49.0,2021-07-30 11:00:00,11.0, 930.0,31
0.0,24.0,13.8, 1021.8, 0.0, 0.0,24.1,43.0,2021-07-30 12:00:00,10.0, 930.0,31
0.0,26.3,13.8, 1020.7, 0.0, 0.0,26.3,40.0,2021-07-30 13:00:00,12.0, 929.0,31
0.0,29.2,13.8, 1019.4, 0.0, 0.0,29.2,32.0,2021-07-30 14:00:00,12.0, 928.0,31
0.0,29.5,13.8, 1019.4, 0.0, 0.0,29.9,33.0,2021-07-30 15:00:00,11.0, 928.0,31
0.0,31.1,13.8, 1018.2, 0.0, 0.0,31.4,35.0,2021-07-30 16:00:00,15.0, 927.0,31
0.0,31.7,13.8, 1017.1, 0.0, 0.0,31.9,28.0,2021-07-30 17:00:00,11.0, 926.0,31
0.0,29.9,13.8, 1018.4, 0.0, 0.0,32.0,39.0,2021-07-30 18:00:00,15.0, 927.0,31
0.0,28.2,28.1, 1017.5, 0.0, 0.0,30.4,45.0,2021-07-30 19:00:00,15.0, 926.0,31
0.0,27.4,27.4, 1018.5, 0.0, 0.0,30.4,38.0,2021-07-30 20:00:00,12.0, 927.0,31
0.0,24.7,24.1, 1019.7, 0.0, 0.0,30.4,34.0,2021-07-30 21:00:00,8.0, 928.0,31
0.0,22.0,21.9, 1019.8, 0.0, 0.0,30.4,40.0,2021-07-30 22:00:00,8.0, 928.0,31
0.0,20.5,20.4, 1020.8, 0.0, 0.0,30.4,43.0,2021-07-30 23:00:00,8.0, 929.0,31
0.0,19.1,19.1, 1020.7, 0.0, 0.0,30.4,57.0,2021-07-31 00:00:00,11.0, 929.0,31
0.0,18.6,18.5, 1021.7, 0.0, 0.0,30.4,52.0,2021-07-31 01:00:00,9.0, 930.0,31
0.0,17.5,17.5, 1021.5, 0.0, 0.0,30.4,62.0,2021-07-31 02:00:00,10.0, 930.0,31
