pcpn_amt_pst24hrs,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,dwpt_temp,stn_pres,week_of_year
None,18.3,18.3, None, None, None,26.7,58.0,2021-07-30 00:00:00,10.0,938.0,31
None,17.6,17.7, 1018.6, None, None,26.7,59.0,2021-07-30 01:00:00,9.0,938.0,31
None,17.1,17.0, 1018.5, None, None,26.7,63.0,2021-07-30 02:00:00,10.0,938.0,31
None,16.8,16.7, 1019.6, None, None,26.7,63.0,2021-07-30 03:00:00,10.0,939.0,31
None,16.8,16.7, 1019.5, None, None,26.7,67.0,2021-07-30 04:00:00,11.0,939.0,31
None,15.8,15.9, 1019.6, None, None,26.7,71.0,2021-07-30 05:00:00,11.0,939.0,31
None,15.4,15.3, 1020.7, None, None,26.7,74.0,2021-07-30 06:00:00,11.0,940.0,31
None,16.2,15.1, 1020.8, None, None,16.2,73.0,2021-07-30 07:00:00,11.0,940.0,31
None,17.8,15.1, 1020.9, None, None,18.0,69.0,2021-07-30 08:00:00,12.0,940.0,31
None,18.6,15.1, 1022.0, None, None,18.8,65.0,2021-07-30 09:00:00,12.0,941.0,31
None,20.5,15.1, 1021.9, None, None,20.5,59.0,2021-07-30 10:00:00,12.0,941.0,31
None,21.7,15.1, 1021.9, None, None,21.7,55.0,2021-07-30 11:00:00,12.0,941.0,31
None,23.8,15.1, 1020.7, None, None,23.8,48.0,2021-07-30 12:00:00,12.0,940.0,31
None,25.2,15.1, 1020.7, None, None,25.3,43.0,2021-07-30 13:00:00,12.0,940.0,31
None,27.1,15.1, 1019.5, None, None,27.2,39.0,2021-07-30 14:00:00,12.0,939.0,31
None,28.2,15.1, 1018.3, None, None,28.3,33.0,2021-07-30 15:00:00,11.0,938.0,31
None,29.0,15.1, 1018.3, None, None,29.0,32.0,2021-07-30 16:00:00,11.0,938.0,31
None,29.1,15.1, 1018.3, None, None,29.3,33.0,2021-07-30 17:00:00,11.0,938.0,31
None,29.0,15.1, 1018.4, None, None,29.4,37.0,2021-07-30 18:00:00,13.0,938.0,31
None,25.7,25.8, 1017.5, None, None,29.0,48.0,2021-07-30 19:00:00,14.0,937.0,31
None,24.0,24.1, 1018.6, None, None,29.0,47.0,2021-07-30 20:00:00,12.0,938.0,31
None,22.3,22.2, 1018.6, None, None,29.0,48.0,2021-07-30 21:00:00,11.0,938.0,31
None,20.9,20.8, 1019.7, None, None,29.0,47.0,2021-07-30 22:00:00,9.0,939.0,31
None,20.4,20.2, 1019.6, None, None,29.0,51.0,2021-07-30 23:00:00,10.0,939.0,31
None,19.6,19.5, 1020.6, None, None,29.0,53.0,2021-07-31 00:00:00,10.0,940.0,31
None,19.2,19.1, 1020.6, None, None,29.0,54.0,2021-07-31 01:00:00,10.0,940.0,31
None,18.2,18.2, 1020.5, None, None,29.0,55.0,2021-07-31 02:00:00,9.0,940.0,31
None,17.9,17.9, 1020.4, None, None,29.0,60.0,2021-07-31 03:00:00,10.0,940.0,31
None,17.8,17.3, 1020.4, None, None,29.0,61.0,2021-07-31 04:00:00,10.0,940.0,31
None,17.7,17.3, 1021.5, None, None,29.0,62.0,2021-07-31 05:00:00,10.0,941.0,31
None,17.4,16.6, 1021.5, None, None,29.0,63.0,2021-07-31 06:00:00,10.0,941.0,31
None,18.2,16.9, 1022.8, None, None,18.1,64.0,2021-07-31 07:00:00,11.0,942.0,31
None,19.3,16.9, 1022.8, None, None,19.3,61.0,2021-07-31 08:00:00,12.0,942.0,31
None,20.2,16.9, 1022.9, None, None,20.2,58.0,2021-07-31 09:00:00,12.0,942.0,31
None,22.6,16.9, 1022.8, None, None,22.4,52.0,2021-07-31 10:00:00,12.0,942.0,31
None,24.5,16.9, 1021.6, None, None,24.3,46.0,2021-07-31 11:00:00,12.0,941.0,31
None,26.4,16.9, 1021.5, None, None,26.3,40.0,2021-07-31 12:00:00,11.0,941.0,31
None,28.0,16.9, 1020.3, None, None,28.0,34.0,2021-07-31 13:00:00,11.0,940.0,31
None,29.0,16.9, 1019.2, None, None,29.0,33.0,2021-07-31 14:00:00,11.0,939.0,31
None,29.8,16.9, 1019.2, None, None,30.4,31.0,2021-07-31 15:00:00,11.0,939.0,31
None,30.3,16.9, 1018.1, None, None,30.4,31.0,2021-07-31 16:00:00,11.0,938.0,31
None,28.6,16.9, 1017.1, None, None,30.4,38.0,2021-07-31 17:00:00,13.0,937.0,31
None,27.9,16.9, 1017.2, None, None,30.4,37.0,2021-07-31 18:00:00,12.0,937.0,31
None,25.8,25.8, 1017.3, None, None,28.0,42.0,2021-07-31 19:00:00,12.0,937.0,31
None,24.8,24.9, 1017.3, None, None,28.0,38.0,2021-07-31 20:00:00,9.0,937.0,31
None,23.3,23.5, 1017.4, None, None,28.0,40.0,2021-07-31 21:00:00,9.0,937.0,31
None,22.2,22.2, 1018.3, None, None,28.0,42.0,2021-07-31 22:00:00,9.0,938.0,31
None,21.9,21.6, 1018.2, None, None,28.0,47.0,2021-07-31 23:00:00,10.0,938.0,31
None,20.6,20.6, 1018.2, None, None,28.0,51.0,2021-08-01 00:00:00,10.0,938.0,31
None,20.2,20.0, 1018.1, None, None,28.0,49.0,2021-08-01 01:00:00,9.0,938.0,31
None,20.4,20.0, 1018.0, None, None,28.0,50.0,2021-08-01 02:00:00,10.0,938.0,31
None,20.8,20.0, 1017.9, None, None,28.0,51.0,2021-08-01 03:00:00,10.0,938.0,31
None,20.6,20.0, 1017.9, None, None,28.0,52.0,2021-08-01 04:00:00,10.0,938.0,31
None,19.8,19.7, 1018.1, None, None,28.0,57.0,2021-08-01 05:00:00,11.0,938.0,31
None,19.4,19.0, 1018.2, None, None,28.0,57.0,2021-08-01 06:00:00,11.0,938.0,31
None,20.2,19.2, 1018.3, None, None,20.2,54.0,2021-08-01 07:00:00,10.0,938.0,31
None,21.2,19.2, 1018.3, None, None,21.1,51.0,2021-08-01 08:00:00,10.0,938.0,31
None,21.5,19.2, 1019.4, None, None,21.6,52.0,2021-08-01 09:00:00,11.0,939.0,31
None,21.6,19.2, 1018.4, None, None,21.9,53.0,2021-08-01 10:00:00,12.0,938.0,31
