air_temp,CURRENT_AIR_TEMPERATURE1,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,HEIGHT_OF_SNOW,time,snw_dpth,dwpt_temp,stn_pres,week_of_year
None,-2.625, None, None, None, None, 132.77,2019-01-01 00:00:00, None, None, None,1
None,-2.185, None, None, None, None, 132.74,2019-01-01 01:00:00, None, None, None,1
None,-1.727, None, None, None, None, 132.26,2019-01-01 02:00:00, None, None, None,1
None,-1.085, None, None, None, None, 131.43,2019-01-01 03:00:00, None, None, None,1
None,-0.255, None, None, None, None, 131.71,2019-01-01 04:00:00, None, None, None,1
None,0.111, None, None, None, None, 133.04,2019-01-01 05:00:00, None, None, None,1
None,-0.244, None, None, None, None, 135.74,2019-01-01 06:00:00, None, None, None,1
None,-0.458, None, None, None, None, 136.53,2019-01-01 07:00:00, None, None, None,1
None,0.352, None, None, None, None, 135.99,2019-01-01 08:00:00, None, None, None,1
None,0.363, None, None, None, None, 135.86,2019-01-01 09:00:00, None, None, None,1
None,0.855, None, None, None, None, 136.04,2019-01-01 10:00:00, None, None, None,1
None,0.921, None, None, None, None, 137.71,2019-01-01 11:00:00, None, None, None,1
None,1.331, None, None, None, None, 136.81,2019-01-01 12:00:00, None, None, None,1
None,1.398, None, None, None, None, 136.84,2019-01-01 13:00:00, None, None, None,1
None,1.471, None, None, None, None, 136.72,2019-01-01 14:00:00, None, None, None,1
None,1.472, None, None, None, None, 136.21,2019-01-01 15:00:00, None, None, None,1
None,1.712, None, None, None, None, 135.92,2019-01-01 16:00:00, None, None, None,1
None,1.498, None, None, None, None, 135.47,2019-01-01 17:00:00, None, None, None,1
None,1.685, None, None, None, None, 134.51,2019-01-01 18:00:00, None, None, None,1
None,1.416, None, None, None, None, 133.6,2019-01-01 19:00:00, None, None, None,1
None,1.835, None, None, None, None, 133.59,2019-01-01 20:00:00, None, None, None,1
None,1.957, None, None, None, None, 134.58,2019-01-01 21:00:00, None, None, None,1
None,2.012, None, None, None, None, 133.42,2019-01-01 22:00:00, None, None, None,1
None,1.863, None, None, None, None, 132.84,2019-01-01 23:00:00, None, None, None,1
