pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,snwfl_amt_pst1hr,avg_wnd_spd_10m_pst10mts,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, None,0.554, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-01 00:00:00, None, 22.29, None,1
None, None,1.394, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-01 01:00:00, None, 21.86, None,1
None, None,1.46, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-01 02:00:00, None, 21.5, None,1
None, None,1.612, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-01 03:00:00, None, 21.64, None,1
None, None,1.65, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-01 04:00:00, None, 21.2, None,1
None, None,1.688, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-01 05:00:00, None, 21.48, None,1
None, None,2.179, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-01 06:00:00, None, 21.64, None,1
None, None,2.246, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-01 07:00:00, None, 20.97, None,1
None, None,2.501, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-01 08:00:00, None, 21.12, None,1
None, None,2.615, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-01 09:00:00, None, 21.08, None,1
None, None,2.435, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-01 10:00:00, None, 20.85, None,1
None, None,2.947, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-01 11:00:00, None, 20.52, None,1
None, None,3.004, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-01 12:00:00, None, 20.13, None,1
None, None,3.259, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-01 13:00:00, None, 19.78, None,1
None, None,3.27, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-01 14:00:00, None, 19.14, None,1
None, None,3.44, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-01 15:00:00, None, 19.84, None,1
None, None,3.062, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-01 16:00:00, None, 19.06, None,1
None, None,3.232, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-01 17:00:00, None, 18.64, None,1
None, None,1.992, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-01 18:00:00, None, 19.18, None,1
None, None,2.001, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-01 19:00:00, None, 17.46, None,1
None, None,4.855, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-01 20:00:00, None, 17.33, None,1
None, None,3.906, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-01 21:00:00, None, 16.48, None,1
None, None,3.745, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-01 22:00:00, None, 16.23, None,1
None, None,3.992, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-01 23:00:00, None, 15.79, None,1
None, None,4.143, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-02 00:00:00, None, 14.87, None,1
None, None,3.813, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-02 01:00:00, None, 14.45, None,1
None, None,3.736, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-02 02:00:00, None, 14.32, None,1
None, None,4.23, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-02 03:00:00, None, 13.33, None,1
None, None,4.467, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-02 04:00:00, None, 13.56, None,1
None, None,4.982, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-02 05:00:00, None, 12.56, None,1
None, None,4.478, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-02 06:00:00, None, 13.02, None,1
None, None,3.765, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-02 07:00:00, None, 13.2, None,1
None, None,3.488, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-02 08:00:00, None, 13.24, None,1
None, None,3.206, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-02 09:00:00, None, 13.09, None,1
None, None,3.289, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-02 10:00:00, None, 13.17, None,1
None, None,3.421, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-02 11:00:00, None, 13.19, None,1
None, None,3.272, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-02 12:00:00, None, 13.19, None,1
None, None,4.258, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-02 13:00:00, None, 13.37, None,1
None, None,3.765, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-02 14:00:00, None, 13.45, None,1
None, None,3.215, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-02 15:00:00, None, 11.75, None,1
None, None,2.949, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-02 16:00:00, None, 12.26, None,1
None, None,2.863, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-02 17:00:00, None, 11.92, None,1
None, None,2.181, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-02 18:00:00, None, 11.48, None,1
None, None,2.124, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-02 19:00:00, None, 11.54, None,1
None, None,2.353, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-02 20:00:00, None, 12.46, None,1
None, None,1.793, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-02 21:00:00, None, 12.15, None,1
None, None,1.547, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-02 22:00:00, None, 11.97, None,1
None, None,1.028, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-02 23:00:00, None, 12.21, None,1
None, None,0.545, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-03 00:00:00, None, 12.13, None,1
None, None,0.214, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-03 01:00:00, None, 12.12, None,1
None, None,0.091, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-03 02:00:00, None, 12.14, None,1
None, None,0.403, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-03 03:00:00, None, 12.13, None,1
None, None,0.006, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-03 04:00:00, None, 12.08, None,1
None, None,0.223, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-03 05:00:00, None, 12.11, None,1
None, None,0.488, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-03 06:00:00, None, 12.17, None,1
None, None,0.676, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-03 07:00:00, None, 12.33, None,1
None, None,0.743, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-03 08:00:00, None, 12.33, None,1
None, None,0.95, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-03 09:00:00, None, 12.28, None,1
None, None,1.054, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-03 10:00:00, None, 12.27, None,1
None, None,1.385, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-03 11:00:00, None, 12.21, None,1
None, None,1.565, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-03 12:00:00, None, 12.34, None,1
None, None,1.528, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-03 13:00:00, None, 12.2, None,1
None, None,1.641, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-03 14:00:00, None, 12.24, None,1
None, None,1.462, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-03 15:00:00, None, 12.29, None,1
None, None,1.188, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-03 16:00:00, None, 12.24, None,1
None, None,0.951, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-03 17:00:00, None, 12.31, None,1
None, None,1.016, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-03 18:00:00, None, 12.24, None,1
None, None,1.017, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-03 19:00:00, None, 12.35, None,1
None, None,0.724, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-03 20:00:00, None, 12.29, None,1
None, None,0.611, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-03 21:00:00, None, 12.36, None,1
None, None,0.658, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-03 22:00:00, None, 12.35, None,1
None, None,0.677, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-03 23:00:00, None, 12.42, None,1
None, None,0.8, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-04 00:00:00, None, 12.32, None,1
None, None,0.79, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-04 01:00:00, None, 12.34, None,1
None, None,0.772, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-04 02:00:00, None, 12.37, None,1
None, None,0.651, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-04 03:00:00, None, 12.43, None,1
None, None,0.677, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-04 04:00:00, None, 12.41, None,1
None, None,0.573, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-04 05:00:00, None, 12.47, None,1
None, None,0.206, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-04 06:00:00, None, 12.58, None,1
None, None,-0.314, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-04 07:00:00, None, 12.86, None,1
None, None,-0.306, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-04 08:00:00, None, 12.9, None,1
None, None,-0.306, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-04 09:00:00, None, 12.65, None,1
None, None,-0.211, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-04 10:00:00, None, 12.84, None,1
None, None,-0.211, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-04 11:00:00, None, 13.02, None,1
None, None,0.072, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-04 12:00:00, None, 12.84, None,1
None, None,0.677, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-04 13:00:00, None, 12.66, None,1
None, None,1.086, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-04 14:00:00, None, 12.53, None,1
None, None,0.763, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-04 15:00:00, None, 12.54, None,1
None, None,0.574, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-04 16:00:00, None, 12.51, None,1
None, None,0.395, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-04 17:00:00, None, 12.46, None,1
None, None,0.035, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-04 18:00:00, None, 12.45, None,1
None, None,0.261, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-04 19:00:00, None, 12.49, None,1
None, None,0.318, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-04 20:00:00, None, 12.4, None,1
None, None,0.214, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-04 21:00:00, None, 12.19, None,1
None, None,0.195, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-04 22:00:00, None, 11.81, None,1
None, None,0.034, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-04 23:00:00, None, 11.89, None,1
None, None,0.147, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-05 00:00:00, None, 11.91, None,1
None, None,0.28, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-05 01:00:00, None, 11.8, None,1
None, None,-0.079, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-01-05 02:00:00, None, 11.6, None,1
