pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,avg_wnd_spd_10m_pst10mts,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,time,snw_dpth,stn_pres,week_of_year
None,-6.212, None, None, None, None, None, None, None, None, None, None,2019-01-01 00:00:00, None, None,1
None,-6.105, None, None, None, None, None, None, None, None, None, None,2019-01-01 01:00:00, None, None,1
None,-6.017, None, None, None, None, None, None, None, None, None, None,2019-01-01 02:00:00, None, None,1
None,-6.153, None, None, None, None, None, None, None, None, None, None,2019-01-01 03:00:00, None, None,1
None,-5.901, None, None, None, None, None, None, None, None, None, None,2019-01-01 04:00:00, None, None,1
None,-5.881, None, None, None, None, None, None, None, None, None, None,2019-01-01 05:00:00, None, None,1
None,-5.794, None, None, None, None, None, None, None, None, None, None,2019-01-01 06:00:00, None, None,1
None,-5.833, None, None, None, None, None, None, None, None, None, None,2019-01-01 07:00:00, None, None,1
None,-5.649, None, None, None, None, None, None, None, None, None, None,2019-01-01 08:00:00, None, None,1
None,-5.465, None, None, None, None, None, None, None, None, None, None,2019-01-01 09:00:00, None, None,1
None,-4.838, None, None, None, None, None, None, None, None, None, None,2019-01-01 10:00:00, None, None,1
None,-4.156, None, None, None, None, None, None, None, None, None, None,2019-01-01 11:00:00, None, None,1
None,-3.346, None, None, None, None, None, None, None, None, None, None,2019-01-01 12:00:00, None, None,1
None,-3.157, None, None, None, None, None, None, None, None, None, None,2019-01-01 13:00:00, None, None,1
None,-2.92, None, None, None, None, None, None, None, None, None, None,2019-01-01 14:00:00, None, None,1
None,-3.177, None, None, None, None, None, None, None, None, None, None,2019-01-01 15:00:00, None, None,1
None,-3.51, None, None, None, None, None, None, None, None, None, None,2019-01-01 16:00:00, None, None,1
None,-3.584, None, None, None, None, None, None, None, None, None, None,2019-01-01 17:00:00, None, None,1
None,-3.622, None, None, None, None, None, None, None, None, None, None,2019-01-01 18:00:00, None, None,1
None,-3.641, None, None, None, None, None, None, None, None, None, None,2019-01-01 19:00:00, None, None,1
None,-3.564, None, None, None, None, None, None, None, None, None, None,2019-01-01 20:00:00, None, None,1
None,-3.689, None, None, None, None, None, None, None, None, None, None,2019-01-01 21:00:00, None, None,1
None,-3.727, None, None, None, None, None, None, None, None, None, None,2019-01-01 22:00:00, None, None,1
None,-3.717, None, None, None, None, None, None, None, None, None, None,2019-01-01 23:00:00, None, None,1
None,-3.832, None, None, None, None, None, None, None, None, None, None,2019-01-02 00:00:00, None, None,1
None,-3.841, None, None, None, None, None, None, None, None, None, None,2019-01-02 01:00:00, None, None,1
None,-3.966, None, None, None, None, None, None, None, None, None, None,2019-01-02 02:00:00, None, None,1
None,-3.851, None, None, None, None, None, None, None, None, None, None,2019-01-02 03:00:00, None, None,1
None,-3.755, None, None, None, None, None, None, None, None, None, None,2019-01-02 04:00:00, None, None,1
None,-3.746, None, None, None, None, None, None, None, None, None, None,2019-01-02 05:00:00, None, None,1
None,-3.765, None, None, None, None, None, None, None, None, None, None,2019-01-02 06:00:00, None, None,1
None,-3.775, None, None, None, None, None, None, None, None, None, None,2019-01-02 07:00:00, None, None,1
None,-3.765, None, None, None, None, None, None, None, None, None, None,2019-01-02 08:00:00, None, None,1
None,-3.708, None, None, None, None, None, None, None, None, None, None,2019-01-02 09:00:00, None, None,1
None,-3.507, None, None, None, None, None, None, None, None, None, None,2019-01-02 10:00:00, None, None,1
None,-3.202, None, None, None, None, None, None, None, None, None, None,2019-01-02 11:00:00, None, None,1
None,-2.908, None, None, None, None, None, None, None, None, None, None,2019-01-02 12:00:00, None, None,1
None,-2.785, None, None, None, None, None, None, None, None, None, None,2019-01-02 13:00:00, None, None,1
None,-2.566, None, None, None, None, None, None, None, None, None, None,2019-01-02 14:00:00, None, None,1
None,-2.758, None, None, None, None, None, None, None, None, None, None,2019-01-02 15:00:00, None, None,1
None,-2.87, None, None, None, None, None, None, None, None, None, None,2019-01-02 16:00:00, None, None,1
None,-2.842, None, None, None, None, None, None, None, None, None, None,2019-01-02 17:00:00, None, None,1
None,-2.822, None, None, None, None, None, None, None, None, None, None,2019-01-02 18:00:00, None, None,1
None,-2.802, None, None, None, None, None, None, None, None, None, None,2019-01-02 19:00:00, None, None,1
None,-2.708, None, None, None, None, None, None, None, None, None, None,2019-01-02 20:00:00, None, None,1
None,-2.632, None, None, None, None, None, None, None, None, None, None,2019-01-02 21:00:00, None, None,1
None,-2.631, None, None, None, None, None, None, None, None, None, None,2019-01-02 22:00:00, None, None,1
None,-2.641, None, None, None, None, None, None, None, None, None, None,2019-01-02 23:00:00, None, None,1
None,-2.594, None, None, None, None, None, None, None, None, None, None,2019-01-03 00:00:00, None, None,1
None,-2.575, None, None, None, None, None, None, None, None, None, None,2019-01-03 01:00:00, None, None,1
None,-2.471, None, None, None, None, None, None, None, None, None, None,2019-01-03 02:00:00, None, None,1
None,-2.472, None, None, None, None, None, None, None, None, None, None,2019-01-03 03:00:00, None, None,1
