AirTemperature,Precipitation,Rain,WindSpeed,SnowDepth,time,WindDirection,RelativeHumidity,week_of_year
-7.1, 0.0,0.0,3.3, 0.313,2016-01-01 00:00:00,45.0,86.0,1
-7.1, None,0.0,3.4, None,2016-01-01 00:15:00,78.0,87.0,1
-7.0, None,0.0,3.0, None,2016-01-01 00:30:00,270.0,88.0,1
-6.7, None,0.0,1.5, None,2016-01-01 00:45:00,79.0,87.0,1
-6.7, 0.0,0.0,3.1, 0.311,2016-01-01 01:00:00,83.0,84.0,1
-7.0, None,0.0,1.0, None,2016-01-01 01:15:00,86.0,87.0,1
-7.2, None,0.0,1.9, None,2016-01-01 01:30:00,27.0,88.0,1
-6.9, None,0.0,2.0, None,2016-01-01 01:45:00,67.0,87.0,1
-6.8, 0.0,0.0,2.3, 0.32,2016-01-01 02:00:00,47.0,88.0,1
-7.0, None,0.0,2.5, None,2016-01-01 02:15:00,274.0,86.0,1
-7.0, None,0.0,3.3, None,2016-01-01 02:30:00,77.0,88.0,1
-6.8, None,0.0,2.6, None,2016-01-01 02:45:00,71.0,88.0,1
-6.4, 0.0,0.0,1.1, 0.306,2016-01-01 03:00:00,45.0,88.0,1
-6.6, None,0.0,1.8, None,2016-01-01 03:15:00,290.0,88.0,1
-7.0, None,0.0,1.5, None,2016-01-01 03:30:00,52.0,88.0,1
-7.0, None,0.0,2.2, None,2016-01-01 03:45:00,183.0,88.0,1
-6.8, 0.0,0.0,2.5, 0.314,2016-01-01 04:00:00,305.0,89.0,1
-6.5, None,0.0,3.2, None,2016-01-01 04:15:00,47.0,87.0,1
-6.9, None,0.0,2.0, None,2016-01-01 04:30:00,242.0,87.0,1
-6.7, None,0.0,0.9, None,2016-01-01 04:45:00,69.0,88.0,1
-6.4, 0.0,0.0,1.9, 0.312,2016-01-01 05:00:00,340.0,87.0,1
-6.6, None,0.0,2.0, None,2016-01-01 05:15:00,332.0,88.0,1
-6.6, None,0.0,3.3, None,2016-01-01 05:30:00,44.0,88.0,1
-6.7, None,0.0,2.6, None,2016-01-01 05:45:00,48.0,87.0,1
-6.8, 0.0,0.0,0.9, 0.311,2016-01-01 06:00:00,0.0,86.0,1
-6.9, None,0.0,1.6, None,2016-01-01 06:15:00,186.0,89.0,1
-6.8, None,0.0,1.9, None,2016-01-01 06:30:00,57.0,87.0,1
-6.9, None,0.0,3.6, None,2016-01-01 06:45:00,20.0,88.0,1
-6.8, 0.0,0.0,2.3, 0.296,2016-01-01 07:00:00,41.0,88.0,1
-6.9, None,0.0,1.5, None,2016-01-01 07:15:00,296.0,89.0,1
-6.6, None,0.0,3.0, None,2016-01-01 07:30:00,58.0,89.0,1
-6.9, None,0.0,2.3, None,2016-01-01 07:45:00,259.0,88.0,1
-6.3, 0.0,0.0,3.3, 0.296,2016-01-01 08:00:00,11.0,89.0,1
-6.5, None,0.0,2.1, None,2016-01-01 08:15:00,150.0,88.0,1
-6.5, None,0.0,0.7, None,2016-01-01 08:30:00,74.0,88.0,1
-6.9, None,0.0,3.6, None,2016-01-01 08:45:00,100.0,84.0,1
-5.6, 0.0,0.0,3.3, 0.286,2016-01-01 09:00:00,99.0,84.0,1
-4.0, None,0.0,1.8, None,2016-01-01 09:15:00,307.0,80.0,1
-2.8, None,0.0,2.2, None,2016-01-01 09:30:00,281.0,76.0,1
-2.1, None,0.0,2.3, None,2016-01-01 09:45:00,186.0,74.0,1
-2.1, 0.0,0.0,3.6, 0.294,2016-01-01 10:00:00,224.0,76.0,1
-2.1, None,0.0,5.1, None,2016-01-01 10:15:00,232.0,81.0,1
-1.9, None,0.26,1.6, None,2016-01-01 10:30:00,97.0,81.0,1
-1.0, None,0.0,1.9, None,2016-01-01 10:45:00,159.0,81.0,1
-0.5, -1.0,0.0,4.4, 0.303,2016-01-01 11:00:00,177.0,80.0,1
0.1, None,0.0,3.0, None,2016-01-01 11:15:00,202.0,78.0,1
0.7, None,0.0,5.8, None,2016-01-01 11:30:00,203.0,76.0,1
1.9, None,0.0,3.5, None,2016-01-01 11:45:00,165.0,73.0,1
1.6, 0.0,0.0,5.5, 0.296,2016-01-01 12:00:00,226.0,73.0,1
1.2, None,0.0,7.5, None,2016-01-01 12:15:00,229.0,73.0,1
1.6, None,0.0,6.0, None,2016-01-01 12:30:00,226.0,73.0,1
2.2, None,0.0,5.1, None,2016-01-01 12:45:00,177.0,69.0,1
