station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, MIN_TEMP, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND, MAX_TEMP
0.0, 0.0, 7.0, 0.0, 2020-01-01 00:00:00, 0.0, 10.5
27.6, 27.6, 2.5, 0.0, 2020-01-02 00:00:00, 0.0, 8.5
13.4, 13.4, 2.0, 0.0, 2020-01-03 00:00:00, 0.0, 9.5
10.0, 10.0, 2.5, 0.0, 2020-01-04 00:00:00, 0.0, 5.0
12.6, 12.6, 2.5, 0.0, 2020-01-05 00:00:00, 0.0, 6.5
22.4, 22.4, 2.0, 0.0, 2020-01-06 00:00:00, 0.0, 10.0
11.0, 11.0, 2.5, 0.0, 2020-01-07 00:00:00, 0.0, 11.0
0.0, 0.0, 3.0, 0.0, 2020-01-08 00:00:00, 0.0, 5.0
6.4, 2.4, -1.0, 4.0, 2020-01-09 00:00:00, 0.0, 4.0
20.6, 20.6, -1.0, 0.0, 2020-01-10 00:00:00, 2.0, 5.0
9.2, 9.2, 0.5, 0.0, 2020-01-11 00:00:00, 0.0, 5.5
11.8, 1.8, 1.5, 10.0, 2020-01-12 00:00:00, 0.0, 4.0
1.0, 0.0, -5.0, 1.0, 2020-01-13 00:00:00, 10.0, -4.5
37.0, 0.0, -6.5, 37.0, 2020-01-14 00:00:00, 11.0, -4.5
12.0, 0.0, -6.0, 12.0, 2020-01-15 00:00:00, 47.0, 3.5
1.0, 0.0, -5.0, 1.0, 2020-01-16 00:00:00, 34.0, 4.0
14.6, 9.6, -5.5, 5.0, 2020-01-17 00:00:00, 34.0, 3.0
3.4, 3.4, -4.5, 0.0, 2020-01-18 00:00:00, 28.0, 5.0
6.0, 6.0, 1.0, 0.0, 2020-01-19 00:00:00, 20.0, 5.0
4.4, 4.4, 2.0, 0.0, 2020-01-20 00:00:00, 13.0, 7.5
21.4, 21.4, 2.0, 0.0, 2020-01-21 00:00:00, 9.0, 5.5
43.6, 43.6, 1.5, 0.0, 2020-01-22 00:00:00, 6.0, 5.5
12.4, 12.4, 2.0, 0.0, 2020-01-23 00:00:00, 0.0, 10.0
14.8, 14.8, 4.0, 0.0, 2020-01-24 00:00:00, 0.0, 9.5
6.2, 6.2, 4.0, 0.0, 2020-01-25 00:00:00, 0.0, 8.0
4.4, 4.4, 5.5, 0.0, 2020-01-26 00:00:00, 0.0, 11.5
24.4, 24.4, 3.0, 0.0, 2020-01-27 00:00:00, 0.0, 7.0
12.0, 12.0, 3.0, 0.0, 2020-01-28 00:00:00, 0.0, 7.0
6.6, 6.6, 5.0, 0.0, 2020-01-29 00:00:00, 0.0, 10.0
13.8, 13.8, 0.0, 0.0, 2020-01-30 00:00:00, 0.0, 6.5
81.8, 81.8, 2.0, 0.0, 2020-01-31 00:00:00, 0.0, 13.0
0.0, 0.0, 6.0, 0.0, 2020-02-01 00:00:00, 0.0, 7.5
0.0, 0.0, -1.5, 0.0, 2020-02-02 00:00:00, 0.0, 5.0
1.0, 0.0, -2.5, 1.0, 2020-02-03 00:00:00, 0.0, 4.0
8.6, 0.0, -1.5, 8.6, 2020-02-04 00:00:00, 1.0, 1.0
None, None, 0.0, None, 2020-02-05 00:00:00, 4.0, None
16.4, 16.4, 0.5, 0.0, 2020-02-06 00:00:00, 0.0, 5.0
16.8, 16.8, 3.0, 0.0, 2020-02-07 00:00:00, 0.0, 10.0
0.0, 0.0, 1.5, 0.0, 2020-02-08 00:00:00, 0.0, 9.5
0.0, 0.0, -1.5, 0.0, 2020-02-09 00:00:00, 0.0, 6.0
0.0, 0.0, -1.0, 0.0, 2020-02-10 00:00:00, 0.0, 7.0
0.0, 0.0, 1.0, 0.0, 2020-02-11 00:00:00, 0.0, 11.0
0.4, 0.4, 2.0, 0.0, 2020-02-12 00:00:00, 0.0, 7.5
0.6, 0.6, 3.0, 0.0, 2020-02-13 00:00:00, 0.0, 9.0
None, None, 2.0, None, 2020-02-14 00:00:00, 0.0, None
0.4, 0.4, 2.5, 0.0, 2020-02-15 00:00:00, 0.0, 9.0
0.0, 0.0, 0.5, 0.0, 2020-02-16 00:00:00, 0.0, 9.0
0.0, 0.0, -1.5, 0.0, 2020-02-17 00:00:00, 0.0, 6.0
0.0, 0.0, -1.5, 0.0, 2020-02-18 00:00:00, 0.0, 7.0
0.0, 0.0, -3.0, 0.0, 2020-02-19 00:00:00, 0.0, 8.0
0.0, 0.0, -3.0, 0.0, 2020-02-20 00:00:00, 0.0, 9.0
0.6, 0.6, -2.5, 0.0, 2020-02-21 00:00:00, 0.0, 10.5
9.0, 9.0, -1.0, 0.0, 2020-02-22 00:00:00, 0.0, 9.0
7.8, 7.8, 3.0, 0.0, 2020-02-23 00:00:00, 0.0, 7.5
0.0, 0.0, 1.0, 0.0, 2020-02-24 00:00:00, 0.0, 9.0
0.4, 0.4, 1.0, 0.0, 2020-02-25 00:00:00, 0.0, 6.5
None, None, 2.0, None, 2020-02-26 00:00:00, 0.0, None
None, None, 3.0, None, 2020-02-27 00:00:00, 0.0, None
None, None, 1.5, None, 2020-02-28 00:00:00, 0.0, None
None, None, 0.5, None, 2020-02-29 00:00:00, 0.0, None
None, None, -1.5, None, 2020-03-01 00:00:00, 0.0, None
None, None, 0.0, None, 2020-03-02 00:00:00, 0.0, None
None, None, 2.5, None, 2020-03-03 00:00:00, 0.0, None
None, None, 2.5, None, 2020-03-04 00:00:00, 0.0, None
None, None, 2.0, None, 2020-03-05 00:00:00, 0.0, None
0.0, 0.0, 0.0, 0.0, 2020-03-06 00:00:00, 0.0, 8.5
0.2, 0.2, -1.0, 0.0, 2020-03-07 00:00:00, 0.0, 8.0
0.0, 0.0, -1.5, 0.0, 2020-03-08 00:00:00, 0.0, 7.0
0.0, 0.0, -3.0, 0.0, 2020-03-09 00:00:00, 0.0, 7.5
1.0, 1.0, -2.5, 0.0, 2020-03-10 00:00:00, 0.0, 10.0
0.0, 0.0, 1.0, 0.0, 2020-03-11 00:00:00, 0.0, 10.5
1.4, 1.4, -0.5, 0.0, 2020-03-12 00:00:00, 0.0, 7.0
None, None, 0.5, None, 2020-03-13 00:00:00, 0.0, None
0.0, 0.0, 0.0, 0.0, 2020-03-14 00:00:00, 0.0, 2.5
0.0, 0.0, -2.0, 0.0, 2020-03-15 00:00:00, 0.0, 7.0
0.0, 0.0, -3.5, 0.0, 2020-03-16 00:00:00, 0.0, 14.0
0.0, 0.0, -3.0, 0.0, 2020-03-17 00:00:00, 0.0, 13.5
0.0, 0.0, -1.5, 0.0, 2020-03-18 00:00:00, 0.0, 13.5
0.0, 0.0, -1.0, 0.0, 2020-03-19 00:00:00, 0.0, 13.5
0.0, 0.0, 0.0, 0.0, 2020-03-20 00:00:00, 0.0, 14.0
0.0, 0.0, 0.0, 0.0, 2020-03-21 00:00:00, 0.0, 14.0
1.0, 1.0, 0.5, 0.0, 2020-03-22 00:00:00, 0.0, 11.0
2.0, 2.0, 1.0, 0.0, 2020-03-23 00:00:00, 0.0, 10.5
0.4, 0.4, 1.5, 0.0, 2020-03-24 00:00:00, 0.0, 8.0
None, None, 0.5, None, 2020-03-25 00:00:00, 0.0, None
None, None, 0.5, None, 2020-03-26 00:00:00, 0.0, None
None, None, 3.0, None, 2020-03-27 00:00:00, 0.0, None
None, None, 4.5, None, 2020-03-28 00:00:00, 0.0, None
None, None, 4.0, None, 2020-03-29 00:00:00, 0.0, None
None, None, 2.5, None, 2020-03-30 00:00:00, 0.0, None
0.6, 0.6, 0.5, 0.0, 2020-03-31 00:00:00, 0.0, 10.0
None, None, 1.0, None, 2020-04-01 00:00:00, 0.0, None
1.2, 1.2, 0.5, 0.0, 2020-04-02 00:00:00, 0.0, 7.0
0.2, 0.2, 1.0, 0.0, 2020-04-03 00:00:00, 0.0, 8.5
None, None, 0.5, None, 2020-04-04 00:00:00, 0.0, None
0.0, 0.0, 0.0, 0.0, 2020-04-05 00:00:00, 0.0, 12.5
0.0, 0.0, -1.0, 0.0, 2020-04-06 00:00:00, 0.0, 12.5
0.0, 0.0, 1.0, 0.0, 2020-04-07 00:00:00, 0.0, 12.5
0.0, 0.0, 0.5, 0.0, 2020-04-08 00:00:00, 0.0, 16.5
0.0, 0.0, 1.5, 0.0, 2020-04-09 00:00:00, 0.0, 17.0
0.0, 0.0, 3.5, 0.0, 2020-04-10 00:00:00, 0.0, 16.0
0.0, 0.0, 5.0, 0.0, 2020-04-11 00:00:00, 0.0, 15.5
0.0, 0.0, -1.0, 0.0, 2020-04-12 00:00:00, 0.0, 15.0
0.0, 0.0, -0.5, 0.0, 2020-04-13 00:00:00, 0.0, 16.0
0.0, 0.0, 1.5, 0.0, 2020-04-14 00:00:00, 0.0, 16.0
0.0, 0.0, 4.5, 0.0, 2020-04-15 00:00:00, 0.0, 19.0
0.0, 0.0, 3.0, 0.0, 2020-04-16 00:00:00, 0.0, 20.0
1.2, 1.2, 4.0, 0.0, 2020-04-17 00:00:00, 0.0, 15.0
0.0, 0.0, 6.0, 0.0, 2020-04-18 00:00:00, 0.0, 16.5
0.0, 0.0, 7.0, 0.0, 2020-04-19 00:00:00, 0.0, 16.0
0.0, 0.0, 5.0, 0.0, 2020-04-20 00:00:00, 0.0, 17.0
1.2, 1.2, 7.0, 0.0, 2020-04-21 00:00:00, 0.0, 14.5
14.2, 14.2, 8.5, 0.0, 2020-04-22 00:00:00, 0.0, 11.5
0.0, 0.0, 7.5, 0.0, 2020-04-23 00:00:00, 0.0, 17.0
4.0, 4.0, 4.0, 0.0, 2020-04-24 00:00:00, 0.0, 13.5
1.2, 1.2, 6.5, 0.0, 2020-04-25 00:00:00, 0.0, 15.0
7.6, 7.6, 5.5, 0.0, 2020-04-26 00:00:00, 0.0, 13.5
None, None, 6.5, None, 2020-04-27 00:00:00, 0.0, None
None, None, 4.0, None, 2020-04-28 00:00:00, 0.0, None
1.2, 1.2, 5.5, 0.0, 2020-04-29 00:00:00, 0.0, 15.5
None, None, 6.5, None, 2020-04-30 00:00:00, 0.0, None
0.8, 0.8, 7.0, 0.0, 2020-05-01 00:00:00, 0.0, 15.0
3.2, 3.2, 7.5, 0.0, 2020-05-02 00:00:00, 0.0, 14.0
0.4, 0.4, 4.0, 0.0, 2020-05-03 00:00:00, 0.0, 14.0
None, None, 2.5, None, 2020-05-04 00:00:00, 0.0, None
0.0, 0.0, 4.0, 0.0, 2020-05-05 00:00:00, 0.0, 17.5
0.2, 0.2, 6.5, 0.0, 2020-05-06 00:00:00, 0.0, 16.5
0.0, 0.0, 3.5, 0.0, 2020-05-07 00:00:00, 0.0, 19.0
0.0, 0.0, 5.0, 0.0, 2020-05-08 00:00:00, 0.0, 24.0
