station_observations
pcpn_amt_pst24hrs, SWE, cum_pcpn_amt, ONE_DAY_SNOW, air_temp_1, snw_dpth, MAX_TEMP, ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, MIN_TEMP, time, SNOW_ON_THE_GROUND
None, None, 235.0, None, -4.0, 64.0, None, None, 0.0, 207.0, None, 2021-01-11 11:00:00, None
None, None, 235.0, None, -4.0, 65.0, None, None, 0.0, 207.0, None, 2021-01-11 12:00:00, None
0.0, None, 235.0, None, -3.8, 65.0, None, None, 0.0, 207.0, None, 2021-01-11 13:00:00, None
0.0, None, 235.0, None, -3.6, 65.0, None, None, 0.0, 207.0, None, 2021-01-11 14:00:00, None
0.0, None, 235.0, None, -4.0, 62.0, None, None, 0.0, 208.0, None, 2021-01-11 15:00:00, None
None, None, 235.0, None, -4.3, 62.0, None, None, 0.0, 208.0, None, 2021-01-11 16:00:00, None
0.0, None, 235.0, None, -4.3, 66.0, None, None, 0.0, 209.0, None, 2021-01-11 17:00:00, None
None, None, 235.0, None, -4.4, 64.0, None, None, 0.0, 208.0, None, 2021-01-11 18:00:00, None
None, None, 235.0, None, -4.4, 63.0, None, None, 0.0, 208.0, None, 2021-01-11 19:00:00, None
None, None, 235.0, None, -4.4, 62.0, None, None, 0.0, 208.0, None, 2021-01-11 20:00:00, None
None, None, 235.0, None, -4.5, 62.0, None, None, 0.0, 208.0, None, 2021-01-11 21:00:00, None
None, None, 235.0, None, -4.4, 62.0, None, None, 0.0, 208.0, None, 2021-01-11 22:00:00, None
None, None, 235.0, None, -4.2, 64.0, None, None, 0.0, 209.0, None, 2021-01-11 23:00:00, None
None, None, 235.0, None, -4.0, 65.0, None, None, 0.0, 210.0, None, 2021-01-12 00:00:00, None
None, None, 235.0, None, -3.9, 65.0, None, None, 0.0, 211.0, None, 2021-01-12 01:00:00, None
None, None, 235.0, None, -3.7, 65.0, None, None, 0.0, 211.0, None, 2021-01-12 02:00:00, None
None, None, 234.0, None, -3.5, 65.0, None, None, None, 212.0, None, 2021-01-12 03:00:00, None
None, None, 234.0, None, -3.5, 65.0, None, None, 0.0, 212.0, None, 2021-01-12 04:00:00, None
None, None, 234.0, None, -3.6, 68.0, None, None, 0.0, 212.0, None, 2021-01-12 05:00:00, None
None, None, 235.0, None, -3.6, 69.0, None, None, 1.0, 213.0, None, 2021-01-12 06:00:00, None
None, None, 234.0, None, -3.6, 68.0, None, None, None, 214.0, None, 2021-01-12 07:00:00, None
None, None, 234.0, None, -3.5, 69.0, None, None, 0.0, 215.0, None, 2021-01-12 08:00:00, None
None, None, 234.0, None, -3.2, 69.0, None, None, 0.0, 215.0, None, 2021-01-12 09:00:00, None
None, None, 233.0, None, -2.7, 70.0, None, None, None, 216.0, None, 2021-01-12 10:00:00, None
None, None, 233.0, None, -2.3, 68.0, None, None, 0.0, 216.0, None, 2021-01-12 11:00:00, None
None, None, 233.0, None, -2.1, 70.0, None, None, 0.0, 217.0, None, 2021-01-12 12:00:00, None
None, None, 233.0, None, -2.0, 71.0, None, None, 0.0, 218.0, None, 2021-01-12 13:00:00, None
None, None, 232.0, None, -1.7, 70.0, None, None, None, 219.0, None, 2021-01-12 14:00:00, None
None, None, 233.0, None, -1.7, 70.0, None, None, 1.0, 220.0, None, 2021-01-12 15:00:00, None
None, None, 233.0, None, -2.0, 72.0, None, None, 0.0, 220.0, None, 2021-01-12 16:00:00, None
None, None, 233.0, None, -1.9, 73.0, None, None, 0.0, 220.0, None, 2021-01-12 17:00:00, None
None, None, 233.0, None, -1.5, 69.0, None, None, 0.0, 221.0, None, 2021-01-12 18:00:00, None
None, None, 233.0, None, -1.0, 73.0, None, None, 0.0, 221.0, None, 2021-01-12 19:00:00, None
None, None, 233.0, None, -0.5, 74.0, None, None, 0.0, 222.0, None, 2021-01-12 20:00:00, None
None, None, 233.0, None, -0.3, 73.0, None, None, 0.0, 223.0, None, 2021-01-12 21:00:00, None
None, None, 233.0, None, -0.5, 65.0, None, None, 0.0, 223.0, None, 2021-01-12 22:00:00, None
None, None, 233.0, None, -0.8, 71.0, None, None, 0.0, 226.0, None, 2021-01-12 23:00:00, None
None, None, 233.0, None, -1.1, 71.0, None, None, 0.0, 228.0, None, 2021-01-13 00:00:00, None
None, None, 233.0, None, -1.2, 73.0, None, None, 0.0, 230.0, None, 2021-01-13 01:00:00, None
None, None, 233.0, None, -1.1, 76.0, None, None, 0.0, 232.0, None, 2021-01-13 02:00:00, None
None, None, 233.0, None, -0.9, 75.0, None, None, 0.0, 233.0, None, 2021-01-13 03:00:00, None
None, None, 233.0, None, -0.6, 76.0, None, None, 0.0, 234.0, None, 2021-01-13 04:00:00, None
None, None, 232.0, None, -0.4, 73.0, None, None, None, 236.0, None, 2021-01-13 05:00:00, None
None, None, 234.0, None, -0.1, 76.0, None, None, 2.0, 239.0, None, 2021-01-13 06:00:00, None
0.0, None, 234.0, None, -1.9, 80.0, None, None, 0.0, 240.0, None, 2021-01-13 07:00:00, None
None, None, 233.0, None, -3.7, 80.0, None, None, None, 242.0, None, 2021-01-13 08:00:00, None
None, None, 233.0, None, -4.6, 80.0, None, None, 0.0, 241.0, None, 2021-01-13 09:00:00, None
1.0, None, 234.0, None, -5.3, 80.0, None, None, 1.0, 241.0, None, 2021-01-13 10:00:00, None
1.0, None, 234.0, None, -6.0, 80.0, None, None, 0.0, 241.0, None, 2021-01-13 11:00:00, None
1.0, None, 234.0, None, -5.8, 80.0, None, None, 0.0, 240.0, None, 2021-01-13 12:00:00, None
1.0, None, 234.0, None, -5.6, 79.0, None, None, 0.0, 239.0, None, 2021-01-13 13:00:00, None
2.0, None, 234.0, None, -6.0, 79.0, None, None, 0.0, 239.0, None, 2021-01-13 14:00:00, None
2.0, None, 235.0, None, -5.9, 78.0, None, None, 1.0, 238.0, None, 2021-01-13 15:00:00, None
2.0, None, 235.0, None, -6.5, 79.0, None, None, 0.0, 237.0, None, 2021-01-13 16:00:00, None
2.0, None, 235.0, None, -6.9, 80.0, None, None, 0.0, 237.0, None, 2021-01-13 17:00:00, None
2.0, None, 235.0, None, -7.0, 78.0, None, None, 0.0, 237.0, None, 2021-01-13 18:00:00, None
2.0, None, 235.0, None, -7.0, 79.0, None, None, 0.0, 237.0, None, 2021-01-13 19:00:00, None
2.0, None, 235.0, None, -7.2, 79.0, None, None, 0.0, 237.0, None, 2021-01-13 20:00:00, None
2.0, None, 235.0, None, -7.7, 79.0, None, None, 0.0, 236.0, None, 2021-01-13 21:00:00, None
2.0, None, 235.0, None, -8.0, 79.0, None, None, 0.0, 237.0, None, 2021-01-13 22:00:00, None
3.0, None, 236.0, None, -8.5, 78.0, None, None, 1.0, 236.0, None, 2021-01-13 23:00:00, None
3.0, None, 236.0, None, -8.9, 79.0, None, None, 0.0, 236.0, None, 2021-01-14 00:00:00, None
3.0, None, 236.0, None, -8.8, 79.0, None, None, 0.0, 236.0, None, 2021-01-14 01:00:00, None
3.0, None, 236.0, None, -9.0, 78.0, None, None, 0.0, 235.0, None, 2021-01-14 02:00:00, None
3.0, None, 236.0, None, -9.3, 78.0, None, None, 0.0, 235.0, None, 2021-01-14 03:00:00, None
3.0, None, 236.0, None, -9.7, 78.0, None, None, 0.0, 235.0, None, 2021-01-14 04:00:00, None
4.0, None, 236.0, None, -9.7, 78.0, None, None, 0.0, 235.0, None, 2021-01-14 05:00:00, None
2.0, None, 236.0, None, -9.8, 78.0, None, None, 0.0, 235.0, None, 2021-01-14 06:00:00, None
2.0, None, 236.0, None, -10.2, 78.0, None, None, 0.0, 235.0, None, 2021-01-14 07:00:00, None
4.0, None, 237.0, None, -10.1, 77.0, None, None, 1.0, 235.0, None, 2021-01-14 08:00:00, None
4.0, None, 237.0, None, -9.8, 77.0, None, None, 0.0, 234.0, None, 2021-01-14 09:00:00, None
3.0, None, 237.0, None, -8.9, 78.0, None, None, 0.0, 235.0, None, 2021-01-14 10:00:00, None
3.0, None, 237.0, None, -7.8, 76.0, None, None, 0.0, 235.0, None, 2021-01-14 11:00:00, None
2.0, None, 236.0, None, -7.8, 77.0, None, None, None, 235.0, None, 2021-01-14 12:00:00, None
2.0, None, 236.0, None, -6.9, 77.0, None, None, 0.0, 235.0, None, 2021-01-14 13:00:00, None
2.0, None, 236.0, None, -5.9, 76.0, None, None, 0.0, 236.0, None, 2021-01-14 14:00:00, None
1.0, None, 236.0, None, -5.6, 76.0, None, None, 0.0, 236.0, None, 2021-01-14 15:00:00, None
1.0, None, 236.0, None, -7.1, 77.0, None, None, 0.0, 236.0, None, 2021-01-14 16:00:00, None
2.0, None, 237.0, None, -8.1, 77.0, None, None, 1.0, 236.0, None, 2021-01-14 17:00:00, None
2.0, None, 237.0, None, -8.3, 77.0, None, None, 0.0, 236.0, None, 2021-01-14 18:00:00, None
2.0, None, 237.0, None, -8.0, 77.0, None, None, 0.0, 236.0, None, 2021-01-14 19:00:00, None
2.0, None, 237.0, None, -8.1, 76.0, None, None, 0.0, 236.0, None, 2021-01-14 20:00:00, None
2.0, None, 237.0, None, -7.8, 77.0, None, None, 0.0, 236.0, None, 2021-01-14 21:00:00, None
2.0, None, 237.0, None, -7.9, 77.0, None, None, 0.0, 237.0, None, 2021-01-14 22:00:00, None
1.0, None, 237.0, None, -8.1, 77.0, None, None, 0.0, 237.0, None, 2021-01-14 23:00:00, None
1.0, None, 237.0, None, -7.6, 77.0, None, None, 0.0, 237.0, None, 2021-01-15 00:00:00, None
1.0, None, 237.0, None, -8.0, 76.0, None, None, 0.0, 237.0, None, 2021-01-15 01:00:00, None
1.0, None, 237.0, None, -8.2, 77.0, None, None, 0.0, 238.0, None, 2021-01-15 02:00:00, None
1.0, None, 237.0, None, -8.2, 77.0, None, None, 0.0, 238.0, None, 2021-01-15 03:00:00, None
1.0, None, 237.0, None, -8.0, 77.0, None, None, 0.0, 238.0, None, 2021-01-15 04:00:00, None
1.0, None, 237.0, None, -7.6, 76.0, None, None, 0.0, 238.0, None, 2021-01-15 05:00:00, None
1.0, None, 237.0, None, -7.2, 77.0, None, None, 0.0, 239.0, None, 2021-01-15 06:00:00, None
1.0, None, 237.0, None, -7.1, 76.0, None, None, 0.0, 239.0, None, 2021-01-15 07:00:00, None
0.0, None, 237.0, None, -6.8, 76.0, None, None, 0.0, 238.0, None, 2021-01-15 08:00:00, None
0.0, None, 237.0, None, -6.4, 77.0, None, None, 0.0, 238.0, None, 2021-01-15 09:00:00, None
0.0, None, 237.0, None, -5.7, 76.0, None, None, 0.0, 238.0, None, 2021-01-15 10:00:00, None
0.0, None, 237.0, None, -5.4, 76.0, None, None, 0.0, 239.0, None, 2021-01-15 11:00:00, None
1.0, None, 237.0, None, -5.5, 76.0, None, None, 0.0, 239.0, None, 2021-01-15 12:00:00, None
None, None, 235.0, None, -4.0, 76.0, None, None, None, 240.0, None, 2021-01-15 13:00:00, None
0.0, None, 236.0, None, -4.1, 75.0, None, None, 1.0, 240.0, None, 2021-01-15 14:00:00, None
0.0, None, 236.0, None, -3.2, 75.0, None, None, 0.0, 240.0, None, 2021-01-15 15:00:00, None
0.0, None, 236.0, None, -5.0, 75.0, None, None, 0.0, 240.0, None, 2021-01-15 16:00:00, None
0.0, None, 237.0, None, -6.4, 76.0, None, None, 1.0, 240.0, None, 2021-01-15 17:00:00, None
0.0, None, 237.0, None, -6.5, 76.0, None, None, 0.0, 240.0, None, 2021-01-15 18:00:00, None
0.0, None, 237.0, None, -6.8, 75.0, None, None, 0.0, 239.0, None, 2021-01-15 19:00:00, None
0.0, None, 237.0, None, -6.7, 75.0, None, None, 0.0, 239.0, None, 2021-01-15 20:00:00, None
0.0, None, 237.0, None, -6.9, 75.0, None, None, 0.0, 239.0, None, 2021-01-15 21:00:00, None
0.0, None, 237.0, None, -7.1, 75.0, None, None, 0.0, 239.0, None, 2021-01-15 22:00:00, None
0.0, None, 237.0, None, -7.3, 75.0, None, None, 0.0, 238.0, None, 2021-01-15 23:00:00, None
0.0, None, 237.0, None, -7.6, 75.0, None, None, 0.0, 238.0, None, 2021-01-16 00:00:00, None
0.0, None, 237.0, None, -7.7, 75.0, None, None, 0.0, 238.0, None, 2021-01-16 01:00:00, None
1.0, None, 238.0, None, -7.9, 75.0, None, None, 1.0, 238.0, None, 2021-01-16 02:00:00, None
1.0, None, 238.0, None, -7.9, 75.0, None, None, 0.0, 238.0, None, 2021-01-16 03:00:00, None
1.0, None, 238.0, None, -8.0, 75.0, None, None, 0.0, 238.0, None, 2021-01-16 04:00:00, None
1.0, None, 238.0, None, -8.0, 75.0, None, None, 0.0, 238.0, None, 2021-01-16 05:00:00, None
1.0, None, 238.0, None, -7.9, 75.0, None, None, 0.0, 238.0, None, 2021-01-16 06:00:00, None
1.0, None, 238.0, None, -8.0, 74.0, None, None, 0.0, 237.0, None, 2021-01-16 07:00:00, None
1.0, None, 238.0, None, -7.9, 74.0, None, None, 0.0, 237.0, None, 2021-01-16 08:00:00, None
1.0, None, 238.0, None, -7.8, 74.0, None, None, 0.0, 237.0, None, 2021-01-16 09:00:00, None
1.0, None, 238.0, None, -6.6, 74.0, None, None, 0.0, 238.0, None, 2021-01-16 12:00:00, None
3.0, None, 238.0, None, -6.6, 74.0, None, None, 0.0, 238.0, None, 2021-01-16 13:00:00, None
2.0, None, 238.0, None, -6.8, 74.0, None, None, 0.0, 238.0, None, 2021-01-16 14:00:00, None
2.0, None, 238.0, None, -6.7, 74.0, None, None, 0.0, 238.0, None, 2021-01-16 15:00:00, None
2.0, None, 238.0, None, -6.9, 74.0, None, None, 0.0, 238.0, None, 2021-01-16 16:00:00, None
1.0, None, 238.0, None, -7.1, 74.0, None, None, 0.0, 238.0, None, 2021-01-16 17:00:00, None
1.0, None, 238.0, None, -7.2, 74.0, None, None, 0.0, 238.0, None, 2021-01-16 18:00:00, None
1.0, None, 238.0, None, -7.1, 74.0, None, None, 0.0, 238.0, None, 2021-01-16 19:00:00, None
1.0, None, 238.0, None, -7.3, 74.0, None, None, 0.0, 239.0, None, 2021-01-16 20:00:00, None
1.0, None, 238.0, None, -7.3, 74.0, None, None, 0.0, 238.0, None, 2021-01-16 21:00:00, None
1.0, None, 238.0, None, -6.9, 74.0, None, None, 0.0, 238.0, None, 2021-01-16 22:00:00, None
1.0, None, 238.0, None, -6.7, 74.0, None, None, 0.0, 238.0, None, 2021-01-16 23:00:00, None
1.0, None, 238.0, None, -6.5, 74.0, None, None, 0.0, 239.0, None, 2021-01-17 00:00:00, None
1.0, None, 238.0, None, -6.5, 74.0, None, None, 0.0, 239.0, None, 2021-01-17 01:00:00, None
0.0, None, 238.0, None, -6.5, 73.0, None, None, 0.0, 239.0, None, 2021-01-17 02:00:00, None
0.0, None, 238.0, None, -6.0, 73.0, None, None, 0.0, 239.0, None, 2021-01-17 03:00:00, None
0.0, None, 238.0, None, -5.5, 71.0, None, None, 0.0, 240.0, None, 2021-01-17 04:00:00, None
0.0, None, 238.0, None, -5.3, 74.0, None, None, 0.0, 241.0, None, 2021-01-17 05:00:00, None
0.0, None, 238.0, None, -5.4, 75.0, None, None, 0.0, 242.0, None, 2021-01-17 06:00:00, None
0.0, None, 238.0, None, -5.6, 75.0, None, None, 0.0, 242.0, None, 2021-01-17 07:00:00, None
0.0, None, 238.0, None, -5.4, 73.0, None, None, 0.0, 242.0, None, 2021-01-17 08:00:00, None
0.0, None, 238.0, None, -5.2, 74.0, None, None, 0.0, 242.0, None, 2021-01-17 09:00:00, None
0.0, None, 238.0, None, -4.8, 74.0, None, None, 0.0, 242.0, None, 2021-01-17 10:00:00, None
0.0, None, 238.0, None, -4.6, 74.0, None, None, 0.0, 242.0, None, 2021-01-17 11:00:00, None
0.0, None, 238.0, None, -4.3, 74.0, None, None, 0.0, 242.0, None, 2021-01-17 12:00:00, None
None, None, 237.0, None, -3.9, 74.0, None, None, None, 242.0, None, 2021-01-17 13:00:00, None
None, None, 237.0, None, -3.8, 74.0, None, None, 0.0, 242.0, None, 2021-01-17 14:00:00, None
None, None, 236.0, None, -1.9, 73.0, None, None, None, 242.0, None, 2021-01-17 15:00:00, None
None, None, 236.0, None, -3.4, 73.0, None, None, 0.0, 242.0, None, 2021-01-17 16:00:00, None
None, None, 237.0, None, -5.2, 74.0, None, None, 1.0, 241.0, None, 2021-01-17 17:00:00, None
None, None, 237.0, None, -5.6, 74.0, None, None, 0.0, 241.0, None, 2021-01-17 18:00:00, None
None, None, 237.0, None, -5.9, 74.0, None, None, 0.0, 241.0, None, 2021-01-17 19:00:00, None
None, None, 237.0, None, -6.0, 74.0, None, None, 0.0, 241.0, None, 2021-01-17 20:00:00, None
None, None, 237.0, None, -6.4, 74.0, None, None, 0.0, 241.0, None, 2021-01-17 21:00:00, None
None, None, 237.0, None, -6.5, 74.0, None, None, 0.0, 240.0, None, 2021-01-17 22:00:00, None
0.0, None, 238.0, None, -6.7, 74.0, None, None, 1.0, 240.0, None, 2021-01-17 23:00:00, None
0.0, None, 238.0, None, -6.7, 73.0, None, None, 0.0, 240.0, None, 2021-01-18 00:00:00, None
0.0, None, 238.0, None, -6.7, 73.0, None, None, 0.0, 240.0, None, 2021-01-18 01:00:00, None
0.0, None, 238.0, None, -6.8, 73.0, None, None, 0.0, 240.0, None, 2021-01-18 02:00:00, None
0.0, None, 238.0, None, -6.9, 74.0, None, None, 0.0, 240.0, None, 2021-01-18 03:00:00, None
0.0, None, 238.0, None, -7.1, 73.0, None, None, 0.0, 239.0, None, 2021-01-18 04:00:00, None
0.0, None, 238.0, None, -7.6, 73.0, None, None, 0.0, 239.0, None, 2021-01-18 05:00:00, None
0.0, None, 238.0, None, -7.9, 73.0, None, None, 0.0, 239.0, None, 2021-01-18 06:00:00, None
0.0, None, 238.0, None, -7.8, 73.0, None, None, 0.0, 239.0, None, 2021-01-18 07:00:00, None
0.0, None, 238.0, None, -8.0, 73.0, None, None, 0.0, 239.0, None, 2021-01-18 08:00:00, None
1.0, None, 239.0, None, -7.8, 73.0, None, None, 1.0, 239.0, None, 2021-01-18 09:00:00, None
1.0, None, 239.0, None, -6.9, 73.0, None, None, 0.0, 238.0, None, 2021-01-18 10:00:00, None
0.0, None, 238.0, None, -4.8, 72.0, None, None, None, 238.0, None, 2021-01-18 11:00:00, None
0.0, None, 238.0, None, -3.2, 71.0, None, None, 0.0, 239.0, None, 2021-01-18 12:00:00, None
None, None, 236.0, None, -4.1, 73.0, None, None, None, 239.0, None, 2021-01-18 13:00:00, None
None, None, 236.0, None, -4.8, 73.0, None, None, 0.0, 239.0, None, 2021-01-18 14:00:00, None
1.0, None, 237.0, None, -5.3, 73.0, None, None, 1.0, 239.0, None, 2021-01-18 15:00:00, None
1.0, None, 237.0, None, -6.2, 73.0, None, None, 0.0, 239.0, None, 2021-01-18 16:00:00, None
0.0, None, 237.0, None, -7.0, 73.0, None, None, 0.0, 238.0, None, 2021-01-18 17:00:00, None
1.0, None, 238.0, None, -7.2, 73.0, None, None, 1.0, 238.0, None, 2021-01-18 18:00:00, None
1.0, None, 238.0, None, -7.6, 73.0, None, None, 0.0, 238.0, None, 2021-01-18 19:00:00, None
1.0, None, 238.0, None, -7.4, 73.0, None, None, 0.0, 238.0, None, 2021-01-18 20:00:00, None
1.0, None, 238.0, None, -7.2, 72.0, None, None, 0.0, 238.0, None, 2021-01-18 21:00:00, None
1.0, None, 238.0, None, -7.3, 73.0, None, None, 0.0, 238.0, None, 2021-01-18 22:00:00, None
0.0, None, 238.0, None, -7.8, 72.0, None, None, 0.0, 238.0, None, 2021-01-18 23:00:00, None
0.0, None, 238.0, None, -8.4, 72.0, None, None, 0.0, 238.0, None, 2021-01-19 00:00:00, None
1.0, None, 239.0, None, -8.7, 72.0, None, None, 1.0, 238.0, None, 2021-01-19 01:00:00, None
1.0, None, 239.0, None, -8.4, 73.0, None, None, 0.0, 238.0, None, 2021-01-19 02:00:00, None
1.0, None, 239.0, None, -8.7, 72.0, None, None, 0.0, 238.0, None, 2021-01-19 03:00:00, None
1.0, None, 239.0, None, -9.2, 72.0, None, None, 0.0, 238.0, None, 2021-01-19 04:00:00, None
1.0, None, 239.0, None, -9.4, 72.0, None, None, 0.0, 238.0, None, 2021-01-19 05:00:00, None
1.0, None, 239.0, None, -9.6, 72.0, None, None, 0.0, 238.0, None, 2021-01-19 06:00:00, None
1.0, None, 239.0, None, -10.0, 72.0, None, None, 0.0, 239.0, None, 2021-01-19 07:00:00, None
1.0, None, 239.0, None, -9.5, 72.0, None, None, 0.0, 239.0, None, 2021-01-19 08:00:00, None
0.0, None, 239.0, None, -9.1, 72.0, None, None, 0.0, 239.0, None, 2021-01-19 09:00:00, None
0.0, None, 239.0, None, -8.4, 71.0, None, None, 0.0, 239.0, None, 2021-01-19 10:00:00, None
1.0, None, 239.0, None, -7.6, 71.0, None, None, 0.0, 240.0, None, 2021-01-19 11:00:00, None
1.0, None, 239.0, None, -7.6, 71.0, None, None, 0.0, 240.0, None, 2021-01-19 12:00:00, None
3.0, None, 239.0, None, -8.0, 71.0, None, None, 0.0, 240.0, None, 2021-01-19 13:00:00, None
3.0, None, 239.0, None, -7.5, 71.0, None, None, 0.0, 241.0, None, 2021-01-19 14:00:00, None
2.0, None, 239.0, None, -7.7, 72.0, None, None, 0.0, 241.0, None, 2021-01-19 15:00:00, None
2.0, None, 239.0, None, -8.0, 72.0, None, None, 0.0, 241.0, None, 2021-01-19 16:00:00, None
2.0, None, 239.0, None, -8.2, 71.0, None, None, 0.0, 242.0, None, 2021-01-19 17:00:00, None
1.0, None, 239.0, None, -8.2, 72.0, None, None, 0.0, 243.0, None, 2021-01-19 18:00:00, None
1.0, None, 239.0, None, -8.2, 72.0, None, None, 0.0, 242.0, None, 2021-01-19 19:00:00, None
1.0, None, 239.0, None, -8.2, 72.0, None, None, 0.0, 243.0, None, 2021-01-19 20:00:00, None
1.0, None, 239.0, None, -8.1, 72.0, None, None, 0.0, 243.0, None, 2021-01-19 21:00:00, None
1.0, None, 239.0, None, -8.0, 70.0, None, None, 0.0, 243.0, None, 2021-01-19 22:00:00, None
1.0, None, 239.0, None, -7.8, 69.0, None, None, 0.0, 242.0, None, 2021-01-19 23:00:00, None
1.0, None, 239.0, None, -7.6, 71.0, None, None, 0.0, 242.0, None, 2021-01-20 00:00:00, None
0.0, None, 239.0, None, -7.5, 72.0, None, None, 0.0, 242.0, None, 2021-01-20 01:00:00, None
0.0, None, 239.0, None, -7.5, 71.0, None, None, 0.0, 242.0, None, 2021-01-20 02:00:00, None
0.0, None, 239.0, None, -7.5, 71.0, None, None, 0.0, 242.0, None, 2021-01-20 03:00:00, None
0.0, None, 239.0, None, -7.9, 71.0, None, None, 0.0, 242.0, None, 2021-01-20 04:00:00, None
1.0, None, 240.0, None, -8.2, 71.0, None, None, 1.0, 242.0, None, 2021-01-20 05:00:00, None
1.0, None, 240.0, None, -8.7, 72.0, None, None, 0.0, 242.0, None, 2021-01-20 06:00:00, None
1.0, None, 240.0, None, -8.5, 71.0, None, None, 0.0, 242.0, None, 2021-01-20 07:00:00, None
1.0, None, 240.0, None, -8.7, 71.0, None, None, 0.0, 242.0, None, 2021-01-20 08:00:00, None
1.0, None, 240.0, None, -8.4, 71.0, None, None, 0.0, 242.0, None, 2021-01-20 09:00:00, None
1.0, None, 240.0, None, -8.0, 71.0, None, None, 0.0, 241.0, None, 2021-01-20 10:00:00, None
1.0, None, 240.0, None, -7.7, 71.0, None, None, 0.0, 242.0, None, 2021-01-20 11:00:00, None
0.0, None, 239.0, None, -6.7, 71.0, None, None, None, 242.0, None, 2021-01-20 12:00:00, None
0.0, None, 239.0, None, -7.1, 71.0, None, None, 0.0, 242.0, None, 2021-01-20 13:00:00, None
None, None, 238.0, None, -7.4, 71.0, None, None, None, 243.0, None, 2021-01-20 14:00:00, None
0.0, None, 239.0, None, -7.4, 71.0, None, None, 1.0, 242.0, None, 2021-01-20 15:00:00, None
0.0, None, 239.0, None, -7.7, 71.0, None, None, 0.0, 242.0, None, 2021-01-20 16:00:00, None
0.0, None, 239.0, None, -8.1, 71.0, None, None, 0.0, 242.0, None, 2021-01-20 17:00:00, None
0.0, None, 239.0, None, -8.2, 71.0, None, None, 0.0, 242.0, None, 2021-01-20 18:00:00, None
0.0, None, 239.0, None, -8.6, 71.0, None, None, 0.0, 242.0, None, 2021-01-20 19:00:00, None
1.0, None, 240.0, None, -9.1, 71.0, None, None, 1.0, 241.0, None, 2021-01-20 20:00:00, None
1.0, None, 240.0, None, -9.5, 71.0, None, None, 0.0, 241.0, None, 2021-01-20 21:00:00, None
1.0, None, 240.0, None, -9.3, 71.0, None, None, 0.0, 241.0, None, 2021-01-20 22:00:00, None
1.0, None, 240.0, None, -10.3, 71.0, None, None, 0.0, 241.0, None, 2021-01-20 23:00:00, None
1.0, None, 240.0, None, -10.5, 71.0, None, None, 0.0, 241.0, None, 2021-01-21 00:00:00, None
1.0, None, 240.0, None, -10.8, 71.0, None, None, 0.0, 240.0, None, 2021-01-21 01:00:00, None
1.0, None, 240.0, None, -11.1, 72.0, None, None, 0.0, 240.0, None, 2021-01-21 02:00:00, None
1.0, None, 240.0, None, -10.9, 71.0, None, None, 0.0, 240.0, None, 2021-01-21 03:00:00, None
1.0, None, 240.0, None, -10.6, 71.0, None, None, 0.0, 240.0, None, 2021-01-21 04:00:00, None
0.0, None, 240.0, None, -11.4, 71.0, None, None, 0.0, 240.0, None, 2021-01-21 05:00:00, None
0.0, None, 240.0, None, -11.6, 71.0, None, None, 0.0, 239.0, None, 2021-01-21 06:00:00, None
0.0, None, 240.0, None, -11.5, 71.0, None, None, 0.0, 239.0, None, 2021-01-21 07:00:00, None
