station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, MIN_TEMP, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND, MAX_TEMP
0.0, 0.0, -11.0, 0.0, 2016-01-31 00:00:00, 160.0, -5.5
None, None, -12.5, None, 2016-02-01 00:00:00, 159.0, None
0.0, 0.0, -12.0, 0.0, 2016-02-02 00:00:00, 159.0, -8.0
16.0, 0.0, -14.5, 16.0, 2016-02-03 00:00:00, 158.0, -6.0
0.0, 0.0, -12.0, 0.0, 2016-02-04 00:00:00, 171.0, -2.5
0.0, 0.0, -8.0, 0.0, 2016-02-05 00:00:00, 177.0, -3.0
0.0, 0.0, -9.5, 0.0, 2016-02-06 00:00:00, 166.0, -4.5
0.0, 0.0, -12.0, 0.0, 2016-02-07 00:00:00, 164.0, 1.5
0.0, 0.0, -10.0, 0.0, 2016-02-08 00:00:00, 164.0, 4.0
0.0, 0.0, -2.5, 0.0, 2016-02-09 00:00:00, 160.0, 5.5
1.0, 0.0, -2.0, 1.0, 2016-02-10 00:00:00, 158.0, 3.0
11.0, 0.0, -5.0, 11.0, 2016-02-11 00:00:00, 157.0, 0.5
0.0, 0.0, -4.5, 0.0, 2016-02-12 00:00:00, 165.0, 0.0
0.0, 0.0, -6.0, 0.0, 2016-02-13 00:00:00, 166.0, -3.0
None, None, -8.0, None, 2016-02-14 00:00:00, 166.0, None
6.0, 0.0, -6.5, 6.0, 2016-02-15 00:00:00, 166.0, -1.5
1.0, 0.0, -6.0, 1.0, 2016-02-16 00:00:00, 170.0, -3.0
13.0, 0.0, -7.0, 13.0, 2016-02-17 00:00:00, 168.0, -1.0
14.0, 0.0, -5.5, 14.0, 2016-02-18 00:00:00, 178.0, -1.0
0.0, 0.0, -7.0, 0.0, 2016-02-19 00:00:00, 187.0, -3.5
0.0, 0.0, -8.5, 0.0, 2016-02-20 00:00:00, 188.0, -2.5
13.0, 0.0, -11.5, 13.0, 2016-02-21 00:00:00, 185.0, -5.0
0.0, 0.0, -10.0, 0.0, 2016-02-22 00:00:00, 193.0, -4.5
0.0, 0.0, -11.0, 0.0, 2016-02-23 00:00:00, 189.0, -1.5
0.0, 0.0, -11.5, 0.0, 2016-02-24 00:00:00, 187.0, -0.5
0.0, 0.0, -8.5, 0.0, 2016-02-25 00:00:00, 184.0, 1.0
9.0, 0.0, -8.0, 9.0, 2016-02-26 00:00:00, 181.0, 1.5
0.0, 0.0, -5.0, 0.0, 2016-02-27 00:00:00, 197.0, 0.5
None, None, -7.0, None, 2016-02-28 00:00:00, 186.0, None
0.0, 0.0, None, 0.0, 2016-02-29 00:00:00, None, -2.0
None, None, -9.0, None, 2016-03-01 00:00:00, 195.0, None
6.0, 0.0, -8.0, 6.0, 2016-03-02 00:00:00, 204.0, -1.0
0.0, 0.0, -7.0, 0.0, 2016-03-03 00:00:00, 205.0, 0.0
None, None, -6.5, None, 2016-03-04 00:00:00, 201.0, None
1.0, 0.0, None, 1.0, 2016-03-05 00:00:00, None, 2.5
0.0, 0.0, -4.5, 0.0, 2016-03-06 00:00:00, 199.0, 1.0
7.0, 0.0, -9.5, 7.0, 2016-03-07 00:00:00, 200.0, -2.0
0.1, 0.0, -9.0, 0.1, 2016-03-08 00:00:00, 203.0, -1.0
13.0, 0.0, -10.0, 13.0, 2016-03-09 00:00:00, 200.0, -2.0
0.0, 0.0, -9.0, 0.0, 2016-03-10 00:00:00, 210.0, -0.5
0.0, 0.0, -9.0, 0.0, 2016-03-11 00:00:00, 207.0, 0.0
0.0, 0.0, -8.0, 0.0, 2016-03-12 00:00:00, 208.0, -0.5
0.0, 0.0, -9.5, 0.0, 2016-03-13 00:00:00, 210.0, -0.5
None, None, -9.5, None, 2016-03-14 00:00:00, 217.0, None
1.0, 0.0, -11.0, 1.0, 2016-03-15 00:00:00, 220.0, -0.5
1.0, 0.0, -10.0, 1.0, 2016-03-16 00:00:00, 217.0, -4.0
0.0, 0.0, -11.0, 0.0, 2016-03-17 00:00:00, 215.0, -2.5
0.0, 0.0, -12.0, 0.0, 2016-03-18 00:00:00, 213.0, -1.0
0.0, 0.0, -12.0, 0.0, 2016-03-19 00:00:00, 210.0, 2.0
1.0, 0.0, -8.0, 1.0, 2016-03-20 00:00:00, 207.0, 2.5
2.0, None, -3.5, 2.0, 2016-03-21 00:00:00, 206.0, 5.0
5.0, None, -5.5, 5.0, 2016-03-22 00:00:00, 205.0, 2.0
2.0, None, -4.5, 2.0, 2016-03-23 00:00:00, 206.0, -1.0
7.0, 0.0, -6.0, 7.0, 2016-03-24 00:00:00, 207.0, -0.5
0.0, 0.0, -8.0, 0.0, 2016-03-25 00:00:00, 211.0, -1.0
0.0, 0.0, -9.0, 0.0, 2016-03-26 00:00:00, 208.0, 1.5
11.0, 0.0, -9.0, 11.0, 2016-03-27 00:00:00, 205.0, 0.0
0.0, None, -5.5, 0.0, 2016-03-28 00:00:00, 219.0, 0.5
0.0, None, -6.0, 0.0, 2016-03-29 00:00:00, 214.0, 4.0
0.0, 0.0, -5.0, 0.0, 2016-03-30 00:00:00, 210.0, 8.5
0.0, 0.0, 0.0, 0.0, 2016-03-31 00:00:00, 204.0, 10.0
0.0, 0.0, 1.5, 0.0, 2016-04-01 00:00:00, 199.0, 12.5
0.0, 0.0, 0.5, 0.0, 2016-04-02 00:00:00, 193.0, 8.5
None, None, 1.0, None, 2016-04-03 00:00:00, 189.0, None
7.0, None, -0.5, 7.0, 2016-04-04 00:00:00, 188.0, 1.0
4.0, None, -7.0, 4.0, 2016-04-05 00:00:00, 193.0, -1.0
0.0, None, -6.0, 0.0, 2016-04-06 00:00:00, 194.0, 3.5
0.0, 0.0, -3.0, 0.0, 2016-04-07 00:00:00, 190.0, 10.0
0.0, 0.0, -1.5, 0.0, 2016-04-08 00:00:00, 184.0, 11.0
0.0, 0.0, -4.0, 0.0, 2016-04-09 00:00:00, 180.0, 6.5
None, None, -3.0, None, 2016-04-10 00:00:00, 179.0, None
0.0, 0.0, None, 0.0, 2016-11-07 00:00:00, None, 3.0
0.0, 0.0, -1.0, 0.0, 2016-11-08 00:00:00, 40.0, 7.0
0.0, 0.0, 1.0, 0.0, 2016-11-09 00:00:00, 37.0, 6.0
None, None, -0.5, None, 2016-11-10 00:00:00, 35.0, None
2.0, 2.0, None, 0.0, 2016-11-11 00:00:00, None, 5.0
None, None, 0.0, None, 2016-11-12 00:00:00, 30.0, None
0.0, 0.0, None, 0.0, 2016-11-13 00:00:00, None, 3.5
2.0, 0.0, -5.0, 2.0, 2016-11-14 00:00:00, 36.0, -1.0
1.0, 0.0, -7.5, 1.0, 2016-11-15 00:00:00, 41.0, -3.0
None, None, -10.0, None, 2016-11-16 00:00:00, 45.0, None
0.0, 0.0, None, 0.0, 2016-11-17 00:00:00, None, -4.0
1.0, 0.0, -8.5, 1.0, 2016-11-18 00:00:00, 45.0, -5.5
0.0, 0.0, -8.0, 0.0, 2016-11-19 00:00:00, 50.0, -2.0
0.0, 0.0, -7.0, 0.0, 2016-11-20 00:00:00, 55.0, -1.5
0.0, 0.0, -4.0, 0.0, 2016-11-21 00:00:00, 51.0, -2.0
0.0, 0.0, -8.5, 0.0, 2016-11-22 00:00:00, 51.0, -4.0
2.0, 0.0, -6.0, 2.0, 2016-11-23 00:00:00, 59.0, -3.0
17.0, 0.0, -7.0, 17.0, 2016-11-24 00:00:00, 58.0, -3.0
11.0, 0.0, -6.0, 11.0, 2016-11-25 00:00:00, 70.0, -3.0
12.0, 0.0, -7.0, 12.0, 2016-11-26 00:00:00, 76.0, -1.5
0.0, 0.0, -6.0, 0.0, 2016-11-27 00:00:00, 89.0, -2.5
0.0, 0.0, -8.5, 0.0, 2016-11-28 00:00:00, 89.0, -4.5
2.0, 0.0, -11.0, 2.0, 2016-11-29 00:00:00, 94.0, -5.0
6.0, 0.0, -11.0, 6.0, 2016-11-30 00:00:00, 84.0, -4.0
1.0, 0.0, -8.0, 1.0, 2016-12-01 00:00:00, 88.0, -4.5
7.0, 0.0, -11.5, 7.0, 2016-12-02 00:00:00, 87.0, -3.5
6.0, 0.0, -9.0, 6.0, 2016-12-03 00:00:00, 90.0, -4.5
None, None, -10.0, None, 2016-12-04 00:00:00, 92.0, None
None, None, -15.5, None, 2016-12-05 00:00:00, 42.0, None
0.0, 0.0, None, 0.0, 2016-12-06 00:00:00, None, -15.5
0.0, 0.0, -25.5, 0.0, 2016-12-07 00:00:00, 89.0, -17.0
0.0, 0.0, -27.0, 0.0, 2016-12-08 00:00:00, 88.0, -16.5
7.0, 0.0, -24.0, 7.0, 2016-12-09 00:00:00, 87.0, -13.5
4.0, 0.0, -20.0, 4.0, 2016-12-10 00:00:00, 90.0, -10.0
1.0, 0.0, -15.5, 1.0, 2016-12-11 00:00:00, 108.0, -10.5
0.0, 0.0, -24.0, 0.0, 2016-12-12 00:00:00, 93.0, -17.0
0.0, 0.0, -24.5, 0.0, 2016-12-13 00:00:00, 94.0, -13.0
0.0, 0.0, -21.0, 0.0, 2016-12-14 00:00:00, 90.0, -11.5
0.0, 0.0, -18.5, 0.0, 2016-12-15 00:00:00, 88.0, -11.0
0.0, 0.0, -27.0, 0.0, 2016-12-16 00:00:00, 88.0, -16.0
3.0, 0.0, -25.0, 3.0, 2016-12-17 00:00:00, 87.0, -9.0
8.0, 0.0, -17.0, 8.0, 2016-12-18 00:00:00, 90.0, -7.5
8.0, 0.0, -13.5, 8.0, 2016-12-19 00:00:00, 89.0, -5.5
4.0, 0.0, -11.5, 4.0, 2016-12-20 00:00:00, 97.0, -5.5
0.0, 0.0, -10.5, 0.0, 2016-12-21 00:00:00, 100.0, -6.5
0.0, 0.0, -12.0, 0.0, 2016-12-22 00:00:00, 95.0, -7.0
18.0, 0.0, -12.0, 18.0, 2016-12-23 00:00:00, 95.0, -7.0
0.0, 0.0, -13.0, 0.0, 2016-12-24 00:00:00, 113.0, -9.5
None, None, -16.5, None, 2016-12-25 00:00:00, 110.0, None
4.0, 0.0, None, 4.0, 2016-12-26 00:00:00, None, -8.5
0.0, 0.0, -15.0, 0.0, 2016-12-27 00:00:00, 110.0, -7.0
3.0, 0.0, -12.5, 3.0, 2016-12-28 00:00:00, 107.0, -8.0
None, None, -14.0, None, 2016-12-29 00:00:00, 107.0, None
0.0, 0.0, None, 0.0, 2016-12-30 00:00:00, None, -8.5
None, None, -14.0, None, 2016-12-31 00:00:00, 104.0, None
