WDIR_VECT,TEMP_MEAN,WSPD_SCLR,PRECIP_TOTAL,avg_rel_hum_pst1hr,time,HUMIDITY,avg_air_temp_pst1hr,week_of_year
125.6, -3.1, 3.46, None, 94.6,2019-01-01 00:00:00, 94.6, -3.064,1
113.9, -3.4, 3.572, None, 98.3,2019-01-01 01:00:00, 98.3, -3.371,1
114.6, -3.3, 3.809, None, 99.2,2019-01-01 02:00:00, 99.2, -3.295,1
120.7, -3.1, 3.938, None, 99.0,2019-01-01 03:00:00, 99.0, -3.096,1
120.9, -3.0, 3.51, None, 99.3,2019-01-01 04:00:00, 99.3, -3.021,1
115.1, -3.0, 3.87, None, 99.1,2019-01-01 05:00:00, 99.1, -3.038,1
112.3, -3.1, 3.679, None, 99.1,2019-01-01 06:00:00, 99.1, -3.112,1
117.7, -2.8, 3.283, None, 99.7,2019-01-01 07:00:00, 99.7, -2.803,1
116.6, -2.7, 3.387, None, 99.4,2019-01-01 08:00:00, 99.4, -2.741,1
118.1, -2.6, 3.665, None, 99.6,2019-01-01 09:00:00, 99.6, -2.58,1
121.5, -2.2, 4.476, None, 97.8,2019-01-01 10:00:00, 97.8, -2.191,1
134.3, -1.8, 4.468, None, 95.6,2019-01-01 11:00:00, 95.6, -1.796,1
126.0, -1.6, 4.082, None, 93.8,2019-01-01 12:00:00, 93.8, -1.615,1
125.3, -1.3, 3.974, None, 93.3,2019-01-01 13:00:00, 93.3, -1.343,1
119.8, -1.1, 3.764, None, 91.5,2019-01-01 14:00:00, 91.5, -1.055,1
125.8, -0.8, 3.95, None, 91.0,2019-01-01 15:00:00, 91.0, -0.813,1
127.2, -0.5, 4.229, None, 90.3,2019-01-01 16:00:00, 90.3, -0.467,1
136.1, -0.3, 4.542, None, 89.8,2019-01-01 17:00:00, 89.8, -0.273,1
129.4, 0.0, 4.045, None, 89.9,2019-01-01 18:00:00, 89.9, -0.046,1
135.8, 0.2, 4.681, None, 87.4,2019-01-01 19:00:00, 87.4, 0.215,1
127.8, 0.1, 3.859, None, 87.5,2019-01-01 20:00:00, 87.5, 0.128,1
124.4, 0.2, 3.491, None, 86.9,2019-01-01 21:00:00, 86.9, 0.175999,1
136.9, 0.3, 4.442, None, 85.8,2019-01-01 22:00:00, 85.8, 0.347999,1
140.0, 0.3, 4.716, None, 85.8,2019-01-01 23:00:00, 85.8, 0.317999,1
127.3, 0.4, 3.754, None, 85.8,2019-01-02 00:00:00, 85.8, 0.379,1
120.0, 0.3, 4.325, None, 83.7,2019-01-02 01:00:00, 83.7, 0.335999,1
122.6, 0.4, 4.136, None, 82.5,2019-01-02 02:00:00, 82.5, 0.395999,1
127.6, 0.5, 3.59, None, 82.7,2019-01-02 03:00:00, 82.7, 0.523998,1
136.5, 0.8, 4.01, None, 81.7,2019-01-02 04:00:00, 81.7, 0.795,1
139.1, 0.9, 4.198, None, 81.6,2019-01-02 05:00:00, 81.6, 0.912998,1
133.9, 1.0, 3.825, None, 81.4,2019-01-02 06:00:00, 81.4, 0.953998,1
130.1, 1.1, 3.699, None, 82.0,2019-01-02 07:00:00, 82.0, 1.135,1
133.2, 0.8, 4.242, None, 89.5,2019-01-02 08:00:00, 89.5, 0.773998,1
138.7, 0.7, 3.604, None, 95.0,2019-01-02 09:00:00, 95.0, 0.686999,1
127.1, 0.9, 3.585, None, 90.1,2019-01-02 10:00:00, 90.1, 0.893998,1
140.3, 1.5, 3.156, None, 85.0,2019-01-02 11:00:00, 85.0, 1.488,1
138.5, 1.8, 3.331, None, 82.6,2019-01-02 12:00:00, 82.6, 1.765,1
132.7, 1.8, 2.724, None, 84.1,2019-01-02 13:00:00, 84.1, 1.834,1
128.1, 0.7, 2.179, None, 98.0,2019-01-02 14:00:00, 98.0, 0.742999,1
131.6, 0.8, 2.096, None, 99.4,2019-01-02 15:00:00, 99.4, 0.799,1
