TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
4.6, 0.592998, 98.7, 98.7,2018-01-08 00:00:00, 4.622,2
4.6, 0.358999, 98.7, 98.7,2018-01-08 01:00:00, 4.609,2
4.7, 0.263, 98.7, 98.7,2018-01-08 02:00:00, 4.657,2
4.6, 0.331, 98.6, 98.6,2018-01-08 03:00:00, 4.59,2
4.6, 0.17, 98.6, 98.6,2018-01-08 04:00:00, 4.58,2
4.6, 0.195998, 98.6, 98.6,2018-01-08 05:00:00, 4.592,2
4.6, 0.337, 98.6, 98.6,2018-01-08 06:00:00, 4.627,2
4.7, 0.287999, 98.7, 98.7,2018-01-08 07:00:00, 4.652,2
4.6, 0.374, 98.7, 98.7,2018-01-08 08:00:00, 4.628,2
4.7, 0.231998, 98.7, 98.7,2018-01-08 09:00:00, 4.749,2
5.1, 0.175999, 98.6, 98.6,2018-01-08 10:00:00, 5.08,2
5.7, 0.158998, 98.4, 98.4,2018-01-08 11:00:00, 5.679,2
6.0, 0.449, 98.1, 98.1,2018-01-08 12:00:00, 6.016,2
6.7, 0.23, 98.0, 98.0,2018-01-08 13:00:00, 6.694,2
7.4, 0.173998, 97.2, 97.2,2018-01-08 14:00:00, 7.414,2
7.5, 0.229, 97.0, 97.0,2018-01-08 15:00:00, 7.481,2
7.1, 0.15, 97.5, 97.5,2018-01-08 16:00:00, 7.147,2
6.9, 0.416999, 97.8, 97.8,2018-01-08 17:00:00, 6.883,2
6.6, 0.345999, 98.2, 98.2,2018-01-08 18:00:00, 6.619,2
6.5, 0.224, 98.2, 98.2,2018-01-08 19:00:00, 6.521,2
6.4, 0.412, 98.3, 98.3,2018-01-08 20:00:00, 6.395,2
6.3, 0.356999, 98.5, 98.5,2018-01-08 21:00:00, 6.269,2
6.2, 0.075998, 98.5, 98.5,2018-01-08 22:00:00, 6.232,2
6.1, 0.109999, 98.5, 98.5,2018-01-08 23:00:00, 6.124,2
5.9, 0.256, 98.5, 98.5,2018-01-09 00:00:00, 5.882,2
5.8, 0.135, 98.6, 98.6,2018-01-09 01:00:00, 5.801,2
5.6, 0.479999, 98.6, 98.6,2018-01-09 02:00:00, 5.623,2
5.5, 0.275999, 98.6, 98.6,2018-01-09 03:00:00, 5.508,2
5.6, 0.492, 98.6, 98.6,2018-01-09 04:00:00, 5.608,2
5.5, 0.201, 98.6, 98.6,2018-01-09 05:00:00, 5.505,2
5.0, 1.16, 98.6, 98.6,2018-01-09 06:00:00, 4.981,2
4.8, 1.669, 98.2, 98.2,2018-01-09 07:00:00, 4.755,2
4.7, 1.312, 96.3, 96.3,2018-01-09 08:00:00, 4.664,2
5.0, 1.029, 95.3, 95.3,2018-01-09 09:00:00, 4.972,2
7.1, 1.626, 85.9, 85.9,2018-01-09 10:00:00, 7.127,2
8.4, 1.109, 79.3, 79.28,2018-01-09 11:00:00, 8.36,2
8.9, 1.558, 75.6, 75.64,2018-01-09 12:00:00, 8.93,2
9.0, 1.629, 71.0, 70.96,2018-01-09 13:00:00, 9.01,2
8.3, 1.166, 77.4, 77.41,2018-01-09 14:00:00, 8.33,2
7.9, 0.912, 81.4, 81.4,2018-01-09 15:00:00, 7.886,2
7.6, 1.067, 81.8, 81.8,2018-01-09 16:00:00, 7.558,2
6.6, 0.919, 87.2, 87.2,2018-01-09 17:00:00, 6.585,2
5.9, 0.621999, 89.4, 89.4,2018-01-09 18:00:00, 5.877,2
5.1, 0.638, 92.8, 92.8,2018-01-09 19:00:00, 5.063,2
4.4, 0.361, 95.0, 95.0,2018-01-09 20:00:00, 4.366,2
4.9, 1.249, 87.3, 87.3,2018-01-09 21:00:00, 4.908,2
4.8, 1.0, 83.3, 83.3,2018-01-09 22:00:00, 4.807,2
4.3, 1.12, 84.6, 84.6,2018-01-09 23:00:00, 4.345,2
3.2, 0.509998, 89.4, 89.4,2018-01-10 00:00:00, 3.209,2
4.1, 1.539, 86.6, 86.6,2018-01-10 01:00:00, 4.139,2
2.7, 0.527, 91.3, 91.3,2018-01-10 02:00:00, 2.711,2
2.1, 0.509998, 95.5, 95.5,2018-01-10 03:00:00, 2.105,2
2.4, 0.551998, 94.6, 94.6,2018-01-10 04:00:00, 2.36,2
2.9, 1.017, 90.8, 90.8,2018-01-10 05:00:00, 2.941,2
4.6, 1.124, 80.9, 80.9,2018-01-10 06:00:00, 4.616,2
3.9, 0.990998, 84.7, 84.7,2018-01-10 07:00:00, 3.878,2
4.4, 1.337, 83.1, 83.1,2018-01-10 08:00:00, 4.366,2
4.8, 1.21, 81.6, 81.6,2018-01-10 09:00:00, 4.825,2
5.2, 1.383, 81.1, 81.1,2018-01-10 10:00:00, 5.238,2
5.9, 1.086, 79.1, 79.13,2018-01-10 11:00:00, 5.892,2
6.7, 0.578, 76.7, 76.66,2018-01-10 12:00:00, 6.66,2
7.5, 0.931999, 73.8, 73.83,2018-01-10 13:00:00, 7.491,2
7.8, 1.284, 71.8, 71.83,2018-01-10 14:00:00, 7.842,2
7.9, 1.468, 71.3, 71.29,2018-01-10 15:00:00, 7.856,2
7.4, 0.671, 73.4, 73.36,2018-01-10 16:00:00, 7.353,2
6.7, 0.467, 77.4, 77.36,2018-01-10 17:00:00, 6.692,2
6.2, 0.404, 83.9, 83.9,2018-01-10 18:00:00, 6.239,2
6.1, 0.244, 87.1, 87.1,2018-01-10 19:00:00, 6.1,2
5.8, 0.09, 89.7, 89.7,2018-01-10 20:00:00, 5.809,2
5.4, 0.314999, 92.8, 92.8,2018-01-10 21:00:00, 5.365,2
5.2, 0.331, 94.1, 94.1,2018-01-10 22:00:00, 5.21,2
5.1, 0.317999, 95.2, 95.2,2018-01-10 23:00:00, 5.14,2
5.1, 0.25, 96.4, 96.4,2018-01-11 00:00:00, 5.091,2
5.2, 0.533999, 97.2, 97.2,2018-01-11 01:00:00, 5.161,2
5.0, 0.354999, 97.6, 97.6,2018-01-11 02:00:00, 4.993,2
4.8, 0.522, 97.9, 97.9,2018-01-11 03:00:00, 4.799,2
4.3, 0.55, 97.4, 97.4,2018-01-11 04:00:00, 4.324,2
4.0, 0.463999, 97.4, 97.4,2018-01-11 05:00:00, 4.033,2
3.8, 0.463999, 97.7, 97.7,2018-01-11 06:00:00, 3.84,2
3.7, 0.476999, 97.9, 97.9,2018-01-11 07:00:00, 3.736,2
3.7, 0.411, 98.0, 98.0,2018-01-11 08:00:00, 3.695,2
3.6, 0.697, 97.8, 97.8,2018-01-11 09:00:00, 3.578,2
3.7, 0.4, 97.5, 97.5,2018-01-11 10:00:00, 3.686,2
3.7, 0.538999, 97.3, 97.3,2018-01-11 11:00:00, 3.701,2
3.9, 0.442999, 97.2, 97.2,2018-01-11 12:00:00, 3.86,2
3.8, 0.407, 97.1, 97.1,2018-01-11 13:00:00, 3.825,2
3.3, 0.479, 96.4, 96.4,2018-01-11 14:00:00, 3.255,2
1.5, 1.388, 96.4, 96.4,2018-01-11 15:00:00, 1.472,2
1.1, 1.304, 97.3, 97.3,2018-01-11 16:00:00, 1.141,2
1.3, 0.950999, 97.4, 97.4,2018-01-11 17:00:00, 1.274,2
1.4, 0.699, 97.6, 97.6,2018-01-11 18:00:00, 1.445,2
1.7, 0.705999, 97.6, 97.6,2018-01-11 19:00:00, 1.735,2
1.9, 0.451999, 97.7, 97.7,2018-01-11 20:00:00, 1.851,2
1.8, 0.368, 97.8, 97.8,2018-01-11 21:00:00, 1.83,2
1.8, 0.754998, 97.8, 97.8,2018-01-11 22:00:00, 1.759,2
1.8, 0.561999, 97.8, 97.8,2018-01-11 23:00:00, 1.751,2
