pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, None, -0.548,99.7, None, None, None, None, 20.45, None, 25.34, 271.1, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-01 00:00:00, None, None, 102.6,1
None, None, -0.548,99.7, None, None, None, None, 19.23, None, 28.45, 282.7, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-01 01:00:00, None, None, 102.3,1
None, None, -0.659,99.8, None, None, None, None, 20.93, None, 29.24, 287.9, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-01 02:00:00, None, None, 101.8,1
None, None, -0.712,99.7, None, None, None, None, 24.86, None, 24.06, 278.3, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-01 03:00:00, None, None, 101.6,1
None, None, -0.607,99.7, None, None, None, None, 14.35, None, 34.83, 285.5, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-01 04:00:00, None, None, 100.7,1
None, None, -0.869,99.7, None, None, None, None, 16.62, None, 28.03, 286.3, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-01 05:00:00, None, None, 102.1,1
None, None, -1.189,99.6, None, None, None, None, 18.65, None, 30.36, 289.7, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-01 06:00:00, None, None, 103.1,1
None, None, -1.284,99.5, None, None, None, None, 22.95, None, 26.87, 282.4, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-01 07:00:00, None, None, 103.0,1
None, None, -1.302,99.3, None, None, None, None, 22.44, None, 23.06, 290.6, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-01 08:00:00, None, None, 102.9,1
None, None, -1.387,99.2, None, None, None, None, 24.13, None, 22.5, 292.5, None, None, None, None, None, None, None, None, None, None, None, None,2020-01-01 09:00:00, None, None, 103.1,1
