TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, None,60.7, None,2022-09-03 00:00:00, None,36
None, None,66.9, None,2022-09-03 01:00:00, None,36
None, None,65.0, None,2022-09-03 02:00:00, None,36
None, None,68.9, None,2022-09-03 03:00:00, None,36
None, None,76.7, None,2022-09-03 04:00:00, None,36
None, None,82.7, None,2022-09-03 05:00:00, None,36
None, None,86.5, None,2022-09-03 06:00:00, None,36
None, None,78.1, None,2022-09-03 07:00:00, None,36
None, None,67.1, None,2022-09-03 08:00:00, None,36
None, None,58.9, None,2022-09-03 09:00:00, None,36
None, None,54.7, None,2022-09-03 10:00:00, None,36
None, None,45.3, None,2022-09-03 11:00:00, None,36
None, None,37.6, None,2022-09-03 12:00:00, None,36
None, None,24.6, None,2022-09-03 13:00:00, None,36
None, None,22.8, None,2022-09-03 14:00:00, None,36
None, None,20.4, None,2022-09-03 15:00:00, None,36
None, None,19.5, None,2022-09-03 16:00:00, None,36
None, None,20.8, None,2022-09-03 17:00:00, None,36
None, None,22.2, None,2022-09-03 18:00:00, None,36
None, None,27.9, None,2022-09-03 19:00:00, None,36
None, None,31.3, None,2022-09-03 20:00:00, None,36
None, None,32.2, None,2022-09-03 21:00:00, None,36
None, None,37.7, None,2022-09-03 22:00:00, None,36
None, None,45.8, None,2022-09-03 23:00:00, None,36
None, None,50.9, None,2022-09-04 00:00:00, None,36
None, None,55.1, None,2022-09-04 01:00:00, None,36
None, None,57.7, None,2022-09-04 02:00:00, None,36
None, None,62.7, None,2022-09-04 03:00:00, None,36
None, None,71.7, None,2022-09-04 04:00:00, None,36
None, None,69.8, None,2022-09-04 05:00:00, None,36
None, None,68.4, None,2022-09-04 06:00:00, None,36
None, None,61.5, None,2022-09-04 07:00:00, None,36
None, None,56.1, None,2022-09-04 08:00:00, None,36
None, None,50.8, None,2022-09-04 09:00:00, None,36
None, None,42.3, None,2022-09-04 10:00:00, None,36
None, None,36.2, None,2022-09-04 11:00:00, None,36
None, None,40.5, None,2022-09-04 12:00:00, None,36
None, None,37.4, None,2022-09-04 13:00:00, None,36
None, None,31.4, None,2022-09-04 14:00:00, None,36
None, None,31.9, None,2022-09-04 15:00:00, None,36
None, None,33.6, None,2022-09-04 16:00:00, None,36
None, None,29.1, None,2022-09-04 17:00:00, None,36
None, None,35.1, None,2022-09-04 18:00:00, None,36
None, None,40.4, None,2022-09-04 19:00:00, None,36
None, None,43.4, None,2022-09-04 20:00:00, None,36
None, None,46.8, None,2022-09-04 21:00:00, None,36
None, None,49.8, None,2022-09-04 22:00:00, None,36
None, None,53.3, None,2022-09-04 23:00:00, None,36
None, None,55.8, None,2022-09-05 00:00:00, None,36
None, None,56.1, None,2022-09-05 01:00:00, None,36
None, None,55.8, None,2022-09-05 02:00:00, None,36
None, None,57.9, None,2022-09-05 03:00:00, None,36
None, None,57.7, None,2022-09-05 04:00:00, None,36
None, None,59.3, None,2022-09-05 05:00:00, None,36
None, None,58.8, None,2022-09-05 06:00:00, None,36
None, None,53.1, None,2022-09-05 07:00:00, None,36
None, None,49.0, None,2022-09-05 08:00:00, None,36
None, None,43.3, None,2022-09-05 09:00:00, None,36
None, None,40.1, None,2022-09-05 10:00:00, None,36
None, None,36.6, None,2022-09-05 11:00:00, None,36
None, None,35.4, None,2022-09-05 12:00:00, None,36
None, None,36.6, None,2022-09-05 13:00:00, None,36
None, None,32.8, None,2022-09-05 14:00:00, None,36
None, None,31.2, None,2022-09-05 15:00:00, None,36
None, None,32.8, None,2022-09-05 16:00:00, None,36
None, None,34.8, None,2022-09-05 17:00:00, None,36
None, None,36.2, None,2022-09-05 18:00:00, None,36
None, None,42.9, None,2022-09-05 19:00:00, None,36
None, None,48.2, None,2022-09-05 20:00:00, None,36
None, None,50.6, None,2022-09-05 21:00:00, None,36
None, None,51.5, None,2022-09-05 22:00:00, None,36
None, None,53.2, None,2022-09-05 23:00:00, None,36
None, None,53.9, None,2022-09-06 00:00:00, None,36
None, None,57.0, None,2022-09-06 01:00:00, None,36
None, None,58.7, None,2022-09-06 02:00:00, None,36
None, None,55.9, None,2022-09-06 03:00:00, None,36
None, None,57.3, None,2022-09-06 04:00:00, None,36
None, None,58.8, None,2022-09-06 05:00:00, None,36
None, None,59.9, None,2022-09-06 06:00:00, None,36
None, None,53.6, None,2022-09-06 07:00:00, None,36
None, None,50.6, None,2022-09-06 08:00:00, None,36
None, None,48.1, None,2022-09-06 09:00:00, None,36
None, None,40.5, None,2022-09-06 10:00:00, None,36
None, None,34.1, None,2022-09-06 11:00:00, None,36
None, None,31.9, None,2022-09-06 12:00:00, None,36
None, None,27.5, None,2022-09-06 13:00:00, None,36
None, None,27.1, None,2022-09-06 14:00:00, None,36
None, None,29.6, None,2022-09-06 15:00:00, None,36
None, None,32.6, None,2022-09-06 16:00:00, None,36
None, None,32.8, None,2022-09-06 17:00:00, None,36
None, None,35.3, None,2022-09-06 18:00:00, None,36
None, None,42.8, None,2022-09-06 19:00:00, None,36
None, None,52.3, None,2022-09-06 20:00:00, None,36
None, None,55.5, None,2022-09-06 21:00:00, None,36
None, None,59.2, None,2022-09-06 22:00:00, None,36
None, None,67.5, None,2022-09-06 23:00:00, None,36
None, None,63.9, None,2022-09-07 00:00:00, None,36
None, None,66.8, None,2022-09-07 01:00:00, None,36
None, None,73.8, None,2022-09-07 02:00:00, None,36
None, None,75.0, None,2022-09-07 03:00:00, None,36
None, None,76.6, None,2022-09-07 04:00:00, None,36
None, None,85.0, None,2022-09-07 05:00:00, None,36
None, None,86.0, None,2022-09-07 06:00:00, None,36
None, None,76.4, None,2022-09-07 07:00:00, None,36
None, None,58.4, None,2022-09-07 08:00:00, None,36
None, None,46.7, None,2022-09-07 09:00:00, None,36
None, None,37.4, None,2022-09-07 10:00:00, None,36
None, None,33.7, None,2022-09-07 11:00:00, None,36
None, None,32.0, None,2022-09-07 12:00:00, None,36
None, None,33.5, None,2022-09-07 13:00:00, None,36
None, None,32.9, None,2022-09-07 14:00:00, None,36
None, None,36.8, None,2022-09-07 15:00:00, None,36
None, None,44.3, None,2022-09-07 16:00:00, None,36
None, None,79.2, None,2022-09-07 17:00:00, None,36
None, None,80.9, None,2022-09-07 18:00:00, None,36
None, None,81.2, None,2022-09-07 19:00:00, None,36
None, None,89.1, None,2022-09-07 20:00:00, None,36
None, None,87.6, None,2022-09-07 21:00:00, None,36
None, None,89.9, None,2022-09-07 22:00:00, None,36
None, None,93.7, None,2022-09-07 23:00:00, None,36
None, None,94.5, None,2022-09-08 00:00:00, None,36
None, None,95.0, None,2022-09-08 01:00:00, None,36
None, None,95.2, None,2022-09-08 02:00:00, None,36
None, None,93.4, None,2022-09-08 03:00:00, None,36
None, None,94.4, None,2022-09-08 04:00:00, None,36
None, None,95.1, None,2022-09-08 05:00:00, None,36
None, None,95.6, None,2022-09-08 06:00:00, None,36
None, None,95.8, None,2022-09-08 07:00:00, None,36
None, None,96.0, None,2022-09-08 08:00:00, None,36
None, None,88.3, None,2022-09-08 09:00:00, None,36
None, None,75.9, None,2022-09-08 10:00:00, None,36
None, None,60.0, None,2022-09-08 11:00:00, None,36
None, None,45.8, None,2022-09-08 12:00:00, None,36
None, None,35.4, None,2022-09-08 13:00:00, None,36
None, None,34.7, None,2022-09-08 14:00:00, None,36
None, None,39.7, None,2022-09-08 15:00:00, None,36
None, None,40.4, None,2022-09-08 16:00:00, None,36
None, None,45.3, None,2022-09-08 17:00:00, None,36
None, None,52.2, None,2022-09-08 18:00:00, None,36
None, None,61.8, None,2022-09-08 19:00:00, None,36
None, None,69.4, None,2022-09-08 20:00:00, None,36
None, None,72.6, None,2022-09-08 21:00:00, None,36
None, None,77.6, None,2022-09-08 22:00:00, None,36
None, None,85.1, None,2022-09-08 23:00:00, None,36
None, None,88.0, None,2022-09-09 00:00:00, None,36
None, None,88.9, None,2022-09-09 01:00:00, None,36
None, None,92.4, None,2022-09-09 02:00:00, None,36
None, None,93.8, None,2022-09-09 03:00:00, None,36
None, None,95.0, None,2022-09-09 04:00:00, None,36
