AirTemp,ONE_DAY_PRECIPITATION,time,MIN_TEMP,MAX_TEMP,week_of_year
1.7, None,2023-03-31 15:00:00, None, None,13
2.0, None,2023-03-31 15:15:00, None, None,13
2.1, None,2023-03-31 15:30:00, None, None,13
2.3, None,2023-03-31 15:45:00, None, None,13
2.5, None,2023-03-31 16:00:00, None, None,13
2.3, None,2023-03-31 16:15:00, None, None,13
2.3, None,2023-03-31 16:30:00, None, None,13
2.2, None,2023-03-31 16:45:00, None, None,13
1.9, None,2023-03-31 17:00:00, None, None,13
2.0, None,2023-03-31 17:15:00, None, None,13
2.0, None,2023-03-31 17:30:00, None, None,13
1.9, None,2023-03-31 17:45:00, None, None,13
1.6, None,2023-03-31 18:00:00, None, None,13
1.6, None,2023-03-31 18:15:00, None, None,13
1.3, None,2023-03-31 18:30:00, None, None,13
1.0, None,2023-03-31 18:45:00, None, None,13
0.8, None,2023-03-31 19:00:00, None, None,13
0.8, None,2023-03-31 19:15:00, None, None,13
0.8, None,2023-03-31 19:30:00, None, None,13
0.7, None,2023-03-31 19:45:00, None, None,13
0.4, None,2023-03-31 20:00:00, None, None,13
-0.2, None,2023-03-31 20:15:00, None, None,13
-0.7, None,2023-03-31 20:30:00, None, None,13
-0.7, None,2023-03-31 20:45:00, None, None,13
-0.2, None,2023-03-31 21:00:00, None, None,13
0.1, None,2023-03-31 21:15:00, None, None,13
0.0, None,2023-03-31 21:30:00, None, None,13
0.0, None,2023-03-31 21:45:00, None, None,13
0.0, None,2023-03-31 22:00:00, None, None,13
0.2, None,2023-03-31 22:15:00, None, None,13
0.2, None,2023-03-31 22:30:00, None, None,13
0.2, None,2023-03-31 22:45:00, None, None,13
0.3, None,2023-03-31 23:00:00, None, None,13
0.4, None,2023-03-31 23:15:00, None, None,13
0.4, None,2023-03-31 23:30:00, None, None,13
0.5, None,2023-03-31 23:45:00, None, None,13
0.3, 1.8,2023-04-01 00:00:00, -6.5, 5.4,13
0.2, None,2023-04-01 00:15:00, None, None,13
0.3, None,2023-04-01 00:30:00, None, None,13
0.4, None,2023-04-01 00:45:00, None, None,13
0.3, None,2023-04-01 01:00:00, None, None,13
0.3, None,2023-04-01 01:15:00, None, None,13
0.2, None,2023-04-01 01:30:00, None, None,13
0.3, None,2023-04-01 01:45:00, None, None,13
0.3, None,2023-04-01 02:00:00, None, None,13
0.2, None,2023-04-01 02:15:00, None, None,13
0.2, None,2023-04-01 02:30:00, None, None,13
0.2, None,2023-04-01 02:45:00, None, None,13
0.2, None,2023-04-01 03:00:00, None, None,13
0.2, None,2023-04-01 03:15:00, None, None,13
0.2, None,2023-04-01 03:30:00, None, None,13
0.2, None,2023-04-01 03:45:00, None, None,13
0.2, None,2023-04-01 04:00:00, None, None,13
0.1, None,2023-04-01 04:15:00, None, None,13
0.1, None,2023-04-01 04:30:00, None, None,13
0.1, None,2023-04-01 04:45:00, None, None,13
0.1, None,2023-04-01 05:00:00, None, None,13
0.0, None,2023-04-01 05:15:00, None, None,13
0.0, None,2023-04-01 05:30:00, None, None,13
-0.1, None,2023-04-01 05:45:00, None, None,13
0.0, None,2023-04-01 06:00:00, None, None,13
0.0, None,2023-04-01 06:15:00, None, None,13
0.0, None,2023-04-01 06:30:00, None, None,13
0.0, None,2023-04-01 06:45:00, None, None,13
0.1, None,2023-04-01 07:00:00, None, None,13
0.1, None,2023-04-01 07:15:00, None, None,13
0.1, None,2023-04-01 07:30:00, None, None,13
0.1, None,2023-04-01 07:45:00, None, None,13
-0.1, None,2023-04-01 08:00:00, None, None,13
-0.2, None,2023-04-01 08:15:00, None, None,13
0.1, None,2023-04-01 08:30:00, None, None,13
0.2, None,2023-04-01 08:45:00, None, None,13
0.3, None,2023-04-01 09:00:00, None, None,13
0.6, None,2023-04-01 09:15:00, None, None,13
1.9, None,2023-04-01 09:30:00, None, None,13
2.8, None,2023-04-01 09:45:00, None, None,13
2.6, None,2023-04-01 10:00:00, None, None,13
2.7, None,2023-04-01 10:15:00, None, None,13
3.7, None,2023-04-01 10:30:00, None, None,13
4.2, None,2023-04-01 10:45:00, None, None,13
4.1, None,2023-04-01 11:00:00, None, None,13
4.9, None,2023-04-01 11:15:00, None, None,13
4.5, None,2023-04-01 11:30:00, None, None,13
4.7, None,2023-04-01 11:45:00, None, None,13
4.5, None,2023-04-01 12:00:00, None, None,13
5.4, None,2023-04-01 12:15:00, None, None,13
4.5, None,2023-04-01 12:30:00, None, None,13
4.5, None,2023-04-01 12:45:00, None, None,13
4.5, None,2023-04-01 13:00:00, None, None,13
4.4, None,2023-04-01 13:15:00, None, None,13
5.3, None,2023-04-01 13:30:00, None, None,13
4.7, None,2023-04-01 13:45:00, None, None,13
5.2, None,2023-04-01 14:00:00, None, None,13
5.1, None,2023-04-01 14:15:00, None, None,13
5.3, None,2023-04-01 14:30:00, None, None,13
4.8, None,2023-04-01 14:45:00, None, None,13
5.2, None,2023-04-01 15:00:00, None, None,13
5.4, None,2023-04-01 15:15:00, None, None,13
4.9, None,2023-04-01 15:30:00, None, None,13
4.3, None,2023-04-01 15:45:00, None, None,13
3.7, None,2023-04-01 16:00:00, None, None,13
4.1, None,2023-04-01 16:15:00, None, None,13
3.4, None,2023-04-01 16:30:00, None, None,13
2.7, None,2023-04-01 16:45:00, None, None,13
2.7, None,2023-04-01 17:00:00, None, None,13
2.9, None,2023-04-01 17:15:00, None, None,13
3.0, None,2023-04-01 17:30:00, None, None,13
2.8, None,2023-04-01 17:45:00, None, None,13
2.3, None,2023-04-01 18:00:00, None, None,13
1.8, None,2023-04-01 18:15:00, None, None,13
0.9, None,2023-04-01 18:30:00, None, None,13
-0.2, None,2023-04-01 18:45:00, None, None,13
-1.1, None,2023-04-01 19:00:00, None, None,13
-1.7, None,2023-04-01 19:15:00, None, None,13
-2.2, None,2023-04-01 19:30:00, None, None,13
-2.6, None,2023-04-01 19:45:00, None, None,13
-2.9, None,2023-04-01 20:00:00, None, None,13
-3.2, None,2023-04-01 20:15:00, None, None,13
-3.3, None,2023-04-01 20:30:00, None, None,13
-3.5, None,2023-04-01 20:45:00, None, None,13
-3.8, None,2023-04-01 21:00:00, None, None,13
-4.2, None,2023-04-01 21:15:00, None, None,13
-4.3, None,2023-04-01 21:30:00, None, None,13
-4.4, None,2023-04-01 21:45:00, None, None,13
-4.7, None,2023-04-01 22:00:00, None, None,13
-4.9, None,2023-04-01 22:15:00, None, None,13
-5.1, None,2023-04-01 22:30:00, None, None,13
-5.5, None,2023-04-01 22:45:00, None, None,13
-5.8, None,2023-04-01 23:00:00, None, None,13
-6.1, None,2023-04-01 23:15:00, None, None,13
-6.3, None,2023-04-01 23:30:00, None, None,13
-6.5, None,2023-04-01 23:45:00, None, None,13
