station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, MEASURED_WIND_DIRECTION1, MEASURED_WIND_SPEED1, air_temp, min_air_temp_snc_last_reset, DEW_POINT, avg_wnd_dir_10m_pst10mts, dwpt_temp, time
-3.699, 92.0, None, None, None, 15.64, None, 250.4, 13.83, None, None, -5.0, None, None, 2019-11-21 16:00:00
-3.618, 90.3, None, None, None, 12.53, None, 245.3, 17.51, None, None, -5.0, None, None, 2019-11-21 17:00:00
-3.703, 93.4, None, None, None, 9.83, None, 249.8, 16.45, None, None, -4.0, None, None, 2019-11-21 18:00:00
-3.494, 94.8, None, None, None, 6.762, None, 256.8, 12.91, None, None, -4.0, None, None, 2019-11-21 19:00:00
-3.147, 93.4, None, None, None, 8.5, None, 249.5, 14.17, None, None, -4.0, None, None, 2019-11-21 20:00:00
-2.908, 92.7, None, None, None, 7.117, None, 250.4, 15.59, None, None, -4.0, None, None, 2019-11-21 21:00:00
-2.627, 90.6, None, None, None, 7.126, None, 245.8, 14.13, None, None, -4.0, None, None, 2019-11-21 22:00:00
-3.08, 88.3, None, None, None, 4.808, None, 236.3, 18.13, None, None, -4.0, None, None, 2019-11-21 23:00:00
-3.689, 88.3, None, None, None, 9.79, None, 244.4, 22.05, None, None, -5.0, None, None, 2019-11-22 00:00:00
-3.892, 86.1, None, None, None, 7.415, None, 238.7, 24.9, None, None, -6.0, None, None, 2019-11-22 01:00:00
-4.645, 76.6, None, None, None, 12.72, None, 239.6, 23.98, None, None, -8.0, None, None, 2019-11-22 02:00:00
-5.211, 75.4, None, None, None, 7.078, None, 236.9, 21.45, None, None, -9.0, None, None, 2019-11-22 03:00:00
-6.242, 73.23, None, None, None, 10.61, None, 241.3, 21.11, None, None, -10.0, None, None, 2019-11-22 04:00:00
-6.503, 71.39, None, None, None, 15.61, None, 240.8, 23.84, None, None, -11.0, None, None, 2019-11-22 05:00:00
-5.499, 57.84, None, None, None, 15.56, None, 248.4, 24.65, None, None, -12.0, None, None, 2019-11-22 06:00:00
-4.572, 38.42, None, None, None, 16.68, None, 255.7, 24.02, None, None, -15.0, None, None, 2019-11-22 07:00:00
-5.561, 57.65, None, None, None, 13.28, None, 242.2, 22.63, None, None, -12.0, None, None, 2019-11-22 08:00:00
-5.021, 48.14, None, None, None, 11.11, None, 237.9, 18.82, None, None, -13.0, None, None, 2019-11-22 09:00:00
-4.519, 46.86, None, None, None, 10.06, None, 236.5, 17.21, None, None, -13.0, None, None, 2019-11-22 10:00:00
-4.372, 49.89, None, None, None, 8.49, None, 237.6, 16.77, None, None, -12.0, None, None, 2019-11-22 11:00:00
-4.466, 54.54, None, None, None, 9.7, None, 240.6, 18.7, None, None, -11.0, None, None, 2019-11-22 12:00:00
-3.559, 50.31, None, None, None, 9.09, None, 238.4, 20.61, None, None, -11.0, None, None, 2019-11-22 13:00:00
-3.391, 48.87, None, None, None, 16.35, None, 248.1, 16.34, None, None, -12.0, None, None, 2019-11-22 14:00:00
-4.289, 62.42, None, None, None, 16.56, None, 241.4, 19.37, None, None, -10.0, None, None, 2019-11-22 15:00:00
-5.495, 58.86, None, None, None, 11.47, None, 238.9, 20.06, None, None, -12.0, None, None, 2019-11-22 16:00:00
-6.286, 69.42, None, None, None, 8.9, None, 231.7, 22.03, None, None, -10.0, None, None, 2019-11-22 17:00:00
-4.544, 52.26, None, None, None, 15.62, None, 238.5, 11.69, None, None, -12.0, None, None, 2019-11-22 18:00:00
-4.424, 53.99, None, None, None, 11.82, None, 240.0, 13.81, None, None, -11.0, None, None, 2019-11-22 19:00:00
-3.251, 43.37, None, None, None, 15.87, None, 249.0, 15.86, None, None, -13.0, None, None, 2019-11-22 20:00:00
-4.466, 52.62, None, None, None, 15.57, None, 247.2, 16.38, None, None, -12.0, None, None, 2019-11-22 21:00:00
-3.564, 43.34, None, None, None, 9.05, None, 243.0, 16.06, None, None, -13.0, None, None, 2019-11-22 22:00:00
-4.785, 56.34, None, None, None, 20.89, None, 242.5, 14.29, None, None, -11.0, None, None, 2019-11-22 23:00:00
-6.17, 65.46, None, None, None, 15.98, None, 244.0, 17.43, None, None, -12.0, None, None, 2019-11-23 00:00:00
-6.51, 62.81, None, None, None, 14.16, None, 238.5, 22.23, None, None, -12.0, None, None, 2019-11-23 01:00:00
-7.439, 76.85, None, None, None, 17.43, None, 254.2, 22.65, None, None, -10.0, None, None, 2019-11-23 02:00:00
-6.357, 94.5, None, None, None, None, None, None, None, None, None, -7.0, None, None, 2019-11-23 03:00:00
-4.095, 95.6, None, None, None, 11.02, None, 259.5, 39.99, None, None, -4.0, None, None, 2019-11-23 04:00:00
-5.881, 86.7, None, None, None, 12.37, None, 255.3, 33.85, None, None, -8.0, None, None, 2019-11-23 05:00:00
-3.534, 75.92, None, None, None, 8.91, None, 251.3, 34.84, None, None, -7.0, None, None, 2019-11-23 06:00:00
-2.874, 61.37, None, None, None, 12.19, None, 252.7, 37.9, None, None, -8.0, None, None, 2019-11-23 07:00:00
-3.288, 72.74, None, None, None, 15.27, None, 258.3, 35.76, None, None, -7.0, None, None, 2019-11-23 08:00:00
-5.012, 89.1, None, None, None, 11.8, None, 254.8, 34.54, None, None, -6.0, None, None, 2019-11-23 09:00:00
-3.725, 83.6, None, None, None, 15.67, None, 261.6, 37.08, None, None, -6.0, None, None, 2019-11-23 10:00:00
-5.109, 94.7, None, None, None, 15.24, None, 263.8, 37.01, None, None, -6.0, None, None, 2019-11-23 11:00:00
-6.344, 94.4, None, None, None, 16.84, None, 265.3, 32.93, None, None, -7.0, None, None, 2019-11-23 12:00:00
-3.997, 96.0, None, None, None, 13.54, None, 258.8, 29.41, None, None, -4.0, None, None, 2019-11-23 13:00:00
-4.578, 95.7, None, None, None, 26.23, None, 248.9, 20.34, None, None, -5.0, None, None, 2019-11-23 14:00:00
-4.22, 96.0, None, None, None, 18.79, None, 250.7, 18.62, None, None, -4.0, None, None, 2019-11-23 15:00:00
-6.852, 93.7, None, None, None, 32.39, None, 271.0, 14.69, None, None, -7.0, None, None, 2019-11-23 16:00:00
