ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,MAX_TEMP,week_of_year
None, 125.0, 207.0, None, None,2020-01-01 00:00:00, 0.8, None, None,1
None, 124.0, 209.0, None, None,2020-01-01 01:00:00, 0.0, None, None,1
None, 124.0, 209.0, None, None,2020-01-01 02:00:00, -0.2, None, None,1
None, 124.0, 212.0, None, None,2020-01-01 03:00:00, -0.3, None, None,1
None, 124.0, 212.0, None, None,2020-01-01 04:00:00, -0.5, None, None,1
None, 124.0, 212.0, None, None,2020-01-01 05:00:00, -0.9, None, None,1
None, 124.0, 213.0, None, None,2020-01-01 06:00:00, -1.0, None, None,1
None, 124.0, 213.0, None, None,2020-01-01 07:00:00, -0.9, None, None,1
None, 124.0, 213.0, None, None,2020-01-01 08:00:00, -1.3, None, None,1
None, 124.0, 213.0, None, None,2020-01-01 09:00:00, -1.7, None, None,1
None, 124.0, 213.0, None, None,2020-01-01 10:00:00, -1.7, None, None,1
None, 124.0, 213.0, None, None,2020-01-01 11:00:00, -1.5, None, None,1
None, 124.0, 213.0, None, None,2020-01-01 12:00:00, -1.7, None, None,1
None, 123.0, 213.0, None, None,2020-01-01 13:00:00, -1.9, None, None,1
None, 124.0, 213.0, None, None,2020-01-01 14:00:00, -1.9, None, None,1
None, 123.0, 213.0, None, None,2020-01-01 15:00:00, -2.1, None, None,1
None, 123.0, 213.0, 0.0, None,2020-01-01 16:00:00, -2.1, None, None,1
None, 123.0, 213.0, None, None,2020-01-01 17:00:00, -2.1, None, None,1
None, 123.0, 213.0, None, None,2020-01-01 18:00:00, -2.0, None, None,1
None, 124.0, 213.0, None, None,2020-01-01 19:00:00, -1.6, None, None,1
None, 124.0, 213.0, None, None,2020-01-01 20:00:00, -1.1, None, None,1
None, 124.0, 213.0, None, None,2020-01-01 21:00:00, -1.4, None, None,1
None, 123.0, 213.0, None, None,2020-01-01 22:00:00, -3.1, None, None,1
None, 123.0, 213.0, None, None,2020-01-01 23:00:00, -4.1, None, None,1
None, 123.0, 213.0, None, None,2020-01-02 00:00:00, -6.8, None, None,1
None, 123.0, 213.0, None, None,2020-01-02 01:00:00, -7.7, None, None,1
None, 123.0, 213.0, None, None,2020-01-02 02:00:00, -8.2, None, None,1
None, 122.0, 213.0, None, None,2020-01-02 03:00:00, -8.8, None, None,1
None, 122.0, 213.0, None, None,2020-01-02 04:00:00, -8.2, None, None,1
None, 122.0, 213.0, None, None,2020-01-02 05:00:00, -8.1, None, None,1
None, 122.0, 213.0, None, None,2020-01-02 06:00:00, -8.5, None, None,1
None, 122.0, 213.0, None, None,2020-01-02 07:00:00, -9.3, None, None,1
None, 122.0, 213.0, None, None,2020-01-02 08:00:00, -10.0, None, None,1
None, 122.0, 213.0, None, None,2020-01-02 09:00:00, -10.6, None, None,1
None, 121.0, 213.0, None, None,2020-01-02 10:00:00, -10.0, None, None,1
None, 121.0, 213.0, None, None,2020-01-02 11:00:00, -10.7, None, None,1
None, 121.0, 213.0, None, None,2020-01-02 12:00:00, -10.9, None, None,1
None, 121.0, 213.0, None, None,2020-01-02 13:00:00, -10.6, None, None,1
None, 124.0, 213.0, None, None,2020-01-02 14:00:00, -10.8, None, None,1
None, 124.0, 213.0, None, None,2020-01-02 15:00:00, -10.5, None, None,1
None, 124.0, 213.0, 0.0, None,2020-01-02 16:00:00, -10.6, None, None,1
