RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None, None, None, None,0.0,83.7, None, None, None,991.0, None, None, None, None, None, 104.8, None, None, -12.71, None, None, None, None,4.14, None, None, None, None, None,2018-01-02 08:00:00, None,1
None, None, None, None,0.101,108.1, None, None, None,991.0, None, None, None, None, None, 103.8, None, None, -12.4, None, None, None, None,24.67, None, None, None, None, None,2018-01-02 09:00:00, None,1
None, None, None, None,0.219,120.7, None, None, None,989.0, None, None, None, None, None, 103.7, None, None, -12.27, None, None, None, None,24.29, None, None, None, None, None,2018-01-02 10:00:00, None,1
None, None, None, None,0.081,99.1, None, None, None,991.0, None, None, None, None, None, 103.5, None, None, -11.72, None, None, None, None,19.38, None, None, None, None, None,2018-01-02 11:00:00, None,1
None, None, None, None,0.375,100.2, None, None, None,989.0, None, None, None, None, None, 103.4, None, None, -11.35, None, None, None, None,19.87, None, None, None, None, None,2018-01-02 12:00:00, None,1
None, None, None, None,0.217,87.4, None, None, None,988.0, None, None, None, None, None, 103.5, None, None, -11.05, None, None, None, None,17.18, None, None, None, None, None,2018-01-02 13:00:00, None,1
None, None, None, None,0.324,93.7, None, None, None,988.0, None, None, None, None, None, 103.4, None, None, -10.78, None, None, None, None,18.63, None, None, None, None, None,2018-01-02 14:00:00, None,1
None, None, None, None,0.527,98.4, None, None, None,987.0, None, None, None, None, None, 103.5, None, None, -10.84, None, None, None, None,20.07, None, None, None, None, None,2018-01-02 15:00:00, None,1
None, None, None, None,0.091,109.9, None, None, None,987.0, None, None, None, None, None, 103.3, None, None, -10.95, None, None, None, None,42.21, None, None, None, None, None,2018-01-02 16:00:00, None,1
None, None, None, None,0.057,65.19, None, None, None,987.0, None, None, None, None, None, 103.1, None, None, -10.79, None, None, None, None,7.45, None, None, None, None, None,2018-01-02 17:00:00, None,1
None, None, None, None,0.002,64.38, None, None, None,985.0, None, None, None, None, None, 103.1, None, None, -10.76, None, None, None, None,6.335, None, None, None, None, None,2018-01-02 18:00:00, None,1
None, None, None, None,0.042,71.5, None, None, None,985.0, None, None, None, None, None, 102.8, None, None, -11.44, None, None, None, None,19.66, None, None, None, None, None,2018-01-02 19:00:00, None,1
None, None, None, None,0.09,64.27, None, None, None,984.0, None, None, None, None, None, 103.1, None, None, -10.82, None, None, None, None,14.81, None, None, None, None, None,2018-01-02 20:00:00, None,1
None, None, None, None,0.449,83.5, None, None, None,984.0, None, None, None, None, None, 103.1, None, None, -10.43, None, None, None, None,22.5, None, None, None, None, None,2018-01-02 21:00:00, None,1
None, None, None, None,0.38,82.6, None, None, None,984.0, None, None, None, None, None, 103.2, None, None, -10.54, None, None, None, None,15.57, None, None, None, None, None,2018-01-02 22:00:00, None,1
None, None, None, None,0.077,43.69, None, None, None,984.0, None, None, None, None, None, 103.1, None, None, -10.18, None, None, None, None,30.69, None, None, None, None, None,2018-01-02 23:00:00, None,1
None, None, None, None,0.217,77.8, None, None, None,984.0, None, None, None, None, None, 102.1, None, None, -10.06, None, None, None, None,25.81, None, None, None, None, None,2018-01-03 00:00:00, None,1
None, None, None, None,0.257,65.97, None, None, None,984.0, None, None, None, None, None, 101.7, None, None, -10.06, None, None, None, None,14.82, None, None, None, None, None,2018-01-03 01:00:00, None,1
None, None, None, None,0.121,86.5, None, None, None,984.0, None, None, None, None, None, 101.4, None, None, -10.13, None, None, None, None,28.73, None, None, None, None, None,2018-01-03 02:00:00, None,1
None, None, None, None,0.146,64.16, None, None, None,984.0, None, None, None, None, None, 100.7, None, None, -10.0, None, None, None, None,12.91, None, None, None, None, None,2018-01-03 03:00:00, None,1
None, None, None, None,0.145,61.71, None, None, None,983.0, None, None, None, None, None, 100.6, None, None, -9.97, None, None, None, None,14.59, None, None, None, None, None,2018-01-03 04:00:00, None,1
None, None, None, None,0.488,65.24, None, None, None,983.0, None, None, None, None, None, 100.7, None, None, -9.78, None, None, None, None,20.46, None, None, None, None, None,2018-01-03 05:00:00, None,1
None, None, None, None,0.16,87.3, None, None, None,983.0, None, None, None, None, None, 101.6, None, None, -9.55, None, None, None, None,15.07, None, None, None, None, None,2018-01-03 06:00:00, None,1
None, None, None, None,0.0,87.9, None, None, None,983.0, None, None, None, None, None, 103.5, None, None, -9.46, None, None, None, None,7.6, None, None, None, None, None,2018-01-03 07:00:00, None,1
None, None, None, None,0.0,84.3, None, None, None,983.0, None, None, None, None, None, 104.2, None, None, -9.14, None, None, None, None,5.065, None, None, None, None, None,2018-01-03 08:00:00, None,1
None, None, None, None,0.0,83.2, None, None, None,983.0, None, None, None, None, None, 102.9, None, None, -8.86, None, None, None, None,12.08, None, None, None, None, None,2018-01-03 09:00:00, None,1
None, None, None, None,0.0,94.0, None, None, None,983.0, None, None, None, None, None, 104.4, None, None, -8.66, None, None, None, None,2.844, None, None, None, None, None,2018-01-03 10:00:00, None,1
None, None, None, None,0.0,93.3, None, None, None,983.0, None, None, None, None, None, 104.4, None, None, -7.89, None, None, None, None,3.89, None, None, None, None, None,2018-01-03 11:00:00, None,1
None, None, None, None,0.0,91.1, None, None, None,983.0, None, None, None, None, None, 104.0, None, None, -6.502, None, None, None, None,4.129, None, None, None, None, None,2018-01-03 12:00:00, None,1
None, None, None, None,0.0,84.8, None, None, None,983.0, None, None, None, None, None, 104.7, None, None, -6.252, None, None, None, None,0.278, None, None, None, None, None,2018-01-03 13:00:00, None,1
None, None, None, None,0.0,84.9, None, None, None,983.0, None, None, None, None, None, 104.2, None, None, -5.969, None, None, None, None,0.287, None, None, None, None, None,2018-01-03 14:00:00, None,1
None, None, None, None,0.0,84.9, None, None, None,981.0, None, None, None, None, None, 104.4, None, None, -6.454, None, None, None, None,0.278, None, None, None, None, None,2018-01-03 15:00:00, None,1
None, None, None, None,0.0,85.0, None, None, None,981.0, None, None, None, None, None, 104.4, None, None, -6.718, None, None, None, None,0.264, None, None, None, None, None,2018-01-03 16:00:00, None,1
None, None, None, None,0.012,84.8, None, None, None,981.0, None, None, None, None, None, 103.9, None, None, -6.786, None, None, None, None,0.993, None, None, None, None, None,2018-01-03 17:00:00, None,1
None, None, None, None,0.0,92.6, None, None, None,981.0, None, None, None, None, None, 106.2, None, None, -6.934, None, None, None, None,5.617, None, None, None, None, None,2018-01-03 18:00:00, None,1
None, None, None, None,0.0,79.0, None, None, None,980.0, None, None, None, None, None, 105.9, None, None, -7.04, None, None, None, None,1.962, None, None, None, None, None,2018-01-03 19:00:00, None,1
None, None, None, None,0.0,82.7, None, None, None,980.0, None, None, None, None, None, 106.4, None, None, -7.02, None, None, None, None,7.65, None, None, None, None, None,2018-01-03 20:00:00, None,1
None, None, None, None,0.0,82.6, None, None, None,980.0, None, None, None, None, None, 103.5, None, None, -6.933, None, None, None, None,6.081, None, None, None, None, None,2018-01-03 21:00:00, None,1
None, None, None, None,0.0,82.1, None, None, None,980.0, None, None, None, None, None, 105.9, None, None, -6.766, None, None, None, None,10.42, None, None, None, None, None,2018-01-03 22:00:00, None,1
None, None, None, None,0.0,81.5, None, None, None,979.0, None, None, None, None, None, 105.9, None, None, -6.649, None, None, None, None,14.24, None, None, None, None, None,2018-01-03 23:00:00, None,1
None, None, None, None,0.0,84.8, None, None, None,979.0, None, None, None, None, None, 105.8, None, None, -7.08, None, None, None, None,8.78, None, None, None, None, None,2018-01-04 00:00:00, None,1
None, None, None, None,0.0,78.9, None, None, None,977.0, None, None, None, None, None, 105.1, None, None, -7.05, None, None, None, None,16.01, None, None, None, None, None,2018-01-04 01:00:00, None,1
None, None, None, None,0.0,82.5, None, None, None,977.0, None, None, None, None, None, 105.0, None, None, -6.756, None, None, None, None,13.06, None, None, None, None, None,2018-01-04 02:00:00, None,1
None, None, None, None,0.0,88.6, None, None, None,976.0, None, None, None, None, None, 104.3, None, None, -6.465, None, None, None, None,13.32, None, None, None, None, None,2018-01-04 03:00:00, None,1
None, None, None, None,0.0,85.7, None, None, None,976.0, None, None, None, None, None, 100.7, None, None, -6.513, None, None, None, None,11.94, None, None, None, None, None,2018-01-04 04:00:00, None,1
None, None, None, None,0.0,83.3, None, None, None,975.0, None, None, None, None, None, 105.3, None, None, -6.513, None, None, None, None,9.67, None, None, None, None, None,2018-01-04 05:00:00, None,1
None, None, None, None,0.0,80.2, None, None, None,975.0, None, None, None, None, None, 107.0, None, None, -6.474, None, None, None, None,9.48, None, None, None, None, None,2018-01-04 06:00:00, None,1
None, None, None, None,0.0,84.4, None, None, None,973.0, None, None, None, None, None, 104.3, None, None, -6.503, None, None, None, None,14.21, None, None, None, None, None,2018-01-04 07:00:00, None,1
None, None, None, None,0.0,80.7, None, None, None,973.0, None, None, None, None, None, 108.8, None, None, -6.27, None, None, None, None,9.6, None, None, None, None, None,2018-01-04 08:00:00, None,1
None, None, None, None,0.0,89.6, None, None, None,973.0, None, None, None, None, None, 105.2, None, None, -6.24, None, None, None, None,13.93, None, None, None, None, None,2018-01-04 09:00:00, None,1
None, None, None, None,0.0,91.8, None, None, None,973.0, None, None, None, None, None, 109.1, None, None, -6.037, None, None, None, None,3.23, None, None, None, None, None,2018-01-04 10:00:00, None,1
None, None, None, None,0.0,92.2, None, None, None,972.0, None, None, None, None, None, 111.1, None, None, -5.514, None, None, None, None,0.229, None, None, None, None, None,2018-01-04 11:00:00, None,1
None, None, None, None,0.0,92.1, None, None, None,972.0, None, None, None, None, None, 110.9, None, None, -5.129, None, None, None, None,0.25, None, None, None, None, None,2018-01-04 12:00:00, None,1
None, None, None, None,0.0,92.0, None, None, None,972.0, None, None, None, None, None, 110.9, None, None, -4.333, None, None, None, None,0.256, None, None, None, None, None,2018-01-04 13:00:00, None,1
None, None, None, None,0.0,92.7, None, None, None,972.0, None, None, None, None, None, 111.0, None, None, -4.591, None, None, None, None,3.893, None, None, None, None, None,2018-01-04 14:00:00, None,1
None, None, None, None,0.0,94.8, None, None, None,971.0, None, None, None, None, None, 111.2, None, None, -4.562, None, None, None, None,11.51, None, None, None, None, None,2018-01-04 15:00:00, None,1
None, None, None, None,0.0,99.9, None, None, None,971.0, None, None, None, None, None, 110.4, None, None, -4.765, None, None, None, None,0.287, None, None, None, None, None,2018-01-04 16:00:00, None,1
None, None, None, None,0.0,99.8, None, None, None,969.0, None, None, None, None, None, 109.7, None, None, -4.879, None, None, None, None,0.3, None, None, None, None, None,2018-01-04 17:00:00, None,1
None, None, None, None,0.0,80.6, None, None, None,969.0, None, None, None, None, None, 114.4, None, None, -4.64, None, None, None, None,22.2, None, None, None, None, None,2018-01-04 18:00:00, None,1
None, None, None, None,0.0,76.5, None, None, None,969.0, None, None, None, None, None, 114.3, None, None, -4.812, None, None, None, None,2.785, None, None, None, None, None,2018-01-04 19:00:00, None,1
None, None, None, None,0.0,76.9, None, None, None,968.0, None, None, None, None, None, 110.3, None, None, -4.813, None, None, None, None,0.137, None, None, None, None, None,2018-01-04 20:00:00, None,1
None, None, None, None,0.0,76.9, None, None, None,968.0, None, None, None, None, None, 114.4, None, None, -4.687, None, None, None, None,0.131, None, None, None, None, None,2018-01-04 21:00:00, None,1
None, None, None, None,0.0,77.0, None, None, None,968.0, None, None, None, None, None, 114.9, None, None, -4.285, None, None, None, None,0.168, None, None, None, None, None,2018-01-04 22:00:00, None,1
None, None, None, None,0.0,77.1, None, None, None,968.0, None, None, None, None, None, 112.3, None, None, -4.142, None, None, None, None,0.179, None, None, None, None, None,2018-01-04 23:00:00, None,1
None, None, None, None,0.0,81.1, None, None, None,967.0, None, None, None, None, None, 116.2, None, None, -4.056, None, None, None, None,11.55, None, None, None, None, None,2018-01-05 00:00:00, None,1
None, None, None, None,0.0,75.9, None, None, None,967.0, None, None, None, None, None, 116.4, None, None, -3.855, None, None, None, None,12.45, None, None, None, None, None,2018-01-05 01:00:00, None,1
None, None, None, None,0.0,90.8, None, None, None,965.0, None, None, None, None, None, 116.3, None, None, -3.598, None, None, None, None,16.85, None, None, None, None, None,2018-01-05 02:00:00, None,1
None, None, None, None,0.0,49.17, None, None, None,965.0, None, None, None, None, None, 116.1, None, None, -3.483, None, None, None, None,39.59, None, None, None, None, None,2018-01-05 03:00:00, None,1
None, None, None, None,0.0,89.5, None, None, None,965.0, None, None, None, None, None, 114.1, None, None, -3.255, None, None, None, None,18.76, None, None, None, None, None,2018-01-05 04:00:00, None,1
None, None, None, None,0.0,88.7, None, None, None,965.0, None, None, None, None, None, 116.8, None, None, -3.093, None, None, None, None,13.27, None, None, None, None, None,2018-01-05 05:00:00, None,1
None, None, None, None,0.0,8.19, None, None, None,964.0, None, None, None, None, None, 116.0, None, None, -2.885, None, None, None, None,35.67, None, None, None, None, None,2018-01-05 06:00:00, None,1
None, None, None, None,0.0,86.1, None, None, None,964.0, None, None, None, None, None, 116.5, None, None, -2.799, None, None, None, None,16.12, None, None, None, None, None,2018-01-05 07:00:00, None,1
None, None, None, None,0.0,87.9, None, None, None,964.0, None, None, None, None, None, 116.5, None, None, -2.714, None, None, None, None,15.85, None, None, None, None, None,2018-01-05 08:00:00, None,1
None, None, None, None,0.0,91.8, None, None, None,964.0, None, None, None, None, None, 116.8, None, None, -1.918, None, None, None, None,11.28, None, None, None, None, None,2018-01-05 09:00:00, None,1
None, None, None, None,0.0,91.2, None, None, None,964.0, None, None, None, None, None, 116.4, None, None, -1.663, None, None, None, None,17.56, None, None, None, None, None,2018-01-05 10:00:00, None,1
None, None, None, None,0.0,90.5, None, None, None,965.0, None, None, None, None, None, 117.1, None, None, -0.292, None, None, None, None,7.56, None, None, None, None, None,2018-01-05 12:00:00, None,1
None, None, None, None,0.0,43.39, None, None, None,967.0, None, None, None, None, None, 116.3, None, None, -0.557, None, None, None, None,40.09, None, None, None, None, None,2018-01-05 15:00:00, None,1
None, None, None, None,0.0,84.0, None, None, None,967.0, None, None, None, None, None, 116.3, None, None, -0.5, None, None, None, None,11.72, None, None, None, None, None,2018-01-05 16:00:00, None,1
None, None, None, None,0.0,83.7, None, None, None,967.0, None, None, None, None, None, 116.3, None, None, -0.623, None, None, None, None,0.421, None, None, None, None, None,2018-01-05 17:00:00, None,1
None, None, None, None,0.0,84.0, None, None, None,967.0, None, None, None, None, None, 116.3, None, None, -0.67, None, None, None, None,0.265, None, None, None, None, None,2018-01-05 18:00:00, None,1
None, None, None, None,0.0,84.0, None, None, None,967.0, None, None, None, None, None, 116.9, None, None, -0.443, None, None, None, None,0.265, None, None, None, None, None,2018-01-05 19:00:00, None,1
None, None, None, None,0.0,84.0, None, None, None,968.0, None, None, None, None, None, 116.6, None, None, -0.377, None, None, None, None,0.27, None, None, None, None, None,2018-01-05 20:00:00, None,1
None, None, None, None,0.0,84.2, None, None, None,968.0, None, None, None, None, None, 115.5, None, None, -0.453, None, None, None, None,0.301, None, None, None, None, None,2018-01-05 21:00:00, None,1
