CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,snwfl_amt_pst1hr,stn_pres,week_of_year
-2.174,31.56, None, None, None,8.13,0.0,173.7, None, None, None, None, None, -15.0, None, None, None, None, None, None,2016-01-01 00:00:00, None, None, None, None,1
-2.028,22.38, None, None, None,6.659,0.476,179.1, None, None, None, None, None, -19.0, None, None, None, None, None, None,2016-01-01 01:00:00, None, None, None, None,1
-1.2,14.29, None, None, None,8.66,12.41,174.4, None, None, None, None, None, -23.0, None, None, None, None, None, None,2016-01-01 02:00:00, None, None, None, None,1
-0.958,11.5, None, None, None,8.68,7.18,170.6, None, None, None, None, None, -25.0, None, None, None, None, None, None,2016-01-01 03:00:00, None, None, None, None,1
-0.629,10.07, None, None, None,11.24,3.433,164.4, None, None, None, None, None, -26.0, None, None, None, None, None, None,2016-01-01 04:00:00, None, None, None, None,1
-0.048,9.18, None, None, None,10.55,6.4,163.4, None, None, None, None, None, -26.0, None, None, None, None, None, None,2016-01-01 05:00:00, None, None, None, None,1
0.186,8.64, None, None, None,10.05,3.713,168.1, None, None, None, None, None, -29.0, None, None, None, None, None, None,2016-01-01 06:00:00, None, None, None, None,1
0.673,7.96, None, None, None,8.08,0.134,166.8, None, None, None, None, None, -30.0, None, None, None, None, None, None,2016-01-01 07:00:00, None, None, None, None,1
0.77,7.82, None, None, None,11.75,0.0,186.8, None, None, None, None, None, -30.0, None, None, None, None, None, None,2016-01-01 08:00:00, None, None, None, None,1
0.916,7.82, None, None, None,11.18,0.0,175.4, None, None, None, None, None, -30.0, None, None, None, None, None, None,2016-01-01 09:00:00, None, None, None, None,1
2.035,8.09, None, None, None,4.04,0.044,172.2, None, None, None, None, None, -29.0, None, None, None, None, None, None,2016-01-01 10:00:00, None, None, None, None,1
2.278,7.21, None, None, None,9.52,0.0,179.2, None, None, None, None, None, -30.0, None, None, None, None, None, None,2016-01-01 11:00:00, None, None, None, None,1
2.697,7.82, None, None, None,5.783,0.002,177.1, None, None, None, None, None, -28.0, None, None, None, None, None, None,2016-01-01 12:00:00, None, None, None, None,1
3.42,6.934, None, None, None,13.35,0.0,185.3, None, None, None, None, None, -29.0, None, None, None, None, None, None,2016-01-01 13:00:00, None, None, None, None,1
3.281,7.41, None, None, None,6.551,0.0,156.2, None, None, None, None, None, -29.0, None, None, None, None, None, None,2016-01-01 14:00:00, None, None, None, None,1
3.746,7.81, None, None, None,11.82,0.0,160.7, None, None, None, None, None, -28.0, None, None, None, None, None, None,2016-01-01 15:00:00, None, None, None, None,1
2.25,7.34, None, None, None,8.39,0.0,161.2, None, None, None, None, None, -29.0, None, None, None, None, None, None,2016-01-01 16:00:00, None, None, None, None,1
1.905,7.41, None, None, None,52.79,0.0,178.5, None, None, None, None, None, -30.0, None, None, None, None, None, None,2016-01-01 17:00:00, None, None, None, None,1
2.08,7.41, None, None, None,3.595,0.0,95.7, None, None, None, None, None, -30.0, None, None, None, None, None, None,2016-01-01 18:00:00, None, None, None, None,1
1.792,7.28, None, None, None,15.31,0.0,77.8, None, None, None, None, None, -30.0, None, None, None, None, None, None,2016-01-01 19:00:00, None, None, None, None,1
2.521,6.392, None, None, None,16.16,0.0,81.3, None, None, None, None, None, -31.0, None, None, None, None, None, None,2016-01-01 20:00:00, None, None, None, None,1
2.083,7.34, None, None, None,7.7,2.58,78.3, None, None, None, None, None, -30.0, None, None, None, None, None, None,2016-01-01 21:00:00, None, None, None, None,1
2.813,5.78, None, None, None,21.02,2.077,61.22, None, None, None, None, None, -32.0, None, None, None, None, None, None,2016-01-01 22:00:00, None, None, None, None,1
2.132,6.732, None, None, None,7.39,7.09,77.8, None, None, None, None, None, -30.0, None, None, None, None, None, None,2016-01-01 23:00:00, None, None, None, None,1
1.256,8.43, None, None, None,11.31,10.91,75.2, None, None, None, None, None, -29.0, None, None, None, None, None, None,2016-01-02 00:00:00, None, None, None, None,1
1.938,7.21, None, None, None,8.73,12.91,77.3, None, None, None, None, None, -30.0, None, None, None, None, None, None,2016-01-02 01:00:00, None, None, None, None,1
1.5,7.82, None, None, None,7.94,12.81,68.66, None, None, None, None, None, -29.0, None, None, None, None, None, None,2016-01-02 02:00:00, None, None, None, None,1
0.819,8.77, None, None, None,7.61,10.89,86.1, None, None, None, None, None, -29.0, None, None, None, None, None, None,2016-01-02 03:00:00, None, None, None, None,1
