pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,PRECIP_DETECTOR_RATIO,MEASURED_WIND_DIRECTION1,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,MAXIMUM_MEASURED_WIND_SPEED1,week_of_year
None,-13.16,88.9, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 00:00:00, None,1
None,-13.11,89.1, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 01:00:00, None,1
None,-13.35,88.7, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 02:00:00, None,1
None,-13.83,89.1, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 03:00:00, None,1
None,-14.01,89.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 04:00:00, None,1
None,-14.39,88.9, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 05:00:00, None,1
None,-14.58,89.2, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 06:00:00, None,1
None,-14.93,89.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 07:00:00, None,1
None,-15.41,88.7, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 08:00:00, None,1
None,-15.53,88.1, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 09:00:00, None,1
None,-15.35,87.5, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 10:00:00, None,1
None,-14.57,87.8, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 11:00:00, None,1
None,-13.33,87.3, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 12:00:00, None,1
None,-13.14,86.9, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 13:00:00, None,1
None,-13.02,87.8, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 14:00:00, None,1
None,-13.14,87.7, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 15:00:00, None,1
None,-13.69,87.5, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 16:00:00, None,1
None,-14.41,87.1, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 17:00:00, None,1
None,-15.31,86.7, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 18:00:00, None,1
None,-15.75,86.5, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 19:00:00, None,1
None,-15.93,86.5, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 20:00:00, None,1
None,-16.08,86.3, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 21:00:00, None,1
None,-16.22,86.4, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 22:00:00, None,1
None,-16.37,86.2, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 23:00:00, None,1
None,-16.1,84.4, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-02 00:00:00, None,1
None,-16.49,84.9, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-02 01:00:00, None,1
None,-16.88,84.9, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-02 02:00:00, None,1
None,-16.98,85.1, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-02 03:00:00, None,1
None,-17.0,83.8, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-02 04:00:00, None,1
None,-17.15,84.6, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-02 05:00:00, None,1
None,-17.21,84.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-02 06:00:00, None,1
None,-17.98,84.3, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-02 07:00:00, None,1
None,-17.66,83.7, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-02 08:00:00, None,1
