station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, MIN_TEMP, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND, MAX_TEMP
0.0, 0.0, -10.0, 0.0, 2016-01-01 00:00:00, 12.0, -2.0
2.6, 0.0, -12.0, 2.6, 2016-01-02 00:00:00, 14.0, -0.5
0.0, 0.0, -10.0, 0.0, 2016-01-03 00:00:00, 16.0, -0.5
5.2, 0.0, -8.0, 5.2, 2016-01-04 00:00:00, 18.0, 2.0
3.2, 0.0, -5.0, 3.2, 2016-01-05 00:00:00, 22.0, 2.0
10.4, 2.2, -1.0, 8.2, 2016-01-06 00:00:00, 26.0, 0.5
5.8, 5.2, -2.0, 0.6, 2016-01-07 00:00:00, 28.0, 2.5
2.6, 2.6, -2.0, 0.0, 2016-01-08 00:00:00, 20.0, 2.0
0.0, 0.0, -2.0, 0.0, 2016-01-09 00:00:00, 18.0, 1.5
0.0, 0.0, -3.0, 0.0, 2016-01-10 00:00:00, 18.0, 0.0
2.0, 0.0, -5.0, 2.0, 2016-01-11 00:00:00, 17.0, -0.5
9.2, 0.0, -5.0, 9.2, 2016-01-12 00:00:00, 20.0, 1.0
6.2, 2.4, -5.0, 3.8, 2016-01-13 00:00:00, 27.0, 1.5
0.0, 0.0, -5.0, 0.0, 2016-01-14 00:00:00, 22.0, 4.0
0.0, 0.0, -5.0, 0.0, 2016-01-15 00:00:00, 22.0, 2.5
10.4, 0.0, -2.0, 10.4, 2016-01-16 00:00:00, 23.0, 0.5
8.0, 6.4, -2.5, 1.6, 2016-01-17 00:00:00, 33.0, 1.0
10.4, 10.4, 0.0, 0.0, 2016-01-18 00:00:00, 33.0, 2.5
8.0, 7.4, 0.0, 0.6, 2016-01-19 00:00:00, 28.0, 2.5
4.6, 4.6, 0.0, 0.0, 2016-01-20 00:00:00, 27.0, 3.5
6.2, 6.2, 0.0, 0.0, 2016-01-21 00:00:00, 26.0, 2.0
5.6, 5.6, -3.0, 0.0, 2016-01-22 00:00:00, 22.0, 3.0
16.6, 16.6, -2.0, 0.0, 2016-01-23 00:00:00, 20.0, 3.5
1.4, 1.4, -2.5, 0.0, 2016-01-24 00:00:00, 19.0, 4.0
0.0, 0.0, -2.0, 0.0, 2016-01-25 00:00:00, 17.0, 4.5
6.0, 6.0, -5.0, 0.0, 2016-01-26 00:00:00, 17.0, 3.0
14.4, 14.4, 0.0, 0.0, 2016-01-27 00:00:00, 15.0, 4.0
0.0, 0.0, 2.0, 0.0, 2016-01-28 00:00:00, 12.0, 4.0
0.0, 0.0, -1.0, 0.0, 2016-01-29 00:00:00, 12.0, 3.0
0.0, 0.0, -1.5, 0.0, 2016-01-30 00:00:00, 13.0, 4.0
2.4, 2.4, -1.5, 0.0, 2016-01-31 00:00:00, 10.0, 4.0
0.0, 0.0, -1.0, 0.0, 2016-02-01 00:00:00, 9.0, 2.5
0.0, 0.0, -1.5, 0.0, 2016-02-02 00:00:00, 9.0, 2.5
0.0, 0.0, -6.0, 0.0, 2016-02-03 00:00:00, 9.0, 0.5
0.0, 0.0, -3.0, 0.0, 2016-02-04 00:00:00, 9.0, 2.0
10.4, 10.4, 0.0, 0.0, 2016-02-05 00:00:00, 9.0, 4.0
2.0, 2.0, 0.0, 0.0, 2016-02-06 00:00:00, 8.0, 8.0
0.0, 0.0, -3.0, 0.0, 2016-02-07 00:00:00, 8.0, 4.0
0.0, 0.0, -3.0, 0.0, 2016-02-08 00:00:00, 8.0, 4.0
0.0, 0.0, -4.0, 0.0, 2016-02-09 00:00:00, 8.0, 5.0
0.0, 0.0, -2.0, 0.0, 2016-02-10 00:00:00, 7.0, 3.5
1.2, 1.2, 1.0, 0.0, 2016-02-11 00:00:00, 7.0, 5.5
3.4, 3.4, 1.0, 0.0, 2016-02-12 00:00:00, 6.0, 4.0
3.6, 3.6, 1.0, 0.0, 2016-02-13 00:00:00, 5.0, 3.5
5.6, 5.6, 1.5, 0.0, 2016-02-14 00:00:00, 5.0, 6.5
10.4, 10.4, 0.0, 0.0, 2016-02-15 00:00:00, 2.0, 6.0
12.2, 12.2, 2.0, 0.0, 2016-02-16 00:00:00, 0.0, 9.0
10.4, 10.4, 1.0, 0.0, 2016-02-17 00:00:00, 0.0, 4.0
6.6, 6.6, 0.0, 0.0, 2016-02-18 00:00:00, 0.0, 7.0
8.6, 8.6, 0.0, 0.0, 2016-02-19 00:00:00, 0.0, 7.0
0.0, 0.0, -1.0, 0.0, 2016-02-20 00:00:00, 0.0, 7.5
3.8, 3.8, -1.0, 0.0, 2016-02-21 00:00:00, 0.0, 8.5
0.0, 0.0, 0.0, 0.0, 2016-02-22 00:00:00, 0.0, 7.0
0.0, 0.0, -1.5, 0.0, 2016-02-23 00:00:00, 0.0, 7.0
0.0, 0.0, -5.0, 0.0, 2016-02-24 00:00:00, 0.0, 5.0
0.0, 0.0, -2.5, 0.0, 2016-02-25 00:00:00, 0.0, 7.5
0.0, 0.0, -3.0, 0.0, 2016-02-26 00:00:00, 0.0, 8.0
0.0, 0.0, 0.0, 0.0, 2016-02-27 00:00:00, 0.0, 6.0
4.6, 4.6, 1.5, 0.0, 2016-02-28 00:00:00, 0.0, 8.0
12.0, 12.0, -2.0, 0.0, 2016-02-29 00:00:00, 0.0, 9.5
14.4, 11.4, -1.5, 3.0, 2016-03-01 00:00:00, 0.0, 6.0
25.8, 25.8, 0.0, 0.0, 2016-03-02 00:00:00, 0.0, 7.0
4.0, 4.0, 1.0, 0.0, 2016-03-03 00:00:00, 0.0, 7.5
0.0, 0.0, 2.0, 0.0, 2016-03-04 00:00:00, 0.0, 11.0
