pcpn_amt_pst24hrs,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,dwpt_temp,stn_pres,week_of_year
None,12.1,-1.8, None, 0.0, 0.0,12.6,33.0,2022-03-29 14:00:00,-3.0, 952.0,13
None,13.6,-1.8, None, 0.0, 0.0,14.5,29.0,2022-03-29 15:00:00,-4.0, 951.0,13
None,14.6,-1.8, None, 0.0, 0.0,14.7,27.0,2022-03-29 16:00:00,-4.0, 950.0,13
None,15.5,-1.8, None, 0.0, 0.0,16.1,22.0,2022-03-29 17:00:00,-5.0, 950.0,13
None,12.2,-1.8, None, 0.0, 0.0,16.1,41.0,2022-03-29 18:00:00,-1.0, 949.0,13
None,11.7,11.0, None, 0.0, 0.0,12.5,44.0,2022-03-29 19:00:00,0.0, 949.0,13
None,5.5,5.4, None, 0.0, 0.0,12.5,73.0,2022-03-29 20:00:00,1.0, 949.0,13
None,2.8,2.9, 1016.1, 0.0, 0.0,12.5,82.0,2022-03-29 21:00:00,0.0, 950.0,13
None,1.6,1.2, 1015.0, 0.0, 0.0,12.5,88.0,2022-03-29 22:00:00,0.0, 949.0,13
None,0.4,0.1, 1016.0, 0.0, 0.0,12.5,91.0,2022-03-29 23:00:00,-1.0, 950.0,13
None,-0.3,-0.4, 1014.8, 0.0, 0.0,12.5,91.0,2022-03-30 00:00:00,-1.0, 949.0,13
None,-0.5,-0.5, 1014.5, 0.0, 0.0,12.5,92.0,2022-03-30 01:00:00,-2.0, 949.0,13
None,-0.6,-0.6, 1014.4, 0.0, 0.0,12.5,93.0,2022-03-30 02:00:00,-2.0, 949.0,13
None,-1.0,-1.0, 1014.3, 0.0, 0.0,12.5,94.0,2022-03-30 03:00:00,-2.0, 949.0,13
None,-1.1,-1.5, 1014.2, 0.0, 0.0,12.5,95.0,2022-03-30 04:00:00,-2.0, 949.0,13
None,-1.4,-1.8, 1014.2, 0.0, 0.0,12.5,96.0,2022-03-30 05:00:00,-2.0, 949.0,13
None,-1.6,-1.8, 1014.4, 0.0, 0.0,12.5,96.0,2022-03-30 06:00:00,-2.0, 949.0,13
None,-1.1,-1.7, 1014.4, 0.0, 0.0,-0.8,94.0,2022-03-30 07:00:00,-2.0, 949.0,13
0.0,-0.6,-1.7, 1014.8, 0.0, 0.0,-0.5,93.0,2022-03-30 08:00:00,-1.0, 949.0,13
0.0,0.4,-1.7, 1013.9, 0.0, 0.0,0.4,91.0,2022-03-30 09:00:00,-1.0, 948.0,13
0.0,2.5,-1.7, 1012.8, 0.0, 0.0,2.5,79.0,2022-03-30 10:00:00,-1.0, 947.0,13
0.8,2.3,-1.7, 1012.9, 0.8, 0.0,2.9,92.0,2022-03-30 11:00:00,1.0, 947.0,13
1.7,2.6,-1.7, 1014.0, 0.9, 0.0,2.9,95.0,2022-03-30 12:00:00,2.0, 948.0,13
1.7,4.7,-1.7, 1014.9, 0.1, 0.0,4.5,84.0,2022-03-30 13:00:00,2.0, 949.0,13
1.7,6.7,-1.7, 1015.8, 0.0, 0.0,6.6,70.0,2022-03-30 14:00:00,2.0, 950.0,13
1.7,7.6,-1.7, 1016.8, 0.0, 0.0,7.6,52.0,2022-03-30 15:00:00,-2.0, 951.0,13
1.7,8.5,-1.7, 1016.8, 0.0, 0.0,8.6,46.0,2022-03-30 16:00:00,-2.0, 951.0,13
1.7,9.3,-1.7, 1015.7, 0.0, 0.0,9.6,39.0,2022-03-30 17:00:00,-4.0, 950.0,13
