ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,MAX_TEMP,week_of_year
None, 561.0, 812.0, None, None,2017-03-05 00:00:00, -9.2, None, None,10
None, 562.0, 812.0, None, None,2017-03-05 01:00:00, -10.5, None, None,10
None, 562.0, 812.0, None, None,2017-03-05 02:00:00, -11.1, None, None,10
None, 562.0, 813.0, None, None,2017-03-05 03:00:00, -11.3, None, None,10
None, 562.0, 813.0, None, None,2017-03-05 04:00:00, -11.3, None, None,10
None, 562.0, 813.0, None, None,2017-03-05 05:00:00, -11.5, None, None,10
None, 562.0, 813.0, None, None,2017-03-05 06:00:00, -11.9, None, None,10
None, 562.0, 813.0, None, None,2017-03-05 07:00:00, -12.2, None, None,10
None, 562.0, 813.0, None, None,2017-03-05 08:00:00, -12.4, None, None,10
None, 562.0, 813.0, None, None,2017-03-05 09:00:00, -13.1, None, None,10
None, 562.0, 813.0, None, None,2017-03-05 10:00:00, -13.5, None, None,10
None, 562.0, 813.0, None, None,2017-03-05 11:00:00, -13.8, None, None,10
None, 562.0, 813.0, None, None,2017-03-05 12:00:00, -14.6, None, None,10
None, 562.0, 813.0, None, None,2017-03-05 13:00:00, -14.4, None, None,10
None, 562.0, 814.0, None, None,2017-03-05 14:00:00, -14.8, None, None,10
None, 562.0, 814.0, None, None,2017-03-05 15:00:00, -13.7, None, None,10
None, 561.0, 814.0, 15.0, None,2017-03-05 16:00:00, -12.6, None, None,10
None, 561.0, 814.0, None, None,2017-03-05 17:00:00, -11.6, None, None,10
None, 561.0, 814.0, None, None,2017-03-05 18:00:00, -11.2, None, None,10
None, 561.0, 814.0, None, None,2017-03-05 19:00:00, -11.0, None, None,10
None, 561.0, 814.0, None, None,2017-03-05 20:00:00, -9.1, None, None,10
None, 561.0, 814.0, None, None,2017-03-05 21:00:00, -10.2, None, None,10
None, 561.0, 814.0, None, None,2017-03-05 22:00:00, -9.9, None, None,10
None, 561.0, 814.0, None, None,2017-03-05 23:00:00, -10.3, None, None,10
None, 561.0, 815.0, None, None,2017-03-06 00:00:00, -11.2, None, None,10
None, 562.0, 815.0, None, None,2017-03-06 01:00:00, -12.1, None, None,10
None, 562.0, 815.0, None, None,2017-03-06 02:00:00, -12.5, None, None,10
None, 562.0, 815.0, None, None,2017-03-06 03:00:00, -12.3, None, None,10
None, 562.0, 815.0, None, None,2017-03-06 04:00:00, -12.4, None, None,10
None, 562.0, 815.0, None, None,2017-03-06 05:00:00, -12.3, None, None,10
None, 562.0, 815.0, None, None,2017-03-06 06:00:00, -12.5, None, None,10
None, 562.0, 815.0, None, None,2017-03-06 07:00:00, -12.6, None, None,10
None, 562.0, 815.0, None, None,2017-03-06 08:00:00, -12.5, None, None,10
None, 563.0, 815.0, None, None,2017-03-06 09:00:00, -12.0, None, None,10
None, 563.0, 815.0, None, None,2017-03-06 10:00:00, -12.3, None, None,10
None, 563.0, 815.0, None, None,2017-03-06 11:00:00, -12.2, None, None,10
None, 563.0, 815.0, None, None,2017-03-06 12:00:00, -11.9, None, None,10
None, 563.0, 815.0, None, None,2017-03-06 13:00:00, -12.2, None, None,10
None, 563.0, 815.0, None, None,2017-03-06 14:00:00, -12.2, None, None,10
None, 563.0, 815.0, None, None,2017-03-06 15:00:00, -11.8, None, None,10
None, 563.0, 816.0, 15.0, None,2017-03-06 16:00:00, -10.8, None, None,10
None, 563.0, 816.0, None, None,2017-03-06 17:00:00, -8.9, None, None,10
None, 563.0, 816.0, None, None,2017-03-06 18:00:00, -9.1, None, None,10
None, 563.0, 816.0, None, None,2017-03-06 19:00:00, -8.0, None, None,10
None, 563.0, 816.0, None, None,2017-03-06 20:00:00, -6.4, None, None,10
None, 563.0, 817.0, None, None,2017-03-06 21:00:00, -8.4, None, None,10
None, 564.0, 817.0, None, None,2017-03-06 22:00:00, -7.5, None, None,10
None, 564.0, 817.0, None, None,2017-03-06 23:00:00, -8.5, None, None,10
None, 564.0, 817.0, None, None,2017-03-07 00:00:00, -8.6, None, None,10
None, 564.0, 817.0, None, None,2017-03-07 01:00:00, -10.4, None, None,10
None, 565.0, 817.0, None, None,2017-03-07 02:00:00, -11.0, None, None,10
None, 565.0, 817.0, None, None,2017-03-07 03:00:00, -11.1, None, None,10
None, 565.0, 817.0, None, None,2017-03-07 04:00:00, -12.4, None, None,10
None, 565.0, 818.0, None, None,2017-03-07 05:00:00, -11.7, None, None,10
None, 566.0, 818.0, None, None,2017-03-07 06:00:00, -11.9, None, None,10
