RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None, None, None, None,12.85,59.87, None, None, None, None, None, None, None, None, None, None, None, None,9.33, None, None, None, None,11.12, None, None, None, None,2017-06-04 00:00:00, None,23
None, None, None, None,15.69,54.87, None, None, None, None, None, None, None, None, None, None, None, None,10.51, None, None, None, None,8.37, None, None, None, None,2017-06-04 01:00:00, None,23
None, None, None, None,2.326,66.64, None, None, None, None, None, None, None, None, None, None, None, None,9.27, None, None, None, None,56.0, None, None, None, None,2017-06-04 02:00:00, None,23
None, None, None, None,4.906,209.3, None, None, None, None, None, None, None, None, None, None, None, None,9.46, None, None, None, None,21.18, None, None, None, None,2017-06-04 03:00:00, None,23
None, None, None, None,2.382,228.7, None, None, None, None, None, None, None, None, None, None, None, None,8.73, None, None, None, None,36.37, None, None, None, None,2017-06-04 04:00:00, None,23
None, None, None, None,3.033,226.2, None, None, None, None, None, None, None, None, None, None, None, None,8.73, None, None, None, None,34.44, None, None, None, None,2017-06-04 05:00:00, None,23
None, None, None, None,3.634,197.7, None, None, None, None, None, None, None, None, None, None, None, None,9.08, None, None, None, None,24.74, None, None, None, None,2017-06-04 06:00:00, None,23
None, None, None, None,6.189,183.2, None, None, None, None, None, None, None, None, None, None, None, None,9.22, None, None, None, None,17.92, None, None, None, None,2017-06-04 07:00:00, None,23
None, None, None, None,6.464,187.0, None, None, None, None, None, None, None, None, None, None, None, None,11.12, None, None, None, None,25.68, None, None, None, None,2017-06-04 08:00:00, None,23
None, None, None, None,6.758,204.0, None, None, None, None, None, None, None, None, None, None, None, None,13.29, None, None, None, None,24.54, None, None, None, None,2017-06-04 09:00:00, None,23
