CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,snwfl_amt_pst1hr,stn_pres,week_of_year
None, -24.15, 27.7, None, None, None, None, 0.0, 0.0, 0.0, -36.0, None, -24.2, -24.3, 0.0, -36.0, None, None, -22.4, None, None, 28.0, None,2022-01-01 00:00:00, None, None, None, None,1
None, -24.22, 27.65, None, None, None, None, 0.0, 0.0, 0.0, -36.0, None, -24.2, -24.3, 0.0, -36.0, None, None, -22.4, None, None, 28.0, None,2022-01-01 01:00:00, None, None, None, None,1
None, -24.39, 27.77, None, None, None, None, 0.0, 0.0, 0.0, -37.0, None, -24.4, -24.4, 0.0, -37.0, None, None, -22.4, None, None, 28.0, None,2022-01-01 02:00:00, None, None, None, None,1
None, -24.65, 27.91, None, None, None, None, 0.0, 0.0, 0.0, -37.0, None, -24.7, -24.7, 0.0, -37.0, None, None, -22.4, None, None, 28.0, None,2022-01-01 03:00:00, None, None, None, None,1
None, -24.6, 27.77, None, None, None, None, 0.0, 0.0, 0.0, -37.0, None, -24.6, -24.7, 0.0, -37.0, None, None, -22.4, None, None, 28.0, None,2022-01-01 04:00:00, None, None, None, None,1
None, -23.84, 27.6, None, None, None, None, 0.0, 0.0, 0.0, -36.0, None, -23.8, -24.7, 0.0, -36.0, None, None, -22.4, None, None, 28.0, None,2022-01-01 05:00:00, None, None, None, None,1
None, -22.73, 27.27, None, None, None, None, 9.54, 0.0, 23.92, -35.0, None, -22.7, -24.7, 0.0, -35.0, None, None, -22.4, None, None, 27.0, None,2022-01-01 06:00:00, None, None, None, None,1
None, -23.06, 27.37, None, None, None, None, 6.033, 0.0, 23.9, -36.0, None, -23.1, -23.1, 0.0, -36.0, None, None, -22.7, None, None, 27.0, None,2022-01-01 07:00:00, None, None, None, None,1
None, -22.66, 27.25, None, None, None, None, 4.266, 0.0, 23.79, -35.0, None, -22.7, -23.1, 0.0, -35.0, None, None, -22.7, None, None, 27.0, None,2022-01-01 08:00:00, None, None, None, None,1
None, -22.04, 27.06, None, None, None, None, 6.033, 0.0, 22.29, -35.0, None, -22.0, -23.1, 0.0, -35.0, None, None, -22.0, None, None, 27.0, None,2022-01-01 09:00:00, None, None, None, None,1
None, -21.35, 26.86, None, None, None, None, 0.0, 0.0, 0.0, -34.0, None, -21.4, -23.1, 0.0, -34.0, None, None, -21.4, None, None, 27.0, None,2022-01-01 10:00:00, None, None, None, None,1
None, -20.85, 26.64, None, None, None, None, 0.0, 0.0, 0.0, -34.0, None, -20.9, -23.1, 0.0, -34.0, None, None, -20.8, None, None, 27.0, None,2022-01-01 11:00:00, None, None, None, None,1
None, -20.91, 26.72, None, None, None, None, 6.033, 0.0, 344.3, -34.0, None, -20.9, -23.1, 0.0, -34.0, None, None, -20.8, None, None, 27.0, None,2022-01-01 12:00:00, None, None, None, None,1
None, -20.58, 26.62, None, None, None, None, 0.0, 0.0, 0.0, -34.0, None, -20.6, -23.1, 0.0, -34.0, None, None, -20.6, None, None, 27.0, None,2022-01-01 13:00:00, None, None, None, None,1
None, -20.24, 26.52, None, None, None, None, 7.37, 0.0, 325.7, -33.0, None, -20.2, -23.1, 0.0, -33.0, None, None, -20.2, None, None, 27.0, None,2022-01-01 14:00:00, None, None, None, None,1
None, -20.62, 26.57, None, None, None, None, 8.23, 0.093, 105.7, -34.0, None, -20.6, -23.1, 0.0, -34.0, None, None, -20.2, None, None, 27.0, None,2022-01-01 15:00:00, None, None, None, None,1
None, -20.91, 26.66, None, None, None, None, 6.014, 0.0, 258.9, -34.0, None, -20.9, -23.1, 0.0, -34.0, None, None, -20.2, None, None, 27.0, None,2022-01-01 16:00:00, None, None, None, None,1
None, -20.96, 26.74, None, None, None, None, 15.74, 0.0, 306.5, -34.0, None, -21.0, -23.1, 0.0, -34.0, None, None, -20.2, None, None, 27.0, None,2022-01-01 17:00:00, None, None, None, None,1
None, -20.93, 26.67, None, None, None, None, 11.86, 0.088, 138.9, -34.0, None, -20.9, -23.1, 0.0, -34.0, None, None, -20.2, None, None, 27.0, None,2022-01-01 18:00:00, None, None, None, None,1
None, -20.97, 26.74, None, None, None, None, 12.42, 0.1, 93.4, -34.0, None, -21.0, -21.0, 0.0, -34.0, None, None, -20.9, None, None, 27.0, None,2022-01-01 19:00:00, None, None, None, None,1
None, -20.54, 26.55, None, None, None, None, 24.4, 0.689, 113.4, -34.0, None, -20.5, -21.0, 0.0, -34.0, None, None, -20.5, None, None, 27.0, None,2022-01-01 20:00:00, None, None, None, None,1
None, -20.27, 26.47, None, None, None, None, 17.33, 0.119, 116.1, -33.0, None, -20.3, -21.0, 0.0, -33.0, None, None, -20.2, None, None, 26.0, None,2022-01-01 21:00:00, None, None, None, None,1
None, -19.99, 26.39, None, None, None, None, 20.61, 1.249, 97.1, -33.0, None, -20.0, -21.0, 0.0, -33.0, None, None, -20.0, None, None, 26.0, None,2022-01-01 22:00:00, None, None, None, None,1
None, -20.03, 26.4, None, None, None, None, 22.55, 0.49, 102.5, -33.0, None, -20.0, -21.0, 0.0, -33.0, None, None, -19.6, None, None, 26.0, None,2022-01-01 23:00:00, None, None, None, None,1
None, -19.94, 26.43, None, None, None, None, 19.76, 0.165, 124.4, -33.0, None, -19.9, -21.0, 0.0, -33.0, None, None, -19.6, None, None, 26.0, None,2022-01-02 00:00:00, None, None, None, None,1
None, -20.21, 26.45, None, None, None, None, 9.15, 0.039, 115.2, -33.0, None, -20.2, -21.0, 0.0, -33.0, None, None, -19.6, None, None, 26.0, None,2022-01-02 01:00:00, None, None, None, None,1
None, -20.26, 26.47, None, None, None, None, 14.11, 0.088, 150.1, -33.0, None, -20.3, -21.0, 0.0, -33.0, None, None, -19.6, None, None, 26.0, None,2022-01-02 02:00:00, None, None, None, None,1
None, -19.18, 26.2, None, None, None, None, 20.25, 0.064, 127.4, -32.0, None, -19.2, -21.0, 0.0, -32.0, None, None, -19.2, None, None, 26.0, None,2022-01-02 03:00:00, None, None, None, None,1
None, -18.25, 25.92, None, None, None, None, 13.37, 0.136, 144.1, -32.0, None, -18.3, -21.0, 0.0, -32.0, None, None, -18.2, None, None, 26.0, None,2022-01-02 04:00:00, None, None, None, None,1
None, -17.53, 25.71, None, None, None, None, 6.336, 0.165, 153.0, -31.0, None, -17.5, -21.0, 0.0, -31.0, None, None, -17.5, None, None, 26.0, None,2022-01-02 05:00:00, None, None, None, None,1
None, -17.09, 25.58, None, None, None, None, 5.906, 0.291, 159.6, -31.0, None, -17.1, -21.0, 0.0, -31.0, None, None, -17.0, None, None, 26.0, None,2022-01-02 06:00:00, None, None, None, None,1
None, -16.23, 25.26, None, None, None, None, 25.97, 1.046, 120.2, -30.0, None, -16.2, -17.2, 0.0, -30.0, None, None, -16.2, None, None, 25.0, None,2022-01-02 07:00:00, None, None, None, None,1
None, -16.3, 25.34, None, None, None, None, 24.77, 0.345, 132.9, -30.0, None, -16.3, -17.2, 0.0, -30.0, None, None, -15.9, None, None, 25.0, None,2022-01-02 08:00:00, None, None, None, None,1
None, -14.63, 24.84, None, None, None, None, 23.8, 1.148, 95.1, -29.0, None, -14.6, -17.2, 0.0, -29.0, None, None, -14.6, None, None, 25.0, None,2022-01-02 09:00:00, None, None, None, None,1
None, -15.18, 24.94, None, None, None, None, 24.89, 0.404, 107.7, -29.0, None, -15.2, -17.2, 0.0, -29.0, None, None, -14.6, None, None, 25.0, None,2022-01-02 10:00:00, None, None, None, None,1
None, -14.59, 24.83, None, None, None, None, 12.65, 0.306, 113.8, -29.0, None, -14.6, -17.2, 0.0, -29.0, None, None, -14.6, None, None, 25.0, None,2022-01-02 11:00:00, None, None, None, None,1
None, -15.01, 24.89, None, None, None, None, 23.82, 0.271, 126.6, -29.0, None, -15.0, -17.2, 0.0, -29.0, None, None, -14.6, None, None, 25.0, None,2022-01-02 12:00:00, None, None, None, None,1
None, -15.49, 25.04, None, None, None, None, 18.67, 0.115, 126.7, -30.0, None, -15.5, -17.2, 0.0, -30.0, None, None, -14.6, None, None, 25.0, None,2022-01-02 13:00:00, None, None, None, None,1
None, -15.1, 24.98, None, None, None, None, 31.22, 0.999, 142.0, -29.0, None, -15.1, -17.2, 0.0, -29.0, None, None, -14.6, None, None, 25.0, None,2022-01-02 14:00:00, None, None, None, None,1
None, -13.88, 24.61, None, None, None, None, 38.0, 1.968, 131.3, -28.0, None, -13.9, -17.2, 0.0, -28.0, None, None, -13.9, None, None, 25.0, None,2022-01-02 15:00:00, None, None, None, None,1
None, -13.49, 24.5, None, None, None, None, 36.5, 2.439, 133.7, -28.0, None, -13.5, -17.2, 0.0, -28.0, None, None, -13.5, None, None, 25.0, None,2022-01-02 16:00:00, None, None, None, None,1
None, -13.1, 24.38, None, None, None, None, 38.85, 7.03, 131.5, -28.0, None, -13.1, -17.2, 0.0, -28.0, None, None, -13.1, None, None, 24.0, None,2022-01-02 17:00:00, None, None, None, None,1
None, -12.77, 24.28, None, None, None, None, 40.07, 9.72, 119.2, -27.0, None, -12.8, -17.2, 0.0, -27.0, None, None, -12.8, None, None, 24.0, None,2022-01-02 18:00:00, None, None, None, None,1
