pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,time,snw_dpth,stn_pres,week_of_year
0.3, -22.05, 80.3, -22.0, None, 18.3, 4.396, 75.88, -24.0, None, -22.1, -23.7, 1017.7, 0.3, -24.0, 917.0, None, 0.0, 80.0,2022-01-01 00:00:00, None, 917.0,1
0.7, -21.56, 80.7, -21.6, None, 23.07, 2.223, 37.9, -23.0, None, -21.6, -23.7, 1016.2, 0.4, -23.0, 916.0, None, 0.0, 81.0,2022-01-01 01:00:00, None, 916.0,1
1.0, -21.01, 81.2, -20.8, None, 23.69, 1.817, 359.7, -23.0, None, -21.0, -23.7, 1016.3, 0.3, -23.0, 916.0, None, 0.0, 81.0,2022-01-01 02:00:00, None, 916.0,1
1.0, -19.5, 82.3, -19.4, None, 27.92, 2.33, 19.43, -22.0, None, -19.5, -23.7, 1014.9, 0.1, -22.0, 915.0, None, 0.0, 82.0,2022-01-01 03:00:00, None, 915.0,1
1.0, -18.95, 82.7, -18.9, None, 30.38, 3.099, 38.13, -21.0, None, -19.0, -23.7, 1012.5, 0.0, -21.0, 913.0, None, 0.0, 83.0,2022-01-01 04:00:00, None, 913.0,1
1.0, -18.31, 83.3, -18.3, None, 19.4, 2.14, 30.07, -20.0, None, -18.3, -23.7, 1011.3, 0.0, -20.0, 912.0, None, 0.0, 83.0,2022-01-01 05:00:00, None, 912.0,1
1.0, -17.89, 83.5, -17.8, None, 29.9, 3.021, 50.92, -20.0, None, -17.9, -23.7, 1009.0, 0.0, -20.0, 910.0, None, 0.0, 84.0,2022-01-01 06:00:00, None, 910.0,1
1.0, -16.75, 84.6, -16.8, None, 38.73, 3.288, 34.06, -18.0, None, -16.8, -17.9, 1007.7, 0.0, -18.0, 909.0, None, 0.0, 85.0,2022-01-01 07:00:00, None, 909.0,1
1.0, -16.24, 85.0, -16.3, None, 33.2, 3.1, 34.53, -18.0, None, -16.2, -17.9, 1005.4, 0.0, -18.0, 907.0, None, 0.0, 85.0,2022-01-01 08:00:00, None, 907.0,1
1.0, -15.22, 86.0, -15.2, None, 35.04, 2.4, 5.393, -17.0, None, -15.2, -17.9, 1004.1, 0.0, -17.0, 906.0, None, 0.0, 86.0,2022-01-01 09:00:00, None, 906.0,1
1.0, -14.53, 86.4, -14.3, None, 37.56, 2.097, 0.208, -16.0, None, -14.5, -17.9, 1004.0, 0.0, -16.0, 906.0, None, 0.0, 86.0,2022-01-01 10:00:00, None, 906.0,1
1.0, -12.78, 87.9, -12.8, None, 30.7, 3.307, 13.24, -14.0, None, -12.8, -17.9, 1002.6, 0.0, -14.0, 905.0, None, 0.0, 88.0,2022-01-01 11:00:00, None, 905.0,1
1.0, -10.5, 89.3, -9.7, None, 32.98, 2.803, 341.2, -12.0, None, -10.5, -17.9, 1001.3, 0.0, -12.0, 904.0, None, 0.0, 89.0,2022-01-01 12:00:00, None, 904.0,1
1.0, -9.63, 89.9, -9.5, None, 27.62, 3.5, 345.5, -11.0, None, -9.6, -17.9, 1001.1, 0.0, -11.0, 904.0, None, 0.0, 90.0,2022-01-01 13:00:00, None, 904.0,1
1.0, -9.74, 90.3, -9.3, None, 26.12, 4.44, 10.72, -11.0, None, -9.7, -17.9, 1001.1, 0.0, -11.0, 904.0, None, 0.0, 90.0,2022-01-01 14:00:00, None, 904.0,1
