pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, None, -16.31, None, None, None, None, None, None, 2.0, None, None, None, None, -16.3, -17.7, 0.9, None, None, None, -16.3, None, None,2022-01-01 00:00:00, 139.0, None, 138.7, 450.0,1
None, None, -16.01, None, None, None, None, None, None, 1.0, None, None, None, None, -16.0, -17.7, 1.0, None, None, None, -15.8, None, None,2022-01-01 01:00:00, 140.0, None, 139.7, 450.0,1
None, None, -15.41, None, None, None, None, None, None, 1.0, None, None, None, None, -15.4, -17.7, 1.4, None, None, None, -15.4, None, None,2022-01-01 02:00:00, 141.0, None, 140.5, 450.0,1
None, None, -15.89, None, None, None, None, None, None, 2.0, None, None, None, None, -15.9, -17.7, 1.2, None, None, None, -15.4, None, None,2022-01-01 03:00:00, 142.0, None, 142.0, 450.0,1
None, None, -15.52, None, None, None, None, None, None, -1.0, None, None, None, None, -15.5, -17.7, 1.2, None, None, None, -15.4, None, None,2022-01-01 04:00:00, 141.0, None, 141.3, 450.0,1
None, None, -14.84, None, None, None, None, None, None, 3.0, None, None, None, None, -14.8, -17.7, 1.9, None, None, None, -14.8, None, None,2022-01-01 05:00:00, 144.0, None, 144.3, 450.0,1
None, None, -15.14, None, None, None, None, None, None, 4.0, None, None, None, None, -15.1, -17.7, 2.2, None, None, None, -14.6, None, None,2022-01-01 06:00:00, 148.0, None, 148.0, 450.0,1
18.8, None, -14.78, None, None, None, None, None, None, 3.0, None, None, None, None, -14.8, -15.4, 2.2, None, None, None, -14.8, None, None,2022-01-01 07:00:00, 151.0, None, 151.3, 450.0,1
21.4, None, -13.68, None, None, None, None, None, None, 3.0, None, None, None, None, -13.7, -15.4, 2.6, None, None, None, -13.7, None, None,2022-01-01 08:00:00, 154.0, None, 154.2, 450.0,1
23.6, None, -12.89, None, None, None, None, None, None, 1.0, None, None, None, None, -12.9, -15.4, 2.2, None, None, None, -12.9, None, None,2022-01-01 09:00:00, 156.0, None, 155.6, 450.0,1
