air_temp,CURRENT_AIR_TEMPERATURE1,min_air_temp_snc_last_reset,max_air_temp_snc_last_reset,rel_hum,time,dwpt_temp,week_of_year
-22.3, None, -22.4, -18.6, None,2022-01-01 00:00:00, None,1
-22.3, None, -22.4, -18.6, None,2022-01-01 01:00:00, None,1
-21.9, None, -22.4, -18.6, None,2022-01-01 02:00:00, None,1
-20.7, None, -22.4, -18.6, None,2022-01-01 03:00:00, None,1
-19.5, None, -22.4, -18.6, None,2022-01-01 04:00:00, None,1
-18.3, None, -22.4, -18.4, None,2022-01-01 05:00:00, None,1
-17.7, None, -22.4, -17.7, None,2022-01-01 06:00:00, None,1
-17.3, None, -17.7, -17.3, None,2022-01-01 07:00:00, None,1
-16.5, None, -17.7, -16.5, None,2022-01-01 08:00:00, None,1
-15.5, None, -17.7, -15.5, None,2022-01-01 09:00:00, None,1
-14.3, None, -17.7, -14.3, None,2022-01-01 10:00:00, None,1
-13.0, None, -17.7, -13.0, None,2022-01-01 11:00:00, None,1
-11.9, None, -17.7, -11.9, None,2022-01-01 12:00:00, None,1
-10.6, None, -17.7, -10.6, None,2022-01-01 13:00:00, None,1
-9.5, None, -17.7, -9.5, None,2022-01-01 14:00:00, None,1
-7.2, None, -17.7, -7.3, None,2022-01-01 15:00:00, None,1
-6.3, None, -17.7, -6.1, None,2022-01-01 16:00:00, None,1
-7.8, None, -17.7, -6.1, None,2022-01-01 17:00:00, None,1
-8.7, None, -17.7, -6.1, None,2022-01-01 18:00:00, None,1
-8.9, None, -8.9, -8.7, None,2022-01-01 19:00:00, None,1
-8.4, None, -8.9, -8.4, None,2022-01-01 20:00:00, None,1
-7.4, None, -8.9, -7.4, None,2022-01-01 21:00:00, None,1
-6.4, None, -8.9, -6.4, None,2022-01-01 22:00:00, None,1
-6.4, None, -8.9, -6.4, None,2022-01-01 23:00:00, None,1
-5.4, None, -8.9, -5.4, None,2022-01-02 00:00:00, None,1
-5.1, None, -8.9, -5.1, None,2022-01-02 01:00:00, None,1
-5.4, None, -8.9, -5.1, None,2022-01-02 02:00:00, None,1
-5.2, None, -8.9, -5.1, None,2022-01-02 03:00:00, None,1
-4.6, None, -8.9, -4.6, None,2022-01-02 04:00:00, None,1
-4.5, None, -8.9, -4.3, None,2022-01-02 05:00:00, None,1
-4.2, None, -8.9, -4.3, None,2022-01-02 06:00:00, None,1
-4.4, None, -4.4, -4.1, None,2022-01-02 07:00:00, None,1
-5.7, None, -5.7, -4.1, None,2022-01-02 08:00:00, None,1
-5.9, None, -6.0, -4.1, None,2022-01-02 09:00:00, None,1
-5.4, None, -6.0, -4.1, None,2022-01-02 10:00:00, None,1
-3.9, None, -6.0, -3.9, None,2022-01-02 11:00:00, None,1
-2.0, None, -6.0, -2.0, None,2022-01-02 12:00:00, None,1
-3.4, None, -6.0, -2.0, None,2022-01-02 13:00:00, None,1
-4.6, None, -6.0, -2.0, None,2022-01-02 14:00:00, None,1
-4.8, None, -6.0, -2.0, None,2022-01-02 15:00:00, None,1
-6.4, None, -6.4, -2.0, None,2022-01-02 16:00:00, None,1
-7.8, None, -7.8, -2.0, None,2022-01-02 17:00:00, None,1
-8.4, None, -8.4, -2.0, None,2022-01-02 18:00:00, None,1
-8.4, None, -8.5, -8.4, None,2022-01-02 19:00:00, None,1
-8.0, None, -8.5, -8.0, None,2022-01-02 20:00:00, None,1
-8.2, None, -8.5, -8.0, None,2022-01-02 21:00:00, None,1
-8.2, None, -8.5, -8.0, None,2022-01-02 22:00:00, None,1
-8.0, None, -8.5, -8.0, None,2022-01-02 23:00:00, None,1
-7.8, None, -8.5, -7.8, None,2022-01-03 00:00:00, None,1
-7.4, None, -8.5, -7.4, None,2022-01-03 01:00:00, None,1
-7.2, None, -8.5, -7.2, None,2022-01-03 02:00:00, None,1
-7.0, None, -8.5, -7.1, None,2022-01-03 03:00:00, None,1
-6.9, None, -8.5, -6.8, None,2022-01-03 04:00:00, None,1
-7.1, None, -8.5, -6.8, None,2022-01-03 05:00:00, None,1
-7.1, None, -8.5, -6.8, None,2022-01-03 06:00:00, None,1
-7.4, None, -7.4, -7.1, None,2022-01-03 07:00:00, None,1
-7.2, None, -7.4, -7.1, None,2022-01-03 08:00:00, None,1
-6.7, None, -7.4, -6.7, None,2022-01-03 09:00:00, None,1
-5.9, None, -7.4, -5.9, None,2022-01-03 10:00:00, None,1
-4.4, None, -7.4, -4.4, None,2022-01-03 11:00:00, None,1
-2.3, None, -7.4, -2.3, None,2022-01-03 12:00:00, None,1
-1.3, None, -7.4, -1.3, None,2022-01-03 13:00:00, None,1
-1.1, None, -7.4, -1.1, None,2022-01-03 14:00:00, None,1
-1.1, None, -7.4, -1.0, None,2022-01-03 15:00:00, None,1
-1.5, None, -7.4, -0.1, None,2022-01-03 16:00:00, None,1
-4.8, None, -7.4, -0.1, None,2022-01-03 17:00:00, None,1
-6.5, None, -7.4, -0.1, None,2022-01-03 18:00:00, None,1
-6.8, None, -6.8, -6.5, None,2022-01-03 19:00:00, None,1
-6.8, None, -6.8, -6.5, None,2022-01-03 20:00:00, None,1
-7.4, None, -7.4, -6.5, None,2022-01-03 21:00:00, None,1
-7.4, None, -7.5, -6.5, None,2022-01-03 22:00:00, None,1
-6.8, None, -7.5, -6.5, None,2022-01-03 23:00:00, None,1
-7.9, None, -7.9, -6.5, None,2022-01-04 00:00:00, None,1
-10.4, None, -10.4, -6.5, None,2022-01-04 01:00:00, None,1
-12.1, None, -12.0, -6.5, None,2022-01-04 02:00:00, None,1
-13.1, None, -13.1, -6.5, None,2022-01-04 03:00:00, None,1
-14.0, None, -14.0, -6.5, None,2022-01-04 04:00:00, None,1
-14.9, None, -14.9, -6.5, None,2022-01-04 05:00:00, None,1
-15.5, None, -15.5, -6.5, None,2022-01-04 06:00:00, None,1
-15.8, None, -15.8, -15.5, None,2022-01-04 07:00:00, None,1
-16.2, None, -16.2, -15.5, None,2022-01-04 08:00:00, None,1
-16.5, None, -16.5, -15.5, None,2022-01-04 09:00:00, None,1
-15.2, None, -16.5, -15.2, None,2022-01-04 10:00:00, None,1
-13.3, None, -16.5, -13.4, None,2022-01-04 11:00:00, None,1
-11.6, None, -16.5, -11.7, None,2022-01-04 12:00:00, None,1
-11.4, None, -16.5, -11.3, None,2022-01-04 13:00:00, None,1
-11.1, None, -16.5, -11.1, None,2022-01-04 14:00:00, None,1
-8.0, None, -16.5, -8.0, None,2022-01-04 15:00:00, None,1
-8.6, None, -16.5, -6.5, None,2022-01-04 16:00:00, None,1
-13.7, None, -16.5, -6.5, None,2022-01-04 17:00:00, None,1
-15.6, None, -16.5, -6.5, None,2022-01-04 18:00:00, None,1
-16.1, None, -16.1, -15.6, None,2022-01-04 19:00:00, None,1
-16.6, None, -16.6, -15.6, None,2022-01-04 20:00:00, None,1
-17.2, None, -17.2, -15.6, None,2022-01-04 21:00:00, None,1
-17.9, None, -17.8, -15.6, None,2022-01-04 22:00:00, None,1
-18.1, None, -18.1, -15.6, None,2022-01-04 23:00:00, None,1
-18.3, None, -18.3, -15.6, None,2022-01-05 00:00:00, None,1
-18.6, None, -18.6, -15.6, None,2022-01-05 01:00:00, None,1
-18.8, None, -18.8, -15.6, None,2022-01-05 02:00:00, None,1
-19.3, None, -19.3, -15.6, None,2022-01-05 03:00:00, None,1
-19.7, None, -19.7, -15.6, None,2022-01-05 04:00:00, None,1
-19.9, None, -20.0, -15.6, None,2022-01-05 05:00:00, None,1
-20.3, None, -20.2, -15.6, None,2022-01-05 06:00:00, None,1
-20.9, None, -20.9, -20.3, None,2022-01-05 07:00:00, None,1
-21.6, None, -21.6, -20.3, None,2022-01-05 08:00:00, None,1
-22.5, None, -22.5, -20.3, None,2022-01-05 09:00:00, None,1
-21.6, None, -22.5, -20.3, None,2022-01-05 10:00:00, None,1
-20.8, None, -22.5, -20.3, None,2022-01-05 11:00:00, None,1
-20.5, None, -22.5, -20.3, None,2022-01-05 12:00:00, None,1
-18.9, None, -22.5, -18.9, None,2022-01-05 13:00:00, None,1
-17.0, None, -22.5, -17.0, None,2022-01-05 14:00:00, None,1
-16.1, None, -22.5, -16.0, None,2022-01-05 15:00:00, None,1
-17.4, None, -22.5, -16.0, None,2022-01-05 16:00:00, None,1
-19.1, None, -22.5, -16.0, None,2022-01-05 17:00:00, None,1
-19.6, None, -22.5, -16.0, None,2022-01-05 18:00:00, None,1
-19.8, None, -19.8, -19.6, None,2022-01-05 19:00:00, None,1
-19.8, None, -19.9, -19.6, None,2022-01-05 20:00:00, None,1
-19.6, None, -19.9, -19.6, None,2022-01-05 21:00:00, None,1
-19.0, None, -19.9, -19.0, None,2022-01-05 22:00:00, None,1
-18.6, None, -19.9, -18.6, None,2022-01-05 23:00:00, None,1
-18.3, None, -19.9, -18.3, None,2022-01-06 00:00:00, None,1
-17.9, None, -19.9, -18.0, None,2022-01-06 01:00:00, None,1
-17.5, None, -19.9, -17.5, None,2022-01-06 02:00:00, None,1
-17.4, None, -19.9, -17.4, None,2022-01-06 03:00:00, None,1
-17.3, None, -19.9, -17.3, None,2022-01-06 04:00:00, None,1
-16.6, None, -19.9, -16.6, None,2022-01-06 05:00:00, None,1
-16.1, None, -19.9, -16.1, None,2022-01-06 06:00:00, None,1
-16.0, None, -16.1, -16.0, None,2022-01-06 07:00:00, None,1
-15.9, None, -16.1, -15.9, None,2022-01-06 08:00:00, None,1
-15.5, None, -16.1, -15.5, None,2022-01-06 09:00:00, None,1
-14.2, None, -16.1, -14.2, None,2022-01-06 10:00:00, None,1
-11.9, None, -16.1, -11.9, None,2022-01-06 11:00:00, None,1
-8.3, None, -16.1, -8.4, None,2022-01-06 12:00:00, None,1
-3.2, None, -16.1, -3.3, None,2022-01-06 13:00:00, None,1
-1.3, None, -16.1, -1.3, None,2022-01-06 14:00:00, None,1
-3.0, None, -16.1, -1.3, None,2022-01-06 15:00:00, None,1
-5.1, None, -16.1, -1.3, None,2022-01-06 16:00:00, None,1
-7.6, None, -16.1, -1.3, None,2022-01-06 17:00:00, None,1
-9.1, None, -16.1, -1.3, None,2022-01-06 18:00:00, None,1
-9.5, None, -9.5, -9.1, None,2022-01-06 19:00:00, None,1
-9.2, None, -9.6, -9.1, None,2022-01-06 20:00:00, None,1
-7.3, None, -9.6, -7.3, None,2022-01-06 21:00:00, None,1
-5.7, None, -9.6, -5.7, None,2022-01-06 22:00:00, None,1
-6.2, None, -9.6, -5.4, None,2022-01-06 23:00:00, None,1
-7.0, None, -9.6, -5.4, None,2022-01-07 00:00:00, None,1
-5.9, None, -9.6, -5.4, None,2022-01-07 01:00:00, None,1
-3.7, None, -9.6, -3.7, None,2022-01-07 02:00:00, None,1
-5.5, None, -9.6, -3.7, None,2022-01-07 03:00:00, None,1
-4.7, None, -9.6, -3.7, None,2022-01-07 04:00:00, None,1
-3.5, None, -9.6, -3.5, None,2022-01-07 05:00:00, None,1
-6.3, None, -9.6, -3.5, None,2022-01-07 06:00:00, None,1
-8.5, None, -8.5, -6.3, None,2022-01-07 07:00:00, None,1
-9.2, None, -9.2, -6.3, None,2022-01-07 08:00:00, None,1
-8.6, None, -9.3, -6.3, None,2022-01-07 09:00:00, None,1
-6.9, None, -9.3, -6.3, None,2022-01-07 10:00:00, None,1
-6.8, None, -9.3, -6.3, None,2022-01-07 11:00:00, None,1
-5.3, None, -9.3, -5.3, None,2022-01-07 12:00:00, None,1
-3.4, None, -9.3, -3.4, None,2022-01-07 13:00:00, None,1
