pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,snw_dpth,week_of_year
0.0, -22.93, 79.94, -20.4, 80.0, -25.0, -22.9, -23.3, -25.0, 0.0, 0.0,2022-01-01 00:00:00, None,1
0.0, -22.78, 80.4, -20.4, 80.0, -25.0, -22.8, -23.3, -25.0, 0.0, 0.0,2022-01-01 01:00:00, None,1
0.0, -22.16, 80.8, -20.4, 81.0, -24.0, -22.2, -23.3, -24.0, 0.0, 0.0,2022-01-01 02:00:00, None,1
0.0, -20.15, 81.4, -20.1, 81.0, -22.0, -20.2, -23.3, -22.0, 0.0, 0.0,2022-01-01 03:00:00, None,1
0.0, -18.52, 81.5, -18.4, 82.0, -21.0, -18.5, -23.3, -21.0, 0.0, 0.0,2022-01-01 04:00:00, None,1
0.0, -17.23, 82.1, -17.3, 82.0, -19.0, -17.2, -23.3, -19.0, 0.0, 0.0,2022-01-01 05:00:00, None,1
0.0, -16.42, 79.43, -16.3, 79.0, -19.0, -16.4, -23.3, -19.0, 0.0, 0.0,2022-01-01 06:00:00, None,1
0.0, -16.38, 78.65, -16.3, 79.0, -19.0, -16.4, -16.6, -19.0, 0.0, 0.0,2022-01-01 07:00:00, None,1
0.0, -16.73, 80.8, -16.3, 81.0, -19.0, -16.7, -16.9, -19.0, 0.0, 0.0,2022-01-01 08:00:00, None,1
0.2, -16.08, 82.1, -16.1, 82.0, -18.0, -16.1, -16.9, -18.0, 0.2, 0.0,2022-01-01 09:00:00, None,1
0.2, -14.31, 78.77, -14.3, 79.0, -17.0, -14.3, -16.9, -17.0, 0.1, 0.0,2022-01-01 10:00:00, None,1
0.2, -14.91, 80.6, -14.3, 81.0, -17.0, -14.9, -16.9, -17.0, 0.1, 0.0,2022-01-01 11:00:00, None,1
0.2, -14.03, 74.56, -13.9, 75.0, -17.0, -14.0, -16.9, -17.0, 0.0, 0.0,2022-01-01 12:00:00, None,1
0.2, -13.75, 72.76, -13.7, 73.0, -17.0, -13.8, -16.9, -17.0, 0.0, 0.0,2022-01-01 13:00:00, None,1
0.2, -13.43, 71.86, -13.4, 72.0, -17.0, -13.4, -16.9, -17.0, 0.0, 0.0,2022-01-01 14:00:00, None,1
0.2, -13.21, 73.22, -13.2, 73.0, -16.0, -13.2, -16.9, -16.0, 0.0, 0.0,2022-01-01 15:00:00, None,1
0.2, -13.04, 75.33, -13.0, 75.0, -16.0, -13.0, -16.9, -16.0, 0.0, 0.0,2022-01-01 16:00:00, None,1
0.2, -12.94, 75.42, -12.9, 75.0, -16.0, -12.9, -16.9, -16.0, 0.0, 0.0,2022-01-01 17:00:00, None,1
0.2, -12.94, 75.64, -12.8, 76.0, -16.0, -12.9, -16.9, -16.0, 0.0, 0.0,2022-01-01 18:00:00, None,1
0.2, -13.17, 78.74, -12.8, 79.0, -16.0, -13.2, -13.1, -16.0, 0.0, 0.0,2022-01-01 19:00:00, None,1
0.2, -13.11, 77.16, -12.8, 77.0, -16.0, -13.1, -13.3, -16.0, 0.0, 0.0,2022-01-01 20:00:00, None,1
0.2, -13.24, 79.77, -12.8, 80.0, -16.0, -13.2, -13.3, -16.0, 0.0, 0.0,2022-01-01 21:00:00, None,1
0.2, -13.09, 75.0, -12.8, 75.0, -16.0, -13.1, -13.3, -16.0, 0.0, 0.0,2022-01-01 22:00:00, None,1
0.2, -13.26, 76.39, -12.8, 76.0, -16.0, -13.3, -13.4, -16.0, 0.0, 0.0,2022-01-01 23:00:00, None,1
0.2, -14.39, 79.28, -12.8, 79.0, -17.0, -14.4, -14.4, -17.0, 0.0, 0.0,2022-01-02 00:00:00, None,1
0.2, -13.82, 79.95, -12.8, 80.0, -16.0, -13.8, -15.0, -16.0, 0.0, 0.0,2022-01-02 01:00:00, None,1
0.2, -13.61, 77.12, -12.8, 77.0, -17.0, -13.6, -15.0, -17.0, 0.0, 0.0,2022-01-02 02:00:00, None,1
0.2, -12.79, 78.53, -12.8, 79.0, -15.0, -12.8, -15.0, -15.0, 0.0, 0.0,2022-01-02 03:00:00, None,1
0.2, -12.96, 78.23, -12.4, 78.0, -16.0, -13.0, -15.0, -16.0, 0.0, 0.0,2022-01-02 04:00:00, None,1
0.2, -11.89, 76.47, -11.9, 76.0, -15.0, -11.9, -15.0, -15.0, 0.0, 0.0,2022-01-02 05:00:00, None,1
0.2, -11.53, 76.36, -11.4, 76.0, -15.0, -11.5, -15.0, -15.0, 0.0, 0.0,2022-01-02 06:00:00, None,1
0.2, -11.62, 77.84, -11.5, 78.0, -15.0, -11.6, -11.8, -15.0, 0.0, 0.0,2022-01-02 07:00:00, None,1
0.2, -11.73, 78.33, -11.5, 78.0, -14.0, -11.7, -11.8, -14.0, 0.1, 0.0,2022-01-02 08:00:00, None,1
0.0, -11.36, 78.19, -11.4, 78.0, -14.0, -11.4, -11.8, -14.0, 0.0, 0.0,2022-01-02 09:00:00, None,1
0.0, -10.25, 74.94, -10.1, 75.0, -13.0, -10.3, -11.8, -13.0, 0.0, 0.0,2022-01-02 10:00:00, None,1
0.0, -9.2, 72.4, -9.2, 72.0, -13.0, -9.2, -11.8, -13.0, 0.0, 0.0,2022-01-02 11:00:00, None,1
0.0, -8.35, 70.36, -8.3, 70.0, -12.0, -8.4, -11.8, -12.0, 0.0, 0.0,2022-01-02 12:00:00, None,1
0.0, -7.869, 71.21, -7.8, 71.0, -12.0, -7.9, -11.8, -12.0, 0.1, 0.0,2022-01-02 13:00:00, None,1
0.0, -7.447, 71.42, -7.4, 71.0, -11.0, -7.4, -11.8, -11.0, 0.0, 0.0,2022-01-02 14:00:00, None,1
0.0, -7.506, 74.7, -7.3, 75.0, -11.0, -7.5, -11.8, -11.0, 0.1, 0.0,2022-01-02 15:00:00, None,1
0.0, -7.388, 78.88, -7.3, 79.0, -10.0, -7.4, -11.8, -10.0, 0.1, 0.0,2022-01-02 16:00:00, None,1
0.0, -7.626, 84.5, -7.3, 85.0, -10.0, -7.6, -11.8, -10.0, 0.1, 0.0,2022-01-02 17:00:00, None,1
0.2, -7.647, 87.2, -7.3, 87.0, -9.0, -7.6, -11.8, -9.0, 0.2, 0.0,2022-01-02 18:00:00, None,1
0.5, -7.727, 88.9, -7.5, 89.0, -9.0, -7.7, -7.9, -9.0, 0.3, 0.0,2022-01-02 19:00:00, None,1
0.5, -7.899, 89.7, -7.5, 90.0, -9.0, -7.9, -8.1, -9.0, 0.1, 0.0,2022-01-02 20:00:00, None,1
0.8, -7.705, 90.9, -7.5, 91.0, -9.0, -7.7, -8.1, -9.0, 0.3, 0.0,2022-01-02 21:00:00, None,1
1.2, -6.705, 91.3, -6.8, 91.0, -8.0, -6.7, -8.1, -8.0, 0.4, 0.0,2022-01-02 22:00:00, None,1
1.5, -5.696, 91.1, -5.7, 91.0, -7.0, -5.7, -8.1, -7.0, 0.3, 0.0,2022-01-02 23:00:00, None,1
1.8, -5.827, 93.3, -5.6, 93.0, -6.0, -5.8, -8.1, -6.0, 0.3, 0.0,2022-01-03 00:00:00, None,1
1.8, -6.323, 91.3, -5.4, 91.0, -7.0, -6.3, -8.1, -7.0, 0.1, 0.0,2022-01-03 01:00:00, None,1
1.8, -5.559, 92.3, -5.3, 92.0, -7.0, -5.6, -8.1, -7.0, 0.1, 0.0,2022-01-03 02:00:00, None,1
1.8, -4.621, 89.4, -4.6, 89.0, -6.0, -4.6, -8.1, -6.0, 0.1, 0.0,2022-01-03 03:00:00, None,1
