SolarRadiation,AirTemperature,Precipitation,Rain,WindSpeed,SnowDepth,time,WindDirection,RelativeHumidity,week_of_year
0.0, 6.4, 0.0,0.0, 6.6, 0.0,2020-04-29 00:00:00, 24.0,91.0,18
None, 6.2, None,0.0, 5.1, None,2020-04-29 00:15:00, 30.0,92.0,18
None, 6.3, None,0.0, 4.9, None,2020-04-29 00:30:00, 24.0,91.0,18
None, 6.1, None,0.0, 4.2, None,2020-04-29 00:45:00, 344.0,95.0,18
0.0, 6.1, 0.0,0.0, 5.2, 0.001,2020-04-29 01:00:00, 7.0,95.0,18
None, 6.1, None,0.0, 5.9, None,2020-04-29 01:15:00, 338.0,96.0,18
None, 6.2, None,0.0, 6.8, None,2020-04-29 01:30:00, 358.0,93.0,18
None, 6.2, None,0.0, 5.6, None,2020-04-29 01:45:00, 346.0,95.0,18
0.0, 6.0, 0.0,0.0, 6.0, 0.002,2020-04-29 02:00:00, 340.0,96.0,18
None, 5.9, None,0.0, 5.8, None,2020-04-29 02:15:00, 332.0,95.0,18
None, 5.8, None,0.0, 6.7, None,2020-04-29 02:30:00, 349.0,96.0,18
None, 5.8, None,0.0, 6.3, None,2020-04-29 02:45:00, 334.0,97.0,18
0.0, 5.7, 0.0,0.0, 7.6, 0.003,2020-04-29 03:00:00, 360.0,97.0,18
None, 5.7, None,0.0, 6.8, None,2020-04-29 03:15:00, 354.0,95.0,18
None, 5.6, None,0.0, 7.2, None,2020-04-29 03:30:00, 3.0,95.0,18
None, 5.9, None,0.0, 6.3, None,2020-04-29 03:45:00, 12.0,91.0,18
0.0, 6.3, 0.0,0.0, 6.4, 0.005,2020-04-29 04:00:00, 21.0,81.0,18
None, 6.7, None,0.0, 7.6, None,2020-04-29 04:15:00, 9.0,80.0,18
None, 6.9, None,0.0, 6.6, None,2020-04-29 04:30:00, 9.0,80.0,18
None, 6.6, None,0.0, 7.2, None,2020-04-29 04:45:00, 15.0,82.0,18
0.0, 6.5, 0.0,0.0, 9.0, 0.003,2020-04-29 05:00:00, 10.0,83.0,18
None, 6.5, None,0.0, 7.8, None,2020-04-29 05:15:00, 356.0,84.0,18
None, 6.5, None,0.0, 7.6, None,2020-04-29 05:30:00, 355.0,85.0,18
None, 6.6, None,0.0, 8.6, None,2020-04-29 05:45:00, 5.0,81.0,18
18.0, 6.7, 0.0,0.0, 8.6, 0.003,2020-04-29 06:00:00, 353.0,85.0,18
None, 6.7, None,0.0, 8.0, None,2020-04-29 06:15:00, 359.0,83.0,18
None, 7.1, None,0.0, 8.3, None,2020-04-29 06:30:00, 17.0,76.0,18
None, 7.3, None,0.0, 9.1, None,2020-04-29 06:45:00, 14.0,78.0,18
90.0, 7.6, 1.0,0.0, 8.3, 0.001,2020-04-29 07:00:00, 3.0,83.0,18
None, 7.6, None,0.0, 9.5, None,2020-04-29 07:15:00, 338.0,79.0,18
None, 7.8, None,0.0, 7.9, None,2020-04-29 07:30:00, 0.0,77.0,18
None, 8.0, None,0.0, 7.7, None,2020-04-29 07:45:00, 8.0,75.0,18
118.0, 8.3, 0.0,0.0, 8.6, 0.002,2020-04-29 08:00:00, 18.0,74.0,18
None, 7.8, None,0.0, 9.7, None,2020-04-29 08:15:00, 6.0,78.0,18
None, 8.0, None,0.0, 10.1, None,2020-04-29 08:30:00, 21.0,74.0,18
None, 8.1, None,0.0, 7.6, None,2020-04-29 08:45:00, 35.0,74.0,18
131.0, 8.1, 0.0,0.0, 7.5, 0.001,2020-04-29 09:00:00, 7.0,74.0,18
None, 9.0, None,0.0, 7.8, None,2020-04-29 09:15:00, 10.0,76.0,18
None, 8.9, None,0.0, 6.3, None,2020-04-29 09:30:00, 4.0,75.0,18
None, 9.3, None,0.0, 8.2, None,2020-04-29 09:45:00, 26.0,73.0,18
312.0, 9.5, 0.0,0.0, 6.6, 0.003,2020-04-29 10:00:00, 316.0,73.0,18
None, 10.7, None,0.0, 5.8, None,2020-04-29 10:15:00, 18.0,65.0,18
None, 11.0, None,0.0, 7.0, None,2020-04-29 10:30:00, 32.0,68.0,18
None, 11.2, None,0.0, 5.8, None,2020-04-29 10:45:00, 337.0,67.0,18
457.0, 12.0, 1.0,0.0, 4.4, 0.0,2020-04-29 11:00:00, 338.0,66.0,18
None, 11.9, None,0.0, 8.1, None,2020-04-29 11:15:00, 336.0,66.0,18
None, 11.8, None,0.0, 3.9, None,2020-04-29 11:30:00, 302.0,71.0,18
None, 12.7, None,0.0, 5.6, None,2020-04-29 11:45:00, 342.0,64.0,18
460.0, 12.9, 0.0,0.0, 7.2, 0.001,2020-04-29 12:00:00, 345.0,65.0,18
None, 13.8, None,0.0, 4.0, None,2020-04-29 12:15:00, 350.0,60.0,18
None, 15.0, None,0.0, 4.3, None,2020-04-29 12:30:00, 255.0,54.0,18
None, 15.5, None,0.0, 5.5, None,2020-04-29 12:45:00, 247.0,56.0,18
725.0, 15.7, 0.0,0.0, 6.0, 0.002,2020-04-29 13:00:00, 176.0,56.0,18
None, 16.2, None,0.0, 7.7, None,2020-04-29 13:15:00, 163.0,55.0,18
None, 16.1, None,0.0, 7.6, None,2020-04-29 13:30:00, 166.0,56.0,18
None, 16.7, None,0.0, 5.4, None,2020-04-29 13:45:00, 176.0,57.0,18
667.0, 16.0, 0.0,0.0, 7.6, 0.0,2020-04-29 14:00:00, 158.0,60.0,18
None, 14.5, None,0.0, 7.9, None,2020-04-29 14:15:00, 148.0,61.0,18
None, 13.8, None,0.0, 6.1, None,2020-04-29 14:30:00, 174.0,63.0,18
None, 13.7, None,0.0, 6.9, None,2020-04-29 14:45:00, 150.0,66.0,18
303.0, 13.9, 0.0,0.0, 7.3, 0.0,2020-04-29 15:00:00, 133.0,64.0,18
None, 14.6, None,0.0, 5.3, None,2020-04-29 15:15:00, 180.0,66.0,18
None, 14.0, None,0.0, 4.5, None,2020-04-29 15:30:00, 164.0,65.0,18
None, 13.9, None,0.0, 4.7, None,2020-04-29 15:45:00, 205.0,64.0,18
254.0, 13.7, -1.0,0.0, 5.8, 0.001,2020-04-29 16:00:00, 237.0,65.0,18
None, 13.7, None,0.0, 6.2, None,2020-04-29 16:15:00, 262.0,65.0,18
None, 13.1, None,0.0, 5.2, None,2020-04-29 16:30:00, 272.0,70.0,18
None, 12.0, None,0.0, 7.4, None,2020-04-29 16:45:00, 311.0,83.0,18
90.0, 11.1, 0.0,0.0, 6.8, 0.002,2020-04-29 17:00:00, 293.0,91.0,18
None, 10.8, None,0.0, 7.1, None,2020-04-29 17:15:00, 315.0,94.0,18
None, 10.4, None,0.254, 10.1, None,2020-04-29 17:30:00, 296.0,98.0,18
None, 10.2, None,0.0, 6.8, None,2020-04-29 17:45:00, 300.0,100.0,18
31.0, 10.2, -1.0,0.0, 9.0, 0.003,2020-04-29 18:00:00, 244.0,98.0,18
None, 10.2, None,0.0, 10.4, None,2020-04-29 18:15:00, 255.0,99.0,18
None, 10.1, None,0.0, 11.4, None,2020-04-29 18:30:00, 256.0,97.0,18
None, 9.8, None,0.0, 11.3, None,2020-04-29 18:45:00, 294.0,99.0,18
22.0, 9.3, 0.0,0.0, 13.0, 0.002,2020-04-29 19:00:00, 285.0,99.0,18
None, 8.9, None,0.0, 13.2, None,2020-04-29 19:15:00, 276.0,98.0,18
None, 8.6, None,0.0, 10.1, None,2020-04-29 19:30:00, 299.0,98.0,18
None, 8.4, None,0.0, 12.3, None,2020-04-29 19:45:00, 299.0,98.0,18
3.0, 8.2, 1.0,0.0, 11.6, 0.003,2020-04-29 20:00:00, 303.0,98.0,18
None, 7.9, None,0.0, 10.7, None,2020-04-29 20:15:00, 296.0,100.0,18
None, 7.6, None,0.0, 14.6, None,2020-04-29 20:30:00, 297.0,99.0,18
None, 7.5, None,0.0, 13.0, None,2020-04-29 20:45:00, 293.0,96.0,18
0.0, 7.4, -1.0,0.0, 11.1, 0.003,2020-04-29 21:00:00, 310.0,97.0,18
None, 7.4, None,0.0, 12.1, None,2020-04-29 21:15:00, 298.0,96.0,18
None, 7.4, None,0.0, 11.9, None,2020-04-29 21:30:00, 285.0,95.0,18
None, 7.3, None,0.0, 11.1, None,2020-04-29 21:45:00, 298.0,95.0,18
0.0, 7.2, 0.0,0.0, 9.5, 0.002,2020-04-29 22:00:00, 296.0,95.0,18
None, 7.1, None,0.0, 10.9, None,2020-04-29 22:15:00, 305.0,96.0,18
None, 7.1, None,0.0, 11.6, None,2020-04-29 22:30:00, 307.0,97.0,18
None, 7.1, None,0.0, 8.4, None,2020-04-29 22:45:00, 310.0,98.0,18
0.0, 7.0, 1.0,0.0, 9.7, 0.003,2020-04-29 23:00:00, 291.0,98.0,18
None, 7.0, None,0.0, 9.7, None,2020-04-29 23:15:00, 293.0,99.0,18
None, 7.0, None,0.0, 10.0, None,2020-04-29 23:30:00, 305.0,99.0,18
None, 6.9, None,0.0, 9.7, None,2020-04-29 23:45:00, 298.0,99.0,18
0.0, 6.8, -1.0,0.0, 9.8, 0.003,2020-04-30 00:00:00, 293.0,99.0,18
None, 6.7, None,0.0, 11.1, None,2020-04-30 00:15:00, 300.0,100.0,18
None, 6.5, None,0.0, 8.7, None,2020-04-30 00:30:00, 311.0,100.0,18
None, 6.4, None,0.0, 10.4, None,2020-04-30 00:45:00, 307.0,100.0,18
0.0, 6.4, 0.0,0.0, 11.4, 0.003,2020-04-30 01:00:00, 297.0,99.0,18
None, 6.5, None,0.0, 10.3, None,2020-04-30 01:15:00, 309.0,98.0,18
None, 6.5, None,0.0, 8.9, None,2020-04-30 01:30:00, 311.0,99.0,18
None, 6.5, None,0.0, 9.6, None,2020-04-30 01:45:00, 311.0,97.0,18
0.0, 6.3, 1.0,0.0, 9.4, 0.002,2020-04-30 02:00:00, 308.0,97.0,18
None, 6.4, None,0.0, 8.2, None,2020-04-30 02:15:00, 302.0,94.0,18
None, 6.4, None,0.0, 8.1, None,2020-04-30 02:30:00, 297.0,92.0,18
None, 6.3, None,0.0, 8.6, None,2020-04-30 02:45:00, 313.0,94.0,18
0.0, 6.3, -1.0,0.0, 6.9, 0.003,2020-04-30 03:00:00, 320.0,95.0,18
None, 6.2, None,0.0, 7.4, None,2020-04-30 03:15:00, 253.0,98.0,18
None, 6.2, None,0.0, 7.9, None,2020-04-30 03:30:00, 291.0,97.0,18
None, 6.1, None,0.0, 8.6, None,2020-04-30 03:45:00, 311.0,96.0,18
0.0, 6.0, 0.0,0.0, 7.5, 0.002,2020-04-30 04:00:00, 300.0,91.0,18
None, 5.7, None,0.0, 9.8, None,2020-04-30 04:15:00, 303.0,86.0,18
None, 5.5, None,0.0, 9.2, None,2020-04-30 04:30:00, 298.0,86.0,18
None, 5.2, None,0.0, 7.6, None,2020-04-30 04:45:00, 299.0,88.0,18
1.0, 4.6, 0.0,0.0, 5.6, 0.002,2020-04-30 05:00:00, 311.0,94.0,18
None, 4.5, None,0.0, 5.6, None,2020-04-30 05:15:00, 315.0,97.0,18
None, 4.7, None,0.0, 6.3, None,2020-04-30 05:30:00, 315.0,97.0,18
None, 4.8, None,0.0, 6.5, None,2020-04-30 05:45:00, 301.0,96.0,18
15.0, 5.0, 0.0,0.0, 8.6, 0.002,2020-04-30 06:00:00, 279.0,96.0,18
None, 5.1, None,0.0, 8.3, None,2020-04-30 06:15:00, 282.0,97.0,18
None, 5.2, None,0.0, 7.8, None,2020-04-30 06:30:00, 273.0,99.0,18
