pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, None, -9.38, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-01-06 14:00:00, None, None, 89.6, None,1
None, None, -9.08, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-01-06 15:00:00, None, None, 89.4, None,1
None, None, -8.08, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-01-06 16:00:00, None, None, 89.5, None,1
None, None, -6.277, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-01-06 17:00:00, None, None, 89.1, None,1
None, None, -5.879, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-01-06 18:00:00, None, None, 89.3, None,1
None, None, -7.13, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-01-06 19:00:00, None, None, 89.1, None,1
None, None, -5.516, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-01-06 20:00:00, None, None, 84.0, None,1
None, None, -5.352, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-01-06 21:00:00, None, None, 87.2, None,1
None, None, -5.373, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-01-06 22:00:00, None, None, 88.6, None,1
None, None, -5.396, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-01-06 23:00:00, None, None, 89.1, None,1
None, None, -5.494, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-01-07 00:00:00, None, None, 88.8, None,1
None, None, -5.603, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-01-07 01:00:00, None, None, 87.5, None,1
None, None, -5.718, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-01-07 02:00:00, None, None, 87.7, None,1
None, None, -5.835, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-01-07 03:00:00, None, None, 89.0, None,1
