RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,time,stn_pres,week_of_year
None, None, None, None,12.84,106.8, None, None, None, None, None, None, None, None, None, 124.0, None,-8.35, None, None, None, None,29.7, None, None, None, None, None,2017-01-06 14:00:00, None,1
None, None, None, None,19.92,99.0, None, None, None, None, None, None, None, None, None, 113.5, None,-7.82, None, None, None, None,27.61, None, None, None, None, None,2017-01-06 15:00:00, None,1
None, None, None, None,15.71,105.0, None, None, None, None, None, None, None, None, None, 112.7, None,-7.6, None, None, None, None,31.45, None, None, None, None, None,2017-01-06 16:00:00, None,1
None, None, None, None,15.2,116.4, None, None, None, None, None, None, None, None, None, 112.9, None,-7.21, None, None, None, None,30.71, None, None, None, None, None,2017-01-06 17:00:00, None,1
None, None, None, None,15.9,113.4, None, None, None, None, None, None, None, None, None, 113.1, None,-7.37, None, None, None, None,30.99, None, None, None, None, None,2017-01-06 18:00:00, None,1
None, None, None, None,15.69,121.3, None, None, None, None, None, None, None, None, None, 112.8, None,-6.768, None, None, None, None,30.22, None, None, None, None, None,2017-01-06 19:00:00, None,1
None, None, None, None,16.96,125.5, None, None, None, None, None, None, None, None, None, 113.1, None,-6.495, None, None, None, None,30.75, None, None, None, None, None,2017-01-06 20:00:00, None,1
None, None, None, None,17.16,131.8, None, None, None, None, None, None, None, None, None, 112.8, None,-6.515, None, None, None, None,31.76, None, None, None, None, None,2017-01-06 21:00:00, None,1
None, None, None, None,22.11,132.7, None, None, None, None, None, None, None, None, None, 112.6, None,-6.464, None, None, None, None,25.11, None, None, None, None, None,2017-01-06 22:00:00, None,1
None, None, None, None,26.46,130.8, None, None, None, None, None, None, None, None, None, 112.2, None,-6.106, None, None, None, None,20.11, None, None, None, None, None,2017-01-06 23:00:00, None,1
None, None, None, None,19.2,125.1, None, None, None, None, None, None, None, None, None, 112.5, None,-6.348, None, None, None, None,29.77, None, None, None, None, None,2017-01-07 00:00:00, None,1
None, None, None, None,18.51,116.3, None, None, None, None, None, None, None, None, None, 112.4, None,-6.407, None, None, None, None,31.39, None, None, None, None, None,2017-01-07 01:00:00, None,1
None, None, None, None,17.6,112.2, None, None, None, None, None, None, None, None, None, 112.1, None,-6.495, None, None, None, None,33.01, None, None, None, None, None,2017-01-07 02:00:00, None,1
None, None, None, None,17.89,117.5, None, None, None, None, None, None, None, None, None, 111.9, None,-7.03, None, None, None, None,31.19, None, None, None, None, None,2017-01-07 03:00:00, None,1
None, None, None, None,20.2,118.2, None, None, None, None, None, None, None, None, None, 111.9, None,-7.17, None, None, None, None,31.39, None, None, None, None, None,2017-01-07 04:00:00, None,1
None, None, None, None,19.6,92.3, None, None, None, None, None, None, None, None, None, 111.9, None,-7.64, None, None, None, None,35.72, None, None, None, None, None,2017-01-07 05:00:00, None,1
None, None, None, None,25.05,81.5, None, None, None, None, None, None, None, None, None, 111.7, None,-7.92, None, None, None, None,28.5, None, None, None, None, None,2017-01-07 06:00:00, None,1
None, None, None, None,22.68,93.9, None, None, None, None, None, None, None, None, None, 111.7, None,-8.24, None, None, None, None,32.36, None, None, None, None, None,2017-01-07 07:00:00, None,1
None, None, None, None,23.19,96.9, None, None, None, None, None, None, None, None, None, 111.2, None,-8.59, None, None, None, None,30.79, None, None, None, None, None,2017-01-07 08:00:00, None,1
None, None, None, None,25.92,96.7, None, None, None, None, None, None, None, None, None, 110.9, None,-8.64, None, None, None, None,28.0, None, None, None, None, None,2017-01-07 09:00:00, None,1
None, None, None, None,24.04,113.3, None, None, None, None, None, None, None, None, None, 110.9, None,-8.42, None, None, None, None,27.04, None, None, None, None, None,2017-01-07 10:00:00, None,1
None, None, None, None,20.6,98.1, None, None, None, None, None, None, None, None, None, 111.0, None,-8.99, None, None, None, None,26.77, None, None, None, None, None,2017-01-07 11:00:00, None,1
None, None, None, None,18.74,96.5, None, None, None, None, None, None, None, None, None, 111.0, None,-8.97, None, None, None, None,30.86, None, None, None, None, None,2017-01-07 12:00:00, None,1
None, None, None, None,21.83,119.3, None, None, None, None, None, None, None, None, None, 111.2, None,-8.04, None, None, None, None,23.09, None, None, None, None, None,2017-01-07 13:00:00, None,1
None, None, None, None,15.0,116.6, None, None, None, None, None, None, None, None, None, 110.9, None,-8.13, None, None, None, None,31.32, None, None, None, None, None,2017-01-07 14:00:00, None,1
