air_temp,CURRENT_AIR_TEMPERATURE1,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,HEIGHT_OF_SNOW,time,snw_dpth,dwpt_temp,stn_pres,week_of_year
None,-5.71, None, None, None, None, 201.8,2017-01-06 14:00:00, None, None, None,1
None,-6.054, None, None, None, None, 202.6,2017-01-06 15:00:00, None, None, None,1
None,-5.777, None, None, None, None, 203.1,2017-01-06 16:00:00, None, None, None,1
None,-5.825, None, None, None, None, 199.5,2017-01-06 17:00:00, None, None, None,1
None,-6.016, None, None, None, None, 199.8,2017-01-06 18:00:00, None, None, None,1
None,-5.796, None, None, None, None, 201.7,2017-01-06 19:00:00, None, None, None,1
None,-5.968, None, None, None, None, 201.8,2017-01-06 20:00:00, None, None, None,1
None,-5.825, None, None, None, None, 201.4,2017-01-06 21:00:00, None, None, None,1
None,-5.872, None, None, None, None, 199.5,2017-01-06 22:00:00, None, None, None,1
None,-6.188, None, None, None, None, 198.6,2017-01-06 23:00:00, None, None, None,1
None,-5.892, None, None, None, None, 197.3,2017-01-07 00:00:00, None, None, None,1
None,-6.265, None, None, None, None, 202.0,2017-01-07 01:00:00, None, None, None,1
None,-6.409, None, None, None, None, 201.8,2017-01-07 02:00:00, None, None, None,1
None,-7.02, None, None, None, None, 201.8,2017-01-07 03:00:00, None, None, None,1
None,-7.38, None, None, None, None, 201.6,2017-01-07 04:00:00, None, None, None,1
None,-8.03, None, None, None, None, 201.2,2017-01-07 05:00:00, None, None, None,1
None,-8.21, None, None, None, None, 201.0,2017-01-07 06:00:00, None, None, None,1
None,-8.23, None, None, None, None, 200.9,2017-01-07 07:00:00, None, None, None,1
None,-8.89, None, None, None, None, 200.3,2017-01-07 08:00:00, None, None, None,1
None,-9.24, None, None, None, None, 199.9,2017-01-07 09:00:00, None, None, None,1
None,-9.46, None, None, None, None, 200.1,2017-01-07 10:00:00, None, None, None,1
None,-9.36, None, None, None, None, 200.2,2017-01-07 11:00:00, None, None, None,1
None,-10.34, None, None, None, None, 200.0,2017-01-07 12:00:00, None, None, None,1
None,-10.5, None, None, None, None, 199.5,2017-01-07 13:00:00, None, None, None,1
None,-11.18, None, None, None, None, 199.0,2017-01-07 14:00:00, None, None, None,1
None,-12.13, None, None, None, None, 198.6,2017-01-07 15:00:00, None, None, None,1
None,-12.75, None, None, None, None, 198.5,2017-01-07 16:00:00, None, None, None,1
None,-13.03, None, None, None, None, 199.2,2017-01-07 17:00:00, None, None, None,1
None,-12.6, None, None, None, None, 199.6,2017-01-07 18:00:00, None, None, None,1
None,-12.66, None, None, None, None, 199.4,2017-01-07 19:00:00, None, None, None,1
None,-12.4, None, None, None, None, 199.4,2017-01-07 20:00:00, None, None, None,1
None,-12.49, None, None, None, None, 199.2,2017-01-07 21:00:00, None, None, None,1
None,-12.49, None, None, None, None, 199.1,2017-01-07 22:00:00, None, None, None,1
None,-12.52, None, None, None, None, 198.7,2017-01-07 23:00:00, None, None, None,1
