wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,Snow_WE,SNOW_ON_THE_GROUND,MAX_TEMP
354.0, 85.0, None, 0.0, -15.9, 3.0, -13.9, -14.0, 330.0, 0.0, 1.8, 85.0,2022-12-17 00:00:00,51,,,,,,
69.0, 85.0, None, 0.0, -16.0, 1.8, -14.0, -14.3, 354.0, 0.0, 1.8, 82.0,2022-12-17 01:00:00,51,,,,,,
346.0, None, None, 0.0, None, 1.8, None, -15.4, None, None, None, 83.0,2022-12-17 02:00:00,51,,,,,,
348.0, 83.0, 1.8, 0.0, -17.6, 3.4, -15.4, -14.9, 346.0, 0.0, 1.8, 84.0,2022-12-17 03:00:00,51,,,,,,
6.0, 84.0, 3.4, 0.0, -17.0, 4.1, -14.9, -13.8, 348.0, 0.0, 1.8, 85.0,2022-12-17 04:00:00,51,,,,,,
359.0, 85.0, 4.1, 0.0, -15.8, 2.9, -13.8, -13.8, 6.0, 0.0, 1.8, 85.0,2022-12-17 05:00:00,51,,,,,,
25.0, None, None, 0.0, None, 1.6, None, -14.0, None, None, None, 85.0,2022-12-17 06:00:00,51,,,,,,
217.0, 85.0, 1.6, 0.0, -16.0, 0.0, -14.0, -13.5, 25.0, 0.0, 1.8, 85.0,2022-12-17 07:00:00,51,,,,,,
188.0, None, None, 0.0, None, 0.0, None, -12.9, None, None, None, 85.0,2022-12-17 08:00:00,51,,,,,,
197.0, 85.0, None, 0.0, -14.9, 0.0, -12.9, -12.0, 188.0, 0.0, 1.8, 85.0,2022-12-17 09:00:00,51,,,,,,
148.0, 85.0, None, 0.0, -14.0, 0.0, -12.0, -11.4, 197.0, 0.0, 1.8, 86.0,2022-12-17 10:00:00,51,,,,,,
173.0, 86.0, None, 0.0, -13.3, 1.9, -11.4, -9.9, 148.0, 0.0, 1.8, 89.0,2022-12-17 11:00:00,51,,,,,,
308.0, None, None, 0.0, None, 10.3, None, -5.7, None, None, None, 84.0,2022-12-17 12:00:00,51,,,,,,
329.0, 84.0, 10.3, 0.0, -8.0, 10.6, -5.7, -5.5, 308.0, 0.0, 1.4, 76.0,2022-12-17 13:00:00,51,,,,,,
330.0, 76.0, 10.6, 0.0, -9.1, 15.2, -5.5, -6.2, 329.0, 0.0, 0.2, 78.0,2022-12-17 14:00:00,51,,,,,,
183.0, 78.0, 15.2, 0.0, -9.4, 3.6, -6.2, -11.6, 330.0, 0.0, 0.0, 86.0,2022-12-17 15:00:00,51,,,,,,
2.0, 86.0, 3.6, 0.0, -13.5, 17.3, -11.6, -9.1, 183.0, 0.0, 0.0, 78.0,2022-12-17 16:00:00,51,,,,,,
349.0, 78.0, 17.3, 0.0, -12.2, 24.2, -9.1, -9.8, 2.0, 0.0, 0.0, 75.0,2022-12-17 17:00:00,51,,,,,,
350.0, 75.0, 24.2, 0.0, -13.4, 26.5, -9.8, -11.0, 349.0, 0.0, 0.0, 75.0,2022-12-17 18:00:00,51,,,,,,
346.0, 75.0, 26.5, 0.0, -14.6, 15.6, -11.0, -12.5, 350.0, 0.0, 0.0, 74.0,2022-12-17 19:00:00,51,,,,,,
348.0, 74.0, 15.6, 0.0, -16.2, 20.7, -12.5, -13.8, 346.0, 0.0, 0.0, 75.0,2022-12-17 20:00:00,51,,,,,,
340.0, 75.0, 20.7, 0.0, -17.3, 25.5, -13.8, -14.7, 348.0, 0.0, 0.0, 74.0,2022-12-17 21:00:00,51,,,,,,
359.0, 74.0, 25.5, 0.0, -18.3, 16.3, -14.7, -15.6, 340.0, 0.0, 0.0, 71.0,2022-12-17 22:00:00,51,,,,,,
, 71.0, 16.3, None, -19.7, None, -15.6, None, 359.0, 0.0, 0.0, None,2022-12-17 23:00:00,51,,,,,,
353.0, 72.0, 22.9, 0.0, -20.2, 22.0, -16.3, -17.6, 349.0, 0.0, 0.0, 70.0,2022-12-18 00:00:00,51,,,,,,
343.0, 70.0, None, 0.0, -21.8, 28.3, -17.6, -18.5, 353.0, 0.0, 0.0, 70.0,2022-12-18 01:00:00,51,,,,,,
348.0, 70.0, 28.3, 0.0, -22.6, 23.3, -18.5, -18.9, 343.0, 0.0, 0.0, 70.0,2022-12-18 02:00:00,51,,,,,,
354.0, 70.0, 23.3, 0.0, -23.0, 18.7, -18.9, -19.3, 348.0, 0.0, 0.0, 69.0,2022-12-18 03:00:00,51,,,,,,
340.0, 69.0, 18.7, 0.0, -23.6, 29.9, -19.3, -20.6, 354.0, 0.0, 0.0, 74.0,2022-12-18 04:00:00,51,,,,,,
346.0, 74.0, 29.9, 0.0, -24.0, 19.4, -20.6, -20.8, 340.0, 0.0, 0.0, 74.0,2022-12-18 05:00:00,51,,,,,,
352.0, 74.0, 19.4, 0.0, -24.2, 26.5, -20.8, -21.6, 346.0, 0.0, 0.0, 74.0,2022-12-18 06:00:00,51,,,,,,
349.0, 74.0, 26.5, 0.0, -25.0, 25.6, -21.6, -22.1, 352.0, 0.0, 0.0, 73.0,2022-12-18 07:00:00,51,,,,,,
343.0, 73.0, 25.6, 0.0, -25.6, 26.7, -22.1, -22.7, 349.0, 0.0, 0.0, 73.0,2022-12-18 08:00:00,51,,,,,,
336.0, None, None, 0.0, None, 24.7, None, -22.8, None, None, None, 73.0,2022-12-18 09:00:00,51,,,,,,
332.0, None, None, 0.0, None, 30.1, None, -23.2, None, None, None, 70.0,2022-12-18 10:00:00,51,,,,,,
356.0, None, None, 0.0, None, 23.8, None, -22.3, None, None, None, 71.0,2022-12-18 11:00:00,51,,,,,,
342.0, None, None, 0.0, None, 26.7, None, -23.3, None, None, None, 71.0,2022-12-18 12:00:00,51,,,,,,
348.0, None, None, 0.0, None, 23.0, None, -23.7, None, None, None, 70.0,2022-12-18 13:00:00,51,,,,,,
347.0, None, None, 0.0, None, 23.4, None, -24.5, None, None, None, 71.0,2022-12-18 14:00:00,51,,,,,,
348.0, 71.0, 23.4, 0.0, -28.3, 24.1, -24.5, -24.7, 347.0, 0.0, 0.0, 70.0,2022-12-18 15:00:00,51,,,,,,
340.0, 70.0, 24.1, 0.0, -28.6, 26.7, -24.7, -25.3, 348.0, 0.0, 0.0, 70.0,2022-12-18 16:00:00,51,,,,,,
