CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,snwfl_amt_pst1hr,stn_pres,week_of_year
None,-15.61, 54.81, None, None, None, None,16.24,0.145,156.5, None, None, None, None, None, -22.0, None, None, None, None, None, None, None,2017-01-06 14:00:00, None, None, None, None,1
None,-16.72, 65.7, None, None, None, None,11.12,0.055,139.9, None, None, None, None, None, -21.0, None, None, None, None, None, None, None,2017-01-06 15:00:00, None, None, None, None,1
None,-17.08, 70.2, None, None, None, None,13.85,0.301,123.2, None, None, None, None, None, -21.0, None, None, None, None, None, None, None,2017-01-06 16:00:00, None, None, None, None,1
None,-17.19, 73.2, None, None, None, None,11.95,0.344,135.4, None, None, None, None, None, -20.0, None, None, None, None, None, None, None,2017-01-06 17:00:00, None, None, None, None,1
None,-17.53, 75.6, None, None, None, None,16.49,0.466,130.4, None, None, None, None, None, -20.0, None, None, None, None, None, None, None,2017-01-06 18:00:00, None, None, None, None,1
None,-16.93, 75.5, None, None, None, None,14.41,0.955,129.7, None, None, None, None, None, -20.0, None, None, None, None, None, None, None,2017-01-06 19:00:00, None, None, None, None,1
None,-16.59, 73.5, None, None, None, None,17.42,3.362,136.8, None, None, None, None, None, -20.0, None, None, None, None, None, None, None,2017-01-06 20:00:00, None, None, None, None,1
None,-16.69, 72.3, None, None, None, None,21.53,2.906,131.4, None, None, None, None, None, -20.0, None, None, None, None, None, None, None,2017-01-06 21:00:00, None, None, None, None,1
None,-16.66, 74.2, None, None, None, None,13.63,0.453,148.6, None, None, None, None, None, -20.0, None, None, None, None, None, None, None,2017-01-06 22:00:00, None, None, None, None,1
None,-16.82, 74.4, None, None, None, None,16.17,1.482,124.4, None, None, None, None, None, -20.0, None, None, None, None, None, None, None,2017-01-06 23:00:00, None, None, None, None,1
None,-16.72, 75.4, None, None, None, None,15.47,2.345,131.6, None, None, None, None, None, -20.0, None, None, None, None, None, None, None,2017-01-07 00:00:00, None, None, None, None,1
None,-16.77, 73.9, None, None, None, None,12.83,0.365,126.7, None, None, None, None, None, -20.0, None, None, None, None, None, None, None,2017-01-07 01:00:00, None, None, None, None,1
None,-17.01, 72.2, None, None, None, None,12.35,1.149,128.1, None, None, None, None, None, -20.0, None, None, None, None, None, None, None,2017-01-07 02:00:00, None, None, None, None,1
None,-17.33, 74.7, None, None, None, None,8.87,0.571,132.4, None, None, None, None, None, -20.0, None, None, None, None, None, None, None,2017-01-07 03:00:00, None, None, None, None,1
None,-17.27, 74.1, None, None, None, None,16.58,2.229,129.3, None, None, None, None, None, -20.0, None, None, None, None, None, None, None,2017-01-07 04:00:00, None, None, None, None,1
None,-17.0, 74.4, None, None, None, None,15.92,2.303,115.4, None, None, None, None, None, -20.0, None, None, None, None, None, None, None,2017-01-07 05:00:00, None, None, None, None,1
None,-16.36, 73.4, None, None, None, None,20.49,2.063,131.4, None, None, None, None, None, -20.0, None, None, None, None, None, None, None,2017-01-07 06:00:00, None, None, None, None,1
None,-16.37, 74.7, None, None, None, None,20.39,1.828,127.8, None, None, None, None, None, -19.0, None, None, None, None, None, None, None,2017-01-07 07:00:00, None, None, None, None,1
None,-16.51, 73.1, None, None, None, None,11.13,0.203,132.3, None, None, None, None, None, -20.0, None, None, None, None, None, None, None,2017-01-07 08:00:00, None, None, None, None,1
None,-15.75, 72.5, None, None, None, None,17.68,2.016,123.8, None, None, None, None, None, -19.0, None, None, None, None, None, None, None,2017-01-07 09:00:00, None, None, None, None,1
None,-14.54, 70.1, None, None, None, None,22.25,2.442,121.4, None, None, None, None, None, -18.0, None, None, None, None, None, None, None,2017-01-07 10:00:00, None, None, None, None,1
None,-13.01, 57.45, None, None, None, None,16.97,0.443,153.9, None, None, None, None, None, -19.0, None, None, None, None, None, None, None,2017-01-07 11:00:00, None, None, None, None,1
None,-13.78, 54.24, None, None, None, None,25.3,2.589,136.8, None, None, None, None, None, -20.0, None, None, None, None, None, None, None,2017-01-07 12:00:00, None, None, None, None,1
None,-11.9, 53.76, None, None, None, None,16.5,1.224,147.8, None, None, None, None, None, -19.0, None, None, None, None, None, None, None,2017-01-07 13:00:00, None, None, None, None,1
None,-11.53, 53.35, None, None, None, None,14.9,0.266,170.6, None, None, None, None, None, -18.0, None, None, None, None, None, None, None,2017-01-07 14:00:00, None, None, None, None,1
None,-14.21, 54.02, None, None, None, None,13.86,0.34,150.7, None, None, None, None, None, -21.0, None, None, None, None, None, None, None,2017-01-07 15:00:00, None, None, None, None,1
None,-14.98, 54.82, None, None, None, None,12.78,0.641,133.8, None, None, None, None, None, -21.0, None, None, None, None, None, None, None,2017-01-07 16:00:00, None, None, None, None,1
None,-16.05, 63.66, None, None, None, None,7.47,0.017,147.2, None, None, None, None, None, -21.0, None, None, None, None, None, None, None,2017-01-07 17:00:00, None, None, None, None,1
None,-16.42, 63.34, None, None, None, None,10.07,0.338,125.6, None, None, None, None, None, -21.0, None, None, None, None, None, None, None,2017-01-07 18:00:00, None, None, None, None,1
None,-16.38, 72.3, None, None, None, None,1.497,0.005,76.3, None, None, None, None, None, -20.0, None, None, None, None, None, None, None,2017-01-07 19:00:00, None, None, None, None,1
None,-16.42, 74.4, None, None, None, None,0.0,0.0,0.0, None, None, None, None, None, -20.0, None, None, None, None, None, None, None,2017-01-07 20:00:00, None, None, None, None,1
None,-16.3, 73.5, None, None, None, None,0.0,0.0,0.0, None, None, None, None, None, -20.0, None, None, None, None, None, None, None,2017-01-07 21:00:00, None, None, None, None,1
None,-16.0, 74.0, None, None, None, None,0.0,0.0,0.0, None, None, None, None, None, -19.0, None, None, None, None, None, None, None,2017-01-07 22:00:00, None, None, None, None,1
None,-15.39, 70.7, None, None, None, None,0.019,0.001,106.1, None, None, None, None, None, -19.0, None, None, None, None, None, None, None,2017-01-07 23:00:00, None, None, None, None,1
