pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, -5.816, None, None, None, None, 23.17, None, 8.97, 9.74, None, None, None, None, None, None, None, None, None, None, None,2017-01-06 14:00:00, None, None, 107.4, None,1
None, -5.826, None, None, None, None, 27.0, None, 7.72, 10.97, None, None, None, None, None, None, None, None, None, None, None,2017-01-06 15:00:00, None, None, 107.5, None,1
None, -5.865, None, None, None, None, 28.98, None, 8.89, 8.67, None, None, None, None, None, None, None, None, None, None, None,2017-01-06 16:00:00, None, None, 106.5, None,1
None, -5.758, None, None, None, None, 21.98, None, 10.72, 13.0, None, None, None, None, None, None, None, None, None, None, None,2017-01-06 17:00:00, None, None, 107.6, None,1
None, -5.768, None, None, None, None, 21.36, None, 11.9, 12.38, None, None, None, None, None, None, None, None, None, None, None,2017-01-06 18:00:00, None, None, 108.1, None,1
None, -5.943, None, None, None, None, 20.7, None, 12.82, 6.438, None, None, None, None, None, None, None, None, None, None, None,2017-01-06 19:00:00, None, None, 106.4, None,1
None, -6.041, None, None, None, None, 20.82, None, 12.71, 8.59, None, None, None, None, None, None, None, None, None, None, None,2017-01-06 20:00:00, None, None, 114.1, None,1
None, -6.031, None, None, None, None, 21.46, None, 11.99, 7.65, None, None, None, None, None, None, None, None, None, None, None,2017-01-06 21:00:00, None, None, 111.1, None,1
None, -5.797, None, None, None, None, 23.13, None, 11.8, 2.295, None, None, None, None, None, None, None, None, None, None, None,2017-01-06 22:00:00, None, None, 113.4, None,1
None, -5.729, None, None, None, None, 21.51, None, 11.27, 2.623, None, None, None, None, None, None, None, None, None, None, None,2017-01-06 23:00:00, None, None, 116.9, None,1
None, -6.157, None, None, None, None, 22.89, None, 10.5, 356.7, None, None, None, None, None, None, None, None, None, None, None,2017-01-07 00:00:00, None, None, 110.3, None,1
None, -6.245, None, None, None, None, 22.66, None, 11.75, 356.6, None, None, None, None, None, None, None, None, None, None, None,2017-01-07 01:00:00, None, None, 118.6, None,1
None, -6.686, None, None, None, None, 23.64, None, 11.6, 358.9, None, None, None, None, None, None, None, None, None, None, None,2017-01-07 02:00:00, None, None, 118.4, None,1
None, -6.922, None, None, None, None, 22.54, None, 14.19, 358.4, None, None, None, None, None, None, None, None, None, None, None,2017-01-07 03:00:00, None, None, 123.4, None,1
None, -7.38, None, None, None, None, 21.2, None, 14.24, 359.3, None, None, None, None, None, None, None, None, None, None, None,2017-01-07 04:00:00, None, None, 122.5, None,1
None, -7.65, None, None, None, None, 23.29, None, 13.51, 356.1, None, None, None, None, None, None, None, None, None, None, None,2017-01-07 05:00:00, None, None, 125.6, None,1
None, -7.94, None, None, None, None, 23.9, None, 12.98, 356.9, None, None, None, None, None, None, None, None, None, None, None,2017-01-07 06:00:00, None, None, 124.1, None,1
None, -8.26, None, None, None, None, 25.11, None, 11.13, 359.5, None, None, None, None, None, None, None, None, None, None, None,2017-01-07 07:00:00, None, None, 129.1, None,1
None, -8.61, None, None, None, None, 24.26, None, 8.75, 358.0, None, None, None, None, None, None, None, None, None, None, None,2017-01-07 08:00:00, None, None, 127.0, None,1
None, -8.6, None, None, None, None, 24.23, None, 10.3, 358.0, None, None, None, None, None, None, None, None, None, None, None,2017-01-07 09:00:00, None, None, 126.9, None,1
None, -8.73, None, None, None, None, 22.37, None, 11.14, 3.079, None, None, None, None, None, None, None, None, None, None, None,2017-01-07 10:00:00, None, None, 129.3, None,1
None, -8.98, None, None, None, None, 22.22, None, 8.48, 10.06, None, None, None, None, None, None, None, None, None, None, None,2017-01-07 11:00:00, None, None, 128.7, None,1
None, -8.79, None, None, None, None, 21.7, None, 8.7, 6.679, None, None, None, None, None, None, None, None, None, None, None,2017-01-07 12:00:00, None, None, 127.8, None,1
None, -8.78, None, None, None, None, 19.99, None, 10.55, 6.911, None, None, None, None, None, None, None, None, None, None, None,2017-01-07 13:00:00, None, None, 129.4, None,1
None, -8.92, None, None, None, None, 25.26, None, 7.77, 7.89, None, None, None, None, None, None, None, None, None, None, None,2017-01-07 14:00:00, None, None, 129.0, None,1
None, -9.01, None, None, None, None, 22.14, None, 7.9, 2.74, None, None, None, None, None, None, None, None, None, None, None,2017-01-07 15:00:00, None, None, 128.3, None,1
None, -9.38, None, None, None, None, 24.97, None, 8.81, 355.5, None, None, None, None, None, None, None, None, None, None, None,2017-01-07 16:00:00, None, None, 127.6, None,1
