pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,time,max_air_temp_snc_last_reset,MINIMUM_AIR_TEMPERATURE,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,MAXIMUM_AIR_TEMPERATURE,PRECIPITATION_NEW,snw_dpth,HEIGHT_OF_SNOW,week_of_year
None, None, -8.07, None, None,2017-01-06 14:00:00, None, None, None, None, None, None, None, None, None, None, None, 72.8,1
None, None, -8.27, None, None,2017-01-06 15:00:00, None, None, None, None, None, None, None, None, None, None, None, 75.2,1
None, None, -8.41, None, None,2017-01-06 16:00:00, None, None, None, None, None, None, None, None, None, None, None, 75.6,1
None, None, -8.81, None, None,2017-01-06 17:00:00, None, None, None, None, None, None, None, None, None, None, None, 75.3,1
None, None, -8.73, None, None,2017-01-06 18:00:00, None, None, None, None, None, None, None, None, None, None, None, 75.0,1
None, None, -8.63, None, None,2017-01-06 19:00:00, None, None, None, None, None, None, None, None, None, None, None, 75.1,1
None, None, -8.58, None, None,2017-01-06 20:00:00, None, None, None, None, None, None, None, None, None, None, None, 74.9,1
None, None, -8.61, None, None,2017-01-06 21:00:00, None, None, None, None, None, None, None, None, None, None, None, 75.1,1
None, None, -8.87, None, None,2017-01-06 22:00:00, None, None, None, None, None, None, None, None, None, None, None, 74.9,1
None, None, -9.09, None, None,2017-01-06 23:00:00, None, None, None, None, None, None, None, None, None, None, None, 74.7,1
None, None, -8.99, None, None,2017-01-07 00:00:00, None, None, None, None, None, None, None, None, None, None, None, 74.9,1
None, None, -9.16, None, None,2017-01-07 01:00:00, None, None, None, None, None, None, None, None, None, None, None, 74.9,1
None, None, -9.13, None, None,2017-01-07 02:00:00, None, None, None, None, None, None, None, None, None, None, None, 74.9,1
None, None, -9.9, None, None,2017-01-07 03:00:00, None, None, None, None, None, None, None, None, None, None, None, 74.9,1
None, None, -10.37, None, None,2017-01-07 04:00:00, None, None, None, None, None, None, None, None, None, None, None, 74.8,1
None, None, -10.47, None, None,2017-01-07 05:00:00, None, None, None, None, None, None, None, None, None, None, None, 74.9,1
None, None, -11.23, None, None,2017-01-07 07:00:00, None, None, None, None, None, None, None, None, None, None, None, 74.7,1
None, None, -11.77, None, None,2017-01-07 08:00:00, None, None, None, None, None, None, None, None, None, None, None, 74.6,1
None, None, -12.29, None, None,2017-01-07 09:00:00, None, None, None, None, None, None, None, None, None, None, None, 74.8,1
None, None, -12.57, None, None,2017-01-07 10:00:00, None, None, None, None, None, None, None, None, None, None, None, 74.6,1
None, None, -12.77, None, None,2017-01-07 11:00:00, None, None, None, None, None, None, None, None, None, None, None, 75.0,1
None, None, -12.95, None, None,2017-01-07 12:00:00, None, None, None, None, None, None, None, None, None, None, None, 74.7,1
None, None, -12.83, None, None,2017-01-07 13:00:00, None, None, None, None, None, None, None, None, None, None, None, 74.7,1
None, None, -12.89, None, None,2017-01-07 14:00:00, None, None, None, None, None, None, None, None, None, None, None, 74.5,1
None, None, -13.27, None, None,2017-01-07 15:00:00, None, None, None, None, None, None, None, None, None, None, None, 74.2,1
None, None, -13.64, None, None,2017-01-07 16:00:00, None, None, None, None, None, None, None, None, None, None, None, 74.6,1
None, None, -13.95, None, None,2017-01-07 17:00:00, None, None, None, None, None, None, None, None, None, None, None, 75.6,1
None, None, -14.29, None, None,2017-01-07 18:00:00, None, None, None, None, None, None, None, None, None, None, None, 75.9,1
None, None, -14.81, None, None,2017-01-07 19:00:00, None, None, None, None, None, None, None, None, None, None, None, 75.8,1
None, None, -15.39, None, None,2017-01-07 20:00:00, None, None, None, None, None, None, None, None, None, None, None, 75.8,1
None, None, -16.2, None, None,2017-01-07 22:00:00, None, None, None, None, None, None, None, None, None, None, None, 75.5,1
None, None, -16.29, None, None,2017-01-07 23:00:00, None, None, None, None, None, None, None, None, None, None, None, 75.4,1
