pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_DIRECTION1,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, None, -2.479, 74.4, None, None, None, None, None, None, None, None, None, None, -6.0, None, None, None, None,2017-01-06 14:00:00, None, None, 41.82,1
None, None, -3.196, 79.3, None, None, None, None, None, None, None, None, None, None, -6.0, None, None, None, None,2017-01-06 15:00:00, None, None, 42.0,1
None, None, -3.237, 75.0, None, None, None, None, None, None, None, None, None, None, -7.0, None, None, None, None,2017-01-06 16:00:00, None, None, 42.05,1
None, None, -3.417, 75.2, None, None, None, None, None, None, None, None, None, None, -7.0, None, None, None, None,2017-01-06 17:00:00, None, None, 42.28,1
None, None, -3.992, 73.9, None, None, None, None, None, None, None, None, None, None, -8.0, None, None, None, None,2017-01-06 18:00:00, None, None, 41.78,1
None, None, -4.327, 74.3, None, None, None, None, None, None, None, None, None, None, -8.0, None, None, None, None,2017-01-06 19:00:00, None, None, 41.82,1
None, None, -5.142, 72.5, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None,2017-01-06 21:00:00, None, None, 41.69,1
None, None, -4.844, 72.1, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None,2017-01-06 22:00:00, None, None, 41.65,1
None, None, -5.657, 83.2, None, None, None, None, None, None, None, None, None, None, -8.0, None, None, None, None,2017-01-06 23:00:00, None, None, 41.53,1
None, None, -5.651, 79.3, None, None, None, None, None, None, None, None, None, None, -8.0, None, None, None, None,2017-01-07 00:00:00, None, None, 41.44,1
None, None, -6.03, 80.7, None, None, None, None, None, None, None, None, None, None, -8.0, None, None, None, None,2017-01-07 01:00:00, None, None, 41.42,1
None, None, -6.173, 74.4, None, None, None, None, None, None, None, None, None, None, -10.0, None, None, None, None,2017-01-07 02:00:00, None, None, 41.45,1
None, None, -6.509, 72.5, None, None, None, None, None, None, None, None, None, None, -10.0, None, None, None, None,2017-01-07 03:00:00, None, None, 41.4,1
None, None, -6.988, 75.8, None, None, None, None, None, None, None, None, None, None, -10.0, None, None, None, None,2017-01-07 04:00:00, None, None, 41.21,1
None, None, -7.9, 80.9, None, None, None, None, None, None, None, None, None, None, -10.0, None, None, None, None,2017-01-07 05:00:00, None, None, 41.06,1
None, None, -7.99, 82.5, None, None, None, None, None, None, None, None, None, None, -10.0, None, None, None, None,2017-01-07 06:00:00, None, None, 41.19,1
None, None, -7.79, 83.0, None, None, None, None, None, None, None, None, None, None, -10.0, None, None, None, None,2017-01-07 07:00:00, None, None, 41.12,1
None, None, -8.46, 84.3, None, None, None, None, None, None, None, None, None, None, -10.0, None, None, None, None,2017-01-07 08:00:00, None, None, 41.07,1
None, None, -7.4, 80.7, None, None, None, None, None, None, None, None, None, None, -10.0, None, None, None, None,2017-01-07 10:00:00, None, None, 40.98,1
None, None, -6.59, 74.2, None, None, None, None, None, None, None, None, None, None, -10.0, None, None, None, None,2017-01-07 11:00:00, None, None, 40.98,1
None, None, -6.413, 71.5, None, None, None, None, None, None, None, None, None, None, -10.0, None, None, None, None,2017-01-07 12:00:00, None, None, 41.12,1
None, None, -6.365, 70.3, None, None, None, None, None, None, None, None, None, None, -10.0, None, None, None, None,2017-01-07 13:00:00, None, None, 41.09,1
None, None, -5.982, 69.47, None, None, None, None, None, None, None, None, None, None, -10.0, None, None, None, None,2017-01-07 14:00:00, None, None, 41.05,1
None, None, -6.844, 75.6, None, None, None, None, None, None, None, None, None, None, -10.0, None, None, None, None,2017-01-07 15:00:00, None, None, 40.85,1
None, None, -8.04, 76.8, None, None, None, None, None, None, None, None, None, None, -11.0, None, None, None, None,2017-01-07 16:00:00, None, None, 40.82,1
None, None, -9.29, 76.4, None, None, None, None, None, None, None, None, None, None, -12.0, None, None, None, None,2017-01-07 17:00:00, None, None, 40.59,1
None, None, -9.85, 78.9, None, None, None, None, None, None, None, None, None, None, -12.0, None, None, None, None,2017-01-07 18:00:00, None, None, 40.53,1
None, None, -10.32, 78.7, None, None, None, None, None, None, None, None, None, None, -13.0, None, None, None, None,2017-01-07 19:00:00, None, None, 40.49,1
None, None, -10.9, 80.2, None, None, None, None, None, None, None, None, None, None, -13.0, None, None, None, None,2017-01-07 20:00:00, None, None, 40.39,1
None, None, -11.27, 82.2, None, None, None, None, None, None, None, None, None, None, -13.0, None, None, None, None,2017-01-07 21:00:00, None, None, 40.34,1
None, None, -11.26, 81.9, None, None, None, None, None, None, None, None, None, None, -13.0, None, None, None, None,2017-01-07 22:00:00, None, None, 40.33,1
None, None, -10.88, 81.9, None, None, None, None, None, None, None, None, None, None, -13.0, None, None, None, None,2017-01-07 23:00:00, None, None, 40.4,1
