RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None, None, None, None, 9.34, 143.8, None, None, None,1005.0, None, None, None, None, None, 66.79, None, None, -0.41, None, None, None, None, 33.93, None, None, None, None, None,2017-01-06 14:00:00, None,1
None, None, None, None, 6.542, 144.6, None, None, None,1005.0, None, None, None, None, None, 67.13, None, None, -0.421, None, None, None, None, 39.74, None, None, None, None, None,2017-01-06 15:00:00, None,1
None, None, None, None, 2.694, 141.2, None, None, None,1007.0, None, None, None, None, None, 67.03, None, None, -0.277, None, None, None, None, 54.29, None, None, None, None, None,2017-01-06 16:00:00, None,1
None, None, None, None, 1.171, 96.5, None, None, None,1007.0, None, None, None, None, None, 67.24, None, None, -0.075, None, None, None, None, 69.18, None, None, None, None, None,2017-01-06 17:00:00, None,1
None, None, None, None, 3.643, 137.3, None, None, None,1008.0, None, None, None, None, None, 67.18, None, None, -0.382, None, None, None, None, 51.99, None, None, None, None, None,2017-01-06 18:00:00, None,1
None, None, None, None, 2.541, 121.9, None, None, None,1008.0, None, None, None, None, None, 66.75, None, None, -0.055, None, None, None, None, 56.78, None, None, None, None, None,2017-01-06 19:00:00, None,1
None, None, None, None, 1.478, 111.1, None, None, None,1009.0, None, None, None, None, None, 66.89, None, None, -0.113, None, None, None, None, 67.21, None, None, None, None, None,2017-01-06 20:00:00, None,1
None, None, None, None, 2.461, 133.0, None, None, None,1009.0, None, None, None, None, None, 66.6, None, None, -0.075, None, None, None, None, 57.27, None, None, None, None, None,2017-01-06 21:00:00, None,1
None, None, None, None, 7.65, 147.1, None, None, None,1011.0, None, None, None, None, None, 66.57, None, None, 0.165, None, None, None, None, 28.48, None, None, None, None, None,2017-01-06 22:00:00, None,1
None, None, None, None, 8.37, 145.2, None, None, None,1011.0, None, None, None, None, None, 66.79, None, None, 0.233, None, None, None, None, 27.35, None, None, None, None, None,2017-01-06 23:00:00, None,1
None, None, None, None, 8.63, 145.8, None, None, None,1012.0, None, None, None, None, None, 66.66, None, None, 0.146, None, None, None, None, 27.87, None, None, None, None, None,2017-01-07 00:00:00, None,1
None, None, None, None, 8.98, 142.6, None, None, None,1013.0, None, None, None, None, None, 66.55, None, None, -0.094, None, None, None, None, 27.26, None, None, None, None, None,2017-01-07 01:00:00, None,1
None, None, None, None, 9.71, 144.8, None, None, None,1013.0, None, None, None, None, None, 66.67, None, None, -0.219, None, None, None, None, 24.65, None, None, None, None, None,2017-01-07 02:00:00, None,1
None, None, None, None, 5.485, 138.1, None, None, None,1015.0, None, None, None, None, None, 66.75, None, None, -0.305, None, None, None, None, 38.9, None, None, None, None, None,2017-01-07 03:00:00, None,1
None, None, None, None, 3.978, 134.0, None, None, None,1015.0, None, None, None, None, None, 66.69, None, None, -0.556, None, None, None, None, 48.53, None, None, None, None, None,2017-01-07 04:00:00, None,1
None, None, None, None, 3.909, 130.9, None, None, None,1015.0, None, None, None, None, None, 66.65, None, None, -0.584, None, None, None, None, 50.95, None, None, None, None, None,2017-01-07 05:00:00, None,1
None, None, None, None, 8.55, 135.4, None, None, None,1015.0, None, None, None, None, None, 66.62, None, None, -0.988, None, None, None, None, 32.43, None, None, None, None, None,2017-01-07 06:00:00, None,1
None, None, None, None, 5.826, 139.6, None, None, None,1016.0, None, None, None, None, None, 66.73, None, None, -1.306, None, None, None, None, 42.02, None, None, None, None, None,2017-01-07 07:00:00, None,1
None, None, None, None, 7.35, 131.2, None, None, None,1016.0, None, None, None, None, None, 66.78, None, None, -1.325, None, None, None, None, 37.65, None, None, None, None, None,2017-01-07 08:00:00, None,1
None, None, None, None, 9.24, 135.1, None, None, None,1017.0, None, None, None, None, None, 66.66, None, None, -1.749, None, None, None, None, 32.37, None, None, None, None, None,2017-01-07 09:00:00, None,1
None, None, None, None, 7.23, 133.7, None, None, None,1019.0, None, None, None, None, None, 66.74, None, None, -1.459, None, None, None, None, 40.17, None, None, None, None, None,2017-01-07 10:00:00, None,1
None, None, None, None, 7.36, 133.5, None, None, None,1019.0, None, None, None, None, None, 66.75, None, None, -1.565, None, None, None, None, 39.53, None, None, None, None, None,2017-01-07 11:00:00, None,1
