station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, MIN_TEMP, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND, MAX_TEMP
0.0, 0.0, -9.0, 0.0, 2022-01-01 00:00:00, 40.0, 0.0
3.0, 3.0, -5.0, 0.0, 2022-01-02 00:00:00, 38.0, 4.0
6.8, 0.2, -0.5, 6.6, 2022-01-03 00:00:00, 26.0, 4.0
6.4, 0.0, -2.0, 6.4, 2022-01-04 00:00:00, 27.0, 3.0
17.0, 0.0, -8.5, 17.0, 2022-01-05 00:00:00, 29.0, -7.0
49.4, 49.4, -9.5, 0.0, 2022-01-06 00:00:00, 45.0, 2.0
2.6, 2.6, -6.5, 0.0, 2022-01-07 00:00:00, 37.0, 2.5
3.2, 1.8, -1.0, 1.4, 2022-01-08 00:00:00, 34.0, 1.5
0.0, 0.0, -0.5, 0.0, 2022-01-09 00:00:00, 34.0, 5.0
14.6, 14.6, 0.0, 0.0, 2022-01-10 00:00:00, 27.0, 8.0
45.8, 45.8, 3.0, 0.0, 2022-01-11 00:00:00, 19.0, 9.0
26.6, 26.6, 5.0, 0.0, 2022-01-12 00:00:00, 8.0, 9.5
0.6, 0.6, 4.0, 0.0, 2022-01-13 00:00:00, 0.0, 9.0
3.2, 3.2, 4.0, 0.0, 2022-01-14 00:00:00, 0.0, 9.0
0.0, 0.0, 3.0, 0.0, 2022-01-15 00:00:00, 0.0, 7.5
0.2, 0.2, 2.0, 0.0, 2022-01-16 00:00:00, 0.0, 5.5
8.0, 8.0, 2.5, 0.0, 2022-01-17 00:00:00, 0.0, 6.5
6.2, 6.2, 2.5, 0.0, 2022-01-18 00:00:00, 0.0, 6.5
27.8, 27.8, 4.5, 0.0, 2022-01-19 00:00:00, 0.0, 7.0
0.0, 0.0, 4.5, 0.0, 2022-01-20 00:00:00, 0.0, 10.0
1.4, 1.4, 5.0, 0.0, 2022-01-21 00:00:00, 0.0, 6.0
0.0, 0.0, 2.0, 0.0, 2022-01-22 00:00:00, 0.0, 8.0
0.2, 0.2, 0.5, 0.0, 2022-01-23 00:00:00, 0.0, 2.0
0.0, 0.0, -0.5, 0.0, 2022-01-24 00:00:00, 0.0, 4.5
0.0, 0.0, -3.0, 0.0, 2022-01-25 00:00:00, 0.0, 4.0
0.0, 0.0, -2.0, 0.0, 2022-01-26 00:00:00, 0.0, 6.0
0.0, 0.0, 1.5, 0.0, 2022-01-27 00:00:00, 0.0, 8.5
0.0, 0.0, -0.5, 0.0, 2022-01-28 00:00:00, 0.0, 7.0
9.0, 9.0, -1.0, 0.0, 2022-01-29 00:00:00, 0.0, 7.0
14.0, 14.0, 2.5, 0.0, 2022-01-30 00:00:00, 0.0, 7.0
0.4, 0.4, 0.5, 0.0, 2022-01-31 00:00:00, 0.0, 5.5
0.0, 0.0, 0.0, 0.0, 2022-02-01 00:00:00, 0.0, 5.0
4.4, 2.4, -2.0, 2.0, 2022-02-02 00:00:00, 0.0, 0.0
6.6, 6.6, -2.0, 0.0, 2022-02-03 00:00:00, 1.0, 5.0
6.0, 6.0, 2.0, 0.0, 2022-02-04 00:00:00, 0.0, 6.5
0.0, 0.0, 4.5, 0.0, 2022-02-05 00:00:00, 0.0, 7.5
5.0, 5.0, 2.0, 0.0, 2022-02-06 00:00:00, 0.0, 10.0
0.0, 0.0, 3.0, 0.0, 2022-02-07 00:00:00, 0.0, 10.0
3.0, 3.0, 4.5, 0.0, 2022-02-08 00:00:00, 0.0, 7.5
0.6, 0.6, 4.5, 0.0, 2022-02-09 00:00:00, 0.0, 8.0
0.8, 0.8, 5.0, 0.0, 2022-02-10 00:00:00, 0.0, 8.0
0.0, 0.0, 3.0, 0.0, 2022-02-11 00:00:00, 0.0, 13.0
0.0, 0.0, 2.5, 0.0, 2022-02-12 00:00:00, 0.0, 13.5
2.0, 2.0, 3.5, 0.0, 2022-02-13 00:00:00, 0.0, 12.0
4.8, 4.8, 5.0, 0.0, 2022-02-14 00:00:00, 0.0, 6.5
1.6, 1.6, 4.5, 0.0, 2022-02-15 00:00:00, 0.0, 6.5
0.4, 0.4, 3.5, 0.0, 2022-02-16 00:00:00, 0.0, 9.0
1.6, 1.6, 4.5, 0.0, 2022-02-17 00:00:00, 0.0, 6.0
2.4, 2.4, 4.0, 0.0, 2022-02-18 00:00:00, 0.0, 8.0
15.0, 15.0, 4.0, 0.0, 2022-02-19 00:00:00, 0.0, 5.5
4.6, 4.6, 2.5, 0.0, 2022-02-20 00:00:00, 0.0, 5.5
0.0, 0.0, -1.5, 0.0, 2022-02-21 00:00:00, 0.0, 3.0
0.0, 0.0, -5.5, 0.0, 2022-02-22 00:00:00, 0.0, -0.5
1.0, 0.0, -8.0, 1.0, 2022-02-23 00:00:00, 0.0, 0.0
0.0, 0.0, -6.0, 0.0, 2022-02-24 00:00:00, 1.0, 5.0
0.0, 0.0, -3.5, 0.0, 2022-02-25 00:00:00, 0.0, 6.5
12.8, 12.8, -1.0, 0.0, 2022-02-26 00:00:00, 0.0, 10.0
28.8, 28.8, 2.0, 0.0, 2022-02-27 00:00:00, 0.0, 9.5
