ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,snw_dpth,MAX_TEMP,week_of_year
None, 289.0, 22.0, None, None,2017-10-29 00:00:00, 6.5, None, 9.0, None,44
None, 289.0, 22.0, None, None,2017-10-29 01:00:00, 4.4, None, 9.0, None,44
None, 289.0, 22.0, None, None,2017-10-29 02:00:00, 1.7, None, 9.0, None,44
None, 289.0, 22.0, None, None,2017-10-29 03:00:00, 1.2, None, 9.0, None,44
None, 289.0, 22.0, None, None,2017-10-29 04:00:00, -0.7, None, 9.0, None,44
None, 289.0, 22.0, None, None,2017-10-29 05:00:00, -1.4, None, 9.0, None,44
None, 289.0, 22.0, None, None,2017-10-29 06:00:00, -2.5, None, 9.0, None,44
None, 289.0, 22.0, None, None,2017-10-29 07:00:00, -3.1, None, 9.0, None,44
None, 289.0, 22.0, None, None,2017-10-29 08:00:00, -3.5, None, 9.0, None,44
None, 289.0, 22.0, None, None,2017-10-29 09:00:00, -3.4, None, 9.0, None,44
None, 289.0, 22.0, None, None,2017-10-29 10:00:00, -4.4, None, 9.0, None,44
None, 289.0, 22.0, None, None,2017-10-29 11:00:00, -5.3, None, 9.0, None,44
None, 288.0, 22.0, None, None,2017-10-29 12:00:00, -5.6, None, 9.0, None,44
None, 288.0, 22.0, None, None,2017-10-29 13:00:00, -6.0, None, 9.0, None,44
None, 288.0, 22.0, None, None,2017-10-29 14:00:00, -6.7, None, 9.0, None,44
None, 288.0, 22.0, None, None,2017-10-29 15:00:00, -7.2, None, 8.0, None,44
None, 288.0, 22.0, 120.0, None,2017-10-29 16:00:00, -7.7, None, 8.0, None,44
None, 288.0, 22.0, None, None,2017-10-29 17:00:00, -6.8, None, 8.0, None,44
None, 288.0, 22.0, None, None,2017-10-29 18:00:00, -4.4, None, 8.0, None,44
None, 288.0, 22.0, None, None,2017-10-29 19:00:00, -2.0, None, 8.0, None,44
None, 289.0, 22.0, None, None,2017-10-29 20:00:00, 0.1, None, 8.0, None,44
None, 289.0, 22.0, None, None,2017-10-29 21:00:00, 1.0, None, 8.0, None,44
None, 289.0, 22.0, None, None,2017-10-29 22:00:00, 2.2, None, 8.0, None,44
None, 289.0, 22.0, None, None,2017-10-29 23:00:00, 2.7, None, 8.0, None,44
None, 289.0, 22.0, None, None,2017-10-30 00:00:00, 1.9, None, 8.0, None,44
None, 289.0, 22.0, None, None,2017-10-30 01:00:00, -0.9, None, 8.0, None,44
None, 288.0, 22.0, None, None,2017-10-30 02:00:00, -1.9, None, 8.0, None,44
None, 288.0, 22.0, None, None,2017-10-30 03:00:00, -3.0, None, 8.0, None,44
None, 288.0, 22.0, None, None,2017-10-30 04:00:00, -3.9, None, 8.0, None,44
None, 288.0, 22.0, None, None,2017-10-30 05:00:00, -4.5, None, 8.0, None,44
None, 288.0, 22.0, None, None,2017-10-30 06:00:00, -5.6, None, 8.0, None,44
None, 288.0, 22.0, None, None,2017-10-30 07:00:00, -6.3, None, 8.0, None,44
None, 288.0, 22.0, None, None,2017-10-30 08:00:00, -7.4, None, 8.0, None,44
None, 288.0, 22.0, None, None,2017-10-30 09:00:00, -7.4, None, 8.0, None,44
None, 288.0, 22.0, None, None,2017-10-30 10:00:00, -7.4, None, 8.0, None,44
None, 288.0, 22.0, None, None,2017-10-30 11:00:00, -6.4, None, 8.0, None,44
None, 288.0, 22.0, None, None,2017-10-30 12:00:00, -6.0, None, 8.0, None,44
None, 288.0, 22.0, None, None,2017-10-30 13:00:00, -6.4, None, 8.0, None,44
None, 288.0, 22.0, None, None,2017-10-30 14:00:00, -7.4, None, 8.0, None,44
None, 288.0, 22.0, None, None,2017-10-30 15:00:00, -8.2, None, 8.0, None,44
None, 288.0, 22.0, 128.0, None,2017-10-30 16:00:00, -8.2, None, 8.0, None,44
None, 288.0, 22.0, None, None,2017-10-30 17:00:00, -6.3, None, 8.0, None,44
None, 288.0, 22.0, None, None,2017-10-30 18:00:00, -4.5, None, 8.0, None,44
None, 288.0, 22.0, None, None,2017-10-30 19:00:00, -2.3, None, 8.0, None,44
None, 288.0, 21.0, None, None,2017-10-30 20:00:00, -1.0, None, 8.0, None,44
None, 288.0, 21.0, None, None,2017-10-30 23:00:00, 0.9, None, 8.0, None,44
None, 288.0, 21.0, None, None,2017-10-31 00:00:00, 0.6, None, 8.0, None,44
None, 288.0, 22.0, None, None,2017-10-31 01:00:00, 0.3, None, 8.0, None,44
None, 288.0, 22.0, None, None,2017-10-31 02:00:00, -0.5, None, 8.0, None,44
None, 288.0, 22.0, None, None,2017-10-31 03:00:00, -0.5, None, 8.0, None,44
None, 288.0, 22.0, None, None,2017-10-31 04:00:00, -0.5, None, 8.0, None,44
None, 288.0, 22.0, None, None,2017-10-31 05:00:00, -0.1, None, 8.0, None,44
None, 289.0, 22.0, None, None,2017-10-31 06:00:00, 3.9, None, 8.0, None,44
None, 289.0, 22.0, None, None,2017-10-31 07:00:00, 6.1, None, 8.0, None,44
None, 289.0, 21.0, None, None,2017-10-31 08:00:00, 9.1, None, 8.0, None,44
None, 289.0, 21.0, None, None,2017-10-31 09:00:00, 9.6, None, 8.0, None,44
None, 289.0, 21.0, None, None,2017-10-31 10:00:00, 9.2, None, 8.0, None,44
None, 289.0, 21.0, None, None,2017-10-31 11:00:00, 8.8, None, 8.0, None,44
None, 289.0, 21.0, None, None,2017-10-31 12:00:00, 8.4, None, 8.0, None,44
None, 289.0, 21.0, None, None,2017-10-31 13:00:00, 8.0, None, 8.0, None,44
None, 289.0, 21.0, None, None,2017-10-31 14:00:00, 7.0, None, 8.0, None,44
None, 289.0, 20.0, None, None,2017-10-31 15:00:00, 5.4, None, 8.0, None,44
None, 289.0, 20.0, 128.0, None,2017-10-31 16:00:00, 7.0, None, 8.0, None,44
None, 289.0, 19.0, None, None,2017-10-31 17:00:00, 6.8, None, 7.0, None,44
None, 289.0, 19.0, None, None,2017-10-31 18:00:00, 7.5, None, 7.0, None,44
None, 289.0, 19.0, None, None,2017-10-31 19:00:00, 6.9, None, 7.0, None,44
None, 289.0, 19.0, None, None,2017-10-31 20:00:00, 7.1, None, 7.0, None,44
None, 289.0, 19.0, None, None,2017-10-31 21:00:00, 6.2, None, 7.0, None,44
None, 289.0, 19.0, None, None,2017-10-31 22:00:00, 6.3, None, 7.0, None,44
None, 289.0, 19.0, None, None,2017-10-31 23:00:00, 5.3, None, 6.0, None,44
None, 289.0, 18.0, None, None,2017-11-01 00:00:00, 5.1, None, 6.0, None,44
None, 289.0, 18.0, None, None,2017-11-01 01:00:00, 4.2, None, 6.0, None,44
None, 289.0, 18.0, None, None,2017-11-01 02:00:00, 3.9, None, 6.0, None,44
None, 289.0, 18.0, None, None,2017-11-01 03:00:00, 4.0, None, 5.0, None,44
None, 289.0, 18.0, None, None,2017-11-01 04:00:00, 2.4, None, 5.0, None,44
None, 289.0, 18.0, None, None,2017-11-01 05:00:00, 2.3, None, 5.0, None,44
None, 289.0, 18.0, None, None,2017-11-01 06:00:00, 1.2, None, 5.0, None,44
None, 289.0, 18.0, None, None,2017-11-01 07:00:00, 0.5, None, 5.0, None,44
None, 289.0, 18.0, None, None,2017-11-01 08:00:00, -0.8, None, 5.0, None,44
None, 289.0, 18.0, None, None,2017-11-01 09:00:00, -0.9, None, 5.0, None,44
None, 289.0, 18.0, None, None,2017-11-01 10:00:00, -0.8, None, 5.0, None,44
None, 290.0, 18.0, None, None,2017-11-01 11:00:00, -0.8, None, 5.0, None,44
None, 290.0, 18.0, None, None,2017-11-01 12:00:00, -1.7, None, 5.0, None,44
None, 290.0, 18.0, None, None,2017-11-01 13:00:00, -1.4, None, 5.0, None,44
None, 290.0, 18.0, None, None,2017-11-01 14:00:00, -2.2, None, 5.0, None,44
None, 291.0, 18.0, None, None,2017-11-01 15:00:00, -2.7, None, 5.0, None,44
None, 291.0, 18.0, 128.0, None,2017-11-01 16:00:00, -3.6, None, 4.0, None,44
None, 290.0, 18.0, None, None,2017-11-01 17:00:00, -3.7, None, 5.0, None,44
None, 290.0, 18.0, None, None,2017-11-01 18:00:00, -3.6, None, 5.0, None,44
None, 291.0, 18.0, None, None,2017-11-01 19:00:00, -3.7, None, 4.0, None,44
None, 291.0, 18.0, None, None,2017-11-01 20:00:00, -3.7, None, 5.0, None,44
None, 291.0, 18.0, None, None,2017-11-01 21:00:00, -3.8, None, 5.0, None,44
