pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,snwfl_amt_pst1hr,stn_pres,week_of_year
None, -7.37, None, None, None, None, None, None, None, None, None, -7.4, -8.2, 0.0, None, None, None, -7.0, None, None, None, None,2022-01-01 23:00:00, None, None, None, None,1
None, -7.38, None, None, None, None, None, None, None, None, None, -7.4, -8.2, 0.1, None, None, None, -7.0, None, None, None, None,2022-01-02 00:00:00, None, None, None, None,1
None, -7.11, None, None, None, None, None, None, None, None, None, -7.1, -8.2, 3.3, None, None, None, -7.0, None, None, None, None,2022-01-02 01:00:00, None, None, None, None,1
None, -6.627, None, None, None, None, None, None, None, None, None, -6.6, -8.2, 4.1, None, None, None, -6.6, None, None, None, None,2022-01-02 02:00:00, None, None, None, None,1
None, -5.667, None, None, None, None, None, None, None, None, None, -5.7, -8.2, 3.4, None, None, None, -5.7, None, None, None, None,2022-01-02 03:00:00, None, None, None, None,1
None, -5.329, None, None, None, None, None, None, None, None, None, -5.3, -8.2, 3.4, None, None, None, -5.3, None, None, None, None,2022-01-02 04:00:00, None, None, None, None,1
None, -5.416, None, None, None, None, None, None, None, None, None, -5.4, -8.2, 1.9, None, None, None, -5.3, None, None, None, None,2022-01-02 05:00:00, None, None, None, None,1
None, -5.33, None, None, None, None, None, None, None, None, None, -5.3, -8.2, 2.1, None, None, None, -5.3, None, None, None, None,2022-01-02 06:00:00, None, None, None, None,1
None, -5.157, None, None, None, None, None, None, None, None, None, -5.2, -5.5, 0.6, None, None, None, -5.2, None, None, None, None,2022-01-02 07:00:00, None, None, None, None,1
None, -4.897, None, None, None, None, None, None, None, None, None, -4.9, -5.5, 1.8, None, None, None, -4.9, None, None, None, None,2022-01-02 08:00:00, None, None, None, None,1
None, -4.801, None, None, None, None, None, None, None, None, None, -4.8, -5.5, 0.0, None, None, None, -4.8, None, None, None, None,2022-01-02 09:00:00, None, None, None, None,1
None, -4.581, None, None, None, None, None, None, None, None, None, -4.6, -5.5, 0.9, None, None, None, -4.6, None, None, None, None,2022-01-02 10:00:00, None, None, None, None,1
None, -4.246, None, None, None, None, None, None, None, None, None, -4.2, -5.5, 1.8, None, None, None, -4.2, None, None, None, None,2022-01-02 11:00:00, None, None, None, None,1
None, -3.741, None, None, None, None, None, None, None, None, None, -3.7, -5.5, 2.1, None, None, None, -3.7, None, None, None, None,2022-01-02 12:00:00, None, None, None, None,1
None, -3.608, None, None, None, None, None, None, None, None, None, -3.6, -5.5, 1.8, None, None, None, -3.6, None, None, None, None,2022-01-02 13:00:00, None, None, None, None,1
None, -3.542, None, None, None, None, None, None, None, None, None, -3.5, -5.5, 0.6, None, None, None, -3.5, None, None, None, None,2022-01-02 14:00:00, None, None, None, None,1
None, -3.579, None, None, None, None, None, None, None, None, None, -3.6, -5.5, 1.6, None, None, None, -3.5, None, None, None, None,2022-01-02 15:00:00, None, None, None, None,1
None, -3.418, None, None, None, None, None, None, None, None, None, -3.4, -5.5, 1.0, None, None, None, -3.4, None, None, None, None,2022-01-02 16:00:00, None, None, None, None,1
None, -3.437, None, None, None, None, None, None, None, None, None, -3.4, -5.5, 4.1, None, None, None, -3.3, None, None, None, None,2022-01-02 17:00:00, None, None, None, None,1
None, -3.199, None, None, None, None, None, None, None, None, None, -3.2, -5.5, 3.9, None, None, None, -3.2, None, None, None, None,2022-01-02 18:00:00, None, None, None, None,1
None, -3.122, None, None, None, None, None, None, None, None, None, -3.1, -3.5, 2.2, None, None, None, -3.1, None, None, None, None,2022-01-02 19:00:00, None, None, None, None,1
None, -2.981, None, None, None, None, None, None, None, None, None, -3.0, -3.5, 2.8, None, None, None, -3.0, None, None, None, None,2022-01-02 20:00:00, None, None, None, None,1
None, -3.057, None, None, None, None, None, None, None, None, None, -3.1, -3.5, -0.2, None, None, None, -2.9, None, None, None, None,2022-01-02 21:00:00, None, None, None, None,1
None, -3.486, None, None, None, None, None, None, None, None, None, -3.5, -3.5, 0.2, None, None, None, -2.9, None, None, None, None,2022-01-02 22:00:00, None, None, None, None,1
None, -3.59, None, None, None, None, None, None, None, None, None, -3.6, -3.6, 1.4, None, None, None, -2.9, None, None, None, None,2022-01-02 23:00:00, None, None, None, None,1
None, -3.97, None, None, None, None, None, None, None, None, None, -4.0, -4.0, 3.9, None, None, None, -2.9, None, None, None, None,2022-01-03 00:00:00, None, None, None, None,1
None, -4.018, None, None, None, None, None, None, None, None, None, -4.0, -4.5, 0.8, None, None, None, -2.9, None, None, None, None,2022-01-03 01:00:00, None, None, None, None,1
None, -3.779, None, None, None, None, None, None, None, None, None, -3.8, -4.5, 3.4, None, None, None, -2.9, None, None, None, None,2022-01-03 02:00:00, None, None, None, None,1
None, -3.989, None, None, None, None, None, None, None, None, None, -4.0, -4.5, 1.1, None, None, None, -2.9, None, None, None, None,2022-01-03 03:00:00, None, None, None, None,1
None, -4.124, None, None, None, None, None, None, None, None, None, -4.1, -4.5, 2.9, None, None, None, -2.9, None, None, None, None,2022-01-03 04:00:00, None, None, None, None,1
None, -4.151, None, None, None, None, None, None, None, None, None, -4.2, -4.5, 2.1, None, None, None, -2.9, None, None, None, None,2022-01-03 05:00:00, None, None, None, None,1
None, -3.864, None, None, None, None, None, None, None, None, None, -3.9, -4.5, 0.6, None, None, None, -2.9, None, None, None, None,2022-01-03 06:00:00, None, None, None, None,1
None, -3.789, None, None, None, None, None, None, None, None, None, -3.8, -4.0, 0.8, None, None, None, -3.8, None, None, None, None,2022-01-03 07:00:00, None, None, None, None,1
None, -4.19, None, None, None, None, None, None, None, None, None, -4.2, -4.2, 0.6, None, None, None, -3.7, None, None, None, None,2022-01-03 08:00:00, None, None, None, None,1
None, -3.912, None, None, None, None, None, None, None, None, None, -3.9, -4.4, 0.4, None, None, None, -3.7, None, None, None, None,2022-01-03 09:00:00, None, None, None, None,1
None, -3.827, None, None, None, None, None, None, None, None, None, -3.8, -4.4, 0.9, None, None, None, -3.7, None, None, None, None,2022-01-03 10:00:00, None, None, None, None,1
None, -3.722, None, None, None, None, None, None, None, None, None, -3.7, -4.4, 1.8, None, None, None, -3.7, None, None, None, None,2022-01-03 11:00:00, None, None, None, None,1
None, -4.103, None, None, None, None, None, None, None, None, None, -4.1, -4.4, 3.3, None, None, None, -3.7, None, None, None, None,2022-01-03 12:00:00, None, None, None, None,1
None, -4.447, None, None, None, None, None, None, None, None, None, -4.4, -4.5, 1.4, None, None, None, -3.7, None, None, None, None,2022-01-03 13:00:00, None, None, None, None,1
None, -4.803, None, None, None, None, None, None, None, None, None, -4.8, -4.8, 0.3, None, None, None, -3.7, None, None, None, None,2022-01-03 14:00:00, None, None, None, None,1
None, -5.283, None, None, None, None, None, None, None, None, None, -5.3, -5.3, 1.2, None, None, None, -3.7, None, None, None, None,2022-01-03 15:00:00, None, None, None, None,1
None, -6.152, None, None, None, None, None, None, None, None, None, -6.2, -6.2, 0.9, None, None, None, -3.7, None, None, None, None,2022-01-03 16:00:00, None, None, None, None,1
None, -6.132, None, None, None, None, None, None, None, None, None, -6.1, -6.2, 1.2, None, None, None, -3.7, None, None, None, None,2022-01-03 17:00:00, None, None, None, None,1
None, -6.385, None, None, None, None, None, None, None, None, None, -6.4, -6.6, 0.3, None, None, None, -3.7, None, None, None, None,2022-01-03 18:00:00, None, None, None, None,1
None, -6.579, None, None, None, None, None, None, None, None, None, -6.6, -6.9, 0.7, None, None, None, -6.4, None, None, None, None,2022-01-03 19:00:00, None, None, None, None,1
None, -6.911, None, None, None, None, None, None, None, None, None, -6.9, -7.0, 0.3, None, None, None, -6.4, None, None, None, None,2022-01-03 20:00:00, None, None, None, None,1
30.5, -6.647, None, None, None, None, None, None, None, None, None, -6.6, -7.0, 0.1, None, None, None, -6.4, None, None, None, None,2022-01-03 21:00:00, None, None, None, None,1
30.5, -6.404, None, None, None, None, None, None, None, None, None, -6.4, -7.0, 0.2, None, None, None, -6.2, None, None, None, None,2022-01-03 22:00:00, None, None, None, None,1
29.3, -6.025, None, None, None, None, None, None, None, None, None, -6.0, -7.0, 0.2, None, None, None, -6.0, None, None, None, None,2022-01-03 23:00:00, None, None, None, None,1
25.6, -5.609, None, None, None, None, None, None, None, None, None, -5.6, -7.0, 0.2, None, None, None, -5.6, None, None, None, None,2022-01-04 00:00:00, None, None, None, None,1
25.2, -5.571, None, None, None, None, None, None, None, None, None, -5.6, -7.0, 0.4, None, None, None, -5.6, None, None, None, None,2022-01-04 01:00:00, None, None, None, None,1
23.7, -5.609, None, None, None, None, None, None, None, None, None, -5.6, -7.0, 1.9, None, None, None, -5.5, None, None, None, None,2022-01-04 02:00:00, None, None, None, None,1
24.6, -5.793, None, None, None, None, None, None, None, None, None, -5.8, -7.0, 2.0, None, None, None, -5.5, None, None, None, None,2022-01-04 03:00:00, None, None, None, None,1
24.4, -5.658, None, None, None, None, None, None, None, None, None, -5.7, -7.0, 2.7, None, None, None, -5.5, None, None, None, None,2022-01-04 04:00:00, None, None, None, None,1
25.7, -5.629, None, None, None, None, None, None, None, None, None, -5.6, -7.0, 3.4, None, None, None, -5.5, None, None, None, None,2022-01-04 05:00:00, None, None, None, None,1
27.6, -5.581, None, None, None, None, None, None, None, None, None, -5.6, -7.0, 2.5, None, None, None, -5.3, None, None, None, None,2022-01-04 06:00:00, None, None, None, None,1
29.3, -5.416, None, None, None, None, None, None, None, None, None, -5.4, -5.7, 2.5, None, None, None, -5.4, None, None, None, None,2022-01-04 07:00:00, None, None, None, None,1
30.0, -5.166, None, None, None, None, None, None, None, None, None, -5.2, -5.7, 1.3, None, None, None, -5.1, None, None, None, None,2022-01-04 08:00:00, None, None, None, None,1
30.6, -5.638, None, None, None, None, None, None, None, None, None, -5.6, -5.8, 1.0, None, None, None, -5.1, None, None, None, None,2022-01-04 09:00:00, None, None, None, None,1
30.4, -5.678, None, None, None, None, None, None, None, None, None, -5.7, -5.9, 0.7, None, None, None, -5.1, None, None, None, None,2022-01-04 10:00:00, None, None, None, None,1
29.1, -5.109, None, None, None, None, None, None, None, None, None, -5.1, -5.9, 0.5, None, None, None, -5.1, None, None, None, None,2022-01-04 11:00:00, None, None, None, None,1
26.0, -4.994, None, None, None, None, None, None, None, None, None, -5.0, -5.9, 0.2, None, None, None, -4.9, None, None, None, None,2022-01-04 12:00:00, None, None, None, None,1
25.1, -5.157, None, None, None, None, None, None, None, None, None, -5.2, -5.9, 0.5, None, None, None, -4.9, None, None, None, None,2022-01-04 13:00:00, None, None, None, None,1
26.3, -5.321, None, None, None, None, None, None, None, None, None, -5.3, -5.9, 1.5, None, None, None, -4.9, None, None, None, None,2022-01-04 14:00:00, None, None, None, None,1
25.9, -5.465, None, None, None, None, None, None, None, None, None, -5.5, -5.9, 0.8, None, None, None, -4.9, None, None, None, None,2022-01-04 15:00:00, None, None, None, None,1
26.2, -5.561, None, None, None, None, None, None, None, None, None, -5.6, -5.9, 1.2, None, None, None, -4.9, None, None, None, None,2022-01-04 16:00:00, None, None, None, None,1
25.6, -5.736, None, None, None, None, None, None, None, None, None, -5.7, -5.9, 0.6, None, None, None, -4.9, None, None, None, None,2022-01-04 17:00:00, None, None, None, None,1
25.6, -5.339, None, None, None, None, None, None, None, None, None, -5.3, -5.9, 0.3, None, None, None, -4.9, None, None, None, None,2022-01-04 18:00:00, None, None, None, None,1
24.9, -5.243, None, None, None, None, None, None, None, None, None, -5.2, -5.5, 0.1, None, None, None, -5.2, None, None, None, None,2022-01-04 19:00:00, None, None, None, None,1
24.8, -5.522, None, None, None, None, None, None, None, None, None, -5.5, -5.5, 0.2, None, None, None, -5.2, None, None, None, None,2022-01-04 20:00:00, None, None, None, None,1
25.0, -5.648, None, None, None, None, None, None, None, None, None, -5.6, -5.9, 0.2, None, None, None, -5.2, None, None, None, None,2022-01-04 21:00:00, None, None, None, None,1
25.0, -5.639, None, None, None, None, None, None, None, None, None, -5.6, -5.9, 0.2, None, None, None, -5.2, None, None, None, None,2022-01-04 22:00:00, None, None, None, None,1
25.1, -5.793, None, None, None, None, None, None, None, None, None, -5.8, -6.0, 0.3, None, None, None, -5.2, None, None, None, None,2022-01-04 23:00:00, None, None, None, None,1
25.2, -5.89, None, None, None, None, None, None, None, None, None, -5.9, -6.0, 0.3, None, None, None, -5.2, None, None, None, None,2022-01-05 00:00:00, None, None, None, None,1
25.2, -6.394, None, None, None, None, None, None, None, None, None, -6.4, -6.4, 0.4, None, None, None, -5.2, None, None, None, None,2022-01-05 01:00:00, None, None, None, None,1
23.8, -7.12, None, None, None, None, None, None, None, None, None, -7.1, -7.1, 0.5, None, None, None, -5.2, None, None, None, None,2022-01-05 02:00:00, None, None, None, None,1
22.0, -7.33, None, None, None, None, None, None, None, None, None, -7.3, -8.0, 0.2, None, None, None, -5.2, None, None, None, None,2022-01-05 03:00:00, None, None, None, None,1
19.8, -7.64, None, None, None, None, None, None, None, None, None, -7.6, -8.0, 0.5, None, None, None, -5.2, None, None, None, None,2022-01-05 04:00:00, None, None, None, None,1
16.4, -7.82, None, None, None, None, None, None, None, None, None, -7.8, -8.0, 0.1, None, None, None, -5.2, None, None, None, None,2022-01-05 05:00:00, None, None, None, None,1
14.2, -7.97, None, None, None, None, None, None, None, None, None, -8.0, -8.0, 0.3, None, None, None, -5.2, None, None, None, None,2022-01-05 06:00:00, None, None, None, None,1
11.9, -8.28, None, None, None, None, None, None, None, None, None, -8.3, -8.3, 0.2, None, None, None, -8.0, None, None, None, None,2022-01-05 07:00:00, None, None, None, None,1
10.9, -7.84, None, None, None, None, None, None, None, None, None, -7.8, -8.3, 0.3, None, None, None, -7.8, None, None, None, None,2022-01-05 08:00:00, None, None, None, None,1
10.1, -7.68, None, None, None, None, None, None, None, None, None, -7.7, -8.3, 0.2, None, None, None, -7.7, None, None, None, None,2022-01-05 09:00:00, None, None, None, None,1
9.4, -7.04, None, None, None, None, None, None, None, None, None, -7.0, -8.3, 0.0, None, None, None, -7.0, None, None, None, None,2022-01-05 10:00:00, None, None, None, None,1
None, -6.384, None, None, None, None, None, None, None, None, None, -6.4, -8.3, -0.2, None, None, None, -6.4, None, None, None, None,2022-01-05 11:00:00, None, None, None, None,1
None, -5.638, None, None, None, None, None, None, None, None, None, -5.6, -8.3, -0.2, None, None, None, -5.6, None, None, None, None,2022-01-05 12:00:00, None, None, None, None,1
None, -5.707, None, None, None, None, None, None, None, None, None, -5.7, -8.3, -0.4, None, None, None, -5.6, None, None, None, None,2022-01-05 13:00:00, None, None, None, None,1
None, -6.047, None, None, None, None, None, None, None, None, None, -6.0, -8.3, 0.0, None, None, None, -5.5, None, None, None, None,2022-01-05 14:00:00, None, None, None, None,1
None, -6.59, None, None, None, None, None, None, None, None, None, -6.6, -8.3, 0.2, None, None, None, -5.5, None, None, None, None,2022-01-05 15:00:00, None, None, None, None,1
None, -6.794, None, None, None, None, None, None, None, None, None, -6.8, -8.3, 0.2, None, None, None, -5.5, None, None, None, None,2022-01-05 16:00:00, None, None, None, None,1
None, -7.05, None, None, None, None, None, None, None, None, None, -7.1, -8.3, 0.2, None, None, None, -5.5, None, None, None, None,2022-01-05 17:00:00, None, None, None, None,1
None, -7.2, None, None, None, None, None, None, None, None, None, -7.2, -8.3, 0.0, None, None, None, -5.5, None, None, None, None,2022-01-05 18:00:00, None, None, None, None,1
None, -7.26, None, None, None, None, None, None, None, None, None, -7.3, -7.3, -0.1, None, None, None, -7.2, None, None, None, None,2022-01-05 19:00:00, None, None, None, None,1
None, -7.37, None, None, None, None, None, None, None, None, None, -7.4, -7.4, -0.2, None, None, None, -7.2, None, None, None, None,2022-01-05 20:00:00, None, None, None, None,1
None, -7.4, None, None, None, None, None, None, None, None, None, -7.4, -7.5, 0.0, None, None, None, -7.2, None, None, None, None,2022-01-05 21:00:00, None, None, None, None,1
None, -7.4, None, None, None, None, None, None, None, None, None, -7.4, -7.7, -0.2, None, None, None, -7.2, None, None, None, None,2022-01-05 22:00:00, None, None, None, None,1
None, -7.15, None, None, None, None, None, None, None, None, None, -7.2, -7.7, -0.3, None, None, None, -7.2, None, None, None, None,2022-01-05 23:00:00, None, None, None, None,1
None, -5.957, None, None, None, None, None, None, None, None, None, -6.0, -7.7, -0.4, None, None, None, -6.0, None, None, None, None,2022-01-06 00:00:00, None, None, None, None,1
None, -5.252, None, None, None, None, None, None, None, None, None, -5.3, -7.7, -0.6, None, None, None, -5.3, None, None, None, None,2022-01-06 01:00:00, None, None, None, None,1
None, -4.657, None, None, None, None, None, None, None, None, None, -4.7, -7.7, -0.7, None, None, None, -4.6, None, None, None, None,2022-01-06 02:00:00, None, None, None, None,1
None, -4.036, None, None, None, None, None, None, None, None, None, -4.0, -7.7, 0.0, None, None, None, -4.0, None, None, None, None,2022-01-06 03:00:00, None, None, None, None,1
None, -3.761, None, None, None, None, None, None, None, None, None, -3.8, -7.7, -0.6, None, None, None, -3.8, None, None, None, None,2022-01-06 04:00:00, None, None, None, None,1
None, -3.569, None, None, None, None, None, None, None, None, None, -3.6, -7.7, -0.2, None, None, None, -3.5, None, None, None, None,2022-01-06 05:00:00, None, None, None, None,1
None, -3.656, None, None, None, None, None, None, None, None, None, -3.7, -7.7, -0.2, None, None, None, -3.5, None, None, None, None,2022-01-06 06:00:00, None, None, None, None,1
None, -3.456, None, None, None, None, None, None, None, None, None, -3.5, -4.0, 0.2, None, None, None, -3.5, None, None, None, None,2022-01-06 07:00:00, None, None, None, None,1
None, -3.075, None, None, None, None, None, None, None, None, None, -3.1, -4.0, -0.2, None, None, None, -3.0, None, None, None, None,2022-01-06 08:00:00, None, None, None, None,1
None, -2.545, None, None, None, None, None, None, None, None, None, -2.5, -4.0, 0.0, None, None, None, -2.5, None, None, None, None,2022-01-06 09:00:00, None, None, None, None,1
None, -1.798, None, None, None, None, None, None, None, None, None, -1.8, -4.0, -0.4, None, None, None, -1.8, None, None, None, None,2022-01-06 10:00:00, None, None, None, None,1
None, -0.966, None, None, None, None, None, None, None, None, None, -1.0, -4.0, -0.5, None, None, None, -0.9, None, None, None, None,2022-01-06 11:00:00, None, None, None, None,1
None, -0.357, None, None, None, None, None, None, None, None, None, -0.4, -4.0, -0.2, None, None, None, -0.4, None, None, None, None,2022-01-06 12:00:00, None, None, None, None,1
None, -0.11, None, None, None, None, None, None, None, None, None, -0.1, -4.0, 0.5, None, None, None, 0.0, None, None, None, None,2022-01-06 13:00:00, None, None, None, None,1
None, -0.072, None, None, None, None, None, None, None, None, None, -0.1, -4.0, -0.5, None, None, None, 0.0, None, None, None, None,2022-01-06 14:00:00, None, None, None, None,1
None, -0.074, None, None, None, None, None, None, None, None, None, -0.1, -4.0, 46.6, None, None, None, 0.0, None, None, None, None,2022-01-06 15:00:00, None, None, None, None,1
None, 0.116, None, None, None, None, None, None, None, None, None, 0.1, -4.0, 0.2, None, None, None, 0.2, None, None, None, None,2022-01-06 16:00:00, None, None, None, None,1
None, 0.239, None, None, None, None, None, None, None, None, None, 0.2, -4.0, 0.2, None, None, None, 0.3, None, None, None, None,2022-01-06 17:00:00, None, None, None, None,1
None, 0.201, None, None, None, None, None, None, None, None, None, 0.2, -4.0, 0.8, None, None, None, 0.3, None, None, None, None,2022-01-06 18:00:00, None, None, None, None,1
None, 0.031, None, None, None, None, None, None, None, None, None, 0.0, -0.1, 0.2, None, None, None, 0.2, None, None, None, None,2022-01-06 19:00:00, None, None, None, None,1
None, -0.081, None, None, None, None, None, None, None, None, None, -0.1, -0.4, -0.2, None, None, None, 0.2, None, None, None, None,2022-01-06 20:00:00, None, None, None, None,1
None, -0.138, None, None, None, None, None, None, None, None, None, -0.1, -0.4, 0.0, None, None, None, 0.2, None, None, None, None,2022-01-06 21:00:00, None, None, None, None,1
None, -0.204, None, None, None, None, None, None, None, None, None, -0.2, -0.4, -0.1, None, None, None, 0.2, None, None, None, None,2022-01-06 22:00:00, None, None, None, None,1
None, -0.092, None, None, None, None, None, None, None, None, None, -0.1, -0.4, -0.1, None, None, None, 0.2, None, None, None, None,2022-01-06 23:00:00, None, None, None, None,1
None, -0.072, None, None, None, None, None, None, None, None, None, -0.1, -0.4, 0.0, None, None, None, 0.2, None, None, None, None,2022-01-07 00:00:00, None, None, None, None,1
None, 0.032, None, None, None, None, None, None, None, None, None, 0.0, -0.4, -0.3, None, None, None, 0.2, None, None, None, None,2022-01-07 01:00:00, None, None, None, None,1
None, 0.061, None, None, None, None, None, None, None, None, None, 0.1, -0.4, 0.2, None, None, None, 0.2, None, None, None, None,2022-01-07 02:00:00, None, None, None, None,1
None, -0.007, None, None, None, None, None, None, None, None, None, 0.0, -0.4, -0.1, None, None, None, 0.2, None, None, None, None,2022-01-07 03:00:00, None, None, None, None,1
None, -0.053, None, None, None, None, None, None, None, None, None, -0.1, -0.4, 0.0, None, None, None, 0.2, None, None, None, None,2022-01-07 04:00:00, None, None, None, None,1
None, -0.101, None, None, None, None, None, None, None, None, None, -0.1, -0.4, 0.1, None, None, None, 0.2, None, None, None, None,2022-01-07 05:00:00, None, None, None, None,1
None, -0.084, None, None, None, None, None, None, None, None, None, -0.1, -0.4, -0.1, None, None, None, 0.2, None, None, None, None,2022-01-07 06:00:00, None, None, None, None,1
None, -0.213, None, None, None, None, None, None, None, None, None, -0.2, -0.3, 0.0, None, None, None, -0.1, None, None, None, None,2022-01-07 07:00:00, None, None, None, None,1
None, -0.855, None, None, None, None, None, None, None, None, None, -0.9, -0.9, 0.2, None, None, None, -0.1, None, None, None, None,2022-01-07 08:00:00, None, None, None, None,1
None, -1.251, None, None, None, None, None, None, None, None, None, -1.3, -1.4, 0.4, None, None, None, -0.1, None, None, None, None,2022-01-07 09:00:00, None, None, None, None,1
None, -1.846, None, None, None, None, None, None, None, None, None, -1.8, -1.8, 0.2, None, None, None, -0.1, None, None, None, None,2022-01-07 10:00:00, None, None, None, None,1
None, -2.461, None, None, None, None, None, None, None, None, None, -2.5, -2.5, 0.5, None, None, None, -0.1, None, None, None, None,2022-01-07 11:00:00, None, None, None, None,1
None, -4.634, None, None, None, None, None, None, None, None, None, -4.6, -4.6, 0.8, None, None, None, -0.1, None, None, None, None,2022-01-07 12:00:00, None, None, None, None,1
None, -4.97, None, None, None, None, None, None, None, None, None, -5.0, -5.2, 1.1, None, None, None, -0.1, None, None, None, None,2022-01-07 13:00:00, None, None, None, None,1
None, -5.943, None, None, None, None, None, None, None, None, None, -5.9, -5.9, 0.7, None, None, None, -0.1, None, None, None, None,2022-01-07 14:00:00, None, None, None, None,1
None, -7.13, None, None, None, None, None, None, None, None, None, -7.1, -7.1, 1.0, None, None, None, -0.1, None, None, None, None,2022-01-07 15:00:00, None, None, None, None,1
