pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,snwfl_amt_pst1hr,time,stn_pres,week_of_year
0.0, -22.06, 79.76, -20.4, 80.0, 16.09, 11.42, 195.4, -24.0, -22.1, -22.3, 1022.1, 0.0, -24.0, 893.0, 0.0,2022-01-01 00:00:00, 893.0,1
0.0, -21.89, 79.98, -20.4, 80.0, 17.79, 11.92, 188.6, -24.0, -21.9, -22.3, 1022.0, 0.0, -24.0, 893.0, 0.0,2022-01-01 01:00:00, 893.0,1
0.0, -20.99, 80.6, -20.4, 81.0, 19.43, 10.09, 179.0, -23.0, -21.0, -22.3, 1020.6, 0.0, -23.0, 892.0, 0.0,2022-01-01 02:00:00, 892.0,1
0.0, -20.84, 80.5, -20.4, 81.0, 23.37, 9.46, 163.0, -23.0, -20.8, -22.3, 1020.6, 0.0, -23.0, 892.0, 0.0,2022-01-01 03:00:00, 892.0,1
0.0, -20.52, 80.9, -20.4, 81.0, 22.99, 10.1, 157.7, -22.0, -20.5, -22.3, 1020.8, 0.0, -22.0, 892.0, 0.0,2022-01-01 04:00:00, 892.0,1
0.0, -20.16, 81.3, -20.0, 81.0, 22.03, 10.3, 155.3, -22.0, -20.2, -22.3, 1019.8, 0.0, -22.0, 891.0, 0.0,2022-01-01 05:00:00, 891.0,1
0.0, -19.34, 81.8, -19.2, 82.0, 22.42, 11.08, 157.6, -21.0, -19.3, -22.3, 1019.7, 0.0, -21.0, 891.0, 0.0,2022-01-01 06:00:00, 891.0,1
0.0, -19.59, 81.3, -18.9, 81.0, 20.61, 13.08, 153.3, -22.0, -19.6, -19.7, 1018.8, 0.0, -22.0, 890.0, 0.0,2022-01-01 07:00:00, 890.0,1
0.0, -19.67, 81.5, -18.9, 82.0, 23.49, 11.04, 150.7, -22.0, -19.7, -20.0, 1018.8, 0.0, -22.0, 890.0, 0.0,2022-01-01 08:00:00, 890.0,1
0.0, -19.29, 81.9, -18.9, 82.0, 24.12, 10.46, 155.5, -21.0, -19.3, -20.0, 1018.8, 0.0, -21.0, 890.0, 0.0,2022-01-01 09:00:00, 890.0,1
