RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
79.32, None, None, None, 1.335, 179.7, -24.0, -23.4, None, 813.0, None, None, 180.0, None, 180.0, None, None, -21.84, None, -21.7, 79.0, 45.62, None, -21.8, 1019.3, 0.0, 0.0,2022-01-01 00:00:00, 813.0,1
79.73, None, None, None, 2.383, 175.8, -24.0, -23.4, None, 814.0, None, None, 180.0, None, 179.7, None, None, -21.66, None, -21.7, 80.0, 41.18, None, -21.7, 1020.4, 0.0, 0.0,2022-01-01 01:00:00, 814.0,1
79.2, None, None, None, 3.174, 172.6, -24.0, -23.4, None, 814.0, None, None, 179.0, None, 179.3, None, None, -21.72, None, -21.5, 79.0, 38.71, None, -21.7, 1020.6, 0.1, 0.0,2022-01-01 02:00:00, 814.0,1
79.63, None, None, None, 2.949, 185.2, -24.0, -23.4, None, 814.0, None, None, 179.0, None, 179.2, None, None, -21.54, None, -21.5, 80.0, 38.86, None, -21.5, 1020.8, 0.0, 0.0,2022-01-01 03:00:00, 814.0,1
79.79, None, None, None, 3.25, 179.4, -24.0, -23.4, None, 814.0, None, None, 179.0, None, 178.9, None, None, -21.29, None, -21.3, 80.0, 39.84, None, -21.3, 1021.1, -0.1, 0.0,2022-01-01 04:00:00, 814.0,1
80.3, None, None, None, 3.936, 172.0, -23.0, -23.4, None, 815.0, None, None, 179.0, None, 178.8, None, None, -20.71, None, -20.7, 80.0, 38.79, None, -20.7, 1022.6, 0.0, 0.0,2022-01-01 05:00:00, 815.0,1
80.4, None, None, None, 3.246, 162.5, -23.0, -23.4, None, 815.0, None, None, 179.0, None, 178.5, None, None, -20.35, None, -20.3, 80.0, 36.28, None, -20.4, 1022.4, 0.0, 0.0,2022-01-01 06:00:00, 815.0,1
80.6, None, None, None, 3.989, 165.4, -22.0, -20.4, None, 815.0, None, None, 178.0, None, 178.3, None, None, -20.24, None, -20.2, 81.0, 38.22, None, -20.2, 1022.2, 0.0, 0.0,2022-01-01 07:00:00, 815.0,1
80.6, None, None, None, 3.904, 153.4, -22.0, -20.4, None, 816.0, None, None, 178.0, None, 178.2, None, None, -20.04, None, -20.1, 81.0, 35.35, None, -20.0, 1023.3, 0.0, 0.0,2022-01-01 08:00:00, 816.0,1
81.2, None, None, None, 3.228, 163.4, -21.0, -20.4, None, 816.0, None, None, 178.0, None, 177.9, None, None, -19.17, None, -19.2, 81.0, 42.61, None, -19.2, 1023.1, 0.0, 0.0,2022-01-01 09:00:00, 816.0,1
81.7, None, None, None, 3.656, 166.6, -20.0, -20.4, None, 816.0, None, None, 177.0, None, 177.4, None, None, -18.3, None, -18.3, 82.0, 39.3, None, -18.3, 1022.8, 0.1, 0.0,2022-01-01 10:00:00, 816.0,1
82.2, None, None, None, 5.343, 208.1, None, None, None, 817.0, None, None, None, None, 177.0, None, None, -17.48, None, None, None, 33.34, None, None, None, None, None,2022-01-01 11:00:00, None,1
81.9, None, None, None, 4.485, 192.5, -20.0, -20.4, None, 816.0, None, None, 176.0, None, 176.1, None, None, -17.55, None, -16.9, 82.0, 40.83, None, -17.6, 1022.6, 0.0, -1.0,2022-01-01 12:00:00, 816.0,1
81.8, None, None, None, 5.664, 208.5, -19.0, -20.4, None, 816.0, None, None, 176.0, None, 175.9, None, None, -17.02, None, -16.9, 82.0, 30.82, None, -17.0, 1022.4, 0.0, 0.0,2022-01-01 13:00:00, 816.0,1
