ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,MAX_TEMP,week_of_year
None, 408.0, 760.0, None, None,2019-01-15 00:00:00, -3.1, None, None,3
None, 408.0, 760.0, None, None,2019-01-15 01:00:00, -4.5, None, None,3
None, 408.0, 760.0, None, None,2019-01-15 02:00:00, -5.4, None, None,3
None, 408.0, 760.0, None, None,2019-01-15 03:00:00, -6.0, None, None,3
None, 408.0, 760.0, None, None,2019-01-15 04:00:00, -6.4, None, None,3
None, 408.0, 760.0, None, None,2019-01-15 05:00:00, -6.7, None, None,3
None, 409.0, 760.0, None, None,2019-01-15 06:00:00, -7.3, None, None,3
None, 409.0, 760.0, None, None,2019-01-15 07:00:00, -7.4, None, None,3
None, 409.0, 760.0, None, None,2019-01-15 08:00:00, -7.7, None, None,3
None, 409.0, 760.0, None, None,2019-01-15 09:00:00, -7.9, None, None,3
None, 409.0, 760.0, None, None,2019-01-15 10:00:00, -8.2, None, None,3
None, 409.0, 760.0, None, None,2019-01-15 11:00:00, -8.3, None, None,3
None, 409.0, 760.0, None, None,2019-01-15 12:00:00, -8.3, None, None,3
None, 409.0, 760.0, None, None,2019-01-15 13:00:00, -8.5, None, None,3
None, 409.0, 760.0, None, None,2019-01-15 14:00:00, -8.5, None, None,3
None, 409.0, 760.0, None, None,2019-01-15 15:00:00, -8.8, None, None,3
None, 409.0, 760.0, 1147.0, None,2019-01-15 16:00:00, -8.7, None, None,3
None, 409.0, 760.0, None, None,2019-01-15 17:00:00, -8.0, None, None,3
None, 409.0, 760.0, None, None,2019-01-15 18:00:00, -6.0, None, None,3
None, 409.0, 760.0, None, None,2019-01-15 19:00:00, -3.4, None, None,3
None, 409.0, 760.0, None, None,2019-01-15 20:00:00, 1.6, None, None,3
None, 408.0, 761.0, None, None,2019-01-15 21:00:00, -2.0, None, None,3
None, 408.0, 761.0, None, None,2019-01-15 22:00:00, -3.4, None, None,3
None, 408.0, 761.0, None, None,2019-01-15 23:00:00, -4.8, None, None,3
None, 409.0, 761.0, None, None,2019-01-16 00:00:00, -6.2, None, None,3
None, 409.0, 761.0, None, None,2019-01-16 01:00:00, -7.5, None, None,3
None, 409.0, 761.0, None, None,2019-01-16 02:00:00, -8.0, None, None,3
None, 409.0, 761.0, None, None,2019-01-16 03:00:00, -8.7, None, None,3
None, 409.0, 761.0, None, None,2019-01-16 04:00:00, -9.2, None, None,3
None, 409.0, 761.0, None, None,2019-01-16 05:00:00, -9.0, None, None,3
None, 409.0, 761.0, None, None,2019-01-16 06:00:00, -9.8, None, None,3
None, 409.0, 761.0, None, None,2019-01-16 07:00:00, -9.7, None, None,3
None, 409.0, 761.0, None, None,2019-01-16 08:00:00, -10.1, None, None,3
None, 409.0, 761.0, None, None,2019-01-16 09:00:00, -10.2, None, None,3
None, 409.0, 761.0, None, None,2019-01-16 10:00:00, -10.2, None, None,3
None, 409.0, 761.0, None, None,2019-01-16 11:00:00, -9.7, None, None,3
None, 409.0, 761.0, None, None,2019-01-16 12:00:00, -10.1, None, None,3
None, 409.0, 761.0, None, None,2019-01-16 13:00:00, -10.7, None, None,3
None, 409.0, 761.0, None, None,2019-01-16 14:00:00, -10.5, None, None,3
None, 409.0, 761.0, None, None,2019-01-16 15:00:00, -10.4, None, None,3
None, 409.0, 761.0, 1150.0, None,2019-01-16 16:00:00, -10.4, None, None,3
None, 409.0, 761.0, None, None,2019-01-16 17:00:00, -8.9, None, None,3
None, 409.0, 761.0, None, None,2019-01-16 18:00:00, -6.7, None, None,3
None, 409.0, 761.0, None, None,2019-01-16 19:00:00, -5.0, None, None,3
None, 409.0, 761.0, None, None,2019-01-16 20:00:00, -5.3, None, None,3
None, 409.0, 761.0, None, None,2019-01-16 21:00:00, -5.5, None, None,3
None, 409.0, 761.0, None, None,2019-01-16 22:00:00, -5.3, None, None,3
None, 409.0, 761.0, None, None,2019-01-16 23:00:00, -5.9, None, None,3
None, 409.0, 761.0, None, None,2019-01-17 00:00:00, -7.2, None, None,3
None, 409.0, 761.0, None, None,2019-01-17 01:00:00, -7.7, None, None,3
None, 409.0, 761.0, None, None,2019-01-17 02:00:00, -7.2, None, None,3
None, 409.0, 762.0, None, None,2019-01-17 03:00:00, -6.1, None, None,3
None, 410.0, 762.0, None, None,2019-01-17 04:00:00, -5.5, None, None,3
None, 410.0, 762.0, None, None,2019-01-17 05:00:00, -5.6, None, None,3
None, 410.0, 762.0, None, None,2019-01-17 06:00:00, -5.8, None, None,3
None, 410.0, 762.0, None, None,2019-01-17 07:00:00, -5.2, None, None,3
None, 409.0, 762.0, None, None,2019-01-17 08:00:00, -5.8, None, None,3
None, 409.0, 762.0, None, None,2019-01-17 09:00:00, -5.7, None, None,3
None, 410.0, 762.0, None, None,2019-01-17 10:00:00, -5.3, None, None,3
None, 410.0, 763.0, None, None,2019-01-17 11:00:00, -4.9, None, None,3
None, 410.0, 764.0, None, None,2019-01-17 12:00:00, -4.7, None, None,3
None, 410.0, 764.0, None, None,2019-01-17 13:00:00, -5.5, None, None,3
None, 410.0, 764.0, None, None,2019-01-17 14:00:00, -5.8, None, None,3
None, 410.0, 764.0, None, None,2019-01-17 15:00:00, -6.5, None, None,3
None, 410.0, 764.0, 1156.0, None,2019-01-17 16:00:00, -6.0, None, None,3
None, 410.0, 764.0, None, None,2019-01-17 17:00:00, -4.8, None, None,3
None, 410.0, 764.0, None, None,2019-01-17 18:00:00, -3.9, None, None,3
None, 409.0, 764.0, None, None,2019-01-17 19:00:00, -3.5, None, None,3
None, 409.0, 764.0, None, None,2019-01-17 20:00:00, -3.7, None, None,3
None, 410.0, 764.0, None, None,2019-01-17 21:00:00, -3.3, None, None,3
None, 410.0, 764.0, None, None,2019-01-17 22:00:00, -3.2, None, None,3
None, 410.0, 764.0, None, None,2019-01-17 23:00:00, -3.4, None, None,3
None, 410.0, 765.0, None, None,2019-01-18 00:00:00, -4.4, None, None,3
None, 410.0, 765.0, None, None,2019-01-18 02:00:00, -5.3, None, None,3
None, 411.0, 765.0, None, None,2019-01-18 03:00:00, -5.4, None, None,3
None, 411.0, 765.0, None, None,2019-01-18 04:00:00, -5.2, None, None,3
None, 411.0, 765.0, None, None,2019-01-18 05:00:00, -5.3, None, None,3
None, 411.0, 765.0, None, None,2019-01-18 06:00:00, -4.8, None, None,3
None, 411.0, 765.0, None, None,2019-01-18 07:00:00, -4.6, None, None,3
None, 411.0, 765.0, None, None,2019-01-18 08:00:00, -4.3, None, None,3
None, 411.0, 765.0, None, None,2019-01-18 09:00:00, -4.3, None, None,3
