CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,MEASURED_WIND_DIRECTION1,MEASURED_WIND_SPEED1,air_temp,min_air_temp_snc_last_reset,DEW_POINT,avg_wnd_dir_10m_pst10mts,dwpt_temp,time,week_of_year
-6.512, 99.1, -6.3, 99.0, 9.0, 24.94, 4.8, 261.1, 4.771, -6.5, -8.0, -7.0, 261.0, -7.0,2021-01-01 00:00:00,1
-6.682, 99.2, -6.2, 99.0, 7.6, 34.01, 2.9, 261.1, 2.925, -6.7, -8.0, -6.0, 261.0, -6.0,2021-01-01 01:00:00,1
-6.759, 99.1, -6.2, 99.0, 11.8, 31.33, 4.6, 258.4, 4.641, -6.8, -8.0, -7.0, 258.0, -7.0,2021-01-01 02:00:00,1
-6.515, 99.1, -6.2, 99.0, 11.9, 35.24, 5.0, 267.5, 5.018, -6.5, -8.0, -7.0, 268.0, -7.0,2021-01-01 03:00:00,1
-6.444, 99.1, -6.2, 99.0, 16.0, 39.82, 5.7, 276.0, 5.73, -6.4, -8.0, -7.0, 276.0, -7.0,2021-01-01 04:00:00,1
-6.269, 99.1, -6.1, 99.0, 11.2, 41.82, 4.0, 269.6, 4.021, -6.3, -8.0, -6.0, 270.0, -6.0,2021-01-01 05:00:00,1
-6.333, 99.1, -6.1, 99.0, 10.0, 53.49, 2.8, 278.1, 2.817, -6.3, -8.0, -6.0, 278.0, -6.0,2021-01-01 06:00:00,1
-6.156, 99.2, -6.0, 99.0, 9.7, 55.12, 3.3, 286.4, 3.3, -6.2, -6.4, -6.0, 286.0, -6.0,2021-01-01 07:00:00,1
-6.285, 99.2, -6.0, 99.0, 12.4, 62.11, 3.7, 297.6, 3.708, -6.3, -6.4, -6.0, 298.0, -6.0,2021-01-01 08:00:00,1
-6.134, 99.2, -6.0, 99.0, 10.6, 59.25, 3.2, 295.4, 3.156, -6.1, -6.5, -6.0, 295.0, -6.0,2021-01-01 09:00:00,1
-6.141, 99.1, -5.9, 99.0, 11.4, 42.63, 4.6, 280.7, 4.59, -6.1, -6.5, -6.0, 281.0, -6.0,2021-01-01 10:00:00,1
-5.934, 99.1, -5.6, 99.0, 12.2, 38.39, 5.0, 280.6, 4.991, -5.9, -6.5, -6.0, 281.0, -6.0,2021-01-01 11:00:00,1
-5.631, 99.3, -5.5, 99.0, 9.3, 40.6, 3.4, 285.7, 3.376, -5.6, -6.5, -6.0, 286.0, -6.0,2021-01-01 12:00:00,1
-5.717, 99.2, -5.5, 99.0, 9.0, 56.03, 2.9, 299.4, 2.879, -5.7, -6.5, -6.0, 299.0, -6.0,2021-01-01 13:00:00,1
-5.884, 99.1, -5.5, 99.0, 7.9, 60.69, 2.5, 303.1, 2.485, -5.9, -6.5, -6.0, 303.0, -6.0,2021-01-01 14:00:00,1
-5.97, 99.1, -5.5, 99.0, 7.4, 66.49, 2.4, 283.8, 2.353, -6.0, -6.5, -6.0, 284.0, -6.0,2021-01-01 15:00:00,1
-6.341, 99.1, -5.5, 99.0, 7.5, 56.03, 2.4, 300.2, 2.423, -6.3, -6.5, -6.0, 300.0, -6.0,2021-01-01 16:00:00,1
-6.376, 99.1, -5.5, 99.0, 5.6, 59.05, 1.7, 331.5, 1.675, -6.4, -6.5, -6.0, 332.0, -6.0,2021-01-01 17:00:00,1
-6.409, 99.2, -5.5, 99.0, 6.4, 64.16, 1.7, 342.4, 1.749, -6.4, -6.6, -6.0, 342.0, -6.0,2021-01-01 18:00:00,1
-6.175, 99.2, -5.9, 99.0, 6.0, 58.94, 2.4, 354.2, 2.387, -6.2, -6.6, -7.0, 354.0, -7.0,2021-01-01 19:00:00,1
None, None, -5.8, 99.0, 15.5, None, 5.7, None, None, -6.0, -6.6, None, 148.0, -6.0,2021-01-01 21:00:00,1
-5.863, 99.1, -5.6, 99.0, 15.0, 64.42, 5.2, 290.3, 5.176, -5.9, -6.6, -6.0, 290.0, -6.0,2021-01-01 22:00:00,1
-5.863, 99.2, -5.6, 99.0, 13.4, 51.12, 4.9, 310.3, 4.867, -5.9, -6.6, -6.0, 310.0, -6.0,2021-01-01 23:00:00,1
-6.022, 99.2, -5.6, 99.0, 15.3, 42.5, 5.5, 292.6, 5.483, -6.0, -6.6, -6.0, 293.0, -6.0,2021-01-02 00:00:00,1
-5.934, 99.2, -5.6, 99.0, 13.0, 38.02, 5.1, 275.0, 5.13, -5.9, -6.6, -6.0, 275.0, -6.0,2021-01-02 01:00:00,1
-5.822, 99.2, -5.6, 99.0, 14.0, 26.62, 7.6, 279.8, 7.576, -5.8, -6.6, -6.0, 280.0, -6.0,2021-01-02 02:00:00,1
-5.851, 99.2, -5.6, 99.0, 11.6, 29.61, 5.4, 285.2, 5.376, -5.9, -6.6, -6.0, 285.0, -6.0,2021-01-02 03:00:00,1
-6.041, 99.1, -5.6, 99.0, 13.6, 28.92, 7.5, 283.0, 7.465, -6.0, -6.6, -6.0, 283.0, -6.0,2021-01-02 04:00:00,1
-6.114, 99.2, -5.6, 99.0, 13.1, 28.07, 6.0, 282.2, 6.037, -6.1, -6.6, -6.0, 282.0, -6.0,2021-01-02 05:00:00,1
-6.03, 99.2, -5.6, 99.0, 10.7, 25.87, 5.5, 277.6, 5.497, -6.0, -6.6, -6.0, 278.0, -6.0,2021-01-02 06:00:00,1
-5.979, 99.2, -5.9, 99.0, 9.2, 34.79, 4.2, 280.0, 4.153, -6.0, -6.2, -6.0, 280.0, -6.0,2021-01-02 07:00:00,1
-5.894, 99.3, -5.8, 99.0, 7.3, 57.31, 2.6, 287.5, 2.566, -5.9, -6.2, -6.0, 288.0, -6.0,2021-01-02 08:00:00,1
-5.939, 99.2, -5.7, 99.0, 7.6, 37.21, 3.1, 281.3, 3.114, -5.9, -6.2, -6.0, 281.0, -6.0,2021-01-02 09:00:00,1
-5.81, 99.2, -5.7, 99.0, 7.3, 39.13, 3.1, 291.4, 3.094, -5.8, -6.2, -6.0, 291.0, -6.0,2021-01-02 10:00:00,1
-5.854, 99.1, -5.6, 99.0, 8.2, 40.08, 1.6, 288.7, 1.631, -5.9, -6.2, -6.0, 289.0, -6.0,2021-01-02 11:00:00,1
-5.526, 99.2, -5.3, 99.0, 7.0, 37.21, 0.6, 283.6, 0.585, -5.5, -6.2, -6.0, 284.0, -6.0,2021-01-02 12:00:00,1
-5.171, 99.3, -5.1, 99.0, 6.9, 42.16, 0.8, 280.4, 0.764, -5.2, -6.2, -5.0, 280.0, -5.0,2021-01-02 13:00:00,1
-5.224, 99.3, -5.1, 99.0, 6.3, 39.96, 1.5, 283.1, 1.501, -5.2, -6.2, -5.0, 283.0, -5.0,2021-01-02 14:00:00,1
-5.374, 99.2, -5.1, 99.0, 7.1, 40.87, 2.2, 287.3, 2.176, -5.4, -6.2, -6.0, 287.0, -6.0,2021-01-02 15:00:00,1
