air_temp,CURRENT_AIR_TEMPERATURE1,min_air_temp_snc_last_reset,max_air_temp_snc_last_reset,rel_hum,time,dwpt_temp,week_of_year
-0.8, -0.755, -5.3, -0.8, -6999.0,2021-01-01 00:00:00, -6999.0,1
-0.3, -0.307, -5.3, -0.3, -6999.0,2021-01-01 01:00:00, -6999.0,1
0.0, -0.044, -5.3, -0.1, -6999.0,2021-01-01 02:00:00, -6999.0,1
0.1, 0.089, -5.3, 0.1, -6999.0,2021-01-01 03:00:00, -6999.0,1
0.1, 0.054, -5.3, 0.1, -6999.0,2021-01-01 04:00:00, -6999.0,1
-0.1, -0.075, -5.3, 0.1, -6999.0,2021-01-01 05:00:00, -6999.0,1
-0.5, -0.466, -5.3, 0.1, -6999.0,2021-01-01 06:00:00, -6999.0,1
-0.6, -0.606, -0.6, -0.5, -6999.0,2021-01-01 07:00:00, -6999.0,1
-0.7, -0.712, -0.7, -0.5, -6999.0,2021-01-01 08:00:00, -6999.0,1
-0.7, -0.734, -0.8, -0.5, -6999.0,2021-01-01 09:00:00, -6999.0,1
0.3, 0.29, -0.8, 0.3, -6999.0,2021-01-01 10:00:00, -6999.0,1
1.1, 1.064, -0.8, 1.1, -6999.0,2021-01-01 11:00:00, -6999.0,1
2.2, 2.151, -0.8, 2.1, -6999.0,2021-01-01 12:00:00, -6999.0,1
3.9, 3.908, -0.8, 3.9, -6999.0,2021-01-01 13:00:00, -6999.0,1
4.5, 4.451, -0.8, 4.5, -6999.0,2021-01-01 14:00:00, -6999.0,1
3.5, 3.45, -0.8, 4.5, -6999.0,2021-01-01 15:00:00, -6999.0,1
1.9, 1.923, -0.8, 4.5, -6999.0,2021-01-01 16:00:00, -6999.0,1
0.9, 0.938, -0.8, 4.5, -6999.0,2021-01-01 17:00:00, -6999.0,1
0.6, 0.585, -0.8, 4.5, -6999.0,2021-01-01 18:00:00, -6999.0,1
0.5, 0.458, 0.4, 0.6, -6999.0,2021-01-01 19:00:00, -6999.0,1
0.9, 0.903, 0.4, 0.9, -6999.0,2021-01-01 20:00:00, -6999.0,1
1.3, 1.267, 0.4, 1.3, -6999.0,2021-01-01 21:00:00, -6999.0,1
1.2, 1.202, 0.4, 1.3, -6999.0,2021-01-01 22:00:00, -6999.0,1
0.6, 0.594, 0.4, 1.3, -6999.0,2021-01-01 23:00:00, -6999.0,1
0.1, 0.136, 0.1, 1.3, -6999.0,2021-01-02 00:00:00, -6999.0,1
0.7, 0.686, 0.1, 1.3, -6999.0,2021-01-02 01:00:00, -6999.0,1
0.9, 0.863, 0.1, 1.3, -6999.0,2021-01-02 02:00:00, -6999.0,1
0.9, 0.863, 0.1, 1.3, -6999.0,2021-01-02 03:00:00, -6999.0,1
1.0, 1.032, 0.1, 1.3, -6999.0,2021-01-02 04:00:00, -6999.0,1
1.0, 0.969, 0.1, 1.3, -6999.0,2021-01-02 05:00:00, -6999.0,1
1.0, 0.989, 0.1, 1.3, -6999.0,2021-01-02 06:00:00, -6999.0,1
1.0, 1.032, 1.0, 1.0, -6999.0,2021-01-02 07:00:00, -6999.0,1
1.2, 1.202, 1.0, 1.2, -6999.0,2021-01-02 08:00:00, -6999.0,1
1.4, 1.373, 1.0, 1.4, -6999.0,2021-01-02 09:00:00, -6999.0,1
2.0, 2.036, 1.0, 2.0, -6999.0,2021-01-02 10:00:00, -6999.0,1
2.7, 2.697, 1.0, 2.7, -6999.0,2021-01-02 11:00:00, -6999.0,1
3.7, 3.736, 1.0, 3.7, -6999.0,2021-01-02 12:00:00, -6999.0,1
4.3, 4.299, 1.0, 4.3, -6999.0,2021-01-02 13:00:00, -6999.0,1
4.2, 4.191, 1.0, 4.3, -6999.0,2021-01-02 14:00:00, -6999.0,1
3.7, 3.706, 1.0, 4.3, -6999.0,2021-01-02 15:00:00, -6999.0,1
2.6, 2.585, 1.0, 4.3, -6999.0,2021-01-02 16:00:00, -6999.0,1
1.7, 1.662, 1.0, 4.3, -6999.0,2021-01-02 17:00:00, -6999.0,1
1.4, 1.351, 1.0, 4.3, -6999.0,2021-01-02 18:00:00, -6999.0,1
1.4, 1.373, 1.3, 1.4, -6999.0,2021-01-02 19:00:00, -6999.0,1
1.3, 1.339, 1.3, 1.4, -6999.0,2021-01-02 20:00:00, -6999.0,1
1.4, 1.373, 1.3, 1.4, -6999.0,2021-01-02 21:00:00, -6999.0,1
0.9, 0.946, 1.0, 1.4, -6999.0,2021-01-02 22:00:00, -6999.0,1
0.4, 0.373, 0.4, 1.4, -6999.0,2021-01-02 23:00:00, -6999.0,1
-0.2, -0.172, -0.2, 1.4, -6999.0,2021-01-03 00:00:00, -6999.0,1
-0.7, -0.718, -0.7, 1.4, -6999.0,2021-01-03 01:00:00, -6999.0,1
-1.5, -1.523, -1.5, 1.4, -6999.0,2021-01-03 02:00:00, -6999.0,1
-2.2, -2.185, -2.2, 1.4, -6999.0,2021-01-03 03:00:00, -6999.0,1
-2.9, -2.935, -2.9, 1.4, -6999.0,2021-01-03 04:00:00, -6999.0,1
-3.9, -3.922, -3.9, 1.4, -6999.0,2021-01-03 05:00:00, -6999.0,1
-4.9, -4.853, -4.9, 1.4, -6999.0,2021-01-03 06:00:00, -6999.0,1
-3.9, -3.855, -4.9, -3.9, -6999.0,2021-01-03 07:00:00, -6999.0,1
-3.3, -3.323, -4.9, -3.3, -6999.0,2021-01-03 08:00:00, -6999.0,1
-4.1, -4.096, -4.9, -3.3, -6999.0,2021-01-03 09:00:00, -6999.0,1
-3.3, -3.303, -4.9, -3.3, -6999.0,2021-01-03 10:00:00, -6999.0,1
-1.1, -1.05, -4.9, -1.1, -6999.0,2021-01-03 11:00:00, -6999.0,1
-0.1, -0.052, -4.9, -0.1, -6999.0,2021-01-03 12:00:00, -6999.0,1
0.5, 0.479, -4.9, 0.5, -6999.0,2021-01-03 13:00:00, -6999.0,1
0.7, 0.736, -4.9, 0.7, -6999.0,2021-01-03 14:00:00, -6999.0,1
3.7, 3.69, -4.9, 3.7, -6999.0,2021-01-03 15:00:00, -6999.0,1
2.6, 2.575, -4.9, 4.2, -6999.0,2021-01-03 16:00:00, -6999.0,1
-0.4, -0.387, -4.9, 4.2, -6999.0,2021-01-03 17:00:00, -6999.0,1
-1.6, -1.579, -4.9, 4.2, -6999.0,2021-01-03 18:00:00, -6999.0,1
-2.0, -2.013, -2.0, -1.6, -6999.0,2021-01-03 19:00:00, -6999.0,1
-2.2, -2.228, -2.2, -1.6, -6999.0,2021-01-03 20:00:00, -6999.0,1
-2.6, -2.635, -2.6, -1.6, -6999.0,2021-01-03 21:00:00, -6999.0,1
-3.5, -3.539, -3.5, -1.6, -6999.0,2021-01-03 22:00:00, -6999.0,1
-4.7, -4.707, -4.7, -1.6, -6999.0,2021-01-03 23:00:00, -6999.0,1
-5.6, -5.592, -5.6, -1.6, -6999.0,2021-01-04 00:00:00, -6999.0,1
-4.8, -4.836, -5.6, -1.6, -6999.0,2021-01-04 01:00:00, -6999.0,1
-4.1, -4.138, -5.6, -1.6, -6999.0,2021-01-04 02:00:00, -6999.0,1
-3.2, -3.181, -5.6, -1.6, -6999.0,2021-01-04 03:00:00, -6999.0,1
-2.2, -2.245, -5.6, -1.6, -6999.0,2021-01-04 04:00:00, -6999.0,1
-2.1, -2.099, -5.6, -1.6, -6999.0,2021-01-04 05:00:00, -6999.0,1
-1.7, -1.735, -5.6, -1.6, -6999.0,2021-01-04 06:00:00, -6999.0,1
-1.5, -1.5, -1.7, -1.5, -6999.0,2021-01-04 07:00:00, -6999.0,1
