air_temp,CURRENT_AIR_TEMPERATURE1,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,HEIGHT_OF_SNOW,time,snw_dpth,dwpt_temp,stn_pres,week_of_year
-0.6, -0.624, -2.1, 0.0, 1.0, 0.9, 168.07,2021-01-01 00:00:00, 168.0, -50.0, 480.0,1
0.3, 0.279, -2.1, 0.0, 0.0, 0.9, 168.15,2021-01-01 01:00:00, 168.0, -53.0, 481.0,1
0.0, 0.028, -2.1, 0.0, -3.0, 0.9, 165.28,2021-01-01 02:00:00, 165.0, -53.0, 487.0,1
-0.1, -0.056, -2.1, 0.0, 2.0, 1.1, 166.83,2021-01-01 03:00:00, 167.0, -49.0, 492.0,1
0.2, 0.177, -2.1, 0.0, -2.0, 1.1, 165.22,2021-01-01 04:00:00, 165.0, -53.0, 495.0,1
0.3, 0.28, -2.1, 0.0, 1.0, 1.1, 166.32,2021-01-01 05:00:00, 166.0, -53.0, 496.0,1
-0.1, -0.056, -2.1, 0.0, -1.0, 1.1, 165.3,2021-01-01 06:00:00, 165.0, -49.0, 495.0,1
0.4, 0.428, -0.1, 0.0, 2.0, 0.4, 167.15,2021-01-01 07:00:00, 167.0, -53.0, 494.0,1
0.8, 0.82, -0.1, 0.0, 1.0, 0.8, 168.2,2021-01-01 08:00:00, 168.0, -53.0, 497.0,1
0.9, 0.913, -0.1, 0.0, 0.0, 1.0, 167.94,2021-01-01 09:00:00, 168.0, -53.0, 500.0,1
1.1, 1.108, -0.1, 0.0, -2.0, 1.3, 166.45,2021-01-01 10:00:00, 166.0, -52.0, 504.0,1
1.4, 1.369, -0.1, 0.0, 1.0, 1.4, 167.14,2021-01-01 11:00:00, 167.0, -52.0, 508.0,1
1.5, 1.546, -0.1, 0.0, 0.0, 1.6, 167.29,2021-01-01 12:00:00, 167.0, -52.0, 513.0,1
1.3, 1.257, -0.1, 0.0, 0.0, 1.8, 167.2,2021-01-01 13:00:00, 167.0, -52.0, 515.0,1
0.5, 0.457, -0.1, 0.0, -1.0, 1.8, 166.39,2021-01-01 14:00:00, 166.0, -53.0, 515.0,1
0.6, 0.587, -0.1, 0.0, -1.0, 1.8, 165.15,2021-01-01 15:00:00, 165.0, -53.0, 511.0,1
0.1, 0.121, -0.1, 0.0, -1.0, 1.8, 164.62,2021-01-01 16:00:00, 165.0, -53.0, 507.0,1
0.0, -0.028, -0.2, 0.0, 0.0, 1.8, 164.85,2021-01-01 17:00:00, 165.0, -49.0, 502.0,1
-0.1, -0.14, -0.2, 0.0, 0.0, 1.8, 165.24,2021-01-01 18:00:00, 165.0, -49.0, 498.0,1
-0.6, -0.587, -0.6, 0.0, 0.0, -0.1, 165.73,2021-01-01 19:00:00, 166.0, -50.0, 496.0,1
-0.6, -0.559, -0.6, 0.0, 1.0, -0.1, 167.0,2021-01-01 20:00:00, 167.0, -50.0, 494.0,1
-0.4, -0.429, -0.6, 0.0, -800.0, -0.1, 167.0,2021-01-01 21:00:00, 167.0, -50.0, 493.0,1
-0.5, -0.522, -0.6, 0.0, 3.0, -0.1, 169.8,2021-01-01 22:00:00, 170.0, -50.0, 492.0,1
-0.6, -0.624, -0.7, 0.0, 6.0, -0.1, 176.0,2021-01-01 23:00:00, 176.0, -50.0, 491.0,1
-0.7, -0.671, -0.7, 0.0, 4.0, -0.1, 180.4,2021-01-02 00:00:00, 180.0, -50.0, 490.0,1
-0.8, -0.764, -0.9, 0.0, -1.0, -0.1, 179.86,2021-01-02 01:00:00, 180.0, -50.0, 489.0,1
-0.9, -0.876, -0.9, 0.0, 0.0, -0.1, 180.02,2021-01-02 02:00:00, 180.0, -50.0, 488.0,1
-1.0, -1.034, -1.1, 0.0, 0.0, -0.1, 180.1,2021-01-02 03:00:00, 180.0, -50.0, 486.0,1
-1.1, -1.127, -1.1, 0.0, 2.0, -0.1, 182.11,2021-01-02 04:00:00, 182.0, -50.0, 485.0,1
-0.9, -0.876, -1.1, 0.0, 4.0, -0.1, 186.45,2021-01-02 05:00:00, 186.0, -50.0, 485.0,1
-0.8, -0.764, -1.1, 0.0, 2.0, -0.1, 188.65,2021-01-02 06:00:00, 189.0, -50.0, 485.0,1
