max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,avg_wnd_spd_10m_pst10mts,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,time,snw_dpth,stn_pres,week_of_year
-4.7, -6999.0, 8.4, 3.2, -6999.0,-4.7, -7.4, 0.0, 8.0,0.0,2021-01-01 00:00:00,213.0, -6999.0,1
-4.3, -6999.0, 9.5, 3.5, -6999.0,-4.4, -7.4, 0.0, 13.0,2.0,2021-01-01 01:00:00,215.0, -6999.0,1
-4.2, -6999.0, 8.2, 3.3, -6999.0,-4.3, -7.4, 0.0, 15.0,4.0,2021-01-01 02:00:00,219.0, -6999.0,1
-4.2, -6999.0, 6.3, 3.1, -6999.0,-4.3, -7.4, 0.0, 6.0,2.0,2021-01-01 03:00:00,221.0, -6999.0,1
-4.1, -6999.0, 5.4, 2.6, -6999.0,-4.2, -7.4, 0.0, 5.0,7.0,2021-01-01 04:00:00,228.0, -6999.0,1
-4.0, -6999.0, 4.7, 2.4, -6999.0,-4.0, -7.4, 0.0, 6.0,1.0,2021-01-01 05:00:00,229.0, -6999.0,1
-3.9, -6999.0, 5.6, 3.1, -6999.0,-3.9, -7.4, 0.0, 6.0,2.0,2021-01-01 06:00:00,231.0, -6999.0,1
-3.9, -6999.0, 6.1, 3.5, -6999.0,-3.9, -4.0, 0.0, 10.0,0.0,2021-01-01 07:00:00,231.0, -6999.0,1
-3.6, -6999.0, 6.6, 3.2, -6999.0,-3.7, -4.0, 0.0, 0.0,0.0,2021-01-01 08:00:00,231.0, -6999.0,1
-3.6, -6999.0, 5.3, 2.6, -6999.0,-3.7, -4.0, 0.0, 11.0,0.0,2021-01-01 09:00:00,231.0, -6999.0,1
-3.6, -6999.0, 5.4, 3.3, -6999.0,-3.6, -4.0, 0.0, 10.0,0.0,2021-01-01 10:00:00,231.0, -6999.0,1
-3.2, -6999.0, 9.2, 3.2, -6999.0,-3.3, -4.0, 0.0, 39.0,1.0,2021-01-01 11:00:00,232.0, -6999.0,1
-3.0, -6999.0, 9.2, 2.8, -6999.0,-3.1, -4.0, 0.0, 20.0,0.0,2021-01-01 12:00:00,232.0, -6999.0,1
-2.9, -6999.0, 7.0, 2.2, -6999.0,-3.2, -4.0, 0.0, 72.0,0.0,2021-01-01 13:00:00,231.0, -6999.0,1
-2.9, -6999.0, 9.2, 3.2, -6999.0,-3.4, -4.0, 0.0, 86.0,1.0,2021-01-01 14:00:00,232.0, -6999.0,1
-2.9, -6999.0, 12.1, 4.7, -6999.0,-4.0, -4.0, 0.0, 65.0,1.0,2021-01-01 15:00:00,233.0, -6999.0,1
-2.9, -6999.0, 13.5, 4.9, -6999.0,-4.0, -4.1, 0.0, 42.0,0.0,2021-01-01 16:00:00,233.0, -6999.0,1
-2.9, -6999.0, 9.1, 4.6, -6999.0,-4.3, -4.3, 0.0, 25.0,0.0,2021-01-01 17:00:00,233.0, -6999.0,1
-2.9, -6999.0, 9.7, 4.7, -6999.0,-4.6, -4.6, 0.0, 22.0,0.0,2021-01-01 18:00:00,234.0, -6999.0,1
-4.5, -6999.0, 9.5, 5.3, -6999.0,-4.8, -4.8, 0.0, 22.0,0.0,2021-01-01 19:00:00,234.0, -6999.0,1
-4.5, -6999.0, 10.4, 5.5, -6999.0,-4.5, -4.8, 0.0, 30.0,-1.0,2021-01-01 20:00:00,234.0, -6999.0,1
-4.5, -6999.0, 8.3, 4.0, -6999.0,-4.5, -4.8, 0.0, 24.0,-1.0,2021-01-01 21:00:00,233.0, -6999.0,1
-3.8, -6999.0, 11.7, 4.2, -6999.0,-3.8, -4.8, 0.0, 7.0,1.0,2021-01-01 22:00:00,234.0, -6999.0,1
-3.5, -6999.0, 11.4, 4.0, -6999.0,-3.6, -4.8, 0.0, 13.0,-1.0,2021-01-01 23:00:00,233.0, -6999.0,1
-3.3, -6999.0, 11.0, 4.7, -6999.0,-3.9, -4.8, 0.0, 9.0,2.0,2021-01-02 00:00:00,235.0, -6999.0,1
-3.3, -6999.0, 9.5, 3.6, -6999.0,-3.7, -4.8, 0.0, 15.0,4.0,2021-01-02 01:00:00,239.0, -6999.0,1
-3.3, -6999.0, 11.8, 4.2, -6999.0,-3.8, -4.8, 0.0, 27.0,-1.0,2021-01-02 02:00:00,239.0, -6999.0,1
-3.3, -6999.0, 11.8, 6.5, -6999.0,-4.3, -4.8, 0.0, 31.0,1.0,2021-01-02 03:00:00,240.0, -6999.0,1
-3.3, -6999.0, 12.6, 6.7, -6999.0,-4.3, -4.8, 0.0, 27.0,-1.0,2021-01-02 04:00:00,239.0, -6999.0,1
-3.3, -6999.0, 11.9, 6.7, -6999.0,-4.0, -4.8, 0.0, 24.0,2.0,2021-01-02 05:00:00,241.0, -6999.0,1
-3.2, -6999.0, 11.9, 5.6, -6999.0,-3.3, -4.8, 0.0, 10.0,1.0,2021-01-02 06:00:00,242.0, -6999.0,1
-3.2, -6999.0, 12.4, 5.2, -6999.0,-3.2, -3.5, 0.0, 38.0,0.0,2021-01-02 07:00:00,242.0, -6999.0,1
-3.0, -6999.0, 12.7, 6.0, -6999.0,-3.0, -3.5, 0.0, 60.0,5.0,2021-01-02 08:00:00,247.0, -6999.0,1
-2.9, -6999.0, 11.8, 4.7, -6999.0,-3.0, -3.5, 0.0, 66.0,0.0,2021-01-02 09:00:00,247.0, -6999.0,1
-2.9, -6999.0, 11.8, 6.0, -6999.0,-3.1, -3.5, 0.0, 57.0,1.0,2021-01-02 10:00:00,248.0, -6999.0,1
-2.9, -6999.0, 11.0, 5.7, -6999.0,-3.0, -3.5, 0.0, 23.0,4.0,2021-01-02 11:00:00,251.0, -6999.0,1
