pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,time,snw_dpth,stn_pres,week_of_year
2.7, 0.32, 95.4, 0.6, 4.4, 26.56, 1.665, 154.9, 0.0, 1.7, 0.3, 0.2, 1011.0, 0.0, 0.0, 960.0, 155.0, 0.0, 95.0,2021-01-01 00:00:00, -6999.0, 960.0,1
2.2, 0.55, 95.3, 0.6, 4.9, 28.35, 2.406, 162.0, 0.0, 2.4, 0.6, 0.2, 1011.0, 0.0, 0.0, 960.0, 162.0, 0.0, 95.0,2021-01-01 01:00:00, -6999.0, 960.0,1
1.7, 1.087, 91.4, 1.1, 10.9, 41.72, 2.846, 179.7, 0.0, 2.8, 1.1, 0.2, 1010.9, 0.0, 0.0, 960.0, 180.0, 0.0, 91.0,2021-01-01 02:00:00, -6999.0, 960.0,1
1.2, 1.086, 92.0, 1.6, 14.1, 43.89, 2.969, 192.5, 0.0, 3.0, 1.1, 0.2, 1009.9, 0.1, 0.0, 959.0, 193.0, 0.0, 92.0,2021-01-01 03:00:00, -6999.0, 959.0,1
1.1, 0.663, 94.1, 1.6, 4.7, 29.93, 1.404, 159.9, 0.0, 1.4, 0.7, 0.2, 1010.0, 0.2, 0.0, 959.0, 160.0, 0.0, 94.0,2021-01-01 04:00:00, -6999.0, 959.0,1
1.5, 0.415, 95.4, 1.6, 2.6, 48.58, 0.84, 162.3, 0.0, 0.8, 0.4, 0.2, 1010.0, 0.6, 0.0, 959.0, 162.0, 0.0, 95.0,2021-01-01 05:00:00, -6999.0, 959.0,1
1.5, 0.301, 96.0, 1.6, 1.7, 29.03, 0.092, 149.7, 0.0, 0.1, 0.3, 0.2, 1008.9, 0.7, 0.0, 958.0, 150.0, 0.0, 96.0,2021-01-01 06:00:00, -6999.0, 958.0,1
1.8, 0.304, 96.2, 0.7, 2.7, 42.75, 0.296, 161.3, 0.0, 0.3, 0.3, 0.2, 1007.9, 0.3, 0.0, 957.0, 161.0, 0.0, 96.0,2021-01-01 07:00:00, -6999.0, 957.0,1
2.1, 0.261, 96.5, 0.7, 1.4, 46.65, 0.046, 123.9, 0.0, 0.0, 0.3, 0.2, 1007.9, 0.3, 0.0, 957.0, 124.0, 0.0, 97.0,2021-01-01 08:00:00, -6999.0, 957.0,1
2.4, 0.522, 96.9, 0.7, 0.0, 45.0, 0.0, 140.0, 0.0, 0.0, 0.5, 0.1, 1007.9, 0.3, 0.0, 957.0, 140.0, 0.0, 97.0,2021-01-01 09:00:00, -6999.0, 957.0,1
