pcpn_amt_pst24hrs,air_temp,CURRENT_AIR_TEMPERATURE1,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,dwpt_temp,week_of_year
None, 4.4, 4.36, 4.4, 1.5, 4.8, -6999.0,2021-01-01 00:00:00, -6999.0,1
None, 4.5, 4.51, 4.4, 1.1, 4.8, -6999.0,2021-01-01 01:00:00, -6999.0,1
None, 4.5, 4.548, 4.4, 1.0, 4.8, -6999.0,2021-01-01 02:00:00, -6999.0,1
None, 4.5, 4.503, 4.4, 0.9, 4.8, -6999.0,2021-01-01 03:00:00, -6999.0,1
None, 4.3, 4.301, 4.3, 0.9, 4.8, -6999.0,2021-01-01 04:00:00, -6999.0,1
None, 4.3, 4.301, 4.2, 2.8, 4.8, -6999.0,2021-01-01 05:00:00, -6999.0,1
None, 4.5, 4.469, 4.2, 2.7, 4.8, -6999.0,2021-01-01 06:00:00, -6999.0,1
None, 4.5, 4.51, 4.4, 1.8, 4.6, -6999.0,2021-01-01 07:00:00, -6999.0,1
None, 4.3, 4.347, 4.3, 0.6, 4.6, -6999.0,2021-01-01 08:00:00, -6999.0,1
None, 4.4, 4.362, 4.2, 0.5, 4.6, -6999.0,2021-01-01 09:00:00, -6999.0,1
None, 4.6, 4.558, 4.2, 0.7, 4.6, -6999.0,2021-01-01 10:00:00, -6999.0,1
None, 5.2, 5.165, 4.2, 0.9, 5.2, -6999.0,2021-01-01 11:00:00, -6999.0,1
None, 5.5, 5.473, 4.2, 4.6, 5.7, -6999.0,2021-01-01 12:00:00, -6999.0,1
None, 5.3, 5.343, 4.2, -0.4, 6.1, -6999.0,2021-01-01 13:00:00, -6999.0,1
None, 5.3, 5.303, 4.2, 5.1, 6.1, -6999.0,2021-01-01 15:00:00, -6999.0,1
None, 6.5, 6.497, 4.2, 2.0, 6.7, -6999.0,2021-01-01 16:00:00, -6999.0,1
None, 8.6, 8.61, 4.2, 0.8, 8.9, -6999.0,2021-01-01 17:00:00, -6999.0,1
None, 9.4, 9.36, 4.2, -0.1, 10.4, -6999.0,2021-01-01 18:00:00, -6999.0,1
None, 8.0, 8.03, 7.3, -5.7, 10.1, -6999.0,2021-01-01 19:00:00, -6999.0,1
None, 6.9, 6.929, 6.9, -0.5, 10.1, -6999.0,2021-01-01 20:00:00, -6999.0,1
None, 6.7, 6.672, 6.7, 0.0, 10.1, -6999.0,2021-01-01 21:00:00, -6999.0,1
None, 6.7, 6.728, 6.6, 0.1, 10.1, -6999.0,2021-01-01 22:00:00, -6999.0,1
None, 7.0, 6.967, 6.5, 0.6, 10.1, -6999.0,2021-01-01 23:00:00, -6999.0,1
None, 8.5, 8.49, 6.5, 3.8, 10.1, -6999.0,2021-01-02 00:00:00, -6999.0,1
None, 8.0, 8.01, 6.5, -1.3, 10.1, -6999.0,2021-01-02 01:00:00, -6999.0,1
None, 8.8, 8.82, 6.5, 0.7, 10.1, -6999.0,2021-01-02 02:00:00, -6999.0,1
None, 10.5, 10.48, 6.5, 3.6, 10.8, -6999.0,2021-01-02 03:00:00, -6999.0,1
None, 9.2, 9.16, 6.5, -0.8, 10.8, -6999.0,2021-01-02 04:00:00, -6999.0,1
None, 10.2, 10.19, 6.5, -0.9, 10.8, -6999.0,2021-01-02 05:00:00, -6999.0,1
None, 10.1, 10.08, 6.5, 1.5, 11.0, -6999.0,2021-01-02 06:00:00, -6999.0,1
None, 10.0, 9.96, 8.5, -0.5, 10.4, -6999.0,2021-01-02 07:00:00, -6999.0,1
None, 8.7, 8.65, 8.5, -1.3, 10.6, -6999.0,2021-01-02 08:00:00, -6999.0,1
None, 7.5, 7.471, 7.5, -1.7, 10.6, -6999.0,2021-01-02 09:00:00, -6999.0,1
None, 8.7, 8.72, 7.4, 4.9, 10.6, -6999.0,2021-01-02 10:00:00, -6999.0,1
None, 9.9, 9.91, 7.4, 4.0, 10.6, -6999.0,2021-01-02 11:00:00, -6999.0,1
None, 10.3, 10.33, 7.4, 1.1, 11.0, -6999.0,2021-01-02 12:00:00, -6999.0,1
None, 9.5, 9.51, 7.4, -2.1, 11.0, -6999.0,2021-01-02 13:00:00, -6999.0,1
None, 10.4, 10.36, 7.4, 3.7, 11.0, -6999.0,2021-01-02 14:00:00, -6999.0,1
None, 9.8, 9.84, 7.4, 3.3, 11.0, -6999.0,2021-01-02 15:00:00, -6999.0,1
None, 9.2, 9.19, 7.4, -0.2, 11.0, -6999.0,2021-01-02 16:00:00, -6999.0,1
None, 8.8, 8.82, 7.4, 1.7, 11.0, -6999.0,2021-01-02 17:00:00, -6999.0,1
None, 8.6, 8.56, 7.4, -0.9, 11.0, -6999.0,2021-01-02 18:00:00, -6999.0,1
None, 7.2, 7.244, 7.3, -0.8, 9.2, -6999.0,2021-01-02 19:00:00, -6999.0,1
None, 8.3, 8.28, 6.8, -0.6, 9.2, -6999.0,2021-01-02 20:00:00, -6999.0,1
None, 6.8, 6.782, 6.8, 0.3, 9.2, -6999.0,2021-01-02 21:00:00, -6999.0,1
None, 6.3, 6.343, 5.6, -0.1, 9.2, -6999.0,2021-01-02 22:00:00, -6999.0,1
None, 5.2, 5.232, 5.2, 0.2, 9.2, -6999.0,2021-01-02 23:00:00, -6999.0,1
None, 5.4, 5.35, 5.2, 0.1, 9.2, -6999.0,2021-01-03 01:00:00, -6999.0,1
None, 5.2, 5.183, 5.2, -0.1, 9.2, -6999.0,2021-01-03 02:00:00, -6999.0,1
None, 5.2, 5.17, 5.2, 0.1, 9.2, -6999.0,2021-01-03 03:00:00, -6999.0,1
None, 4.9, 4.919, 4.7, -0.1, 9.2, -6999.0,2021-01-03 05:00:00, -6999.0,1
None, 4.8, 4.771, 4.7, 0.0, 9.2, -6999.0,2021-01-03 06:00:00, -6999.0,1
None, 5.0, 5.03, 4.8, 0.6, 5.1, -6999.0,2021-01-03 08:00:00, -6999.0,1
None, 5.1, 5.064, 4.8, 1.0, 5.2, -6999.0,2021-01-03 10:00:00, -6999.0,1
None, 7.1, 7.073, 4.8, 1.6, 7.0, -6999.0,2021-01-03 12:00:00, -6999.0,1
None, 7.5, 7.529, 4.8, -0.6, 7.9, -6999.0,2021-01-03 14:00:00, -6999.0,1
None, 6.2, 6.243, 4.8, -2.6, 8.5, -6999.0,2021-01-03 16:00:00, -6999.0,1
None, 5.7, 5.702, 4.8, 0.2, 8.5, -6999.0,2021-01-03 18:00:00, -6999.0,1
None, 4.2, 4.188, 4.2, 0.0, 5.8, -6999.0,2021-01-03 20:00:00, -6999.0,1
None, 4.7, 4.732, 4.0, 0.2, 5.8, -6999.0,2021-01-03 22:00:00, -6999.0,1
None, 4.9, 4.874, 4.0, 0.1, 5.8, -6999.0,2021-01-04 00:00:00, -6999.0,1
None, 4.6, 4.638, 4.0, 0.8, 5.8, -6999.0,2021-01-04 02:00:00, -6999.0,1
None, 4.1, 4.127, 3.9, 1.2, 5.8, -6999.0,2021-01-04 04:00:00, -6999.0,1
None, 4.1, 4.137, 3.9, 1.0, 5.8, -6999.0,2021-01-04 05:00:00, -6999.0,1
None, 4.1, 4.055, 3.9, 1.0, 5.8, -6999.0,2021-01-04 06:00:00, -6999.0,1
None, 3.6, 3.566, 3.6, 0.2, 4.1, -6999.0,2021-01-04 07:00:00, -6999.0,1
None, 3.2, 3.17, 3.2, 3.1, 4.1, -6999.0,2021-01-04 08:00:00, -6999.0,1
None, 3.2, 3.192, 3.1, 2.3, 4.1, -6999.0,2021-01-04 09:00:00, -6999.0,1
None, 3.3, 3.286, 3.1, 2.5, 4.1, -6999.0,2021-01-04 10:00:00, -6999.0,1
None, 3.3, 3.33, 3.1, 2.9, 4.1, -6999.0,2021-01-04 11:00:00, -6999.0,1
None, 3.3, 3.264, 3.1, 3.3, 4.1, -6999.0,2021-01-04 12:00:00, -6999.0,1
None, 3.5, 3.456, 3.1, 1.3, 4.1, -6999.0,2021-01-04 13:00:00, -6999.0,1
None, 4.2, 4.158, 3.1, 1.3, 4.2, -6999.0,2021-01-04 14:00:00, -6999.0,1
