RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,time,stn_pres,week_of_year
22.4, None, None, 0.0, 0.0, 201.9, -23.0, -8.1, -23.0, None, 202.0, None, None, -6999.0, None, None, None, -6.488, None, -6.5, None, None, 20.91, 0.0, -6.5, 0.0, -6999.0, 22.0,2021-01-01 00:00:00, -6999.0,1
22.34, None, None, 0.0, 0.0, 236.4, -23.0, -8.1, -23.0, None, 236.0, None, None, -6999.0, None, None, None, -6.311, None, -6.3, None, None, 19.79, 0.0, -6.3, 0.0, -6999.0, 22.0,2021-01-01 01:00:00, -6999.0,1
22.31, None, None, 0.0, 0.0, 206.9, -22.0, -8.1, -22.0, None, 207.0, None, None, -6999.0, None, None, None, -6.193, None, -6.2, None, None, 21.12, 0.0, -6.2, 0.0, -6999.0, 22.0,2021-01-01 02:00:00, -6999.0,1
22.44, None, None, 0.0, 0.0, 259.4, -23.0, -8.1, -23.0, None, 259.0, None, None, -6999.0, None, None, None, -6.635, None, -6.2, None, None, 31.51, 0.0, -6.6, 0.0, -6999.0, 22.0,2021-01-01 03:00:00, -6999.0,1
22.34, None, None, 0.0, 0.0, 249.9, -23.0, -8.1, -23.0, None, 250.0, None, None, -6999.0, None, None, None, -6.311, None, -6.1, None, None, 33.14, 0.0, -6.3, 0.0, -6999.0, 22.0,2021-01-01 04:00:00, -6999.0,1
22.42, None, None, 0.0, 0.0, 245.1, -23.0, -8.1, -23.0, None, 245.0, None, None, -6999.0, None, None, None, -6.576, None, -6.1, None, None, 33.65, 0.0, -6.6, 0.0, -6999.0, 22.0,2021-01-01 05:00:00, -6999.0,1
22.32, None, None, 0.0, 0.0, 237.0, -23.0, -8.1, -23.0, None, 237.0, None, None, -6999.0, None, None, None, -6.232, None, -6.1, None, None, 29.08, 0.0, -6.2, 0.0, -6999.0, 22.0,2021-01-01 06:00:00, -6999.0,1
22.36, None, None, 0.0, 0.0, 248.7, -23.0, -6.4, -23.0, None, 249.0, None, None, -6999.0, None, None, None, -6.36, None, -6.1, None, None, 28.58, 0.0, -6.4, 0.0, -6999.0, 22.0,2021-01-01 07:00:00, -6999.0,1
22.37, None, None, 0.0, 0.0, 269.4, -23.0, -6.5, -23.0, None, 269.0, None, None, -6999.0, None, None, None, -6.389, None, -6.1, None, None, 14.48, 0.0, -6.4, 0.0, -6999.0, 22.0,2021-01-01 08:00:00, -6999.0,1
22.28, None, None, 0.0, 0.0, 248.9, -22.0, -6.5, -22.0, None, 249.0, None, None, -6999.0, None, None, None, -6.095, None, -6.1, None, None, 31.67, 0.0, -6.1, 0.0, -6999.0, 22.0,2021-01-01 09:00:00, -6999.0,1
22.21, None, None, 0.0, 0.0, 237.7, -22.0, -6.5, -22.0, None, 238.0, None, None, -6999.0, None, None, None, -5.86, None, -5.8, None, None, 36.57, 0.0, -5.9, 0.0, -6999.0, 22.0,2021-01-01 10:00:00, -6999.0,1
22.16, None, None, 0.0, 0.0, 232.8, -22.0, -6.5, -22.0, None, 233.0, None, None, -6999.0, None, None, None, -5.693, None, -5.6, None, None, 32.17, 0.0, -5.7, 0.0, -6999.0, 22.0,2021-01-01 11:00:00, -6999.0,1
22.09, None, None, 0.0, 0.0, 207.7, -22.0, -6.5, -22.0, None, 208.0, None, None, -6999.0, None, None, None, -5.469, None, -5.4, None, None, 34.75, 0.0, -5.5, 0.0, -6999.0, 22.0,2021-01-01 12:00:00, -6999.0,1
22.08, None, None, 0.0, 0.0, 253.0, -22.0, -6.5, -22.0, None, 253.0, None, None, -6999.0, None, None, None, -5.45, None, -5.3, None, None, 32.65, 0.0, -5.5, 0.0, -6999.0, 22.0,2021-01-01 13:00:00, -6999.0,1
22.08, None, None, 0.0, 0.0, 284.6, -22.0, -6.5, -22.0, None, 285.0, None, None, -6999.0, None, None, None, -5.429, None, -5.3, None, None, 9.28, 0.0, -5.4, 0.0, -6999.0, 22.0,2021-01-01 14:00:00, -6999.0,1
22.07, None, None, 0.0, 0.0, 289.0, -22.0, -6.5, -22.0, None, 289.0, None, None, -6999.0, None, None, None, -5.624, None, -5.3, None, None, 61.87, 0.0, -5.6, 0.0, -6999.0, 22.0,2021-01-01 15:00:00, -6999.0,1
22.12, None, None, 0.0, 0.0, 94.2, -22.0, -6.5, -22.0, None, 94.0, None, None, -6999.0, None, None, None, -5.557, None, -5.3, None, None, 13.12, 0.0, -5.6, 0.0, -6999.0, 22.0,2021-01-01 16:00:00, -6999.0,1
22.01, None, None, 0.0, 0.0, 123.2, -22.0, -6.5, -22.0, None, 123.0, None, None, -6999.0, None, None, None, -5.206, None, -5.2, None, None, 13.58, 0.0, -5.2, 0.0, -6999.0, 22.0,2021-01-01 17:00:00, -6999.0,1
21.99, None, None, 0.0, 0.0, 143.0, -22.0, -6.5, -22.0, None, 143.0, None, None, -6999.0, None, None, None, -5.118, None, -5.0, None, None, 43.84, 0.0, -5.1, 0.0, -6999.0, 22.0,2021-01-01 18:00:00, -6999.0,1
21.82, None, None, 0.0, 0.0, 236.5, -21.0, -5.1, -21.0, None, 237.0, None, None, -6999.0, None, None, None, -4.566, None, -4.5, None, None, 41.44, 0.0, -4.6, 0.0, -6999.0, 22.0,2021-01-01 19:00:00, -6999.0,1
21.94, None, None, 0.0, 0.0, 257.8, -22.0, -5.1, -22.0, None, 258.0, None, None, -6999.0, None, None, None, -4.953, None, -4.5, None, None, 24.64, 0.0, -5.0, 0.0, -6999.0, 22.0,2021-01-01 20:00:00, -6999.0,1
21.94, None, None, 0.0, 0.0, 275.4, -22.0, -5.1, -22.0, None, 275.0, None, None, -6999.0, None, None, None, -4.953, None, -4.5, None, None, 16.63, 0.0, -5.0, 0.0, -6999.0, 22.0,2021-01-01 21:00:00, -6999.0,1
21.93, None, None, 0.0, 0.0, 262.3, -22.0, -5.1, -22.0, None, 262.0, None, None, -6999.0, None, None, None, -4.943, None, -4.5, None, None, 33.53, 0.0, -4.9, 0.0, -6999.0, 22.0,2021-01-01 22:00:00, -6999.0,1
21.98, None, None, 0.0, 0.0, 260.5, -22.0, -5.1, -22.0, None, 261.0, None, None, -6999.0, None, None, None, -5.108, None, -4.5, None, None, 31.6, 0.0, -5.1, 0.0, -6999.0, 22.0,2021-01-01 23:00:00, -6999.0,1
