pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,snw_dpth,week_of_year
0.5, -1.991, 94.8, -1.9, 95.0, -3.0, -2.0, -3.9, -3.0, 0.0, 0.0,2021-01-01 00:00:00, -6999.0,1
0.5, -1.335, 95.4, -1.4, 95.0, -2.0, -1.3, -3.9, -2.0, 0.1, 0.0,2021-01-01 01:00:00, -6999.0,1
0.3, -1.355, 94.9, -1.2, 95.0, -2.0, -1.4, -3.9, -2.0, 0.1, 0.0,2021-01-01 02:00:00, -6999.0,1
1.3, -1.424, 95.1, -1.2, 95.0, -2.0, -1.4, -3.9, -2.0, 1.0, 1.0,2021-01-01 03:00:00, -6999.0,1
1.6, -1.333, 95.2, -1.2, 95.0, -2.0, -1.3, -3.9, -2.0, 0.3, 0.0,2021-01-01 04:00:00, -6999.0,1
1.8, -1.588, 95.2, -1.2, 95.0, -2.0, -1.6, -3.9, -2.0, 0.2, 0.0,2021-01-01 05:00:00, -6999.0,1
2.1, -1.364, 95.7, -1.0, 96.0, -2.0, -1.4, -3.9, -2.0, 0.3, 0.0,2021-01-01 06:00:00, -6999.0,1
2.0, -1.192, 96.0, -1.0, 96.0, -2.0, -1.2, -1.4, -2.0, 0.2, 0.0,2021-01-01 07:00:00, -6999.0,1
2.0, -1.115, 96.1, -0.8, 96.0, -2.0, -1.1, -1.4, -2.0, 0.0, 0.0,2021-01-01 08:00:00, -6999.0,1
2.0, -0.911, 96.1, -0.8, 96.0, -1.0, -0.9, -1.4, -1.0, 0.0, 0.0,2021-01-01 09:00:00, -6999.0,1
2.0, -0.389, 95.9, -0.4, 96.0, -1.0, -0.4, -1.4, -1.0, 0.0, 0.0,2021-01-01 10:00:00, -6999.0,1
2.0, 0.09, 94.9, 0.2, 95.0, -1.0, 0.1, -1.4, -1.0, 0.0, 0.0,2021-01-01 11:00:00, -6999.0,1
2.0, 0.634, 93.5, 0.7, 94.0, 0.0, 0.6, -1.4, 0.0, 0.0, 0.0,2021-01-01 12:00:00, -6999.0,1
2.0, 0.664, 94.5, 1.1, 95.0, 0.0, 0.7, -1.4, 0.0, 0.0, 0.0,2021-01-01 13:00:00, -6999.0,1
2.2, 0.939, 95.8, 1.2, 96.0, 1.0, 0.9, -1.4, 1.0, 0.2, 0.0,2021-01-01 14:00:00, -6999.0,1
2.2, 0.626, 96.7, 1.2, 97.0, 0.0, 0.6, -1.4, 0.0, 0.1, 0.0,2021-01-01 15:00:00, -6999.0,1
2.4, 0.624, 97.3, 1.2, 97.0, 0.0, 0.6, -1.4, 0.0, 0.2, 0.0,2021-01-01 16:00:00, -6999.0,1
2.4, 0.904, 96.9, 1.2, 97.0, 1.0, 0.9, -1.4, 1.0, 0.1, 0.0,2021-01-01 17:00:00, -6999.0,1
2.7, 0.841, 97.2, 1.2, 97.0, 0.0, 0.8, -1.4, 0.0, 0.3, 0.0,2021-01-01 18:00:00, -6999.0,1
2.7, 0.989, 96.9, 1.1, 97.0, 1.0, 1.0, 0.7, 1.0, 0.1, 0.0,2021-01-01 19:00:00, -6999.0,1
2.7, 0.666, 97.0, 1.1, 97.0, 0.0, 0.7, 0.6, 0.0, 0.0, 0.0,2021-01-01 20:00:00, -6999.0,1
2.7, 0.63, 97.4, 1.1, 97.0, 0.0, 0.6, 0.5, 0.0, 0.0, 0.0,2021-01-01 21:00:00, -6999.0,1
2.7, 0.572, 97.7, 1.1, 98.0, 0.0, 0.6, 0.5, 0.0, 0.0, 0.0,2021-01-01 22:00:00, -6999.0,1
