station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND
0.0, 0.0, 0.0, 2014-01-01 00:00:00, 0.0
2.0, 0.0, 2.0, 2014-01-02 00:00:00, 0.0
1.0, 0.0, 1.0, 2014-01-03 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-01-04 00:00:00, 0.0
5.0, 0.0, 5.0, 2014-01-05 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-01-06 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-01-07 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-01-08 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-01-09 00:00:00, 0.0
2.0, 0.0, 2.0, 2014-01-10 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-01-11 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-01-12 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-01-13 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-01-14 00:00:00, 5.0
0.0, 0.0, 0.0, 2014-01-15 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-01-16 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-01-17 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-01-18 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-01-19 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-01-20 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-01-21 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-01-22 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-01-23 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-01-24 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-01-25 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-01-26 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-01-27 00:00:00, 0.0
1.0, 0.0, 1.0, 2014-01-28 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-01-29 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-01-30 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-01-31 00:00:00, 10.0
1.0, 0.0, 1.0, 2014-02-01 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-02-02 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-02-03 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-02-04 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-02-05 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-02-06 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-02-07 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-02-08 00:00:00, 0.0
0.0, 0.0, 0.0, 2014-02-09 00:00:00, 0.0
