RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
22.17, None, None, 0.3, 0.138, 85.8, -22.0, -5.7, -22.0, None, 86.0, None, None, -6999.0, None, None, None, None, -5.734, None, -5.3, 22.0, None, 20.76, 0.1, -5.7, -0.1, -6999.0,2021-01-01 00:00:00, -6999.0,1
22.31, None, None, 0.3, 0.141, 92.7, -22.0, -5.8, -22.0, None, 93.0, None, None, -6999.0, None, None, None, None, -5.8, None, -5.3, 22.0, None, 20.83, 0.1, -5.8, 0.2, -6999.0,2021-01-01 01:00:00, -6999.0,1
22.16, None, None, 0.3, 0.14, 91.9, -22.0, -5.8, -22.0, None, 92.0, None, None, -6999.0, None, None, None, None, -5.714, None, -5.3, 22.0, None, 23.21, 0.1, -5.7, -0.1, -6999.0,2021-01-01 02:00:00, -6999.0,1
22.13, None, None, 0.3, 0.095, 79.3, -22.0, -5.8, -22.0, None, 79.0, None, None, -6999.0, None, None, None, None, -5.41, None, -5.3, 22.0, None, 50.54, 0.1, -5.4, None, -6999.0,2021-01-01 04:00:00, -6999.0,1
22.12, None, None, 0.3, 0.138, 87.2, -22.0, -5.8, -22.0, None, 87.0, None, None, -6999.0, None, None, None, None, -5.373, None, -5.3, 22.0, None, 22.34, 0.1, -5.4, 0.0, -6999.0,2021-01-01 05:00:00, -6999.0,1
22.09, None, None, 0.4, 0.134, 86.4, -22.0, -5.8, -22.0, None, 86.0, None, None, -6999.0, None, None, None, None, -5.278, None, -5.3, 22.0, None, 26.42, 0.1, -5.3, 0.3, -6999.0,2021-01-01 06:00:00, -6999.0,1
21.99, None, None, 0.3, 0.144, 99.4, -22.0, -5.3, -22.0, None, 99.0, None, None, -6999.0, None, None, None, None, -5.145, None, -5.1, 22.0, None, 22.25, 0.1, -5.1, 0.3, -6999.0,2021-01-01 07:00:00, -6999.0,1
21.97, None, None, 0.4, 0.132, 97.0, -22.0, -5.3, -22.0, None, 97.0, None, None, -6999.0, None, None, None, None, -5.069, None, -5.1, 22.0, None, 31.37, 0.1, -5.1, 0.5, -6999.0,2021-01-01 08:00:00, -6999.0,1
21.9, None, None, 0.3, 0.144, 99.3, -21.0, -5.3, -21.0, None, 99.0, None, None, -6999.0, None, None, None, None, -4.842, None, -4.8, 22.0, None, 21.03, 0.1, -4.8, 0.5, -6999.0,2021-01-01 09:00:00, -6999.0,1
21.82, None, None, 0.3, 0.133, 102.5, -21.0, -5.3, -21.0, None, 103.0, None, None, -6999.0, None, None, None, None, -4.578, None, -4.6, 22.0, None, 31.68, 0.1, -4.6, 1.2, -6999.0,2021-01-01 10:00:00, -6999.0,1
21.75, None, None, 0.4, 0.136, 114.5, -21.0, -5.3, -21.0, None, 115.0, None, None, -6999.0, None, None, None, None, -4.324, None, -4.3, 22.0, None, 33.1, 0.1, -4.3, 0.7, -6999.0,2021-01-01 11:00:00, -6999.0,1
21.76, None, None, 0.3, 0.139, 100.4, -21.0, -5.3, -21.0, None, 100.0, None, None, -6999.0, None, None, None, None, -4.38, None, -4.3, 22.0, None, 26.05, 0.1, -4.4, 0.5, -6999.0,2021-01-01 12:00:00, -6999.0,1
21.72, None, None, 0.3, 0.14, 98.6, -21.0, -5.3, -21.0, None, 99.0, None, None, -6999.0, None, None, None, None, -4.22, None, -4.2, 22.0, None, 23.7, 0.1, -4.2, 0.8, -6999.0,2021-01-01 13:00:00, -6999.0,1
21.65, None, None, 0.3, 0.137, 100.4, -21.0, -5.3, -21.0, None, 100.0, None, None, -6999.0, None, None, None, None, -4.004, None, -4.0, 22.0, None, 27.46, 0.1, -4.0, 0.7, -6999.0,2021-01-01 14:00:00, -6999.0,1
21.63, None, None, 0.3, 0.132, 98.4, -21.0, -5.3, -21.0, None, 98.0, None, None, -6999.0, None, None, None, None, -3.938, None, -3.9, 22.0, None, 30.05, 0.1, -3.9, 0.6, -6999.0,2021-01-01 15:00:00, -6999.0,1
21.59, None, None, 0.3, 0.132, 110.0, -21.0, -5.3, -21.0, None, 110.0, None, None, -6999.0, None, None, None, None, -3.788, None, -3.8, 22.0, None, 34.14, 0.1, -3.8, 0.2, -6999.0,2021-01-01 16:00:00, -6999.0,1
21.71, None, None, 0.4, 0.135, 110.0, -21.0, -5.3, -21.0, None, 110.0, None, None, -6999.0, None, None, None, None, -3.778, None, -3.8, 22.0, None, 31.11, 0.1, -3.8, 0.6, -6999.0,2021-01-01 17:00:00, -6999.0,1
21.56, None, None, 0.4, 0.143, 105.2, -21.0, -5.3, -21.0, None, 105.0, None, None, -6999.0, None, None, None, None, -3.703, None, -3.7, 22.0, None, 22.78, 0.1, -3.7, -0.4, -6999.0,2021-01-01 18:00:00, -6999.0,1
21.63, None, None, 0.3, 0.125, 98.9, -21.0, -3.7, -21.0, None, 99.0, None, None, -6999.0, None, None, None, None, -3.722, None, -3.7, 22.0, None, 34.56, 0.1, -3.7, 1.3, -6999.0,2021-01-01 19:00:00, -6999.0,1
21.54, None, None, 0.3, 0.127, 87.1, -21.0, -3.7, -21.0, None, 87.0, None, None, -6999.0, None, None, None, None, -3.647, None, -3.6, 22.0, None, 31.61, 0.1, -3.6, 0.8, -6999.0,2021-01-01 20:00:00, -6999.0,1
21.5, None, None, 0.3, 0.108, 86.3, -20.0, -3.7, -20.0, None, 86.0, None, None, -6999.0, None, None, None, None, -3.488, None, -3.5, 22.0, None, 43.86, 0.1, -3.5, 1.3, -6999.0,2021-01-01 21:00:00, -6999.0,1
21.44, None, None, 0.4, 0.065, 336.6, -20.0, -3.7, -20.0, None, 337.0, None, None, -6999.0, None, None, None, None, -3.291, None, -3.3, 21.0, None, 63.2, 0.1, -3.3, 2.6, -6999.0,2021-01-01 22:00:00, -6999.0,1
